pdf_page,chars,preview
1,402,"釋字第七０一號解釋不同意見書 【長期照護醫藥費列舉扣除額差別待遇案】 大法官 黃璽君 提出 1 大法官 池啟明 加入 本件解釋多數 意見以中華民國九十四年十二月二十八 日修正公布之所得稅法第十七條第一項第二款第二目之３ 前段有關醫藥費列舉扣除額規定，就身心失能無力自理生活 而需長"
2,458,"解釋時 ， 經審查合於前開規定者 ， 應為實體解釋 ， 反之， 則應依同條第三項規定為不受理決定。又若係部分合於 規定時，應就該部分為實體解釋，其餘部分則應併為不 2 受理決議。 本件聲請人辦理九十四年度綜合所得稅結算申 報，採列舉扣除方式，列報醫藥費，其中照顧服務費新 臺幣（下"
3,589,"義務人及其配偶或納稅義務人及其配偶或受扶養親屬 之醫藥費及生育費，以付與公立醫院、公務人員保險特 1 ），而維持原處分。聲請人認 系爭規定以付與上開醫療院所之醫藥費為限，始得列舉 1 全民健康保險於八十四年三月一日開辦後， 原有公務人員保險特約醫院、 勞工保險特約醫院所 約醫院、"
4,1052,"二、本件解釋範圍未涵蓋原因案件爭執事項 按人民依司法院大法官審理案件法第五條第一項 第二款規定，聲請大法官解釋憲法，係採抽象法規範審 2 。 其程序雖起因於具體個案 ， 惟大法官於受理後所為 實體解釋，係脫離個案而對該規範所適用之對象進行整 3 。然參酌司法最小主義 4 （Jud"
5,436,"又人民聲請釋憲制度目的之ㄧ即在排除法令對其 憲法權利所生之不當妨礙；申言之，確定終局裁判所適 6 者，不在解釋範圍內，致聲請人對此能否依本件解釋獲 用之法律或命令，經本院依人民聲請解釋認為與憲法意 務說明，引自楊智涵，彰顯憲法與尊重立法之間─美國司法裁判方法的借鏡，國立政治大學法"
6,860,"（一） 「長期照護」一詞，在各法規之意涵並非全部相同 7 8 ，亦有使用「長期照顧」 用語，兩者有何不同？ （二）依解釋之用語，並非所有須長期照護者均在該文 義解釋範圍內 ， 以有身心失能無力自理生活情形而須 7 1 . 老人福利機構設立標準第二條第一款第一目：「本法所定老人福利"
7,584,"二 款 之 日 常 生 活 自 理 能 力 (ADLs, Activities of Daily Living）包括進食、移位、如廁、洗澡、平地 9 ，例示限於極重度等級。失 9 走動、穿脫衣褲鞋襪等項目；生活工具使用能力 身心障礙等級之附件三：社會適應能力及語言功能障礙程度之評"
8,807,"智症則未限於極重度等級 ， 亦難由其例示獲得一致之 認定標準。 本件解 釋之範圍既不明確，主管機關與人民適用上 將發生困難，其不妥甚明。 貳、實體方面： 10 。至於應以何種標準決定審 查密度，學說上多主張以「分類標準」和「影響範圍」 1 。又租稅在民主國家中係維持國家活動之必要"
9,503,"定，不僅應由財政、經濟、社會政策等角度作總合性之 政策判斷；針對課稅要件之訂定，顯然需要專門之技術 12 。本院大法官歷來有關「租稅平等」之解釋，亦 多認此種事件，「涉及國家財政資源之分配，與公共利 13 益之維護及國家政策之推動緊密相關」 ，而採取相對 寬鬆之審查密度，並給予立"
10,435,"差別待遇是否違反平等原則，應受較嚴格之審查，除其 目的須合憲外，所採差別待遇與目的之達成間，亦須有 15 實質關聯等情。是以，系爭規定如未影響人民之生存 。 15 黃舒芃，社會權在我國憲法中的保障，中原財經法學，第 16 期，2006 年 6 月，頁 7。 10 權，實應回歸本院"
11,681,"（二）自憲法之各項設定體系以觀 1.依 據法律保留原則，國家資源之分配權限原則應 16 屬立法者為是 。惟憲法第十五條之規定，依前 所述，尚難認僅係不具規範力之方針規定，故本 17 。 2.制憲者並未就自由主義與社會主義間擇一開展 憲法，而是兼採二者；換言之，前者認為各式享 16"
12,663,"18 介入照顧 。 三、系爭規定未涉人民生存權之保障 19 。 18 同前註張桐銳書，頁 156-157；同前註大須賀明書，頁 95。 19 關於免除額規定，有主張係考量相關費用乃維持納稅義務人本人、其配偶及扶養親屬最低限 度生活所必要者，而准予免除，不列入課稅範圍，即為實踐憲法"
