pdf_page,chars,preview
1,835,"釋字第六九六號解釋 協同意見書 大法官 湯德宗 我贊同並且協力形成本件可決的多數，宣告中華民國七 十八年十二月三十日修正公布的所得稅法第十五條第一項 1 2 （下稱「系爭規定」）強制夫妻合併計算非薪資所得 ，較之 單獨計算稅額，所增加的稅負部分，違反憲法第七條的平等 原則，應定期"
2,717,"該採取「二元聯動式」的分析架構審查，多數大法官亦無反 駁；然表決結果依然固守釋字第六九四號解釋的錯誤論理 （詳如本號解釋理由書第四段）！懍於良知與責任，我只好 再次提出協同意見書如后。 本件聲請人蔡麗雪因申報民國 89 年度綜合所得稅，不 服財政部台北市國稅局補徵稅款處分，用盡行"
3,1273,"7 的基本權」 (a fundamental right)6 方向邁進了一步。 在大法官 就「婚姻與家庭」的本質及其憲法上的根據形成共識以前， 國家至少「不得採取歧視婚姻的措施」！ 6 所謂「根本的基本權」係指「維護人性尊嚴」、「尊重人格自由發展」所必要， 而屬「自由民主憲政秩序"
4,687,"憲法制度性保障（本院釋字第五四號解釋參照）。如因婚 姻關係之有無而為稅捐負擔之差別待遇，致加重夫妻之經濟 負擔，則形同對婚姻之懲罰，而有違憲法保障婚姻與家庭制 度之本旨 ，故系爭規定所形成之差別待遇是否違反平等原 則，應受較為嚴格之審查」。多數意見至此可以說是依樣畫 8 葫蘆，中"
5,1291,"取之分類與規範目的之達成之間，是否存有一定程度之關聯 性而定」。所謂「該法規範所以為差別待遇之目的是否合憲」 即「目的合憲性」審查；所謂「所採取之差別待遇與規範目 的之達成之間，是否存有一定程度之關聯性」即「手段與目 的關聯性」 審查。至於在此框架下，「哪樣的目的」 算是 「合 "
6,1415,"1 程度之關聯」。 本院前此關於平等權的解釋 大多採此「低標」 審查，而獲致系爭法規範「合憲」的結論。 其次，美國所謂「中標」，亦稱「中度審查基準」 (intermediate level review) ，旨在（進一步）審查：系爭法規 範所以為差別待遇之目的是否在追求「重要的公"
7,770,"interest) ，且其所採取之差別待遇與規範目的之達成間，是否 存有「實質關聯」 (substantialy related to) 。換言之，採取差 別待遇的目的須為追求「重要公共利益」始為「合憲」，而 差別待遇之手段與規範目的之達成間須有「實質關聯」始能 認為具備「一定程"
8,620,"改正為「重要公益目的」。 二、因為「目的須合憲」無法發揮過濾功能，多數意見 實際僅賴「手段與目的關聯性」進行審查 繼宣示「較為嚴格之審查」的內容後，解釋理由書第四 段第三句首先「確認」系爭規定計含四項目的：「查系爭規 定之立法目的旨在忠實反映家計單位之節省效果、避免納稅 12 義"
9,754,"算稅額，適用較高級距累進稅率所增加之負擔，以符實質公 平原則」。究其所謂「立法者固得採合併計算制度，以避免 夫妻間不當分散所得」似是肯認「避免夫妻不當分散所得」 可為「合憲之目的」；而所謂「惟應同時採取配套措施，消 除因合併計算稅額，適用較高級距累進稅率所增加之負擔， 以符實質公"
10,658,"再次，關於「降低稽徵成本」，解釋理由書第四段第六 句說：「立法者得經由改進稽徵程序等方式，以減少稽徵成 本，而不得以影響租稅公平之措施為之」。究其語意似認為 「降低稽徵成本」可作為系爭規定採取差別待遇之「合憲之 目的」，但所謂「經由改進稽徵程序等方式亦可降低稽徵成 本」則似乎又是"
11,556,"參、解釋理由書第四段重擬 反之，本案如能正確適用本院釋字第六二六號解釋所建 立的「二元聯動」式分析架構下的「中標」進行審查，其論 理將可精確（可預測）而有說服力。茲試重擬解釋理由書第 四段如后，以供讀者對比。 按婚姻與家庭植基於人格自由，為社會形成與發展 之基礎，受憲法制度性保障"
12,622,"妻合併計算非薪資所得」之差別待遇 手段，與達成 「反映家計節省」之目的間，具有「實質關聯」。其 次，「避免夫妻不當分散所得」 以規避稅負，固為重 要公共利益，且強制夫妻合併計算非薪資所得亦確 能有效達成避免夫妻不當分散所得之目的；惟此間 顯然尚有其他較不加重夫妻經濟負擔（因而較不"
13,542,"肆、後民國百年展望 明天就是農曆壬辰年的小年夜，民國百年種即將成為 歷史。當此除舊佈新的時刻，不免感懷，尤值期許。 憲法增修條文規定司法院設大法官十五人，並以其中一 人為院長、一人為副院長，共同行使憲法第七十八條規定之 解釋憲法並統一解釋法律及命令之權。究憲法所以設計司法 院為一"
