pdf_page,chars,preview
1,628,"釋字第七０九號解釋 協同意見書 大法官 林錫堯 本席贊同解釋文與 解釋理由書所呈現之合憲與違憲解 釋原則。惟解釋理由書中仍有立論或文義尚待釐清，尤其本 件係就「憲法要求之正當行政程序」及其內涵作具體說明， 並以之為相關規定違憲之論述依據，宜避免誤解，爰表示個 人意見。 按本件之解"
2,1203,"則之內涵」 是否包括 「正當行政程序」 ？除 「由立法者制定 相應之法定程序」 外，尚有無基本要求？如依上述理路，能 否導出「憲法要求之正當行政程序之內涵」？上開問題，仍 有待釐清並建構理論。 於未釐清並建構理論前，宜從「各個基本權之客觀規範 效力」出發，導出在何種情形下立法者應"
3,655,"當組織，以執行此等職務，並應規定可有效保障人民財產權 與居住自由之正當行政程序 ， 使行政機關於作成此類行政行 為之前，有所遵行， 始符合憲法保障人民財產權與居住自 由之意旨。 附帶說明者，上述之憲法要求，包含適當組織與正當行 政程序（本文簡稱為 「憲法要求之正當行政程序」）。又"
4,705,"係屬國家或地方自治團體之公共事務，故縱使基於事實上需 要，而以法律規定得委託民間團體或個人辦理或人民在一定 條件下得申請自行辦理，國家或地方自治團體仍須負終局責 任，公權力仍應為必要之介入及監督（或可稱此係國家之擔 保責任）。而如解釋理由書所示，主管機關依都市更新條例 核准都市更"
5,672,"程序之必要，「憲法要求之正當行政程序之內涵」為何？為 避免造成誤解致不合釋憲原意，必須作具體說明。例如：以 「給予人民陳述意見之機會」乙語為例，其達成之方式可能 有下列幾種：（ 1 ）舉辦公聽會，（ 2 ）踐行政程序法第 102 條以下有關陳述意見之程序，（ 3 ）不先依行政程序"
6,684,"（二） 就正當行政程序而言： 1 、建立資訊公開機制： 為免人民之疑慮， 本條例自應設有合憲之資訊公開機 制，規定主管機關應就申請相關文件資料詳細內容，對更新 單元內申請人以外之其他居民分別為送達，亦應就行政處分 及其附件（含核淮之都市更新事業概要或核定之都市更新事 業計畫）對更"
7,700,"且主管機關應斟酌其所陳述之意見，於行政處分內說明可採 納或不可採納之理由。（ 2 ）就核定都市更新事業計畫前之程 序而言，則應踐行包含設置中立公正之主持人、預先通知並 公告適當之聽證期日、場所與主要程序等必要事項、就相關 法律與事實問題進行公開言詞辯論、依法作成聽證紀錄等內 涵之"
8,694,"與聽證人員所陳述之意見可採納或不可採納之理由」（即課 予主管機關斟酌與說理之義務），以補充行政程序法一般性 規定之不足（行政程序法第 108 條參照）。 此外，如前所述，吾人之所以要求主管機關於核准都市 更新事業概要及核定都市更新事業計畫之前，應踐行表達意 見程序，既係因此種行政"
9,688,"述。 抑有進者，憲法上要求之正當行政程序係基本權保障 之重要事項，應以法律或法律明確授權之法規命令規定 之，不能僅以施行細規定之，施行細規定僅能就執行法律 規定之細節性、技術性事項為規定。因此，都市更新事項 條例亦得就上述憲法上要求之適當組織與各項正當行政程 序，明確授權以法規命"
10,714,"之公告牌。（第二項）」；第 7 條又規定：「公聽會程序之 進行，應公開以言詞為之。」依其規定，無非是廣泛聽取意 見而已，並未賦予該程序應有之效力，而得要求主管機關於 作成處分前就相關陳述應予斟酌並說明可採或不可採之理 由（即課予主管機關斟酌與說理之義務）。何況，申請人或 實施者應"
11,708,"定乙節。未來有關機關研擬法案時當知所注意，不可一味為 授權規定而忽視「憲法要求之正當行政程序」之規定，尤其 於 「憲法要求之正當行政程序之內涵」 超越行政程序法規定 內容之情形 ， 更應注意在個別行政法律或其明確授權之法規 命令內另設特別規定之必要性，否則恐有違憲之虞。蓋行 政程"
12,757,"（ 1 ）行政程序法第 104 條第 1 項僅規定：「行政機關依第一百 零二條給予相對人陳述意見之機會時，應以書面記載下列事 項通知相對人，必要時並公告之︰ … 。」，但在核准都市 更新事業概要前之陳述意見程序，應通知之對象是「更新單 元內居民」 ，不限於行政處分之 「相對人」（"
13,660,"但其規定內容仍有不足，因而不符憲法要求之正當行政程 序。 詳言之，關於都市更新審議委員會之組織，本條例第 16 條已另規定：「各級主管機關為審議都市更新事業計畫、權 利變換計畫及處理有關爭議 ， 應分別遴聘 （派） 學者 、 專家、 熱心公益人士及相關機關代表，以合議制及公開方式"
14,734,"業計畫，均屬以公權力行為直接侵害人民之財產權與居住自 由之行政處分，甚至在一定情形下，可使土地或建築物原所 有權人或其他權利人喪失其所有權或其他權利，並被強制遷 離其居住處所（如前所述）。則法律授權行政機關作成此類 行政處分，如非為實現比人民之財產權與居住自由更為重要 之公益 （"
15,702,"第 1 項、第 2 條之 1 （下合稱系爭規定）違反比例原則。 解釋意旨則以第 10 條第 2 項違反憲法要求之正當行政程序 （因而不再論述其是否違反比例原則 。 又解釋理由書認定該 項違反正當行政程序，係因其規定之同意比率太低，與前 述之「憲法要求之正當行政程序之內涵」 不同）"
16,661,"2 義比例性 。 按都市更新條例第 10 條第 2 項、第 2 條第 1 項係分 別規定申請核准都市更新事業概要或核定都市更新事業計 畫時應具備之同意比率，屬申請之合法要件之一，乃立法形 成自由之範圍，非謂一旦達至一定比率之同意，主管機關即 應予以核准、核定或受其主張之拘束，主管"
17,202,"仍有待逐案進一步深入探討。 （二）都市更新事項，一方面要考慮如何迅速達成都市更新 之目的，另一方面應考量人權保障，相關公權力之行 使仍不可忽視依法行政原則，尤其不容違反法律保留 原則與法律強制或禁止之規定。至相關實體法規定是 否已完備？亦當隨時檢討。 （三）在個案適用都市更新條例"
