pdf_page,chars,preview
1,297,"_ 麟摞良沭雙 〖 I 秦 論 爐 : _ _ 槪 料 ' 枝 娜________ — _ . _ 中 華 故 摄 ! 瘪 珠 黑 一 呑 七 f 叫朱攀二通 . € 1托 ^大•求它 x i % -1 1 A % 撰塞 i f 骆 相關美渴叙組挪 T :____________"
2,498,"啟 鞲 态 丨 褚 !嗜 複 ， 奵於犄 i 矣遏祈邮 p 丨 利 遗 . 咖 雜 _ 立 魏 仍 鍾 轉 碰 爾 杀 胡給弄孩必滅翁坤 I 老未右 u 玉 千刷 ♦ 於此#丨 / H i 却氣盡背 ft ■ • 撒 m 法全 轸 生》 漆件感刑沭1 淤兔■ 诚 》丨兔傲轉期闇汲"
3,431,"抖範滅於七年}目>|日鞛入 辕 觀竹至竹斗4 Afl , 面 洲扁?％丨 坜 _滿曰前德 . Hit 編鱔讀人於# 骥 勒閽 令4陂以竹年离舞忠墓咖? 窥 利決 f 期被所」 ' 车， 金 I t 4 J 4 卜年您 t d l ^ / j 彼 补 ME !上 fF 而 她 佘柳"
4,489,"% ， 赫 fcfr 來4 山 〇 1备恿丨卿抑|丨 筹载 ■ 乂 这 亦人‘你 i 4 b ^ i 权 fe 玄澥德 . 仓 灰銥氣 ― 、 孙 本 in 倐 善竹條引鯧於條稽、 愈_ _ i 純 e 残 ？ 1 | 诚 I ： , 於 乳 赛 丨 洽 竓 日 、 仰 江 >日"
5,514,"鱗 别 期蚩 , 澉期桃則於 纽 竹漆■徒則游 部軚行4 i 捣 居斑痛鼽竹他抓 绻 I 通為1 令條 it 蔦執 M ■私補 i 脑 1略 诏 >9剞床 对 急0 秦各 谦 潮徒而偏 / 有■徒 开 喻 >分^ / 展 齡 — 如>」 说 格 观 魏假釋冰輪 e , g 氣等竹"
6,371,"族的床 赛 啊衆&1斗散 对 勒圳兹备許假 艨荖， 砧|」 沐1行後流 锁 氤您4^ 说 1後 H ^ \ r im .A rm tm ^t 傲 攀 ， m 斿邛二中八 g 衿壬包私 访战赛 ％條 ^ 3 ^ i ^ » i 翱矜魏餘^咖； t 敵錙^4 词 募 f ^ H v "
7,430,"!宅？ I 八 十 X 鈦 十 一 纪 二 十 久 8 ?、 1 违 小奸公布总九 谓 年 一 呙 七曰剖法條正你竹 Vr ^ 十 -月 二 十 久 6攸炎公 布蜊法專竹條士-烺畔你 t 谓 致减餘 S 虜徵他 ? i lM ? ^ mti\ A lM ^ t^ lk l ^M "
8,361,"欲糾於全部敕行豸犀盎、 聶棘濟鞭々 J 專 p U 閬呤 伪 討 爲 綱孩_ 4 丨 m n 丨 p/.M ^u^ mk -則為新篆條 iti 紙 対 於愈鋪倘穩救扮姑 絵 4釘 葛 , 又相逸版互备 f i £ k 續 ti 人而 c 孩敍 ME 文， 骷 f 繼 I u 汰益"
9,389,"糾 撼 構 邋 軲 t 後， 鐘格歉 资 篆沬罪糾 ^AMi\Mi^i 4 i M nm.mjtmu b 〇 A M . ) . ^ ? of ^ m 以獻 , i 由 fe 綠把滅術丨 m 竹味取受介 u 於1繞 後件啟挪听;所福沁 m 丨 、 就 禮 认 饫 農 f 芩樽备^"
10,337,"i Mrn ^ 衡 於 邊 I M 、 * 丨 涞 等 M 象新 i 涞 比 龄 i 阶 撒 仏 5^蠢1?分砬疚始 渖 養啟0利立> B 份 v 官 乐 緣令巍玫 lU 餅零及獻 赖 ftrPj #翻韌撤 h 击 定免矢彻 3瘩叮•假嫘愈雜鳩妒 H 竹為人何 输 J m rx "
11,404,"r 莫竹散工 ( 荨 r 虑 輪立务軚分 - I > 〇 苯， 茗价落 梅正義鉍沉两> x 笊 tglM a 後 巩 14 1報傲德 概 觀 ■ 祕 獅 _ 麟 矮 私 碰 別期、 j i l t 尨及去於祉 劍 奴 j i ^ r 篇條 nm ,m ^ w ^^M % m ^4"
12,194,"s jw F w ~ m w ^ ~ 靖 ， 妒 _ 哪 飞 獅 、蹲 雖 丫 w m % m w ^w vm fw ~ % ， 斗 得 $ 敁 臀 卦 蝴 ___匕 智 * ■ 务 W ^ W O T fW 好阽被#?桑丫 |緣 ir 爭縫杳如來 fW fT ~ 树 ' W p"
13,402,"竹凇修， 於總1 成他 . 繼養4 絲拎 . 硌如 m f 支％，》 沿 澈 , 邑 初 人 a 烯奴令絲濟』赫杉孟」絲於假礤■齓 為蝻机丨 韧 竹、 終 ^ , 文 ?丨 _ 則7人己 轨 行窬 f 」 丄 砹 u ^ M ^ m x ^ m i m . k i 喜荔竹而 fi"
14,304,", t . wM A m im 味綠鞲矣 举 灯丨 Mbm 献轉射 i 丄倘撼 愈雜^後餘^丨期， 亦為肩蘇則豹欉 i 讀行 , 茛 mtl 1 ? 7 1 §M xMm i m k^\ 4」 翻 来 以利洗姊 钵 务 传 壬命 i 趙 废 ; . 疾丨 fg ) 翱 felrn"
15,381,"m % xm i M m 所釘炎 iti m 卜银念自所限翕， 恩受假轉么 韌 础 m 人為他 § 而遼愈 错 ， 痛曼 f 1 妇殇 潑 舒 i m O v 、L 翻舊紅今右宓， 爐德1 阔 弇 命 冷 所 擔 私 flJ 立相蘭或々條式 i m L m ts 人 摄 沒4 对"
16,390,"m k ¥ M m u ■ ， 4 减 辦 嫩 齡 麵 來轉矛窗法友 , 远 敦 麵 d 緣 1成 [ 养 偏 : 喊 . 為- 赛 不爵孑 U 麻 I j J M 象 赛 瞻 1人 g 阶 敦 魏 ■ 錄 丨 • 鉍禕儉糾翻洚 > 成 ； , 现 表护风 以^糸 ( 皆 J ："
17,275,"述 M O , 續讀人裱如祕稱絲 ♦ 魁 M t\ m % 珠 f _输 麵 繼 人 假 ^ f〇 l ) 0 7 ^ i^ 7 « — ^ z, V J A d i 〇 i ^ f % i % ^ 1 \lAh 叨 、 每棘暮或疫 绞 的略 1 。 \ 如 1 讀 宝 蓁 > "
18,0,""
19,524,"f l 屬 m \ m . m i 谈 年 2020/11/3 H i t 解釋憲法聲諳書 聲 請 人 ： 地 址 ： 為刑法第7 8 條 ， 涉有抵觸憲法第 8 條人身自由及第23條比例原則等疑義， 爰 依可法院大法官審理案件法第5 條 第 1項第^款及第 8 條 第 1項規定"
20,641,"人 傭 衫气 吟 2020/11/3 聲請人假釋 期間家庭、 生活、 工作 等狀況 二 、 涉及之條文 ( 一） 刑法第7 8 條 第 1項規定 ： 「 假釋中因故意更犯罪， 受有期徒 刑以上 刑之宣告者， 撤銷其假釋。 但假釋期滿逾三年者， 不在此限。」 ( 二 ） 按辦理假釋"
21,1184,"2020/ l'l /3 • 參 、 聲請人之主張及立場 一 、 假釋撤銷屬人民人身自由之重大限餅， 撤銷之程序慮由法官方符合正當 法律程序之要求 ( 一） 按司法院大法官第 2 5 1 號 、 笫 3 9 2 號 、 第 5 8 號解釋之意旨， 凡涉 及人身自由之處分， 不論是"
22,1239,"2020/11/3 使受刑人積極復歸社會 （ 刑法第七咔七條、 監獄行刑法第八十一條 參照） 。 I 鞸處分經主管機関作成後， 受极釋人因此停止徒刑之執 行而出 狱 ， 如復予以撤銷， 再執行殘刑， 非特直接涉及受假釋人之 人身自由限制， 對其因復歸社會而業已享有之各種權益， 亦"
23,1062,"2020/11/3 ' 與 「 有 權 利 ， 斯有救濟」所源生之訴訟權之適用。…故假釋制度必 須 舆 法 治 國 原 則 「 掛 勾 」，其制度必 须 受到法治國原則，尤其是平 等原則所防止的 • 「 愁意禁止」 （ ■yvilkirverboO 之 檢 驗 。」 4 . 大法"
24,1150,"性相當。 槍砲彈藥刀械管制條例…不問對行為人有無預防矯治其社 會危險性之必要， 一律宣付強制工作三年， 限制其中不具社會危險 性之受處分人之身體、自由部分， 其所採措施與所欲達成預防矯治 之目的及所需程度， 不合憲法第二十三條所定之比例原則。 …」 大法官解釋第5 8 2號解釋文"
25,1148,"2020/11/3 ‘ 自由， 惟刑罰對人身自由之限制與其所欲維護之法益， 仍須合乎比 例之關係 • 尤其法定刑度之高低應與行為所生之危害、 行為人責任 之 輊 重 相 稱 ， 始符合憲法罪刑相當原則，而與憲法笫23條比例原 則 無 違 （ 本院釋字第544號 '第 551號 、"
26,1054,"2020/11/3 其他處所執行各種不同之藥事業務， 未設必要合理之例外規定， 已 對藥師執行職業自由形成不必要之限制， 有違憲法第二十三條比例 原 則 ， 而與憲法第十五條保障工作權之意旨相牴觸。」 3 . 鈞院釋字第754號解釋理由書 ： 「 國家基於不同之租稅管制目的， 分"
27,1048,"決確定， 或於假釋即將斯滿時恃以更犯罪， 避免假釋遭受撤銷 之 弊端， 乃仿撤銷緩刑之規定於第二項增設「 前項犯罪， 其起 訴及判決確定均在假釋期滿前者， 於假釋期滿後六月以 内 ， 仍 撤銷其假釋； 其判決確定在假釋期滿後者， 於域定後六月以 内 ， 撤 銷 之 」。 又原條文"
28,1112,"間犯微罪而被撤銷假釋之受刑人， 所服殘刑為25年 ， 加成刑法 第7 8 條無裁量空間而目的手段輕重失衡之程度 按刑法第77條規定 ： 「 受徒刑之執行而有悛悔實據者， 無期徒 刑逾二十五年， 有期徒刑逾二分之一、累犯逾三分之二， 由監 獄報請法務部， 得許假釋出獄。」 ， 民 "
29,1101,"名 ， 致撤銷原重刑之假釋， 實有輊重失衡之虞， 而不利更生。 J ， 據 此 可 見 ， 行政院亦認現行刑法笫7&條之 规 定， 就假 释 中故意 更 犯 罪 ，不論後罪之罪名及所受有斯徒刑宣告刑度輕重， 均一 律 撤 銷 其 假 釋 ， 確 有 過 苛 、輊 重 失 衡 之 "
30,1051,"2020/11/3 二十三條所定必要之程度， 並以法律定之」 。 撤銷假釋後， 受假 釋者必須進入某一監獄， 即無法自由地設定住居所、 遷徙、 旅 行 ， 監禁的環境當然使其居住及遷徙之自由受到剝奪。 再 者 ， 我國釋字第6 8 9號解釋有謂「 基於人性尊嚴之理念， 個 人主體"
31,928,"2020/11/3 « 原則上應依監獄的指定從事特定工作項 8 。因此， 入監者其工 作與職業自由會受到相當的限制。 3 . 撖 销 假釋制度之目的 ( 1) 監獄行刑之目的 公民與政治權利國際公約第10條第3 項規定「 監獄制度所定監 犯之處遇， 應以使其悛悔自新， 重適社會生"
32,1176,"2020/11/3 之條件即在於， 受假釋者能夠確實服膺於法令 规 範之要求， 並 且能適應於社會生活。 倘若受假釋者的社會復歸之路途失敗， 重新發生嚴重破壞法律秩序之舉止， 而且正常生活之社會連結 斷裂， 以致於必需以國家公權力， 再次介入受假釋者的再社會 化過程時， 假釋之條"
