pdf_page,chars,preview
1,621,"釋字第七二七號解釋字第七二七號解釋字第七二七號解釋字第七二七號解釋不同意見書 大法官陳新民 提出 昔日的朋友 ，看啊，現在你們黯然神傷 ，滿懷愛與驚恐 ！ 不，走吧，別憤怒 ！你們不能在此安身立命 。 你們必須再往遙遠 、充滿冰雪與岩塊的國度拓荒去 ！做 為一個人 ，你必須像獵人"
2,650,"憲結論後，又在解釋文中以一半篇幅抨擊系爭規定「法益權 衡並未臻於妥適」 。系爭規定是否與憲法意旨相符？多數意 見顯然搖擺不定，尤其認定系爭規定合憲之立論，不無薄弱 與無力之嫌。憲法解釋不同於一般法律解釋，應更強調憲法 之精神與理念，本席力爭無果，然為盡言責！爰提出不同意 見於次，"
3,659,"自圓其說的論證基礎，並未就眷舍使用關係的目的、長年來 規範狀態與性質來予以論究，造成論理過程破綻叢生，可說 俯拾即是。本席在此一檢視之： （一） 眷舍使用關係為公法性質的 「公物使用 」關係 關於眷舍使用關係，恐非多數意見所指稱的為私法性質 的「使用借貸關係」 ，亦非「行政私法」"
4,1004,"能性，而是單方面屬於機關內部公物的使用關係。故上開 「辦 法」具有特別權力關係的色彩與「職權命令」的特徵。 反觀之，多數意見將釋字第四五七號解釋有關「榮民承 耕退輔會所屬農場」之法律關係，援用於本案之上，即所謂 。足見不論是「辦法」或「要點」 ， 「行政私法契約」 ，這種見解明顯"
5,654,"都具備公法性質，制定之依據，不是中央法規標準法第七 條，就是行政程序法第一百五十九條及第一百七十四條之一 規定。 故早至民國四十年代開始，國防部即以單行法規範軍 眷管理相關事務，至民國四十五年以較完整的「辦法」及民 國九十二年接續之「要點」規範管理眷舍業務以來，已長達 六十三年之"
6,644,"涉及的標的為行政院所屬機關之宿舍，與本號解釋之國防部 所屬眷舍，具有極高的同質性。故眷舍使用關係的性質，已 極為明顯，何再有爭執之空間乎？ （二） 眷舍的使用屬於國軍福利措施的一環 本號解釋多數意見在「淡化」系爭規定對不同意改建之 原眷戶權益可造成「殺傷力」之論證上，特別強調「眷"
7,672,"收入微薄（薪俸） ，必須想方設法，多立名目實施「軍眷補 助」 ，來實質增加軍人待遇，以提高其生活水準。故上述補 助，與微不足道的薪俸，一併構成軍人與軍眷「實質待遇」 的內涵。國防部對上述眷糧、副食實物的張羅、調控及發放 所動員人力與組織之龐大，絕不亞於單純發放薪俸的規模。 在我國"
8,914,"多數意見此不無「大玩文字遊戲」之嫌！硬要將明全 是法定賦予的補助及福利項中，把「使用借貸關係」的福利 ？ （三） 眷戶與主管機關間具有 「職務義務 」性質之關係 由上開「辦法」中，亦可看出眷戶在享有由國防部單行 或不 得打麻將等，都列入眷舍管理的範圍。若有違反法令規定 。此外，眷"
9,671,"憑證與辦理眷村改建 ，則無庸 制定特別法 多數意見提到： 「眷舍配住為使用借貸性質之福利措施 （本院釋字第四五七號解釋意旨參照） ，其終止原不以配住 戶之同意為必要」 （解釋理由書第三段） ，若眷戶使用為私法 關係，豈非只需透過民法規定，即可完整規範整個眷村改建 的法律關係乎？立"
10,842,"係，非公權力之作用。原眷戶若有購買改建眷舍之權利，為 至於原眷戶所享有的權利，特別是原眷戶可以購買改建 戶之權利，上開最高行政法院「決議」認定，乃眷改條例所創設，而非眷戶憑證所創設，故眷戶憑證僅在證 。故上開 權利亦受信賴利益之保護，大法官在釋字第七一七號解釋所 創設。這種見解忽"
11,681,"查有無違反平等原則，是否已有「疏漏」的瑕疵？ 本席認為系爭規定，正是典型違反比例原則的案例，多 數意見豈可不加以論究，到底有無 「最小侵害」 的其他手段？ （一）審查平等原則亦需適用比例原則 本席並不反對多數意見一併就系爭規定是否違反平等 原則來予以審酌，畢竟許多聲請人同樣指摘系"
12,669,"區別待遇有無違反平等原則，也應探究手段有無過度激烈， 透過援引比例原則，採取嚴格之審查標準，而非如多數意見 般，只採取寬鬆審查標準，來檢驗立法手段有無與達到目的 間「具合理關聯」來論斷合憲性。 （二）對不同意改建者一律除權之規定 － －－典型的 「恣意」之 行為 系爭規定對於不同"
13,877,"服，以加速凝聚共識」 。上述立法考量的理由，不無草率與 。為何眷改條例隨時改變修正，而受其規範的原眷 戶，就必須迅速配合改建不可？ ２、若謂擔心改建工程的蹉跎，會增加成本。首先這是 設想問題，在現實生活中是否一定會增加太多成本，或是增 粗糙，例如： １、眷改條例並非「限時法」 ，"
14,666,"３、除了擔心日後改建會增加不必要的成本作為 「除權」 的理由外，多數意見尚舉出藉此「相互說服 ，以加速凝聚共 識」的合憲正當理由。本席對此說法，更是驚訝萬分！民主 ， 不僅居住於公有眷舍之住戶，甚至及於奉准在眷村範圍內， 。 上開規定，都已經與原眷戶的居住權、財產權、補助購 法治"
15,861,"宅權益結合在一起，即連上述的「要點」或「辦法」 ，也承 ，包括居住權利之註銷及眷舍倒塌、不 堪居住的「眷舍註銷」等 ，顯示眷戶權益與眷舍存在息 相關，甚至眷舍毀損後，其配住權仍繼續存在。 認其具有權利性質 ？故對不同意改建者，保留其如同其他贊 成改建者之居住權利外，亦可強制執行返"
16,860,"解，為不利之處分，依行政程序法第一０二條之規定： 「行 政機關作成限制或剝奪人民自由或權利之行政處分前，除已 ，應賦予人民能夠充分 表達意見來主張與維護權利之管道。 三、 違反民主原則 ： 系爭規定同時違反了民主原則。誠然法治國家也視民主 原則為基本原則之一，民主原則雖多半運用在"
17,762,"政府組織與運作之上，但亦非不能作為憲法保障人民基本權 系爭規定既然引進了全體住戶四分之三表決同意作為 利之依據，只是運用的機會較少而已。作為法治國家法律正 改建的門檻，已經明白採納民主精神「多數決」的體例，為 當性來源的檢驗原則，民主原則也可以在基本權領域，作為 何不能堅持到底，"
18,608,"機關辦理各項改（遷）建作業者，均屬本條所稱「不同意改 建之眷戶」，有違反法律保留原則之疑義。 上開規定以行政規則方式來詮釋系爭規定對於「不同意 改建之眷戶」的概念。顯然將系爭規定的「自始不同意改 建」 ，擴張到「自始同意改建，因嗣後產生的爭議不同意之 情形」 （凡阻撓拆除、妨礙工"
19,712,"多數意見這種檢討改進的宣告，是否理論體系一貫，從 ？ 本席在此願重申：系爭規定是否符合比例原則，是本號 而能促使主管機關與立法院從速糾正系爭規定之缺失？本 解釋的關鍵所在。多數意見一方面拒絕援引此原則檢驗系爭 席不敢樂觀以對！質言之：１、既然系爭規定獲得多數意見 規定之違憲性；另"
20,733,"獲得系爭規定違反比例原則、民主理念的明確論證。 再以軍人及其眷屬的立場來檢視，更應以「情、理、義」 角度來予以論究。國家與軍人關係，遠不同國家與一般人民 。 進入法治國家時代，這種軍人對國家單方面的忠誠義務 已經遞嬗為「雙方互負忠誠」的法律義務。質言之，過去視 之間，除法律關係外"
21,697,"達半世紀以上的歲月中，所居住的環境，不論是在空間大 小、衛生環境或公共設施的完善度上，是否達到社會一般住 。」 惟眷戶們要如何「調適」？眷舍狹小老舊，未經主管機 關之許可，不得修繕、改建與增建。違者視同違規而可能遭 居標準之上？或只處於「勉強棲息」的程度？亦即是否接近 到處分。即"
22,768,"幸而，如今國家已有較充沛的財力，可滿足原眷戶應享 有的適足生活環境（參見釋字第七０九號解釋） ，履行憲法 照顧軍人及其眷屬的義務，只要並未過度圖利原眷戶時（參 本號解釋的作成，本席對國家美意「功虧一簣」感到遺 憾！對於老舊眷村以及原眷戶，這些行將走入歷史的記憶以 見釋字第四八五號"
23,418,"及凋落的族群，國家為何不全面讓其享有 「苦盡甘來」 的 「遲 ？ 末了，老眷戶們，在你們必須被驅離原已破舊落敗的棲 所之際，除了懷有一連串過去生活「苦樂交集」的回憶外， 。」 來幸福」？國家若能力所及，卻吝而為之，是否有負軍人及 恐怕已身無長物。本席慨嘆力不足回天，只能默頌一段德"
