pdf_page,chars,preview
1,321,"法規範憲法審查聲請書 案 號 ： 年度 字第 號 1 聲請人 2 3 4 5 6 送達代收人： 陳惠敏（ 社團法人監所關 7 注小組 ） 8 9 10 1 為聲請法規範憲法審查事： 12 主要爭點 13 一 、 刑法第79條之1第5項 、 刑法施行法第7條之1第2 14 項 、 "
2,622,"I 5 (— ） 涉及之條文 1 系爭規定應受違憲宣告， 並自本判決宣示或公告之日 起失其效力。 5 事實上及法律上之陳述 6 — 、 聲請法規範憲法審查之目的 7 (一 ） 請求宣告刑法第79條之1 第 5 項 、 刑法施行法第7條之 1 第 2 8 項 、 刑法施行法地7條之"
3,725,"5 「 於中華民國八十六年 H * —月二十六日刑法修正公布後， 九十四年一 1 併計算其殘餘刑期與他刑應執行之期間。 但其原因事實行為終了或犯 2 罪結果之發生在八十六年刑法第七十七條修正施行後者， 不在此限。」 3 4 刑法施行法第7 之 2 條 ： 6 月七日刑法修正施行前"
4,896,"1 不得剝奪任何人之自由」 。 人身自由是身為人民最起碼、 最基本的權 2 利 ， 是參加各種社會活動及享受其他權利的先決條件。 我國釋字708 3 號解釋有謂「 人身自由係基本人權， 為人類一切自由、 權利之根本， 4 任何人不分國籍均應受保障， 此為現代法治國家共同之準則」 "
5,743,"1 受蕙法制度性保障（ 釋字第三六二號、第五二號、第五四號及第 2 六九六號解釋參照 ） 。家庭制度植基於人格自由， 具有繁衍、 教 育 、 3 經 濟 、 文化等多重功能， 乃提供個人於社會生活之必要支持， 並為社 4 會形成與發展之基礎」 。亦 即 ， 婚姻與家庭是一個人的人"
6,892,"1 a . 大法官解釋第471號解釋文謂：「 人民身體之自由應予保障， 蕙法 13 b . 大法官解釋第582號解釋文謂：「 組織犯罪防制條例第三條第三項： 2 第八條設有明文。限制人身自由之法律， 其 内 容須符合憲法第二十 3 三條所定要件。 保安處分係對受處分人將來之危險性"
7,780,"4 c . 大法官解釋第669號解釋文謂：「 槍砲彈藥刀械管制條例第八條第 16 d •大法官解釋第777號理由書謂：「 人民身體之自由應予保障， 蕙法 1 要與合理之裁量， 與蕙法第八條人民身體自由之保障及第二十三條 2 比例原則之意旨不相牴觸。」 3 5 一項規定…其中以未經"
8,849,"5 a . 鈞院釋字第641號解釋理由書：「 至於處以罰鍰之方式， 於符合責 24 b . 鈞院釋字第711號解釋理由書：「 惟藥師依法本得執行各種不同之 1 (2 ) 且 照 鈞 院 歷 來 解 釋 ， 如法令之法律效果過於單一而剝奪法院 2 或行政機關之裁量權， 造成個案顯然"
9,803,"1 c •鈞院釋字第754號解釋理由書：「 國家基於不同之租稅管制目的， 17 d _ 又鈞院釋字第790號理由書謂：「 人民身體之自由應予保障， 蕙法 1 區 ， 配合巡迴醫療工作及至安養機構提供藥事諮詢服務等活動， 由 2 執業之藥師前往支援， 並不違反前揭立法目的， 實無限"
10,804,"1 3 . 刑法第條第5 項造成前罪無期徒刑， 假釋期間因犯其他有期徒刑 2 遭撤銷假釋之當事人， 一律從頭起算25年殘刑， 造成過苛之刑罰 3 效 果 ， 違反比例原則 4 5 ( 1 ) 司法院大法官釋字第796號解釋， 宣告刑法第78條因違反比例 6 原則而違憲， 惟黃虹霞"
11,813,"1 〇 a . 按司法院大法官釋字第641號 、 669號 、 777、 790號等解釋可知， 14 b . 查民國88年 0 4 月 2 1 曰前舊刑法第77條規定：「 受徒刑之執 2 於執行15年後即可聲請假釋 （ StGB 57 a ) 、日本更僅須執行10年 1 由此知，"
12,930,"3 國際公約 〉 （I nternational Covenant on Civil and 4 Political Righ t s ， 下 稱 「 公政公約」 ） 之虞 6 a . 按公政公約第7 條明文：「 任何人不得施以酷刑， 或予以殘忍、 不 19 b . 查刑法第78"
13,978,"1 C . 復查人權事務委員會和各國法院已確認待死現象所包含之長期監禁 2 與惡劣的監所條件， 可能違反 I CPR 第 7 條禁止酷刑之要求。 Prat 3 and Morgan v. Jamaica (1993 ) 案 ， 英國樞密院認定監禁期間超過 4 五 年 ，即推定構成"
14,867,"i s 法官 ） 、 協同意見書（ 黃瑞明大法官 ） 、 協同部分不同意見書（ 許志 I 7 雄大法官 ） 、 不同意見書（ 黃虹霞大法官 ） 時 ， 卻可以窺見在本號解 1 量是否應執行受刑人「 全部」殘刑之必要， 否則， 現行第79條之 2 1 第5項有違憲法揭示之比例原則及"
