pdf_page,chars,preview
1,893,"同性婚姻合法問題鑑定報告書 鑑 定 人 ： 國立中興大學法律系教授李惠宗 巨 次 (三） 嚴格審查標準20 壹 、 問題之緣起 1 (四） 本案應採取何種審查標準 貳 、 民法是否容許同性婚姻 4 21 三 、 以平等原則作為違憲審查的 參 、 民法禁止同性婚姻， 是否違反憲 基"
2,1644,"壹 、 問題之緣起 同性戀是一種「 正 常 ， 但不通常」的現象1 ， 自古今中外皆已存 在 ， 此一現象往伴隨著「 同性行為」 。 在人類發展的歷史上， 同性戀行為， 聖經曾以道德上的「 罪惡」加以譴責2 3 。 在法律上，「 同性行為」曾被當做「 犯罪行為」而受處刑事 處 罰"
3,1811,"同性戀行為， 在大部分國家除罪化後， 仍被視為「 精神疾病」 7 ， 直 至 1990年聯合國世界衛生組織（ WHO ) 才 將 「 同性的性行為」 從精神疾病表中， 予以剔除8。 人類社會對於同性戀者的行為或狀態， 雖有誤解而加排斥的現 象 ， 但也有持樂於接受的態度， 但亦止"
4,1056,"決承認同性婚姻法12， 1 3 。 全世界第一個以公民投票通過同性伴侶婚姻 權的國家是愛爾蘭， 在 2015年 5 月14。 台灣的同志運動大約於1990年代開始發展。 一些同志團體及支 持 者 在 2012年聯署提 「 結合」 ， 亦應如異性戀者之結合一樣， 亦應稱為「 婚 姻"
5,1353,"旨？ （ 同性伴侶制度是否違憲 ) 貳 、 民法是否容許同性婚姻 民法親屬編有關「 婚姻」的規 定 ， 雖然沒有「 明文」限 於 「 一 男 」與 「 一女」的 結合， 是否仍然可以導出限於「 異性婚姻」 。 本 文 認 為 ， 儘管從文義解釋來看， 民法沒有直接規定，「 婚姻限"
6,966,"約第2 3 條第2 項文字上直接限制「 男女已達結婚年齡 … 」 ， 有結 婚自由權18， 較明顯有限制同性婚姻之意19。 此些國際規範， 儘管非直接規定「 一男一女結合」始得成立婚 姻 關 係 ， 但 從 「 體系解釋」及實務操作上， 並無不同。 亦 即 ， 同性 戀者無法直接"
7,1058,"參 、 民法禁止同性婚姻， 是否違反憲法第22條 同性戀者主張其基於真摯感情的結合， 應該獲 得 「 婚姻法」的 保 護 。 但兩個人的情投意合的結合是否可稱為「 婚姻」 ？經由婚姻 所形成的配偶地位， 究有何等重要， 應先辨明。 一、 有無婚姻關係的實益 一男一女基於民法婚姻編"
8,749,"探望權、 監護權等都會與以是否有婚姻關係為前提。 換 言 之 ， 婚姻不只是閨房內性行為的問題， 也不是情感結合的 問 題 ， 不 僅 是 「 隱私權」問 題 ， 除社交生活外， 尚牽涉到許多法律 制度的運作。 二 、 同性婚姻是否屬於憲法第22條保障範圍？ 從體系解釋來看， 我"
9,906,"戀 者 「 不正常」 ， 甚或其性行為有「 違反自然」 （ 類如濫交、 性氾 濫等）之 情 事 ， 但此類行為屬「 隱私範圍」 ， 不生強迫或妨害他人 (二 ) 婚姻的定義及性質一 婚姻制度作為一種制度或自由 婚姻不是單純的自由權， 而是一種制度。 婚姻是一種狀態， 不 盡然是保"
10,878,"二人必須基於自願27。 此一見解， 雖屬基於傳統文化習俗所建構， 也因此可以導出禁 止 「 同性婚姻」的結論。 2 . 功能論 另一種婚姻的圖像是， 婚姻是兩個人的結合，「 彼此有願意為 對方終生付出的一個生活共同體」 ， 此 稱 為 「 功能論」 ， 在此見解 下 ， 只 要 "
11,986,"在法律上， 配 偶 、 前配偶或姻親的關係， 會構成法律上迴避的 事 由 （ 行政程序法 § 3 2， 民事訴訟法 § 3 2、 刑事訴訟法 § 17等 ） ， 民 、 刑事訴訟程序， 有拒絕證言的制度、 有告訴乃論的告訴權等（ 例 如民事訴訟法 § 3 07、 刑事訴訟法 § "
12,944,"婚姻不全部都是美滿或令人感受幸福的， 婚姻可能是一副枷 鎖 ， 婚姻也可能製造一個地獄， 有人對婚姻趨之若騖， 有人避之惟 恐不及 3 2。 事實 上 ， 婚姻在社會上標示著一種「 社交關係」的成 果 ， 但既非保護， 也非幸福的門票。因為婚姻是否美滿， 另外繫乎配偶 間個人的諸"
13,914,"有些人生活在婚姻所製造的地獄中。「 二個人的世界」， 實現自我， 追求幸福， 性別不是問題， 性傾向也不是問題， 一個人的心與另一 方 是 否 「 契合」 ， 才是問題所在。 婚姻及可能延伸的家庭， 作為一個制度， 不只是為了「 讓兩個 相愛的人可以獲得法律上的承認」 而已。 故"
14,753,"才會有違憲的問題。 以一男一女結合作為婚姻的定義， 法律 「 邏輯上」即得導出「 同 性結合」不是婚姻的結論。 但此並不表示， 憲法上即禁止「 同性婚 姻 」或 「 同性伴侶」制度的成立。 憲法雖可能不禁止「 同性婚姻」 制 度 ， 但制定同性婚姻法制是否適當， 是否符合當代的需"
15,1091,"至於類似異性婚姻配偶關係的同性伴侶， 在其個別法領域所面 臨的問題， 不合情理， 但 「 合法」 的侵害 3 6， 或同性伴侶無法簽署「 手 術同意書」的憾事 3 7， 是否屬於國家應該「 建構制度保障」的問題？ 此涉及到憲法學理上，「 保護不足」是否違憲的問題。 本文認為， 國"
16,861,"位 ， 法制上卻完全付之闕如， 形成對於同性伴侶「 保護不足」的狀 態 ， 此 「 立法懈怠」有違憲之虞。 但縱然如此， 未給同性伴侶有婚 姻的權利， 尚未能導出有違憲之虞。 三、 小 結 綜言之， 同性婚姻不屬於憲法第22條保障範圍， 民法禁止同性 婚 姻 ， 即未給予同性戀者"
17,1286,"等原則。 (二 ) 立法事實 所謂「 立法事實」 係指作為法律規範存立基礎的當時社會情狀。 每一種法律都代表著當時代的民情反映。 嚴謹的立法過程， 應考慮 社會既存的事實及規範所擬達成的目標， 才能夠選定適當的立法。 若基於錯誤的「 立法事實」所形成的規範， 有可能造成社會各方面"
18,777,"現行民法拒絕同性婚姻的規定下， 權利或法律上利益受到必然的傷 害 。 吾人認為這種「 法制不備」的案型， 的確存在， 但其結論是「 制 定足以保護的法律」或 以 「 修改民法婚姻章」為唯一方法？ (三 ) 法規範效應 透過特定規範所產生的直接社會通常效應稱為「去規範效應」。 法規"
19,743,"性 勞 工 ， 反而對女性不利， 故違反男女平等原則。 此 一 「 婦女夜間工作禁止條款」規範上明文以「 性別」作為區 別 對 待 ， 因此所產生的「 規範直接效應」 ， 應該受到違憲審查， 理 由 是 ， 該效應就是規範的目標， 是實際規範效力的延伸。 (四 ) 事實效應 有些"
20,874,"換言之， 本號解釋認為已然形成「 事實上不平等」的社會實態， 亦得作為審查標的。 就此點而言， 本文亦贊同之。 理由是， 此 種 「 必 然事實效應」 ， 並帶有干預性， 應受嚴格標準（ 詳下述）的 審查， 沒有極為高度的公益事由， 該區別不具有合憲性。 2 . 純粹事實效應 至"
21,708,"二、 違憲審查標準 違憲審查的標準主要在探討， 司法機關進行違憲審查時， 應以 何種態度進行。目前實務的操作上， 以美國最高法院所採用的「 三 重標準說」最為通用46， 本文採之， 此三種標準為寬鬆審查、中度審 查及嚴格審查標準47。 (一）寬鬆審查標準主要係以審查特定法律內容之"
22,875,"(四 ) 本案應採取何種審查標準 至於何種事項應以何種標準進行審查， 基本上是實務操作的結 果 ， 經驗上雖有跡可循， 但法院操作的過程， 不盡一貫。 大致而言， 如果涉及憲法高度價值的問題， 例如男女平等、 種族平等之類的問 本文認為， 民法婚姻章規定並未直接以男或女之性別作為"
23,763,"家要採取措施， 積極促進實質平等的實現。司法院大法官持續一貫 的見解即為：「 憲法第七條揭示之平等原則非指絕對、 機械之形式 上平等，而係保障人民在法律上地位之實質平等。」 （ 釋 647等 ） 實質平等即包含兩個面向。 1. 消極禁止歧視 釋字第666號解釋理由書論及： 此種論"
24,725,"(二 ) 平等原則判斷的程序 1. 問題的確認 平等原則的問題來自於基於法律刻意的差別對待， 可以說： 「 無 差 別 ， 不生平等問題。」產生爭議的問題， 首先需要判斷：「 法律 依何種要素而差別對待」？ 民法婚姻章並未規定以男或女之性別作為差別對待的基準， 故 同性戀者與異性"
25,834,"信賴保護原則（ 釋 525、 釋 529、 釋 589、 釋 717 ) 等 。 若法律沒有規定以特定要素作為區別， 但施行的結果卻產生以 該要素差別的不利益效果， 是否可以該結果作為審查基準， 的確有 商榷的空間。 舉釋字第490號解釋【 耶和華證人拒服兵役案】為 例 ， 該解"
26,729,"4 . 判斷程序 一項法律或行政處分是否合乎平等， 其問題重心在於如何判斷 「 何種事情相同， 何種事情不相同」 。 判斷一個制度是否違反平等原則， 須先檢證該有所差別待遇的 制度目的何在。 本案所涉及的制度， 除 了 「 婚姻制度」以 外 ， 本文 認為亦應考慮「 家庭制度」。"
27,719,"有恣意區別的問題。 因 為 「 同性戀者無法經由通常途徑生育下一代」 的 要 素 ， 足以導致其在「 婚姻及家庭制度」上可以被差別對待。 雖 然 ， 學術上缺乏證據足以認定同性婚姻後所組成的家庭， 對小孩或 青少年形成較不利的效果54， 但相對地， 也無法證明， 在同性家庭成 長"
