pdf_page,chars,preview
1,397,"臺灣雲林地方法院解釋憲法聲請書 壹 、 聲請憲法解釋之目的 一 、 按憲法之效力既高於法律， 法官有優先遵守之義務。 法官於審理案件時， 對於應適用之法律， 依其合理之 確 信 ， 認有牴觸憲法之疑義者， 得以之為先決問題， 裁定停止訴訟程序， 並提出客觀上形成確信法律為違 憲之"
2,534,"訴人葉〇〇之配偶（ 兩人於民國100年 11月 9 日結婚， 於 104年 12月 1 日經本院判決離婚確定）， 而廣〇〇亦明知被 告 係 有配偶之人， 詎被告、 麖 ◦ 竟基於通姦、 相姦之犯 意 ， 於 104年 3 、 4 月間， 在雲林縣崙背鄉之「 〇〇〇汽車 旅館」 内"
3,528,"進公共利益所必要者外， 不得以法律限制之。 此為憲法第 22條 、 第 23條明文所定。而性行為自由與個人之人格有不 可分離之關 係 ， 人民得自主決定是否及與何人發生性行為 （ 大法官釋字第554號參照） ； 隱私權雖非憲法明文列舉之 權 利 ， 惟基於人性尊嚴與個人主體性之維"
4,505,"所必要， 固然具有其時代之瞻。 然社會透過歷史事件的堆 疊思辯與對話， 人民對於社會組成與人際關 係 的通念變遷 無曰稍停，「 婚姻與家庭制度」作為一種社會秩序或公共 利 益 ， 其 内 涵難謂恆久不變。 前開解釋做成距今已逾14年 ， 若重新檢視憲法保障「 婚姻與家庭」之制度與"
5,510,"發展之生活共同體。因婚姻而生之此種永久結合關 係 ， 不 僅使夫妻在精神上、 物質上互相扶持依存， 並延伸為家庭 與社會之基礎（ 大法官釋字第554號解釋理由書參照）。 婚 姻與家庭做為一種人格自由， 其意義乃是個人能自主選擇 婚姻是否結成與結婚對象， 透過與配偶結婚的身分， 在"
6,600,"權之規範效力、 協助個人實現自由為其主要目的2。而我國 憲法所保障的婚姻與家庭自由， 作為一種制度性保障的 内 涵究竟為何， 仍應該檢視國家可能透過設置法律與制度提 供何種私權的保障， 以及如何協助個人實現自由。 大法官釋字第554號解釋中固然提到「 婚姻制度植基 於人格自由， "
7,614,"不可能由國家積極提供， 若 將 「 國家確保婚姻制度之美滿 」甚 至 「 國家確保婚姻之美滿」誤認為婚姻與家庭制度性 保障 内 涵， 顯然逾越了制度性保障的功能。質言之，「 維 持婚姻美滿」是多數人對於私領域家庭生活的一種期待， 與制度性保障 係 在確保國家有義務使人民權利得以實"
8,1340,"家庭生活之保 障」 ： 「 人均有受他人尊重其私人與家庭 生活、 其家庭及其通訊之權。」第 2 項更明確揭示公權力 不應介入此一私人家庭生活* 5。同公約第12條另規定「 組織 家庭之權利」 ：「 達到結婚年齡之男女，皆有權依照規範 此等權利行使之各國法律， 成立婚姻關 係 及建"
9,446,"至於婚姻家庭的經營， 反而是國家不得侵犯的隱私權範圍 三 、系爭法律目的並非出於制度性保障 綜觀婚姻與家庭的制度性保障 内 涵， 乃源自於婚姻必須 藉由法律制度實現， 人民渴望並主動追求婚姻與家庭關 係 之 際 ， 國家必需設立制度使人民能自由透過法律進入婚姻 大法官釋字第554"
10,509,"( Paternalism ) 8思維， 置於今日人民權利意識已逐漸健全的 社會背景下， 顯與一般人民認知關於婚姻家庭關 係 之經營 純屬感情私領域事務， 國家不得加以干預教示之觀念存有 差池。 前開第554號解釋首段謂「 國家為確保婚姻制度之 存續與圓滿，自得制定相關規範， 約"
11,522,"婚姻與家庭自由的基本權 内 涵乃是保障個人結婚與追 求家庭生活的機會， 欲實現此一權利， 本質上必然 牵 連到 配偶的婚姻與家庭自由、 性自主權、 隱私權等人格權。 然 而基本權利保護每個人的人格發展自由不受侵擾， 可否將 限制或剝奪他人格自由列為基本權的權利 内 涵？實有疑 問"
12,573,"婚姻向不確定的將來繼續發生的進程中， 配偶雙方究竟相 親相愛、白頭偕老， 或日久生倦、同床異夢， 如 何 「 免於 婚姻破綻」乃是雙方配偶必須調和彼此相異人格， 尋求共 同生活可能性的難題。 法律與制度提供進入婚姻的機會， 個人則須自行承擔感情生變、 配偶不忠貞的風險， 此為親 "
13,502,"自由選擇進入婚姻， 以及在私領域與配偶經營婚姻的權利 ， 尚不及於「 免於配偶與他人通姦」 。 (二） 通姦配偶之他方配偶沒有「 免於他人與配偶相姦」的 憲法上基本權利 對於非婚姻關 係 中的第三者而言， 其與有配偶之人性 交 ， 固然可能使他方配偶精神痛苦， 然而此際他方配偶被"
14,522,"障婚姻美滿之義務， 或國家保護已婚者免於他方配偶婚外 性行為之基本權利。 若謂刑法第239條是為保護善良風俗 ， 則法益更加模糊不可辨認， 姑不論性行為通常私密不為 人知， 縱婚外性行為因故被他人知悉， 仍不改其純然屬私 領域活動之本質， 至多成為好事者茶餘飯後閒話題材， 實 難"
15,392,"選擇婚姻與走入家庭乃是國家保障人民的基本權利， 然而經營婚姻與親密關 係 ， 則是配偶雙方的責任， 也僅具 有私領域的性質。 遭受配偶負心背叛、 欺 瞒 出軌， 是親密 關 係 中潛在的風險， 相對地， 享有互信互愛， 忠貞不输的 婚 姻 ， 則是親密關 係 中被讚揚追尋的美好可"
16,21,"中 華 民 國 一 0 六年五月二十二曰"
