pdf_page,chars,preview
1,595,"郭○娥釋憲聲請書 一、聲請解釋之目的 財政部臺灣省北區國稅局，認事用法違誤，使人民 應有之合法權益受損害，雖循法律程序尋求救濟始終未 果，爰請解釋認定所得稅法第 17 條第 1 項第 1 第 4 目規範之其他親屬之要件「未滿 20 歲或滿 60 歲以上無謀生能力」之規定違反憲法，"
2,592,"國稅局汐止稽徵所之各承辦人及其主管協商後， 原處分機關同意撤銷調整申報。基於信賴保護原 則下，信賴行政公務機關之審核及諮詢結果而為 相同申報方式，其後北區國稅局以聲請人扶養其 兄嫂未符資格及前述 91 年度之復查決定係個 案認定，並無以後年度適用之，否准認列扣除， 聲請人以違反信"
3,616,"務 ， 依民法之規定 ， 負有扶養義務之人有數人時 ， 其履行義務之人有先後順序，由後順序者履行扶 養義務時，應有正當理由及先順序者無法履行扶 養義務之合理說明，亦即申報本項免稅額之聲請 人。 （四）再則，而非始於其位階在中央法規標準法中定位 在 各種法律之下，因此既不能違背母法"
4,571,"家者，謂以永久共同生活為目的而同居之親屬團 體。質言之，聲請人扶養兄嫂之義務，於法亦無 不合，原判決擅 自否定扶養兄嫂之事實，於情不 合，於法無據。 （二）稅務機關向來主張依法行政，行政法院原判決亦 聲明本行政訴訟應優先適用所得稅法律，母法旨 在確受聲請人扶養事實，即可列報減除扶"
5,604,"或與其合併申報納稅之配偶或扶養親 障礙者，應准予列報身心障礙特別扣除額，其金 額所得稅法定之。臺灣省北區國稅局以聲請人不 符所得稅法第 17 條第 1 4 扶養其他親屬之要件「未滿 20 歲或滿 60 歲以 上無謀生能力」 ， 剔除免稅額及殘障特別扣除額 。 聲請人之兄嫂領有身心"
6,488,"釋不合 ， 盼宜解釋認定其無效 ， 以保障人民權益 。 四、關係文件之名稱及件數原裁定書（最高行政法院 98 年 度裁字第 2681 號裁定）影本一份。 附件： 一、原判決書 （臺北高等行政法院 98 年度簡字第 215 決）影本一份。 二 、 訴願決定書 （案號 ： 第 098"
7,563,"原 告 郭○娥 被 告 財政部臺灣省北區國稅局 代 表 人 陳文宗（局長） 送達代收人 黃麗鈴 上列當事人間因綜合所得稅事件，原告不服財政部中華民國 98 09800006550 第 09813000700 號訴願決定 （案 號：第 09813000710 訴願決定（案號：第 0"
8,685,"扶養其他親屬羅○滿免稅額 77,000 元及殘障特別扣 除額 77,000 元，經被告初查以不符合受扶養規定予以 剔除，核定 92 、 94 至 96 年度綜合所得總額 元、 802,280 元、 837,427 元、 846,692 元，綜合所得 淨額 494,733 374,"
9,642,"（二）原告申報依據均與 91 年度核准函中所揭相同 （附上被告北區國稅法二字第 4240 查決定書） ，原告申報 91 年度個人綜合所得稅 前詢問過國稅局服務中心，是否可列報扶養其他 親屬，被告答覆以共同居住（生活）為目的者可 認列。原告於填寫 91 年度個人綜合所得申報書 填報"
10,573,"寄發之核定通知書，其剔除原告 92 、 94 、 95 、 96 年免稅額及殘障特別扣除額之原因與 91 年度 相同，並提及 91 年度之復查決定係個案認定， 以後年度並不適用之。原告不服原調整金額，於 97 年 8 28 日向被告申請復查，並向財政部 提出訴願，但均遭駁回。被告"
