pdf_page,chars,preview
1,477,"正 本 解釋蕙法聲請書 聲 請 人 ： 蘇斌文 代 理 人 ： 林石猛律師 邱基峻律師 張宗琦律師 為聲請人受最高行政法院102年度裁字第44號裁定（ 附件二） ， 適用國軍老舊眷村改建條例第22條第1項規定， 不法侵害聲 請人財產權， 依法提出聲請事： 壹 、 聲請釋憲之目的 "
2,751,"、 聲請人蘇斌文為臺南市精忠三村眷村之原眷戶， 國防部於93 年 12月 1 7 日依眷改條例及其施行細則等規定， 舉辦該眷村 遷購大道新城國宅基地說明會， 說明如原眷戶及違占建戶同 意遷購， 應於說明會後3 個月 内 ， 填具臺南市新制國軍老舊 眷村遷購大道新城國宅基地申請書，"
3,663,"發回臺北高等行政法院更為判決， 經該院以100年度訴更一 字 第 161號判決（ 附件四）駁回， 聲請人復行上訴後， 由最 高法院以102年度裁字第44號裁定 驳 回聲請人上訴， 全案確 定 。 聲請人認為最高行政法院本件裁定所適用之眷改條例第 22條第1項規定有違憲疑義， 爰聲"
4,708,"， 應享有冤獄賠償請求權之人民， 未具正當理由而為差別待遇， 若仍令依軍事審判法令受理案件遭受上開冤獄之受害人， 不能依 冤獄賠償法行使賠償請求權， 足以延續該等人民在法律上之不平 等 ，自與憲法第七條之本旨有所牴觸。 」之意旨可參。 又採行差 別待遇之手段必須能有效達成目的， "
5,710,"的村落或社區文化， 並已然成為臺灣重要之歷史文化、 社會資產 及觀光資源。 雖然如是， 由於臺灣的政治、 社會與經濟環境在解 嚴後之十數年間急速變化， 經國防部提案立法院制定通過、 總統 於民國85年 2 月 ’ 5 日公布之眷改條例， 第 1條立法目的強調其 進行老舊眷村之改建"
6,797,"依眷改條例第22條 第 1 項規定， 該法主管機關即國防部對不 同意改建之原眷戶， 得作成註銷原眷戶眷舍居住憑證及原眷戶權 益之行政處分。 又所謂「 不同意改建」之原眷戶， 依 據 「 辦理國 軍老舊眷村改建注意事項」（ 下稱改建注意事項）第 5 點第2 款 規 定 ， 係 指 "
7,736,"以改建注意事項行政規則， 定義為「 不同意改建」原眷戶而作成 註銷行政處分， 並不予任何權益、 補償。 其所採行之手段與目的 間之關聯何在？未辦理改建認證之原眷戶， 尤其同意改建但不同 意主管機關恣意添具改建條件之原眷戶， 何以不能獲得任何補償 或協助？ 均無從得知。 足見眷改條"
8,767,"尚屬新穎無改建必要、 希望保留眷村文化（ 眷改條例第1條立法 目的參照） 、 認為主管機關片面、 恣意加入之改（ 遷）建條件違 法或不適當等原因， 而未辦理改建認證之原眷戶， 即便沒有實際 不配合， 甚或積極阻撓所屬眷村改（ 遷）建工程之行為， 依然直 接面臨主管機關依據眷改條例"
9,732,"難謂眷改條例第22條已經充分考量憲法第7 條所定平等原則之 要 求 ， 亟待大院作成該條文違反憲法財產權及平等保障之解釋 再依眷改條例第23條規定及本件遷購案說明書第捌點， 未具 合法原眷戶資格而屬「 違占建戶」者 ， 得由國防部洽請台南市政 府 「 比照原眷戶售價標準提供住宅全"
10,676,"， 益顯輕重失衡， 可見眷改條例之設計自始存有違反憲法平等原 則及比例原則之情形。 (四）由眷改條例賦予原眷戶之自主決定權以觀， 眷改條例第 22條第1 * 之 規 定 ， 造成不同眷村中同屬不同意改建 原 眷 戶 ， 在所屬眷村經改建認證程序通過確定改建， 與經同樣程序確定不辦"
