pdf_page,chars,preview
1,389,"司法院釋字第七司法院釋字第七司法院釋字第七司法院釋字第七二七號解釋抄本號解釋抄本號解釋抄本號解釋抄本 司法院公布令……………………………………………………… 1 解釋文及解釋理由書……………………………………………… 1 湯大法官德宗提出之部分協同意見書…………………………… 5"
2,96,"陳文雄釋憲聲請書、補充理由書及確定終局判決…………… 135 黃克正等二十一人釋憲聲請書、補充理由書及確定終局判決……… 180 臺北高等行政法院第五庭釋憲聲請書………………………… 238"
3,512,"司法院 令 發文日期：中 華 民 國 1 0 4 年 2 月 6 日 發文字號：院台大二字第 1040004051 號 公布本院大法官議決釋字第七二七號解釋 附釋字第七二七號解釋 院長 賴 浩 敏 司法院釋字第七二七號解釋 解 釋 文 中華民國八十五年二月五日制定公布之國軍老舊眷"
4,614,"同意改建之原眷戶竟付之闕如；又對於因無力負擔自備款 而拒絕改建之極少數原眷戶，應為如何之特別處理，亦未 有規定。足徵眷改條例尚未充分考慮不同意改建所涉各種 情事，有關法益之權衡並未臻於妥適，相關機關應儘速通 盤檢討改進。 解釋理由書 憲法第七條平等原則並非指絕對、機械之形式上平 "
5,642,"住憑證及原眷戶權益，收回該房地，並得移送管轄之地方 法院裁定後強制執行。」 （九十六年一月三日修正公布將四 分之三修正為三分之二，並改列為第一項；下稱系爭規 定）對於不同意改建之原眷戶得逕行註銷其眷舍居住憑證 及原眷戶權益，而不能如同意改建之原眷戶享有依眷改條 例第五條第一項前段"
6,587,"及拆遷補償費；況按期搬遷之違占建戶依眷改條例第二十 三條規定，尚得領取拆遷補償費，不同意改建之原眷戶竟 付之闕如；又對於因無力負擔自備款而拒絕改建之極少數 原眷戶，應為如何之特別處理，亦未有規定。足徵眷改條 例尚未充分考慮不同意改建所涉各種情事，有關法益之權 衡並未臻於妥適，相關"
7,388,"附表 編 聲請人 原因事件或確定終局判決 號 一 臺北高等行政法院第五庭 臺北高等行政法院一００ 臺北高等行政法院一０二 王泰祥、崔台順、張湖光素、 三 陳文雄 臺北高等行政法院一００ 大法官會議主席 大法官 賴浩敏 大法官 蘇永欽 林錫堯 池啟明 李震山 蔡清遊 黃茂榮 陳 敏"
8,767,"如同意遷購，應於說明會後三個月內，填具申請書，經法院或民 （註一） 領取 補助購宅款後搬遷之選項，並由前海軍後勤司令部（業於九十五 （註二） 通知聲請人於九十四年八月底前 至法院或民間公證人認證後送該部憑辦，再由前海軍後勤司令部 （註三） 聲請人之「眷舍居住憑證」及「原眷戶權益」"
9,728,"成公行政任務 ，以私法形式所為之 行為，亦應遵循平等原則 ； 系爭規定以是否同意改建為基礎，對不同意改建之原眷戶得逕行 （註五） 亦然。因第七條位列 憲法第二章（人民之權利義務）之首，以「平等權」概括 註銷其眷舍居住憑證及原眷戶權益，固形成其與同意改建之原眷 （註六） 準此，當人"
10,706,"國家為照顧軍人與榮民所為之「特殊優惠措施 ，與一般國 民所取得之權利或法律上利益有間 」 （註八） ，遑論為憲法所保 障之權利 。 （註九） 「配住眷舍」既非憲法所保障之基本權 （註 十） ，本件聲請人自不得主張憲法上之「平等權」 。 惟，解釋理由書第一段並援引本院釋字第四五七號"
11,618,"宣告退輔會房舍土地處理要點第四點第三項有違男女平等 1. 釋字第四五七號解釋時本院尚未確立平等原則 ／ ／／平等權之 審查架構 本號解釋理由書第一段即開宗明義，揭示審查原 則： 「憲法第七條平等原則並非指絕對、機械之形式上平 原則？兩者論證有無矛盾？此處涉及本院關於「平等原 等，"
12,692,"對人民保護照顧之需求及國家財政狀況等因素，制定法 律，將福利資源為限定性之分配（本院釋字第四八五號解 釋參照） ，倘該給付規定所以為差別待遇之目的係屬正 當，且所採手段與目的之 達成間具合理關聯 ，即與平等 原則無違 」 ）及解釋理由書第三段之論證歸結（ 「是系爭 規定所為差別待"
13,712,"聲請人乃無從主張憲法上之「平等權」 ，而須改依「平等 原則」為審查，已如前述。是就「系爭權利之性質（重要 性） 」而言，本號解釋與釋字第四五七號解釋並無不同， 則兩者審查結論之差異，當是兩案所涉「差別待遇之分 類基礎 」不同所致。 釋字第四五七號解釋所涉之差別待遇乃以「性別」 作"
14,712,"案之審查基準。惟由其以「主管機關若出於照顧遺眷之特 別目的，使其繼續使用、耕作原分配房舍暨土地，則應 考量眷屬之範圍應否及於子女 ，並衡酌其謀生 、耕作能 力，是否確有繼續輔導之必要 ，使具相同法律上身分地 位者，得享同等照顧，依男女平等原則，妥為規劃」為 由，宣告系爭退輔會房舍"
15,616,"準，尚無系統之論述，其後續發展值得密切關注 。 三、檢討改進之諭知應 如何理解 ？ 本件於認定系爭規定與憲法第七條之平等原則尚無牴 觸後，解釋理由書第四段進一步例示了三項眷改條例中法 益權衡未臻妥當的情形，諭知相關機關應儘速通盤檢討改 進： (1) 同意改建之原眷戶除有依眷改條例"
16,650,"至於第三項例示，其思考方向則有不同，亦為抽象違 憲審查制度之侷限。蓋抽象法規審查既不以具體個案爭議 註一：參見國軍老舊眷村改建條例（八十五年二月五日制定公布）第二 十一條及該條例施行細則（八十九年三月二十四日修正發布）第 為解釋法規有無牴觸憲法意旨之前提，釋憲機關僅能就法 十九條"
17,746,"號民事判例（因任職關係獲准配住宿舍，其性質為使用借貸，目 的在使任職者安心盡其職責……） ，最高行政法院一０二年十月份 第二次庭長法官聯席會議決議（所稱「原眷戶」……係指領有主 管機關或其所屬權責機關核發之國軍眷舍居住憑證或公文書之國 軍老舊眷村住戶。其資格之取得，實由於主管機關"
18,815,"律視為營產列管，嚴禁出租或轉讓圖利」 ；同辦法五十七年五月二 十七日修正發布第九十二條規定： 「房舍歸房主所有，但建地不准 出賣及作租押處分，將來國軍營地變更用途處理時，應配合實 施，不得異議」 ；同辦法六十二年八月十四日修正發布第六十七條 及六十七年九月九日修正發布第一百五十四"
