pdf_page,chars,preview
1,395,"二 . 需進一步檢討的問題 . 1 3 司法院會台字第12 6 4號聲請解釋案鑑定意見書 國 立 中 正 大 學 法 律 學 系 副 教 授 黃 士 軒 目次 壹 . 本件在刑法學上的主要問題概觀 . 2 ~ ■ . 總說 . 2 二 . 各聲請書的主要理由概觀 . 3 三 本 "
2,1932,"壹 . 本件在刑法學上的主要問題概觀 一 . 總說 本 鑑 定 意 見 是 就 司 法 院 會 台 字 第 12 6 4 號 聲 請 解 釋 案 件 （ 以 下 簡 稱 本 件 ）所 提 出 的 法 律 意 見 。 如 後 所 述 ， 因 為 如 就 本 件 聲 請 人 等 所 "
3,2114,"二 . 各聲請書的主要理由概觀 本 件 的 聲 請 書 ，以 台 灣 苗 栗 地 方 法 院 陳 文 貴 法 官 所 提 之 聲 請 書 為 首 ， 總 共 有 1 6 份 2 ， 扣 除 內 容 有 相 當 程 度 重 疊 的 聲 請 書 ， 在 此 先 簡 要 地 將 鑑 定"
4,1981,"(7 ) 現 行 通 姦 罪 規 定 僅 處 罰 異 性 間 的 性 器 接 觸 接 合 即 姦 淫 行 為 ， 不處罰同 性 間 的 肛 交 、口 交 ， 特 別 是 考 慮 到 釋 字 7 48 號 解 釋 施 行 法 已 經 成 為 實 定 法 的 我 國 社 會 現 況 "
5,2106,"( 1 4 ) 從 通 姦 罪 實 際 適 用 的 狀 況 來 看 ， 實 際 上 是 女 性 反 而 受 到 的 追 訴 較 男 性 多 17。 ( 1 5) 通 姦 罪 及 其 告 訴 要 件 依 照 刑 事 訴 訟 法 第 2 3 9 條 但 書 在 刑 事 程 序 中 的"
6,2375,"能 的 刑 罰 條 款 。 這 種 無 法 發 揮 功 能 達 到 目 的 刑 罰 手 段 ， 其 存 在 的 正 當 性 自 然 將 受 到 質 疑 。 其 次 ， 倘 若 如 上 述 聲 請 理 由 （ 7 ) 考 慮 的 是 目 前 我 國 的 婚 姻 或 法 律 上 的 "
7,2171,"第 一 ， 上 述 的 第 一 部 分 的 面 向 主 要 是 對 通 姦 罪 保 護 法 益 內 涵 的 疑 問 ， 對 應的 是 爭 點 題 綱 的 「 一 、」部 分 的 1 . 的 問 題 。而 因 為 司 法 院 釋 字 第 5 4 號 解 釋 中 對 此 部 分 已 "
8,2131,"則 」第 1 7 章 「 妨 害 婚 姻 及 家 庭 罪 」 2 4 之 中 。 倘 若 如 此 ， 若 考 慮 到 ① 同 章 之 設 置 本 身 即 蘊 含 對 婚 姻 與 家 庭 加 以 保 障 之 意 2 5 ; ② 通 姦 罪 既 然 也 處 於 「 妨 害 婚 姻 及"
9,2441,"一 般 預 防 效 果 缺 乏 實 證 觀 之 ， 刑 罰 作 為 一 般 預 防 通 姦 罪 的 手 段 值 得 懷 疑 2 6 。關於 此 部 分 的 聲 請 理 由 ， 本 鑑 定 意 見 認 為 應 非 通 姦 罪 的 本 質 問 題 。 理 由 在 於 ， 以 刑 罰 "
10,2497,"其 次 ， 倘 若 此 處 聲 請 理 由 的 重 點 是 在 範 圍 過 小 的 有 期 徒 刑 不 足 以 應 付 有 多 樣 化 背 景 的 通 姦 行 為 ， 則 可 能 的 疑 問 是 ， 倘 若 依 照 本 件 聲 請 人 之 一 在 聲 請 書 中 提 及 罪 （ "
11,2342,"的 法 院 實 務 經 驗 ， 事 實 上 通 姦 罪 的 處 罰 也 經 常 可 能 易 科 罰 金 3 0，且 依 照 我 國 刑 法 的 規 定 ， 通 姦 罪 法 定 刑 範 圍 合 乎 刑 法 第 7 4 條 第 1 項 之 規 定 ，因 此 當 其 他 緩 刑 要 件"
