pdf_page,chars,preview
1,603,"釋字第六九四號解釋部分協同、部分不同意見書 大法官 羅昌發 所得稅法第十七條第一項第一款第四目規定，於計算個 人綜合所得淨額時，得由個人綜合所得總額減除「納稅義務 人其他親屬或家屬，合於民法第一千一百十四條第四款及第 一千一百二十三條第三項之規定，未滿二十歲或滿六十歲以 上無謀生"
2,827,"般係指人性的維護 、 人格主體的維持 、 對於人之主體 性的肯認與基本尊重 。 尊嚴的保護 ， 已成為普世價值 及重要的人權內涵 。 聯合國憲章（ Charter of the United Nations ）、世界人權宣言（ Universal Declaration of H"
3,865,"嚴及其平等的和不移的權利的承認 ， 乃是世界自由、 正義與和平的基礎 ， 確認這些權利是源於人身的固有 尊嚴」。 （二） 對弱勢者而言 ， 其尊嚴更應細心呵護 ， 避免有對其作 為社會積極成員之主體性 ， 產生不尊重的情形 。 西元 二００八年五月生效之「殘疾人權利公約」 （ C"
4,710,"（三） 我國已透過「公民與政治權利國際公約及經濟社會文 化權利國際公約施行法」， 施行該二公約 ； 並透過「消 除對婦女一切形式歧視公約施行法」，施行該公約。 雖該二施行法在我國內屬於法律位階 ， 然在我國法 2 （四） 憲法雖僅於增修條文第十條第六項規定「國家應維護 婦女之人格"
5,1297,"內之任何理由侵犯之 ， 亦不容國家機關以任何方式予 以侵害···。」 釋字第六０三號解釋亦謂：「維護人性 尊嚴與尊重人格自由發展 ， 乃自由民主憲政秩序之核 心價值 。 隱私權雖非憲法明文列舉之權利 ， 惟基於人 3 3 大法官解釋文或解釋理由提及「尊嚴」的 其他前例不少。例如釋"
6,741,"（五） 按人性尊嚴可與人民其他基本權利連結 ， 而作為其他 基本權利存在之目的 ， 或作為其他基本權利之核心內 涵 ， 或做為強化其他基本權利之法理基礎 （例如釋字 第五六七號解釋所處理之思想自由與言論自由作為 人性尊嚴保障之一環 ； 釋字第六０三號解釋以人性尊 嚴出發而承認隱私"
7,706,"力 ， 確係受納稅義務人扶養者」 作為減除免稅額之要 件 ， 而排除納稅義務人扶養滿二十歲 、 未滿六十歲而 無謀生能力 ， 且合於民法前揭規定之其他親屬或家屬 者 ， 減除免稅額 。 其直接受差別待遇者固為扶養滿二 十歲且未滿六十歲而無謀生能力之納稅義務人 ， 間接 受經濟上或"
8,656,"疾人」包括肢體 、 精神 、 智力或感官有長期損傷之人 。 而所得稅法所規定 「無謀生能力」 之要件，實務上係 依前述財政部函所指「符合下列條件之一者：（一） 領有身心障礙手冊或殘障手冊者。（二）身體傷殘、 精神障礙 、 智能不足 、 重大疾病就醫療養或尚未康復 無法工作或須長期"
9,636,"時，失其效力。然本號解釋理由並未說明給予緩衝期以 及緩衝期定為一年之理由。 二、 本院以往解釋中，對於違憲條文宣示失效期限者，常附 有理由。例如釋字第六四九號解釋理由書提及「···此 等措施均須縝密之規劃與執行 ， 故系爭規定應自本解釋 公布之日起至遲於屆滿三年時失其效力。」 釋"
10,607,"緩衝期之正當理由。 （一） 有關「為何給予緩衝期」的理由及本件不符合給予緩 衝期正當性之原因：本院宣告違憲之法律或命令，既 然已經違背憲法，並侵害人民基本權利，自應以使其 立即失效為原則。我國釋憲實務上，對於違憲法令給 予相關機關調整之緩衝期雖屬常見，然基於違憲條文 繼續存在有效"
11,128,"之規劃與立法所需之時間。此等考量應屬合理。除此 等考量因素外，本席認為，違憲之規定所侵害人民基 本權利之嚴重程度，亦應納入考量範圍。如人民權利 遭侵害之情形嚴重程度較高，自宜儘量縮短此種緩衝 期。本號解釋對於給予一年之緩衝期並未說明理由， 自有缺憾。 1"
