pdf_page,chars,preview
1,782,"1 中華民國 87 年 6 月 12 日 院台大二字第 13102 號 解 釋 文 中華民國人民，無分男女，在法律上一律平等；國家應促進兩 性地位之實質平等，憲法第七條暨憲法增修條文第十條第六項定有 明文。國家機關為達成公行政任務，以私法形式所為之行為，亦應 遵循上開憲法之規定。"
2,767,"2 客觀環境之需要，安置國軍退除役官兵，照顧此等有眷榮民之生活 ，經由行政院國軍退除役官兵輔導委員會將所經營之國有農場耕地 配予榮民耕種，乃對榮民所採之特殊優惠措施，與一般國民所取得 之權利或法律上利益有間。受配耕榮民與國家之間，係成立使用借 貸之法律關係。使用借貸為無償契約 ，"
3,781,"3 第七六五號民事確定判決，其適用違憲法規之結果，違反憲法第七 條、第十五條及憲法增修條文第九條第五項之規定 ，侵害聲請人受 憲法保障之平等權、工作權及財產權。茲依司法院大法官審理案件 法第五條第一項第二款規定聲請 貴院大法官解釋行政院國軍退除 役官兵輔導委員會於六十九年七月十一"
4,783,"4 婚，於七十七年一月二十三日為國軍退除役官兵輔導委 員會屏東農場（以下簡稱為屏東農場 ）場員藍 善收養 為養女，從養父姓，改名藍 碧。在聲請人尚未正式被 收養前即奉養其先父多年並共同耕作座落於屏東縣內 埔鄉 段 、 、 地號三筆土地 ，經營 花園 。詎 聲請人之先父於八十年九月"
5,786,"5 ，此為憲法第一百七十二條所明定。按憲法第七條之規 定「中華民國人民 ，無 分男女、宗教 、種族、階級、黨 派，在法律上一律平等」，憲法增修條文第九條第五項 並進而規定「國家應維護婦女之人格尊嚴，保障婦女之 人身安全、消除性別歧視 ，促 進兩性地位之實質平等 」 ，明示應消除性"
6,749,"6 條第五項復強調「國家應維護婦女之人格尊嚴，保障婦 女之人身安全，消除性別歧視 ，促進兩性地位之實質平 等」，更是憲法積極的對兩性平等所為之重大宣示。而 今由於上開「房舍土地處理要點」第四點第三項適用之 結果，致使聲請人受憲法保障之平等權 、工作權及財產 權受到損害及剝奪，聲請"
7,788,"7 係退輔會所訂定之內部行政準則，藉以指示其所屬機關 依此準則辦理 ，而非 當然成為退輔會與配耕場員遺眷子 女間之契約內容。易言之，在退輔會依據該行政準則與 場員遺眷子女另訂私權契約之前，尚不因上開要點之訂 定而直接成立私法契約關係 ，尤非直接賦與遺眷或子女 以繼耕之權。查現耕場"
8,756,"8 同價值衡量並給予不同之規範，而該不同之處理，並不 存在生理上或功能上的顯著差異 。雖退輔會屏東農場辯 稱：「本場以為場員之耕作權乃係民法第一千一百四十 八條所規範之被繼承人專屬權，係因『榮民』身分且有 耕作意願及能力，始有權利由政府配耕土地 ，配耕後如 其耕作意願或能力不再，"
9,781,"9 應採取行政上措施，改善社會成員之生存環境及生活 條件，是在早年政府播遷來臺之時，為使孤苦無依的 榮民得有穩定經濟收入來源，藉以提升生活品質，便 將部分公有農地分配予榮民耕作，故政府此一配耕土 地行為，應屬行政法中給付行政之私經濟行政範疇 （ 所謂給付行政係指有關社會保險、社會"
10,763,"10 作配耕土地之權利之行為，仍須受憲法、法律及內部 作業法規之羈束 。退輔會再三主張 「配偶再婚 ，女兒 出嫁皆理應依靠其夫生活」，此種觀念，不僅落伍且 歧視女性，與女性作為獨立個體同受憲法保障之精神 有違，況現在夫妻皆各有職業之情形比比皆是 ，互相 維持家計，女兒婚後仍可自謀"
11,778,"11 5.退輔會於「行政院國軍退除役官兵輔導委員會行政訴 訟答辯書 」 （ 82 ⋯ ⋯法輔字第六八號 ）二中認「 本會 所屬各農場配耕場員土地，不惟為公有財產，又係循 環安置場員，以維持場員及其眷屬 ⋯ ⋯生活為著眼 」 ，聲請人為其先父遺留之唯一親人，在尚未被收養之 前，聲請"
12,696,"12 上開違憲之「房舍土地處理要點」不僅歧視已婚 女性，且剝奪已婚女性繼耕權進而剝奪其工作權及財 產權，其違憲實甚顯然！ 7.綜上所述，行政院國軍退除役官兵輔導委員會所頒發 之「各農場有眷場員就醫、 就養或死亡開缺後房舍土 地處理要點」，顯有牴觸憲法第七條、第十五條及憲 法增修條"
13,482,"13 影本乙份。 證七號：臺灣高等法院八十三年度上字第一 五四號判決 影本乙份。 證八號：最高法院八十四年度臺上字第一八一號判決影本 乙份 。 證九號：退輔會開發農場放領辦法影本乙份。 註 釋 ： 一、吳庚教授著「行政法之理論與實務」第十六頁影本乙份（ 三民書局，八十二年七月增訂"
14,922,"14 本件上訴人主張：坐落屏東縣內埔鄉 段 、 、 號土地，係被 上訴人所有（按係國有， 由被上訴人管理），並由被上訴人所屬屏 東農場配耕與伊養父藍 善生前耕作。藍 善已於民國八十年九月 十八日死亡，伊為藍 善收養之養女，基於繼承關係，伊得繼承伊 養父之耕作權，而繼續耕作上述土地"
15,674,"15 百四十七條規定自不得提起確認之訴，因而維持第一審所為上訴人 敗訴之判決。查本件配耕之使用借貸關係既經被上訴人合法終止而 消滅，被上訴人縱於房舍土地處理要點內訂有死亡場員唯一女兒出 嫁應收回房地之規定，亦屬所有權之處分行為，尚不生違憲之問題 ，原審並於理由說明上訴人主張該要點"
