pdf_page,chars,preview
1,634,"法規範憲法審查聲請書 , 1 ^ r 住居所： 2 審查客體 6 二 、 系爭規定是否牴觸《 憲法》第 23條之比例原則？ 8 法 院 字 第 穴 號 刑 事 裁 定 （ 聲 證 1 ) 。 10 一 、 系爭規定應受違憲宣告， 並自本判決宣示或公告之曰起失其效力。 1 二 、 "
2,619,"2 治權利國際公約 > 及 （ 經濟社會文化權利國際公約〉 所享有的 6 以符合比例原則： 且 照 鈞 院 歷 來 解 釋 （ 司法院第641號 、 8 效果過於單一而剝奪法院或行政機關之裁量權， 造成個案顯 10 違 憲 。 1 三 、 系爭規定所定「 前罪無期徒刑， 假 釋 "
3,618,"2 6 8 10 《 憲法》第 8 條 第 1 項及第23條 。 1 三 、 按 《 憲法訴訟法》第 59條 第 2 項規定， 本案應於不利確定終 12 局裁判送達後6 個月之不變期間 内 為之。 聲請人爰於法定期間 内 20 1 . 人身自由、 居住及遷徙自由以及一般行動自由 "
4,901,"2 其 次 ， 憲法第10條 規 定 ： 「 人民有居住及遷徙之自由」。我國釋 6 三條所定必要之程度， 並以法律定之」 。 撤銷假釋後， 受假釋者必 8 的環境當然使其居住及遷徙之自由受到剝奪。 10 主體性及人格之自由發展， 應受憲法保障（ 本院釋字第六0 三號 1 解釋參照"
5,904,"li 在 ， 是故一旦受假釋者因撤銷假釋而入監， 縱使有接見機會， 但 2 j 仍形成其與配偶、 子女相當時間的分離， 不利於婚姻的維持與子 4 ： 其人格完整， 侵害其人性尊嚴。 5 j 3 . 工作與職業自由 1 0 ; 項規定「 監獄對作業應斟酌衛生、 教 化 、 經濟效益"
6,880,"2 性之必要， 一律宣付強制工作三年， 限制其中不具社會危險 6 2 . 大法官解釋第582號解釋文謂： 「 組織犯罪防制條例第三條 8 入勞動場所， 強制工作， 其期間為三年 ； 犯前項之罪者， 其 10 犯罪為宗旨或其成員從事犯罪活動， 具有集團性、常習性、 1 脅迫性或暴力"
7,938,"20 j 法院或行政機關之裁量權， 造成個案顯然過苛而無合理例外排 2 1 } 除之情形時， 則亦屬違反比例原則而違憲： 2 \ 1 . 鈞院釋字第641號解釋理由書： 「 至於處以罰鍰之方式， 於符 lj 1 2 1 規定酌減其刑， 最低刑度仍達二年六月以上之有期徒刑， 無 2"
8,881,"2 平穩米酒價格及維持市場供需， 其他相關法律並無與菸酒稅 6 情節之輕重並據以計算罰鍰金額， 如此劃一之處罰方式， 於 8 無限擴大之虞， 可能造成個案顯然過苛之處罰， 致有嚴重侵 10 其對人民受憲法第十五條保障之財產權所為限制， 顯不符妥 1 當性而有違憲法第二十三條之比例"
9,918,"2 進口貨物未據實申報時，固得依各該法律之規定併合處罰， 6 4 . 又鈞院釋字第790號理由書謂： 「 人民身體之自由應予保障， 8 立法機關為保護特定重要法益， 以刑罰限制人身自由， 雖非 10 之特性， 應受到嚴格之限制（ 本院釋字第646號 、第 669號 1 及 第 7"
10,901,"2 之不公外， 更可能另生對原被處無期徒刑之重罪者撤銷假釋令服 5 ； ^ I 平 ！」、 6 ^除了 刑法第79條 之 1 才是本件原因案件之瘦結 ， 應併 納入考 8 不透明， 同樣地， 監獄行刑法、 外役監條例規定下之縮短刑期制 10 又撤銷假釋後之殘刑年數規定， 因修法而"
11,968,"2 之年限由舊法的執行滿15年改為25年 ， 幾乎造成了終身監 5 告之人， 於執行15年後即可聲請假釋（ StGB 57 a ) 、日本更 8 規定， 是以， 遭撤銷無期徒刑假釋之人於執行殘刑分別逾15 10 會 ， 而經比較德國及日本之規定後， 更顯見我國刑法第79之 1 條"
12,986,"2 之抗告人， 僅因不明究理、 認事用法顯有問題之後案判決， 無 6 人因對出監了無希望、否定自身存在之價值， 而有嚴重憂鬱 8 助被告「 悛悔實據」 ， 更可能帶來被告身心健康嚴重之打擊， 10 遇或懲罰之疑慮。 1 3 . 復查人權事務委員會和各國法院已確認待死現象所包含之長"
13,923,"2 4 . 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑犯， 6 殘刑之受刑人， 其心理及生理健康之侵蝕， 更不容忽視。 8 已經過去、 嚴刑峻罰已經不合時宜， 但因舊案被判重刑者， 10 被廢止的法律， 是否違反罪刑法定原則， 不無疑義 1 . 懲治盜匪條例之立法沿革 "
14,876,"2 議 。…」 6 走入歷史， 由刑法、 組織犯罪防制條例等法律來實現該條例維 8 合罪刑相當之原理原則。 10 刑法第2 條 第 3 項規定： 「 處罰或保安處分之裁判確定後， 未執 1 行或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處 12 分 者 ， 免其刑或保"
15,416,"2 假釋期間竟因微罪或達反保護管束應遵行事項遭撤銷假釋而必 6 肆 、 結論 8 並因刑法第79之 1 條第5 項規定之法律效果， 而需服過長刑期， 10 聲請人認為， 應給予法院裁量是否應執行受刑人「 全部」殘刑之 1 必要， 否則， 現行第79之 1條第5項有違憲法揭示之比例"
