pdf_page,chars,preview
1,497,"正 本 解釋憲法聲請書 聲請人陳怡靜 即聲明異議人 即受刑人之配偶 為 「 撤銷假釋執行無期徒刑殘刑」事件， 經窮盡所有救濟程序後， 茲依司法院大法官審理案件法第5 條 第 1 項第2 款及第8 條第1 項之規定， 聲請解釋憲法， 並將有關事項敘明如下： 壹 、 聲請解釋憲法的目"
2,712,"訟法第484條定有明文。 法律文義對於「 配偶」身分 之取得無任何限制； 為保障受刑人之利益， 解釋上， 該條所指之「 配偶」僅需聲明異議時， 具有受刑人之 配偶身分即可。 聲請人自民國（ 下同） 104年8 月 17日， 具備受刑人「 配偶 j 之身分， 故聲請人基於受刑人「 "
3,708,"年度上訴字第1572號判決駁回上訴確定； 法務部矯正 署花蓮監獄並據此報請法務部撤銷受刑人上開假釋， 並經台灣台中地方法院檢察署檢察官104年執更 缉 給 字第179號執行指揮書以其應執行上開無期徒刑之殘 刑滿25年後， 再接續執行他刑， 而於104年 7 月 9 日 起更予發監"
4,689,"所適用之刑法第 * 79條之1 第5項、 刑法施行法第7條 之 1 第2項及同法第7條之2 第2項等規定有牴觸憲 法第8條 、 第22條及第2 3 條之規定。 二 、 聲請解釋憲法之理由及聲請人對本案所持之立場與見解 (一） 假釋乃現代刑事政策中之一種有助於受刑人再社會化 的 「"
5,627,"基於法律不溯及既往原則所保障之權益， 均將遭受嚴 重侵害。 (二） 我國假釋制度的沿革： 1 . 暫行新刑律第66條 ：「 受徒刑之執刑， 而有悛悔實 據者， 無期徒刑逾十年， 有期徒刑逾二分之一後， 由 監獄官申達法部， 得許假釋出獄。 但有期徒刑未滿三 年者， 不在此限。 前"
6,675,"二分之一後， 由監獄長官呈司法行政最高官署， 得許 假釋出獄。 但有期徒刑之執行未滿一年者， 不在此 限。 無期徒刑裁判確定前逾一年部分之 羁 押日數算入 前項已執行之期間 内 。 犯刑法第十六章妨害風化各條 之罪者， 非經強制診療， 不得假釋。」 6 . 民國八十六年修正刑法第"
7,682,"五年以 内 故意再犯最輕本刑五年以上有期徒刑之罪 者 。 （ 3 )犯本刑法第九 — 條之一所列之罪， 於徒刑 執刑期間接受 辅 導與治療後， 經鑑定、 評估其再犯危 險未顯著降低者。 無期徒刑裁判確定前逾一年部分之 羈押曰數算入第一項已執刑之期間 内 。」 (三） 撤銷假釋執刑"
8,702,"逾 10年以上之刑期後准予假釋出獄， 惟於94年修法 後之假釋期間 内 故意更犯罪之情況下， 依現行刑法第 79條 之 1 第 5 項之規定， 受刑人除無從將其先前已執 行之刑期併算於執行無期徒刑殘刑之25年刑期外， 尚 需入監執行無期徒刑殘刑25年 後 ， 再接續執刑他刑， 始"
9,610,"苛 ， 且未見立法者於立法理由中有具體且合理之說 明 ，自應儘速檢討修正， 以完善維護受刑人之基本人 權 。 (六） 撤銷假釋執行無期徒刑殘刑所涉憲法第7條之平等權 (原則 ）及憲法第2 3 條比例原則： 憲法第7條保障人民 平等權，旨在防止立法者恣意， 並避免對人民為不合 理之"
10,590,"提 ， 司法院大法官於往例解釋中凡涉及人身自由之標 的 ， 亦均以最高密度之審查標準， 以確保此作為享受 所有基本人權基礎之人身自由權。 3. 規範目的： 參酌刑法第79條之1第5項之增訂目的乃為避免「 撤 銷假釋後再入監執行殘餘刑期者， 如再將其殘餘刑期 與再犯案件之刑期合併計"
11,667,"又 ， 前受無期徒刑宣告經准予假釋出獄者， 多有因 一時失慮，而於假釋期間 内 故意更犯「 輕 」罪 ， 然此 際若不分重罪或輕罪而均予撤銷假釋， 令其等入監執 行無期徒刑殘刑25年 ， 對於受刑人身自由的剝奪 與撤銷假釋所要維護的公益，已顯非「 相當」 ， 其對 於涉犯輕罪之假"
