pdf_page,chars,preview
1,986,"釋蕙聲請書 於該判決確定當曰晚間因車禍而死 f (如附件四）， 釋憲聲請人為其繼 為都市重劃事件， 因最高行政法院100年度判字第1790號判決所 適用之平均地權條例第58條第2 項以及獎勵土地所有權人辦理市 地重劃辦法第8 條 、 第20條等規定， 有牴觸憲法之疑義， 爰依司 "
2,1018,"關核准 J 之對象僅為提出聲請之自辦市地重劃會籌備會， 故主管機關 i 子 害釋憲聲請人位於該重劃區 内 之財產權（ 如附件五） ， 故依法先提起訴 願 ， 經 内 政部99年2 月1 日台 内 訴字第0980214534號 驳 回； 嗣經其依 法向台中行政法院起訴， 惟經該院以"
3,816,"非因施以勞力資本而增加者， 應由國家徵收土地增值稅， 歸人 民共享之」； 從而涉及土地徵收之事項， 執行權專屬於國家所 有 ， 非立法者得裁量立法授權逕由私人行使之公權力。 (二） 憲法第16條 ： 人民有訴訟之權， 憲法第十六條亦有明文規定。 此一規定係指 「 ‘ •係指人民於"
4,1000,"1 、 依據憲法第108條 、 第 143條規定， 只有國家有權力對私人土 地行使照價收買權力。 本此’ 私人必須經由國家公權力之授權’ 始得對私人土地之自由使用： 收益及處分等權能加以逾其社會 責任所應忍受範圍之侵害。 平均地權條例就區段徵收以及自辦 市地重劃分別規定於第53條"
5,1023,"之公共設施保留地， 應 按 毗 除或邊葬。 逾期不拆除或邊葬者， 得 鄰非公共設施保留地之平 代為拆除或邊葬。 前項因重劃爺拆除 均公告土地現值， 補償其地 或邊葬之土地改良物或壞墓， 應予補 償 ， 其地上建築改良物， 應 償 ； 其補償數 额 ， 由直轄市或縣（ 市 ） 參照"
6,1039,"法第108條第1項第14款以及憲法第143條之規定。 (二） 100年度判字第1790號判決違反憲法第16條規定： 1 ' 依據憲法第16條規定， 人民之訴訟權應予保障， 旨在確保人 民於其權利受侵害時， 得依正當法律程序請求法院救濟為其 核心 内 容。 依據鈞院歷來大法官解釋意"
7,1153,"地權條例第60條以 T 有關請求負擔受益費、 土地分配、 強制 訴訟權利之意旨不符， 此有大法官釋字第423號解釋可資參 日3 〇 2 、 經查台中市政府95年11月13日府地劃字第0950234341號 、 95年 11月 15日府地劃字第0950240068號所核准李錦佃等 "
8,1012,"使用、 收益及處分之權能， 但由於主管機關在程序上之相對 人僅為籌備會， 故該區域 内 之土地或建築物所有人對此 並 不 , 能直接對主管機關尋求救濟， 而僅能對籌備會提起訴訟救濟， 明顯違反憲法第16條保障人民訴訟權之規定。 (三） 100年度判字第1790號判決違反憲法第15"
9,701,"故政府對於人民依法取得之土地所有權， 得照價收買。 但當 國家行使照價收買權時， 並 不以人民同意為要件， 故其性質 屬於公權力對人民財產權之侵害， 從而此一程序必須符合憲 法第23條比例原則之規定。 3 、 本於憲法條文規定， 可以得出以下之結論： 凡是國家本於公 權力行使結果"
10,205,"五 、關係文件： 冊 聲請人： 胡天賜 中 華 民 國 1 0 年 1 2 月 2 0 日 附件一 ： 100年度判字第1790號判決。 附件二 99度訴字第125號判決。 附件三 内 政部99年2月1日台 内 訴字第0980214534號訴願決定。 附件四 原判決上訴人陳絹死亡"
