pdf_page,chars,preview
1,427,"1 不同意見書 彭鳳至 余雪明 本件聲請，除應不受理部分外，多數意見受理解釋部 分，就不同聲請人依相同程序所為相同之程序上請求，先後 為合法與不合法之不同認定，違反司法被動與公平審判原 則；又以立法院內部踐行合憲議事規則之合憲議事行為得作 為憲法疑義解釋之審查對象，違反本院釋字第"
2,941,"2 1、 機關之具體行為，並非大法官依三分之一以上 立法委員之聲請所得審查之客體 「依立法委員現有總額三分之一以上之聲請，就其 行使職權，適用憲法發生疑義，或適用法律發生有 牴觸憲法之疑義者」，得聲請解釋憲法，司法院大 法官審理案件法第五條第一項第三款定有明文。本 院依上開規定，"
3,840,"3 院指示中華郵政股份有限公司更改為台灣郵政股份 有限公司等機關之具體行為 4 是否違憲，並非本院依 首開規定得為審查之客體，迭經本院作成決議。 2、 本件聲請乃請求大法官解釋立法院程序委員會 之決議行為違憲 本件聲請書第十四頁所載聲請意旨總結略謂：「綜 前所述，第六屆立法院程序"
4,518,"4 察委員人事同意權案列入院會議事日程之決議行為 違憲。 3、 本件聲請應不受理 機關之具體行為，尤其機關內部組織 5 之具體行為是 否違憲，並非本院依立法委員現有總額三分之一以 上之聲請所得解釋之客體。系爭立法院程序委員會 之決議行為，非屬於憲法解釋或一般抽象法規範之 合憲性審"
5,393,"5 而為解釋之司法被動原則。 又請求解釋機關具體行為是否違憲之聲明，如可以 解釋為係因機關具體行為而發生適用憲法疑義，故 得依司法院大法官審理案件法第五條第一項第三款 規定受理，則同屬立法委員現有總額三分之一以上 聲請解釋機關具體行為是否違憲而不受理之前述案 例，亦皆可經由解釋當"
6,629,"6 解釋」之意旨不同 6 ，其解釋前後不一，顯失客觀標 準，而為任意之解釋。 至多數意見未附理由而逕指本件聲請人就立法院擱 置系爭同意權行使之「機關具體行為」是否違憲之 聲請，「符合上開規定之要件，應予受理」，與首 開大法官迭次就大法官審理案件法第五條第一項第 第三款規定所為「機"
7,434,"7 釋機關具體行為是否違憲案件，其受理或不受理之 客觀標準為何，即難免引起大法官係選擇性行使職 權而違反禁止恣意原則與公平審判原則之質疑。 三、 縱依多數意見任意解釋之聲請意旨，本件聲請 仍不符合大法官受理解釋憲法之法定程序 依多數意見任意解釋之聲請意旨，則關於「行使人事同 意權"
8,686,"8 應具體敘明其疑義之內容，始符合司法院大法官審 理案件法第五條第一項第三款規定憲法疑義解釋之 程序要件。如依聲請意旨並無適用憲法發生疑義之 情形，或聲請意旨並未敘明有何適用憲法發生之疑 義者，均屬與上開法律規定之程序要件不符，而應 予駁回，乃大法官一貫見解 7 。 本件聲請意旨"
9,476,"9 A、 國會自律之憲法意義與司法審查之界限 關於立法院應如何行使立法權之程序及其司法 審查之界限，大法官曾作成釋字第三四二號解 釋，其解釋理由書第一段及第二段前段肯認依權 力分立原則，應確立憲法上之國會自律原則，並 明定司法審查之界限，即國會自行訂定之議事規 範固可作為法令違憲"
10,694,"10 釋文第一項，亦可資參照。 大法官基於上開關於國會自律與司法審查界限 之解釋，並已作成「立法院議事程序如非瑕疵重 大明顯 ， 而有待調查 ， 即非釋憲機關審查之對象」 之不受理決議先例 10 。 B、 立法院相關議事規範並無瑕疵重大明顯之 違憲情形 立法院設程序委員會，立法院"
