pdf_page,chars,preview
1,618,"曹○民釋憲聲請書 壹、聲請解釋憲法之目的 請求貴院解釋臺北高等行政法院 96 902 號判決、最高行政法院 聲請人綜合所得稅事件所適用之所得稅法第 項第 貳、疑義之性質與經過暨所涉及之憲法條文 一、本案事實經過 聲請人 及生育費列舉扣除額新臺幣（下同） 687,035 政部臺灣省"
2,676,"括照顧服務費、代辦特聘護理費、交通費、滅菌抽痰 包 附 手 套 及 救 護 車 資 ， 其 中 除 代 辦 特 聘 護 理 費 13,920 特約關係之財團法人獎卿護理展望基金會護理之家 大臺 北居家護理所及同仁醫院附設居家護理所開立， 分別為該 2 及至病患住所進行護理之交通費"
3,609,"自行僱人照顧病患 ，病人家屬支付之照護相關費用， 亦為醫療費用。惟健保局為減輕其財務負擔，故意忽 略長期臥病癱瘓病人住院之需求，將該給付義務轉嫁 予病患家庭，致使納稅義務人之經濟負擔日益沈重， 相關費用若未能依所得稅法規定扣除，顯悖於租稅公 平原則 ， 更違反孝道精神 。 聲請人"
4,535,"合憲性。 二、所涉憲法、法律及命令條文 ( 一 ) 中華民國憲法第 女、宗教、種族、階級、黨派，在法律上一律平 等」 。 ( 二 ) 中華民國憲法第 利，除為防止妨礙他人自由、避免緊急危難、維 持社會秩序 ， 或增進公共利益所必要者外 ， 不得 以法律限制之」 。 ( 三 ) 所"
5,528,"叁 、聲請解釋憲法之理由及聲請人對本案所持之立場與見解 一、程序事項 ( 一 ) 司法院大法官審理案件法第 同法第 查， 「有左列情形之一者，得聲請解釋憲 法：……二、人民、法人或政黨於其憲法上所保 障之權利，遭受不法侵害，經依法定程序提起訴 訟 ， 對於確定終局裁判所適用之法律"
6,542,"之 健康之立法目的 ， 卻僅因納稅義務人所出具之單 據非特約或經認可之醫療機構所開立 ， 即拒絕給 予賦稅優惠 ， 顯然悖於憲法第 7 平等權。對 此，聲請人自得依前揭司法院大法官 審理案件法之相關規定提起釋憲，殆無疑義。 二、實體事項 ( 一 ) 審查標準之決定 1. 按，立法"
7,563,"舉扣除額（參附件二） 。準此，系爭所得稅法 規定雖為經濟政策之立法事項，然亦兼有保 障國民健康之立法目的，自無庸疑。 2. 承上，既前揭所得稅法規定係立法者基於保 障國民健康之政策目的，使納稅義務人得將 所支出之醫療費用列報為列舉扣除額以減輕 其稅賦。是系爭條文 之前提下，例外基"
8,545,"人性尊嚴蕩然無存等其他相關社會問題。對 此，請貴院再參老年安養照護實係國民健康 之重要環節 ， 亦屬急迫重大之政府利益 ， 實應 以嚴格之標準檢驗其合憲性（參附件四） 。 ( 二 ) 實體審查 承上，系爭所得稅法第 出，不致浮濫」 外，尚有藉賦稅減免等 優惠措施 以實踐 「保障國"
9,496,"號判決稱： 「……所得稅法第 17 第 除額，係針對身體病痛接受治療而支付之 醫療費用，屬生活中之必要支出，固可於 計算所得淨額時予以扣除，惟因全體納稅 義務人之醫藥費支出，數量多且龐雜，稅 捐稽徵機關人力有限，欲逐一查證本屬不 易，故為 使稅捐稽徵機關能正確把握醫療 費用支出 "
10,488,"養照護之立法目的，卻僅因醫療院所性質 之不同而對納稅義務人為差別待遇，造成 多數納稅義務人因不諳法令而無法享有租 稅優惠，明顯背離其立法初衷。甚且，仍 有為數眾多之老年人口係居住於偏遠地 區，倘僅因就近選擇之醫療院所未經財政 部審核會計通過即無從享有稅賦優惠，不 僅無助於上開立法"
