pdf_page,chars,preview
1,751,"釋字第 解釋 協同意見書 黃 虹霞 大法官 提出 量刑沒有標準 ， 等同於沒有公平正義 ， 對被告言不公平 、 對被害人言更不正義！我國亟待建立一個正義而有效之量 刑基準制度！ 累犯應是量刑因子之一，唯有依法制定量刑準則，使量 刑公開透明，刑罰才有可能客觀公平，對被害人及被告雙方"
2,916,"應不生違憲問題 。 （一 ） 本件解釋既不認為於刑法第 犯之定義，係屬違憲，則自應認為刑法針對全部犯罪所設累 犯均應加重其刑之一般性結果並未 違憲 。 蓋若謂累犯不應加 重其刑，則刑法第 。 因此， 就邏輯而言，累犯應加重其刑是累犯定義規定不違憲前提之 必然結果（至於累犯定義之當"
3,990,"其適法性 ， 寧非招致民怨之原因哉？！） ， 惟尚屬立法選擇範 圍，難即認為違憲。 （六）本件解釋未認刑法第 定及其加重方式為違憲之前提，應屬合宜（關於未違一行為 不二罰部分之理由已如本件解釋之理由書所示） 。另我國法 院實務現況，被指為 犯罪之量刑普遍偏低，此一指摘尚非無 據 "
4,846,"最低本刑，係法院之當然職權，概不違刑法第 47 應注意。 四、本件解釋認被告彭雲明得併以最高法院駁回檢察總 長所為被告利益之非常上訴之判決為據，並以該駁回判決 （而非原確定終局裁判）所適用（含實質適用）之法律違憲 為由，聲請解釋。此部分應屬首例，至少涉及司法院大法官 審理案件法第"
5,850,"問。但本席還認為 法治國原則 另包括一事不再理原則，而且 一事不再理原則是法治國普世公認之原則 。 因此，除了 一事 不再理原則 是憲法上的獨立原則，不待由法秩序之安定及信 賴保護原則導出外，一事不再理原則似應為上位概念，且落 實一事不再理原則，可能生法秩序安定及信賴保護之效果。"
6,852,"作量刑辯論，但只著重於死刑辯論。由現行刑事訴訟法規定 是否無法導出就量刑相關科刑資料，法院有調查及辯論義務 之依據，未必如此。但相關規定不夠詳盡確屬事實，尤其現 行裁判實務，就其宣告刑之計算過程完全省略，致人民由判 決書之記載，無法看出：在依法加重、減輕前，法院處斷之 刑度，也看"
7,877,"多，減輕時卻大幅減低。另外，量刑歧異普遍存在，在類似 犯罪態樣的判決中，最高與最低刑度出現大幅度落差」 ， 可 見其梗概。量刑如此地不適當，妥當嗎？被害人、被告呼喊 司法不公，是無的放矢，全 無理由嗎？憲法第 該被冷凍束之高閣嗎？落實平等權 及人身自由權 保障 ，應即 建立合於正"
8,1047,"司法院支援。 甚至本大有為政府 應苦民所苦， 十 年前 白玫瑰 運動所巳提出之量刑問題，行政院以其主管刑法之地位，就 刑法第 司法院提案，妥適訂定量刑基準 制度 。 當然也籲請立法機關 支持 甚至主動 提案 並妥速立法。 此外，量刑無基準，法官不 痛苦嗎？法官協會也 可以盡點力吧"
9,414,"權保障為目的之量刑基準制度當然侵害審判獨立，故不 敢 或 遲 延游移 立法 之問題 呢？！ 量刑基準制度必然侵害審判獨立而顯不相容嗎？ 是 重要嚴肅憲法議題， 本席 不以為然。 就教各方，請 賜教。 九 、累犯規定是很多不分審級刑事庭法官的痛或困擾， 這一點大法官們完全理解，但是"
10,506,"附件一： 刑法定最低本刑為 6 月有期徒刑之罪 100 條第 2 項：內亂罪預備犯 150 條後段：聚眾強暴脅迫罪（首謀及下手實施者） 155 條：煽惑軍人背叛罪 162 項、第 項 ： 普通人以損壞拘禁處所或強暴脅迫方式縱放或便利脫 174 項 ： 放火 179 項 ： 決水侵"
11,372,"第二十二章 殺人罪 第二十三章 傷害罪 第二十四章 墮胎罪 第二十五章 遺棄罪 第二十六章 妨害自由罪 第二十九章 竊盜罪 第三十章 強奪強盜及海盜罪 第三十一章 侵占罪 第三十二章 詐欺背信及重利罪 第 ：加重利罪（含未遂犯） 第三十三章 恐嚇及擄人勒贖罪 第三十五章 毀棄損壞"
12,1064,"附件二： 本院以「 特別 重要 、 極為 重要、 重要 、 重大 公共利 益」為審查標準之 相關 解 釋 一、特別重要 、 極為重要公共利益 解釋 對何謂 特別 重要 、 極為 重要公共利益之闡釋 744 系爭規定之立法資料須足以支持對化粧品廣告之事前審查， 為防免 人民生命 、"
13,1111,"756 達成監獄行刑與管理之目的 ， 監獄對受刑人言論之事前審查 ， 雖非原則 上違憲 ， 然基於事前審查對言論自由之嚴重限制與干擾 ， 其限制之目的 仍須為重要公益，且手段與目的間應有實質關聯 中， 題意正確部分涉及觀點之管制 ， 且其與監獄信譽部分 ， 均尚難謂係 重要公益 "
14,1242,"702 憲法第一百五十八條宣示之教育文化目的，包括發展國民之「自治精 神」及「國民道德」 ，其意無非以教育為國家百年大計，為改善國民整 體素質，提升國家文化水準之所繫，影響既深且遠。系爭規定二 、三明 定教師於行為不檢有損師道時 ， 即可剝奪其教職 ， 係 為確保學生良好之 受教"
15,1184,"之刑度既重 ， 該被告為規避刑罰之執行而妨礙追訴 、 審判程序進行之可 能性增加 ， 國家刑罰權有難以實現之危險 ， 該 規定 旨在確保訴訟程序順 利進行 ， 使國家刑罰權得以實現 ， 以維持重大之社會秩序及增進重大之 公共利益 ，其目的洵屬正當。 659 關於解除全體董事之職務"
16,1243,"603 縱依行政院於本案言詞辯論中主張，戶籍法第八條規定強制人民按捺 指紋並予以錄存之目的 ， 係為 加強新版國民身分證之防偽功能 、 防止冒 領及冒用國民身分證及辨識迷途失智者 、 路倒病人 、 精神病患與無名屍 體之身分等 ， 固不失為合憲之重要公益目的 … 。 593 本件"
17,207,"各款所列以外之寺廟財產， 廟之不動產及法物遭受不當之處分 或變更 ， 致有害及寺廟信仰之傳布存續 ， 固有其正當性 … 。 445 事前審查集會 、 遊行之申請時 ， 苟著重於時間 、 地點及方式等形式要件 ， 以法律為明確之規定 ， 不涉及集會 、 遊行之目的或內容者 ， 則於"
