pdf_page,chars,preview
1,249,"司法院蕙法庭言詞辯論筆錄 聲 請 人 指定代表 何効鋼法官 張淵森法官 林孟皇法官 關係機關 法務部 指定代表 林錦村司長(檢察司） 林麗瑩司長(綜合規劃司） 朱富美檢察官(最高檢察署） 司法院刑事應 指定代表 張道周法官 吳元曜法官 鑑 定 人 本庭指定 李念祖教授 王皇玉教授"
2,288,"聲請解釋案， 於中華民國109年 3 月 3 1曰上午9 時在蕙法庭公 開行言詞辯論， 出庭人員如下： 審判長大法官許宗力 大法官蔡 焖 燉 黃虹霞 吳陳鐶 蔡明誠 林俊益 許志雄 張瓊文 黃瑞明 詹森林 黃昭元 謝銘洋 呂太郎 楊惠欽 蔡宗珍 書記官高碧莉 楊 靜 芳 通譯吳奕"
3,658,"為吳志強法官、 施育傑法官、 謝欣宓法官、 何効鋼法官、 何一 宏法官、 廖晉賦法官、 林孟皇法官、 蔡英雌法官、 林怡君法官、 張淵森法官、 張博鈞法官及陳愷璘法官， 由吳志強法官、 何効 鋼法官、 林孟皇法官及張淵森法官4 位代表發言。 今日出席的 關係機關， 法務部代表是蔡"
4,579,"7 . 由大法官詢問聲請人、 相關機關代表人或鑑定人、 法庭之 友 ， 答覆時間各不超過5 分鐘。 8 . 最後， 請聲請人方及相關機關， 最後陳述， 聲請人方、 法務 部及本院刑事廳各不超過5 分鐘。 於發言時間屆滿前1分鐘， 響鈴1聲警示， 時間屆至， 響鈴2 聲 ， 請結束"
5,742,"先請聲請人方陳述。 聲請人指定代表吳志強法官 審判長、 各位大法官及與會先進， 大家好， 本人是臺北地院 的吳志強， 關於刑法第2 3 9條及刑事訴訟法第2 3 9條但書規定 的意見， 均已送大法官及各位先進參考， 今日簡要以 pt 向各 位說明。 首先關於爭點一， 通姦罪的立法"
6,803,"而有異。 要證明通姦的犯行， 不論捉姦在床或勘驗錄音 （ 影） ， 都嚴重侵害個人隱私權。 更何況因為婚外性行為而受胎生下未 成年子女時， 該未成年子女將成為訴訟攻防的客體， 種理由 的加總， 都認為無法符合侵害最小原則、 狹義比例原則， 因此 認為通姦罪違反比例原則。 關於爭點"
7,789,"望 。因此， 這兩條規定的結合運用， 其實已侵害隱私權， 違反 比例原則及平等原則， 審查基準應該提升到「 中度」或 「 嚴格」 審查基準， 手段與目的間也欠缺實質關聯性。 回顧17年來， 社會已有多元的思辯與溝通， 早在102年 ， 法 務部陳明堂次長就在國家人權報告國際審查會"
8,785,"就性自主權部分， 庭上在釋字第554號解釋中顯然是較低度的 審查基準進行檢驗， 但性自主權的侵害應可區分為國家的積極 侵害與消極侵害。 所謂積極侵害， 係指國家要求人民應為性行為或與特定對象 為性行為之義務； 消極侵害是指國家禁止人民於特定情況或與 特定對象為性行為。 積極干涉應"
9,791,"均無一般預防效果， 而係通姦行為本身的特性， 讓其預防效果 特別薄弱。 通姦行為主要阻力來源來自於人民對通姦行為後果 的擔憂， 通姦行為若曝光， 對人民的婚姻家庭必然會產生劇烈 的衝擊， 對於其原有在社會上的連結會產生重大的破損， 預防 效果與通姦罪是否存在全然沒有關係。 另外，"
10,775,"罰對象包含所有配偶之人， 並未排除婚姻關係已有重大破 綻 ， 甚至已別居的配偶， 在現實的狀況下， 因為通姦罪， 其實 國家是完全剝奪其性自主權， 因為我國離婚採取消極的破綻主 義 ， 所以現實上可能會有意離婚的配偶， 無法在法院得到裁 判離婚的判決， 全面剝奪其性自主權， 可能"
