pdf_page,chars,preview
1,149,"釋憲聲請書 聲 請 人 ： 鄭新寶 Z 王泰祥 張竣貴 崔台順 張胡光素 崔唐嗣瓊 _蕭陳金竹 陳庾生 黃碧昭 馬林貴香 劉士偶 郭惠玉 蘇曉艽 蘇詠中 黃月霞 馮學華 杜典崑 杜典武 杜典文 朱貴榮 何 善 葉幼敏 劉樹林 張青月 鄭淑雲 鄭世欽 鄭世傑 徐一中 張孟嘗 張開賢"
2,971,"金 英 郭清塲 張 健 代 理 人 ： 駱怡雯律師 壹、 聲請解釋憲法之目的一國軍老舊眷村改建條例第二十二條第一項牴觸 憲法 民國（ 下同 ） 九十六年一月三曰修正前之「 國軍老舊眷村改建條例 J (下稱眷改條例 ） 第二十二條第一項， 「 規劃改建之眷村， 其原眷戶有四 分之三"
3,1079,"一、 違憲疑義之性質與聲請釋憲之依據 因聲請人等之眷舍居住憑證及原眷戶權益遭主管機關國防部註銷， 致 其憲法保障之基本權利（ 財產權、 平等權 ） 受到侵害， 經依合法程序提起 訴訟， 仍未能獲得救濟， 唯有透過鉤院大法官解釋憲法， 確認註銷處分 及確定終局判決所適用之處分時眷改"
4,1307,"(一 ） 司法院大法官解釋建立之審查標準 按照歷來有關財產權保障之大法官解釋見解， 國家基於公益目的， 非 不得以制定法令限制人民財產權， 惟法令文字本身必須遵守法律明確性原 則2， 如由法律授權訂定法規命令者， 亦須符合授權明確性原則3， 另外限 制財產權之措施或方法尚須符合比"
5,1382,"扣繳， 可見眷舍居住的權利與（ 因獲配眷舍免於支出的 ） 房屋租金或國家 給付之房租補助費具有替代關係。 另外， 配住眷舍之權益亦得經軍眷業務 權責機關核定後交換或轉讓（ 第陸之二點 ） ， 實務上將配住眷舍的權益轉 讓予未獲得配住者時， 多約定有對價， 此項對價亦足以證明眷舍居"
6,1838,"上財產權保障之意旨。 根據此項憲法財產權之特徵， 私法性具有財產價值 的權益（ 能 ） 基本上均能涵蓋於保護範圍中。 若從比較法的角度觀察， 學 理與實務上較有爭議的問題是：「 公法性具有財產價值的權益」是否、 且 在何等範圍 内 亦受憲法財產權保護。 尤其在討論各種社會福利給付"
7,1450,"上述比較法上的觀察， 對於本件聲請案首先要處理的問題••眷舍居住 憑證與眷改條例規定的原眷戶權益是否可納於憲法財產權的保護範圍 中， 亦有參考的價值。 蓋眷舍配住或眷村改建為國家對現役軍人、 軍眷與 遺眷的照顧性措施， 屬於給付行政活動之一環（ 司法院大法官釋字第四八 五號解釋參"
8,1300,"範圍 内 之權利， 但考量經建會組織的沿革歷史及實質平等原則， 銓敘部以 該函釋限縮適用範圍是合憲的限制聲請人的財產權， 並不牴觸憲法且屬於 正確適用法令。 顯然對於憲法財產權保護範圍的認定， 大法官仍採取「 依 法令享有的財產請求權」之立場。 在同一見解脈絡下的尚有釋字第六0 "
9,1242,"保障範園的一般性判斷標準， 即不無疑問。 蓋此號解釋意旨與前述「 自 身 給付」標準， 相同之處僅為二者均以當事人過去的財產給付作為推論憲法 財產權保障的出發點， 其餘 内 涵則有相當的差異。 由於解釋對象的特殊 性 ， 使釋字第434號解釋採用的「 存款」觀點， 較前述德國「 "
10,1203,"理論視為判斷憲法財產權保護範圍的一般性標準， 而是採取相對比較 寬鬆的標準， 將所有「 法令所定的財產性權利」均納入憲法財產權的保護 範圍。 (2 ) 原眷戶居住憑證與原眷戶權益均立於憲法財產權之保護範圍 中 回到本聲請案之爭點。 眷舍居住憑證代表眷戶獲得核准配發眷舍， 並 得排"
11,1274,"障人民生存權、 第一五條國家對無力生活的人民給予適當的扶助與救 濟、 以及憲法增修條文第十條第九項國家對軍人的尊重、 對退役軍人的照 顧等規定中， 找到其憲法上的依據， 而即使在憲法文字並無直接依據， 眷 村改建的目的亦為符合憲法精神的公益目的。 是以註銷原眷戶居住憑證與 權益以"
12,1288,"案情節、 區分法律適用對象的不同類型修正現行規定， 以符合憲法比例原 則意旨者， 如釋字第六七三號、 第六二三號、 第五八三號解釋。 在本案檢討系爭規定是否牴觸狹義比例原則， 亦應從上述兩方面進行 審查。 若在前一步驟認為註銷權益屬於對原眷戶權利侵害最小的必要性手 段 ， 則眷村"
13,1315,"五七九號解釋、 第六五二號解釋 ） 。 大法官進一步在釋字第五六四號解釋 闡釋成立「 特別犧牲」的要件： 並非一切對財產權之限制均構成「 特別犧 牲」 ， 必須限制之程度已經逾越「 人民財產權所應忍受之範圍」時 ， 始足 當之。 至於該範圍如何認定， 則仍適用比例原則予以檢驗， "
14,1303,"三 、 系爭規定違反平等原則 釋字第四八五號解釋（ 亦為至今唯一針對眷改條例做成之解釋 ） 曾針 對國家對於原眷戶之照顧、 扶助或優惠措施明確指出： 「 （ 國家 ） 就福利資 源為妥善之分配， 並應斟酌受益人之財力、 收入、 家計負擔及須照顧之必 要性妥為規定， 不得僅以受益人"
15,797,"這固然屬於主管機關是否正確解釋適用法律的問題， 但是系爭規定過於簡 化的規定， 以致實務上主管機關對所有不同意改建之眷戶， 均註銷其居住 憑證與其眷戶權益， 幾無例外。 綜上所述， 系爭規定顯然未考量原眷戶權 益情況的種本質性差異， 而恣意地僅以「 不同意改建 J 為構成要件以註"
16,284,"聲 請 人 ： 鄭新寶、 王泰祥、 張竣貴、 崔台順、 張胡光素 崔廣嗣瓊、 蕭陳金竹、 陳庾生、 黃碧昭、 馬林貴香 嗣崔 貴馬 _ 香 株 劉士偶、 郭惠玉、 蘇曉冗、 蘇詠中、 黃月霞、 華 麗匪 黃 杜典崑、 杜典武、 杜典文、 朱貴榮、 何 善 、 葉幼敏 關團 题 _"
17,957,"受文者：司法院 壹 、 聲請解釋憲法之目的 一 、 為因最高行政法院99年度判字第391號判決及台北高等行政 法院96年度訴字第28號判決， 引用「 國軍老舊眷村改建條例」 第2 2條「 逕行註銷其眷舍居住憑證及原眷戶權益， 收回該房地」 ， 並認為「 夢改條例及其施行細則均無公"
