pdf_page,chars,preview
1,638,"抄 本 司法院秘書長函 受 文 者 ： 法務部等 裝 主 旨 ： 本院大法官為審理臺北市政府聲請解釋憲法案， 請就說明二 所列事項， 提供相關資料儘速惠復， 俾供審理之參考， 請查 說 明 ： 一 、 依司法院大法官審理案件法第1 3 條第1項規定辦理。 訂 二 、旨揭聲請人認民"
2,15,"電子傳遞： 本院大法官書記處"
3,756,"法務部函 受文者：司法院秘書長 主 旨 ： 有關大院大法官為審理臺北市政府聲請解釋憲法案， 函請 本部提供相關資料乙案， 復如說明二， 請查照。 說 明 ： 訂 一 、 復貴秘書長104年11月18日秘台大二字第10400 3 1 5 42號函 二 、關於本部104年10月 3 "
4,626,"性伴 侣 法制化前妥善保障同性伴 侣 權益， 行政院性別平 等處於104年 7 月至9月召開 5 場研商會議， 協調相關機關 檢視現行法律制度下得否放寬將同性伴 侣 納入法規適用 ， 共計 6 8項法規得於現行法律制度下納入同性伴 侣 適用 (詳如附件2 ) 。另為加強溝通、 促"
5,640,"關於同性婚姻法制化政策方向之建議報告 壹、前言 法務部 立法院司法及法制委員會於10 3 年 10月 1 6 日召開「 用平等的心 把每一個人擁入憲法的懷抱一同性婚姻及同志收養議題」公聽會， 依 主席尤委員美女所作結論 . ， 本部應於2 個月 内 向立法院司法及法制委 員會提出"
6,861,"(二 ) 親子關係與血統真實認定原則之適用扞格 文定有「 夫妻」 、 「 父母」等涉及性別之用語， 均予替置為「 配偶」或 「 雙親」 。 然法律具有「 普遍性」 ， 若為了保障同性戀者之婚姻權益， 逕將民法親屬編及繼承編中「 男 、 女 、 夫 、 妻 、 父 、 母」等兩性用"
7,879,"(三) 諸多法律須配合修正相關用語， 影牢條文超過300條 查現行法律中採用「 夫妻」 、 「 父母」 （ 含 「 祖父母」） 等用語， 高達109種法律， 涉及條文達 336 條 。 依尤委員及鄭委員所提修正 草 案 將 「 夫妻」修 正 為 「 配偶」 、 「 父母」修 正 "
8,861,"合法 （ 簡稱 PACS ) ， 在 PACS 施行前， 法國亦僅有一種婚姻制度。而法 國適用 PACS 經過長達14年之久， 當該國總統歐蘭德提出同性婚姻法 伴 侣 權益」會議） ， 可知目前國 内 對於同性婚姻法制化之相關議題， 尚存有正反不同意見， 贊成與反對者之立場截然對"
9,681,"參、政策建議 A 、 針對同性伴 侣 權益保障事項之相關議 韪 ， 預先蒐集不同立場之 B 、 持續召開公聽會或座談會， 邀集社會各界參與討論， 促進不同 A 、 針對同志團體及宗教團體， 應主動瞭解其訴求， 並積極促使贊 B 、 如有涉及各部會業務者， 再請各部會透過其業務主管"
10,690,"A 、 如有現行法令未能明文保障同性伴 侣 權益者， 檢討研議就現行 B 、 如有涉及各部會業務者， 再請各部會應主動檢視主管之現行法 A 、 就主管相關權益保障之現行法令及保障措施， 製作文宣並透過 B 、 如涉及各部會業務者， 請各部會參酌前開作法， 強化處理。 例 ( a "
11,592,"A 、 蒐集外國同性伴 侣 法制之立法例， 以為制定我國同性伴 侣 法 B 、 彙整各國立法例後， 研議並分析相關可行性， 據以研擬同性伴 A 、 由於同性伴 侣 法之法制方案， 非僅涉及同性伴 侣 間之權益， 亦 B 、 針對政策影響評估之報告 内 容， 瞭解該法案對於國家政策"
12,226,"A 、 參酌公聽會對於同性伴 侣 法方案之意見， 研議如何修正該方案 之採行性。 B 、 確認採行方案之方向， 並據以擬訂法案之相關 内 容。 A 、 邀集法律學、 醫學、 社會學、 公共政策、 兒童教育、 社會福利 等領域之學者、 專家及民間團體， 組成同性伴 侣 法之研修小 "
13,1136,"附表 同性婚姻法制化贊成與反對立場之主要意見彙整表 相關議題 一 、民法未 1 . 依憲法第 7 條或憲法增修條 1 . 同性婚姻與異性婚姻本質上 承認同性婚 文第10條規定之平等權， 絕 不同 （ 無生育之可能性） ， 二 姻是否違 者不應相提並論。 基於促進人 憲？我國合 口"
14,1079,"相關議題 命經驗而有很自然的欲望與 問題； 而擁有基本人權， 並不 需求， 這是一個非常基本的人 代表也擁有同性婚姻的基本 性 。同性戀者沒有辦法「 結 人權。 換 言之， 同性生活體成 婚」 ， 這就是一個不平等， 他 員享有言論自由、 居住自由與 們就是想成為彼此在法律上 遷"
15,559,"相關議題 剝奪結婚權， 其結果不僅使得 想結婚的同志無法結婚， 不想 結婚的同志其實也等於無法 行使「 不結婚」的自主選擇 權 ， 從而無論是想結婚或不想 結婚的同志的人格自由與人 性尊嚴在這個意義上都同受 剝奪。 7. 過去以「 男女有別」 作為歧視 女性的理由， 亦即以差異來"
16,626,"相關議題 婚 。 但這種「 沒有形式上的性 傾向差別待遇」 的詭辯無法成 立 ， 因為將婚姻限於一男一 女， 對於同志群體已造成差別 影 響 ( disparate impact ) > 又稱間接歧視 （indirect discrimination ) ， 司法院釋 字第 6 "
17,1145,"相關議題 二 、同性婚 1 . 婚姻目的不僅是生育， 法律對 1 . 民法上的家族法規範體系， 是 姻是否符合 於無生育意願或能力之異性 以異性婚姻作為軸心所建構 婚姻、 家庭 婚姻， 仍予婚姻之權利與身分 而成的， 其再經由夫妻關係與 之本質及意 關係保障， 故不能僅因同性婚 "
18,1096,"相關議題 形式進入了實定法的規範， 且 形成倫常的價值， 以至於隨而 只規範了某些特定的婚姻形 否定了婚姻的本質。 對全體人 式 。 類而言， 男女兩性婚姻是尊 6. 婚姻為兩人之結合關係， 亦植 貴 、 獨特而不可取代的。 基於個人之人格自由， 提供個 3. 同性結合欠缺自然生"
19,1089,"相關議題 合 ， 而非異性婚。 行婚姻革命1無視於婚姻在人 9, 隨著婚姻 内 涵和功能的改 類文化之中扮演的角色及意 變， 親屬法經歷許多次民間自 義。 惟倡議者所追求者， 似乎 發性的修改， 在某些時候除了 不在於要求承認同性間的結 法律跟隨社會變遷之外， 親屬 合為婚姻 （"
20,981,"相關議題 示性的穩固結合， 婚姻的成立 與解消皆須有公權力之介 入 ， 解消尚須有嚴格之要件， 因為我們需要有一個穩固的 共同體去支持包括繁衍後 代、 撫育子女等家庭功能， 而 不能由一方任意解消婚姻， 乃 一個彼此同居共財之權利義 務關係。 但目前婚姻關係的穩 固性在慢瓦解， "
21,920,"相關議題 利 ， 以及禁止性別、 性傾向、 範的限度 内 ， 洵具有法律效 性別認同歧視亦係國際人權 力。 又國際人權專家意見， 亦 法及重要國際人權公約， 例如 應在不違反我國憲法及大法 官解釋下， 才值得參酌。 4 . 審視「 公民權利及政治權利國 際公約」 第2 3 條 、"
22,1028,"相關議題 之婚姻權應受保障， 而排除同 性伴 侣 亦應享有與異性伴 侣 相同之婚姻自由權利。 此外， 歐洲人權法院於 X and Others v . Austria (201 3) — 案判決 中， 肯定婚姻關係之有無， 不 能正當化對於同性伴 侣 權利 保障的差別待遇， 此暗"
23,1052,"相關議題 是在於它用來保護少數人免 1 5 萬多人署支持的熱烈迴 於受多數人的傷害的。 立法並 響， 與1 5 萬餘人上街的強烈 不需要社會共識， 代表進步價 反對。 值的法律雖然不見得與當時 6. 觀察美國同性婚姻法制經 普遍存在的社會觀念相同， 但 驗， 其所以不如其他歐洲國"
24,767,"相關議題 在公共利益的這一端， 所以立 法常也會與人權保障相衝 突， 也就是為什麼各個憲政國 家要發展出司法違憲審查， 站 在憲法所保障的權利基礎上 來審查法律或政府行為， 如果 它為了公共利益， 已經超越了 憲法所要保障的基本人權 時， 這樣的法律或是公共政策 是不能允許的。 "
25,1070,"相關議題 歧視， 更重要的一點， 是逆轉 婚姻會造成稱謂、 計算姻親 過去專屬於異性戀， 標誌著 等、 判斷禁婚親之混亂， 違反 夫、 妻上下階層的婚姻制度。 華人公序良俗和倫理， 且會鼓 2 . 當今之婚姻制度已揚棄過往 勵雙性戀者偏向採取同性婚 以宗祧繼承為核心之觀念， 繁 "
26,821,"相關議題 隔代教養家庭、 新移民家庭等 年 10月提出之伴 侣 制度草 等） 子女， 可以在更友善而無 案， 亦納入異性伴 侣 ， 即在現 壓力的環境成長才是。 行的婚姻制度外， 另闢一個伴 4 . 少子化的問題建立在一個錯 侣 制度供人選擇。 但這個設計 誤的預設， 亦即， 預"
27,1084,"相關議題 謂 ， 這是兩件事情， 不應混為 一談， 技術上仍可保留有性別 劃分的稱謂。 六 、 同性婚 1 . 現行特別法之規範， 如家庭暴 1 . 若要保障同性伴 侣 的法律權 姻及同性伴 力防治法、 醫療法等， 尚無法 利， 非以制定專法或修正民法 侣 權益保障 解決其與其他"
28,1121,"相關議題 種給假要件、 損害賠償請求 結合者， 倘非親屬而以永久共 權 、 外國籍配偶的歸化、 定 同生活為目的而同居一家， 宜 居 、 停留、 永久居留等） 全都 以民法第112 3 條之家長家屬 是理所當然。 正因如此， 如果 關係定性之。 基本上， 我國法 還要花費莫大的立"
29,1182,"相關議題 的權利， 同性或跨性戀者也不 異性婚姻制度做出區別， 與其 必然一定要結婚’ 但是這是他 說是隔離， 毋寧是對於少數權 們本來就該擁有的選擇權。 利的尊重與保護。 如同劃分原 7. 若社會尚未達到共識， 無法直 住民族保留區， 原住民仍然可 接承認同性婚姻， 至少應制定"
30,1123,"相關議題 有二種。 其一是要求承認同性 婚姻與同性伴 侣 之界限。 換 言 婚姻， 直接挑戰千百年來人類 之， 先享有實質上的平等保障 杜會維繫至今的婚姻本質， 顛 後， 在進一步取得名義上的完 覆以生殖繁衍子孫為目的而 全平等。 因此， 同性伴 侣 法的 存在的傳統家庭型態， "
31,983,"相關議題 符合平等保障的要求， 因為異 第 7 條實質平等之要求。 性婚姻與同性伴 侣 並行的分 12 . 任何法律解釋及立法政策都 軌制， 仍繼續維持異性婚姻的 不能背離實際而與社會脫 夫妻性別刻板角色設定。 節， 適度妥協是為了對既有制 12 . 同性婚姻法制化可透過行 度的"
