pdf_page,chars,preview
1,1029,"釋字第 91 協同 意見書 黃昭元大法官 提出 一、 本號解釋 結 論及本席立場 [1 ] 在社會現實上， 存在 的現象。 幾可謂：有婚姻，就會有通姦 行為 。古今台外 皆然 ， 至今 不減 。 隨著婚姻制度 逐漸演變為 由 個人自主決定 ， 並 限於一加一的對偶婚 ，並 禁止多"
2,1003,"爭議，即使是民事 制裁 ( civil sanction ) （例如再婚限制） 也可 能 會 逾越憲法界限。 [2 ] 本號解釋結論與主要理由 ： 本號解釋審理兩項法律規定 ， 一是刑法第 下同） （下稱系爭規定一） ，一是刑事訴訟法第 239 定「對於通姦配偶撤回告訴者，其效力"
3,951,"或社會變遷（如人口之消長、經濟發展、新移民或新技術之 出現 、 社會通念的改變等） 時 ， 這時法院 可說 是趨勢 跟隨者 ， 也比較不會受到質疑。但法院有時也可 能 扮演 社會工程師 的 領頭羊 角色，透過裁判去引領規範及社會的演進 ，甚至推動 改變 。至於引領的方式，可能是決"
4,1313,"行為自由在釋字第 釋改稱 為 性自主權則可對抗並突破婚姻制度的制約。 [ 6 ] 在上述回應變遷的範圍內，本號解釋或仍有趨勢跟隨者 之色彩。然本席 認為：在這個安全說法的表面下，本號解釋 其實也兼有濃厚的帶領企圖。究其原因， 應 與大法官之更替 及價值立場傾向 之改變 有關。 ["
5,1497,"[ 8 ] 因法官更替 ， 特別是 當 有 持 不同 立場、想法之新法官加 入， 致法院 之多數及少數 板塊 產生位移，而於 涉及 同一議題 或爭點的類似案件中， 變更判決先例， 實 非異端 。 例如韓國 憲法院曾在 、 1993 、 2001 法（ 1953 違憲 。 韓國憲法"
6,973,"在某些情形會違憲 。 在 Roper v. Simons ( 2005) 一案，他更投票支持 多數意見，認為 對未成年人宣告死刑， 應屬違憲。在他正式退休後， Stevens 他在 一案判決支持恢復死刑 ， 是他一生最後 悔的一票 。 在 一案判決同樣曾支持恢復死刑 的 兩位大法"
7,962,"民意、政策、效率、社會成本等相關因素，但並不 當然 受其 等拘束。 由於 規範體系及 社會集體之變遷，加上 個別乃至於 多數 大法官價值立場之變遷，本院今日宣告通姦罪違憲，並 變更 第 固有其時代意義 ， 但 也有其必然的時代 脈絡及侷限 。本號解釋一旦公布，即成歷 史，而應 （"
8,828,"[ 1 4 ] 在此基礎上 ， 本號解釋則 改以性自主權 來 指稱系爭規定 一所限制之權利， 乃 係進一步強調性行為自由與個人格自 主形成及發展的內在關 聯 ， 而不 只是較無關人格自主的一般 行為而已。 蓋 釋字第 同時強調 性行為自由與個 人之人格有不可分離之關係，本號解釋改"
9,1045,"即 可 凸 顯 「 別 讓 警 察 進 入 臥 室 」 (Kep Police O ut of the Bedrom ) 的 個人自主 。 本號解釋理由書第 3 2 警示系爭 規定一之 發現、追訴、 審判過程 會 「 致 國家公權力長驅直入 人民極私密之領域 」 ，亦 為 同旨。"
10,1270,"無 不同。 只是單純的民事訴訟並無法發動警方協助蒐證，國 家公權力介入的程度較低。惟 如認系爭規定一侵害隱私權而 違憲，則 以 通姦 為由所提起的民 事訴訟 ， 其審理程序 可能也 會發生 類似的 違憲疑慮 。能否 有效區別刑事與民事訴訟， 而 認前者之干預隱私 應該 違憲，但後"
11,1056,"權利的總和或泉源 。 不過， 我國 歷年大法官解釋早已針對不 同 類型 的個人重要事務之自主 決定 權，發展出並承認各種特 定類型之非明文權利， 只有在難以歸類為某種特定之非明 文權利時，始分別歸入人格發展自由 （釋 ） （ 另 可 稱 為一 般 人格 自由、一般人格權 ）或一般"
12,1170,"[ 20 ] 這 個爭點 也是本席在審理本案時， 感到困擾並糾結難清 者 。 依法務部統計，在 2008 定一起訴 （含緩起訴） 、或判決有罪者，均呈現女多於男的現 象；依系爭 規定二單獨對配偶撤回告訴者，則呈現男 性通姦 人 多於女 性通姦人之 現象。以上三種情形，都顯示系爭規"
13,1029,"釋文第 差別待遇，在「具」或「未具」警察教育體系學歷人員 間， 甚至已達百分之百，而無例外。 釋字第 定存在有上述間接歧視，應無疑問。 [ 2 ] 在本案， 縱令不考量 相對有利女性 的少數年份 統計 ，而 以多數年份所呈現的女多於男之 整體 統計結果為準，此項 統 計上的性別差"
14,935,"期以來 ， 呈現性別分布失衡之現象 ， … 」 。 換言之 ， 在系爭規 定一與 其適用結果 之 呈現 性別 分布 失衡 現象 間，其實是另有 系爭規定二之變數，這 才 是更主要、甚至是真正的變數。 立 法者如先修正系爭規定二，改為告訴不可分，系爭規定一即 不至於會產生 上述之 "
15,959,"姦時，相對弱勢 的他 方 更 容易迫於生活、親情等壓力，而撤 回對通姦人之告訴。因此系爭規定二 在實際適用上，是有可 能 會對相對弱勢之無責配偶造成更大的壓迫。 雖然我國女性 地位已日益提升 ， 許多女性在政治 、 經濟及社會等各個層面 ， 也早有不亞於男性，甚至更為突出的表現，"
16,957,"法務部之立場） ， 或有人會主張：依向來法院實務見解， 系爭 規定一 只處罰發生於異性別者間之婚外性行為，而未同時處 罰 發 生 於 同 性 別 者 間 之 婚 外 性 行 為 ， 應 ( underinclusive ) 之分類，從 而 違反平等權 。 或至少在立法政 策上， "
17,995,"然有其可貴之處，但終究屬於感情血緣或人際關係之事項， 並不適合國家透過刑罰手段予以保障 ， 故 也無從承認子女等 其他家庭成員得對配偶雙方主張「彼此應專心相愛的法律上 請求權」 。 又如配偶雙方 之 外， 並 無其他家庭成員 ， 於此情形 ， 維護家庭就是維護婚姻，亦無 須 另 "
18,1159,"3 通姦人 同罪之 相姦人 究竟是對何人違反了什麼忠 誠義務？ [ 3 1 ] 本席認為：上述所謂婚姻忠誠義務，說穿了，就是配偶 一 方對於他方性器官的排他 、 獨占 使用 權，這是 本號解釋和 釋字第 所 沒有說出口的配偶權之核心要素 。 所謂 系爭規定一之目的在維繫婚姻，其實"
19,888,"姦人 之責任 。 相姦人之所以應與通姦人同罪，也正是侵害了 被害配偶之性獨占權，而不是相姦人違反了什麼性忠誠義 務。 從憲法觀點來說，通姦罪所涉及的 核心爭點， 正是婚姻 關係中 ， 配偶 一方 之 性獨占權與他方 （包括通姦人與相姦人） 性自主權的衝突。 [ 3 ] 其實 我國"
20,861,"履行性義務。配偶中任一方 如違反 他方 意願而強制為之，甚 至會構成犯罪。 可見 配偶之性自主權，並不當然受婚姻之拘 束；反而是 配偶間之性義務應受到個人性自主權之制約，而 不是性自主權當然應受性義務之制約。 [ 3 6 ] 綜合上述刑法及強制執行法相關規定之立法意旨， 於性 獨"
