pdf_page,chars,preview
1,693,"司法院釋字第 蔡烱燉大法官提出 本號解釋認為 ， 刑法第 者，處 1 。 其相姦者亦同。」 對憲法第 2 所保障性自主權 的 限制 ， 與憲法第 23 本解釋公布之日起失其效力；於此範圍內，本院釋字第 號解釋應予變更。本號解釋 另 認為， 刑事訴訟法第 書規定： 「但刑法第 23"
2,1142,"律所禁，故無夫姦罪，向有專條規範 。 清末在處理 當時列強 在中國的 領事裁判權 ， 研 修刑律時 ， 就有關中國固有的「無 夫姦罪」 ， 即不得不予以正視 。 由於西方對無夫 女子與男子之 和 姦 行為 ， 並 不加 以 處罰， 受到西方注重個人權思維的影 響 ， 當時 在研議"
3,840,"入罪處罰 。 而在 （下稱舊刑法） 前 ， 當時 所研擬 的 刑法修正案 ， 亦 曾考慮將 「 無夫姦 」 入罪處罰 ， 但 舊刑法終未採 納 。 自 此 無夫婦女非 婚姻關係中 的 性行為 ， 正式由中國刑事 規範 除罪 。 此一現象 ， 反應了 重視禮教法制的中國思維 ，已朝"
4,1004,"家庭幸福圓滿 。 因而在 23 間 立法院 著手 修正舊刑法的準備過 程中 ， 婦女團體 即 積極參與並提出修法建議 。 例如由婦女共 鳴社彙整南京市婦女之意見而草擬的 《 修改刑法意見書 》 ，認 為舊刑法第 上開 規定，應改為「有婦之夫或有夫之婦 與人通姦者 ， 處 2 ， "
5,808,"法第 路 。 婦女團體 於是要求復議 。 但在 立法院於 召開 的三讀會 ， 出席委員 12 ； 該次會 議最終三讀通過上開刑法條文 的 修正案 。 爾後， 不滿的 婦女團體聯合各界婦女團體的力量，共同 向中國民黨中央政治會議（下稱中政會）請願，請求由中 政會將上開刑法條文修正案"
6,824,"成男女都予以處罰 的 意見外，支持廢除刑法通姦罪的呼聲 ， 也不小 在立法院二讀會 還曾通過刪除通姦罪的修正 案，只可惜後來 招 致翻案 ，三讀會最終並未通過此一決議 。 根據前人的研究 ， 及與會的簡又文立法委員在會後所描 述的修法經過， 立法院 於 23 （二 讀會 ） ， "
7,881,"論時（ 10 ） 竟未獲通過。並以 大多數表決，刪除此 條。即有配偶之男女違背貞操之行為，僅負民事責任，而不 受刑法制裁。此本為近世立法之新趨向。各立委因顧及施行 後之困難及紛擾，乃主張不 加 規定。亦具相當理由。 … 」 即 當時 婦女界對 於刪除通姦罪處罰規定 表示 可以接受"
8,791,"亦可取法也云。 」 當年實際參與通姦罪 條文 修法過程 的 簡又文 立法委員 ， 將 修法過程 中 諸多 立法委員 所發表 的 不同 言論 ， 歸納 為三種 立場 ， 並予 以 評述 ： 其一是主張通姦行為不須入罪處罰，完 全以民法加以解決；這是當時世界上最新的主張，但仍無法 被"
9,983,"有其立論依據。 不過系爭解釋的作成，並未平息各界對通姦 罪的違憲疑慮。抑有進者，姑不論刑法 第 239 疑慮，刑事訴訟 法 第 但書 搭配刑法 第 果，女性因通姦或相姦行為被處罰的 人數 ，長期 以來 明顯 多 於男性，也 產生刑法第 適用上違反實質平等原則的 違憲疑慮。 而 相"
10,132,"點 ； 但由歷史 洪流的角度出發 ， 社會 文化 價值觀 的轉變 ， 需 要長時間的 醞釀 與 耕耘， 無法一蹴可幾 。 今日 本號解釋 的作 成 ， 就歷史觀而言 ， 或 可謂 「 恰如其時 」 。 後瀏覽日： 109 9 ） 。 10 年 5 月 2 日）"
