pdf_page,chars,preview
1,549,"憲法庭 部分協同 部分不同意見書 詹森林大法官提出 113 本判決共有 成；另外，關於第 、 2 有必要再為補充說明。爰提出部分協同、部分不同意見書。 為配合本判決對法規之簡稱，以下將 修正公布之刑法第 94 2 1 86 施行法第 94 日新增刑法施行法第 合先敘明。 壹、 對"
2,761,"期間內，如故意更犯罪，受逾六月有期徒刑之宣告確定，或 故意更犯罪，受緩刑或六月以下有期徒刑之宣告確定，而有 再入監執行刑罰之必要者，其假釋即應予撤銷，或得予撤銷 （刑法第 數不算入刑期內（刑法第 殘餘刑期 （系爭規定一、三） 。 準此，本席雖贊成 第 、 2 仍有不得不語者為 ："
3,557,"或謂： 「假釋之受刑人，如於刑法第 79 定期間經過後，仍未經撤銷假釋，其未執行之刑，以已執行 論，故受刑人於假釋期間改過自新之表現，立法者已以本條 項規定納入考量。」 然而，刑法第 假釋期間改過自新之表現，法律上應予正面評價，而非如刑 法第 二、刑法第 無期徒刑受刑人之假釋期間"
4,728,"28 。 假釋如經撤銷，則須再度入監服 （系爭規定三） ，且在該 易言之，無 期徒刑受刑人，須在監獄服刑至少 另須二度服刑 滿 至少 或有認為，鑑於有期徒刑之最長期間為 3 最長為 第 50 對於刑法第 年始有假釋機會 ，及系爭規定三所定之 25 殘餘刑期間 ， 113 宣告 為"
5,1044,"本庭聲請憲法審查，亦可依本判決意旨，獲得相關救濟。 本席十分贊同本項主文，茲再補充理由於下。 大法官及憲法庭基於釋憲聲請，宣告法規範違憲而失 效者，其主要模式分為違憲立即失效、違憲定期失效兩種 。 對聲請案之當事人而言 ，該二法規範失效之宣告，均具溯及 既往效力。換言之，無論大法"
6,732,"項規定： 「 （第 1 法規範立即失效者 ，於判決前 已繫屬於各法院而尚未終結之案件，各法院應依判決意旨為 裁判 。 （第 2 刑事確定裁 判 ，檢察總長得依職權或被告之聲請， 提起非常上訴 （第二 項） 」 。 依本條規定， 憲法庭 判決法規範違憲 且立即失效 者， 該判決之效"
7,693,"63 本席於大法官解釋時期，即曾就「法令經大法官解釋宣 告違憲，且應立即失效者，非該解釋之聲請人，但先前已遭 法院適用該違憲法令，而受不利終局確定刑事裁判之當事 人，得否持上開解釋請求救濟」之問題，於 第 0 在該意見書中，本席認為，經大法官解釋宣告立即違憲之刑 事法令，考量刑事"
8,586,"被執行殘刑之無期徒刑受刑人，其人身自由自屬遭重大侵 害。有鑑於此， 113 ，除以第 規定違憲且定期（ 2 判決之效力，亦及於聲請人以外之其他被依該二規定執行殘 行之無期徒刑受刑人，俾一併終止該二規定繼續侵害其他無 期徒刑受刑人之 人身自由 。此第 實體正義之本質 ，及憲法保障 "
9,807,"行為時之法律。但行為後之法律有利於行為人者，適用最有 利於行為人之法律。 （第 2 由之保安 處分適用裁判時之法律。」由是可知，倘刑法於人民行為後 有變更，且係對人民人身自由限制為更不利之修正，應採 從 輕 原則。 依此 ， 關於 假釋中之無期 徒刑 受刑人 ， 被依法撤銷假釋 "
10,686,"準此，從刑法體系整體觀之，同為新舊法應如何適用之 準則性規定，立法者卻不附理由，訂定系爭規定二及四，採 取與刑法第 利人民之新舊法適用標準，在無期徒刑受刑人經撤銷假釋 後，其應執行之殘餘刑期間之長短，涉及人民人身自由之重 大法益考量下，系爭規定二及四，已屬立法恣意而為違憲。 二、"
11,656,"者雖修正 刑法 第 86 1 正 ， 另於刑法施行法規定如系爭規定二及四之 「從嚴」 條款 。 是國家即不得對本應適用有利規定（假釋後滿 銷假釋）之無期徒刑受刑人，改為適用較不利之規定（假釋 後滿 換言之 ，縱使該經假釋之無期徒 刑受刑人 ， 其未經撤銷假釋之 10 嗣後修正之 "
12,881,"舊法間應如何銜接適用之規定，然該規定直接決定應執行殘 刑之無期徒刑受刑人，如何情形可適用較短殘刑期間、如何 情形應適用較長殘刑期，且新舊法間之差距，動輒以 10 人而言，其對人身自由之侵害， 絕 不亞於系爭規定一及三。 刑事法規，涉及對於人民財產、自由甚至生命之侵害。 有鑑於此，"
13,1101,"釋期間 （刑法第 10 24 逐步延長為 86 、 20 94 ； 撤銷假釋後執行殘刑期間（刑法第 判決所稱之系爭規定一及三） ，從原先 20 86 ，延長為 94 。 立法者所以修正舊法或增訂新法，逐漸加重無期徒刑受 刑人之 人身自由 侵害，其可能原因，或許係因舊法施行經過 一"
14,105,"立法者卻持該原因而通案地加重侵害其餘無期徒刑受刑人 之 人身自由 ，豈能謂為無牴觸憲法之情事。 難道，憲法上，任何人一經受無期徒刑 宣告確定 ，即須 終 生 戴著 人身自由 受立法無止盡侵害之緊箍咒？ 14"
