pdf_page,chars,preview
1,436,"釋 憲 聲 讀 書 原確定判決案號： 最高行政法院101年度判字第1037號判決 聲 路通商行 代 邱基峻律師 ' 蘇偉哲律師 聯絡人蘇偉哲律師 壹 、聲福 谓 釋憲法之目的 ― 按 「 有左列情形之一者， 得聲請解釋憲法： …二 、 人民、 法人或政黨於其憲法上所#障之權利， "
2,638,"制 ， 致侵害聲請人受憲法第15條保障之財產權， 爰向大 院聲請宣告系爭決議違憲無效 。 貳 、疑義之經過與性質及涉及之憲法.條文 ― 、緣聲請人委由第三人聯豐報關有限公司， 於民國（ 下同 ） 97年3月4 日至7月10 日分別向財政部高雄關稅局（ 下稱「 原 處分機 關 」 "
3,812,"月12日高普緝字第1001004723號重核復查決定： 「 原處分 中營業稅罰鍰部分變更 ， 改處所漏營業稅額1. 5倍之罰鍰 如 T ， 其餘復查駁爾 。 （ 一 ） 進口報單第 BD / 97 / V 867 / 0052 號 ： 處所漏營業稅額1 , 5倍之罰鍰計132, "
4,622,"罰鍰738 J 80元 ， 原處分機關一行為兩罰， 致聲請人須負 擔超過400萬元之高額罰鍰，系爭裁罰處分就裁處營業稅 罰鍰部分， 顯有違法， 應予撤銷 。 案經最高行政法院審理 後 ， 該院援用系爭決議： 「 關 税 係 對 國外進口貨物所課徵 之進口稅 ； 貨物稅乃 對 國 "
5,510,"號 、 釋字第604號眧示之「 一行為不二罰 」 原則及憲法第 23條比例原則， 致聲請人遭受過重裁罰， 憲法第15條保障 之財產權遭受侵害》 爰向大院聲請宣告系爭決議違憲無 效 。 參 、聲請解釋憲法之理由及聲請人 對 本案所#之立場 與見解 — 程序部分 按 「 最高行政法院"
6,604,"二 、實體部分 ( 一 ） 聲請解釋憲法之理由 1 、 按 「 逢反租稅義務之行為 s 涉及數處罰規定時可否併合 處 罰 ， 因行為之態樣、 處罰之種類及處罰之目的不同而 有 異 ， 如係實質上之數行為違反數法條而處罰結果不一 者 ， 其得併合處罰， 固不待言 。 惟納親義務人 "
7,622,"行政法上義務， 除處罰之性質與種類不同， 非採用不同 方法而併合處罰無以達行政 g 的所必 要 者外， 不得重複 處 罰 5此 「 一行為不二罰原則 」 乃為民主法治國家之基 本建制原則， 並具有憲法位階，而得為大院進行違憲 審查所得適用之憲法原則（ 釋字第604號解釋參照》 附"
8,630,"行為人是否以「 一行為 」 同時違反數個行政法上義務之 認定極其嚴袼， 甚至曾有「 行政法上所謂『 一事』或 『 一 行為』9係以一項法律之一個管制目的為認定基礎 。 因 此 ， 一事實行為分別違反不同法律之 规 定者， 即非屬一 事 ， 或一行為， 應分別處罰， 除有法律明文規"
9,601,"適 用 ， 因系爭決議就行為數之認定偏重行政法律管制目 的之達成5而罔顧憲法保障人民不受過度處罰之意旨9 致行為人自然意義下之單一違法行為仍須遭受數個行政 裁 罰 ， 顯然牴觸一行為不二罰原則 。 為 此 ， 聲請人爰聲 請 大 院 解 釋 憲 法 5並宣告系爭決議違憲無效 。 "
10,623,"律上單一行為， 仍不能恣意， 凡 『 切割』超出達成管制 目的所需之限度， 例如將違規停車行為以每五分鐘舉發 一次 * 或將連續排放污水行為以每五分鐘採樣一次 * 或 將超速行為以每隔十公尺測速照相舉發一次為標準5而 「 切割 」 成數行為， 並分別評價、 處 罰 ， 仍得以違反"
11,601,"一意思決定而不實填 ft 於同一份進口報單上， 且填 载 之 時間甚 爲 緊密， 則應為自然意義下之一行 爲。 惟系爭決 議 以 「 關稅係 對 國外進口貨物所課徵之進口稅 ； 貨物稅 乃 對 國 内 產製或自國外進口之貨物 s 於貨物出廠或進口 時課徵之稅捐 ； 營業稅則為 對"
12,614,"項第一款規定， 應依同法第六十條第一項處以罰鍰 外 ， 同時亦符合道路交通管理處罰條例第八十二條第一項 第二款或第三款應科處罰鍰之規定 。 國行為單一 》 J t 反數個規定之效果均為罰鍰 * 處罰種類相同， 從其一重 處罰6 足達成行政目的》 敌 僅得裁處一個罰鍰， 爰為第 一"
13,541,"一份進口報單， 需分別提寫進口稅、 貨物稅及營業稅相 關事項， 向海關遞交』5『 故實質上為三個申報行為， 而 非一行為』， 應併合處罰…最高行政法院這一最新見 解 ， 本書並不贊成 。」 （ 附件7 ) ， 由此， 其應係認系爭 決議就行為數之認定在學理上難求正當性基礎5 對 "
14,227,"份 。 附件7 : 吳 庚 ， 行政法之理論與實用， 三 民 ， 增訂十二版， 2012 J 0 $ 頁 479-482 。 附件8 : 許宗力前大法官於釋字第604號解釋之協同意見 書 。 附件9 : 曾有田前大法官於釋字第604號解釋之協同意見 書 。 附件10 : 行政罰法"
