pdf_page,chars,preview
1,712,"解釋憲法補充理由書 案 號 ： 109年度蕙二字第414號 聲 請 人 ： 賴 清 和 聲請代理人： 陳偉仁律師 茲就本件解釋憲法聲請， 提呈補充理由： 一 、有檢討第79條之1第 5項合憲性之必要： 公布於動員戡亂時期前夕33年間之懲治盜匪條例， 係於國家動盪 不安之特殊情勢下"
2,838,"二 、據以審 査 之憲法權利及其審查基準： 刑法第79條之1 第 5項明定： 「 經撤銷假釋執行殘餘刑期者， 無 期徒刑於執行滿二十五年， 有期徒刑於全部執行完畢後， 再接續執行 他 刑 ， 第一項有關合併計算執行期間之規定不適用之。」對人民身體 之自由為剝奪。 按人身自由為人民"
3,783,"則有違（ 釋字第666號 、 第687號及第793號解釋參照） 。 法規範是否 符合平等原則之要求， 其判斷應取決於該法規範所以為差別待遇之目 的是否合憲， 其所採取之分類與規範目的之達成間， 是否存有一定程 度之關聯而定。因假釋之撤銷將令受刑人重入囹圄， 涉及人身自由之 重大限"
4,820,"於 86年修正， 門檻從10年提高到15年 、 94年第二次修正， 再從15年提高到25年 。而 94年修法理由略以： 「 假釋制度 係發軔於英國， 固已為目前大多數國家刑事立法例所採行， 惟對於受刑人應服刑多久， 始得許其假釋， 各國立法規定不 一 。 尤其對於重刑犯及累犯是否"
5,769,"4 . 綜上所述， 縱使假釋門檻越修越嚴係為符合當下社會氛圍， 惟不分情形， 將與當時社會亂象全然無關之「 無期徒刑犯」 亦囊括入修法針對之對象， 所提修法理由又存在前開所述顯 而易見之邏輯謬論， 堪認修法提高無期徒刑假釋門檻此一措 施 、完全與立法者劍指之目的無關， 而有違比例"
6,805,"付保護管束而有一定之作為及不作為義務以及法律另有特別規 定外， 所得享有自由權利之保障， 如言論自由、 通訊自由、 集 會結社自由、 工作權、 財產權…等， 與未受有罪裁判宣告之 一般正常人相當； 故如因受假釋人違反假釋條件， 致假釋受撤 銷 時 ， 將涉及受假釋人身自由之再度限"
7,832,"圖勒贖而擄人罪， 經法院判處無期徒刑確定， 其於假釋出獄前 已入監執行近12年 5 月 。 雖懲治盜匪條例已廢止（ 刑法第347 條 第 1項之意圖勒贖而擄人罪， 法定刑為無期徒刑或7 年以上 有期徒刑） ， 惟刑法第79條 之 1 第 5 項並非刑罰規定， 檢察官 依據法院確定"
8,705,"適用的認定與判斷上所產生之棘手問題， 略以： 「 值得疑慮者， 乃在於懲治盜匪條例的規定， 主要係採取刑罰嚴厲的思維， 不 論那一級的盜匪行為， 在評價的法律效果動 辄 死刑， 倘若在裁 判確定後， 確定為死刑之宣告者， 於刑罰執行前發生該條例的 廢止之情形， 如依法律評價的基本"
9,93,"討•台灣本土法學雜誌， 第36期 ， 1-31頁影本乙份。 中 華 民 國 4 曰 聲 請 人 ： 賴 清 和 〇 m 聲請代理人： 陳偉仁律師 剛_ m 1 0 年 1 0 月 9"
10,0,""
