pdf_page,chars,preview
1,400,"fcf 、 又本解釋聲請案之原因案件， 及適用上開規定矗# ， 於本有 I 7切 多 1 u j V n ¥ ^ n〇^ h 判案號 m ： 鹏 憲法聲請書 聲 請 人 為刑法第79之 1條第5 请 ， 涉有抵觸憲法第8 條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審"
2,927,"V 涉 拉 敝 刑法第79之 1 條第5 項 ： 「 經撤銷假釋執行殘餘刑期者， 無期徒刑於執行滿二 十五年， 有期徒刑於全部執行完畢後， 再接續執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 ' 聲請人之主張及立場 一 、 刑法第79之 1 條第5 項所涉及之憲"
3,972,"其依自主意志作為或不作為之一般行為自由受到剝奪。 2 . 婚姻與家庭權利 經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基本 團體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育受 扶養之兒童時， 尤應予以保護與協助」。 我國釋字第712號解釋有 謂 「 基"
4,1165,"三條所定要件。 保安處分係對受處分人將來之危險性所為拘束其身 體 、 自由等之處置， 以達教化與治療之目的， 為刑罰之補充制度。 本諸法治國象保障人權之原理及刑法之保謎作用》 其法律規定之 内 容 ， 應受比例原則之規 . 範， 使保安虛分之宣告， 與行為人所為行為 之嚴重性 、"
5,1109,"麵 關 之 裁 g 權 ， 造成個案顯然過苛 M 無 ^例 夕 嚇 除 之 娜 時 ， 則亦 4 . 大法官解釋第777號理由書謂： 「 人民身體之自由應予保障， 憲法 第 8條定有明文。 限制人身自由之刑罰， 嚴重限制人民之基本權利， 係不得已之最後手段。 立法機關如為保護合乎"
6,1078,"刑法第 7 9 之 1 條第 S 項造成前罪 » 徒 刑 ， 假釋期間因犯其他有期徒 區 ， 配合巡迴醫療工作及至安養機構提供藥事諮詢服務等活動， 由 執業之藥師前往支援， 並不違反前揭立法目的， 實無限制之必要。 且參諸現行實務， 主管機關於有上揭情形時皆對系爭條文為彈性解 釋"
7,1147,"79條 之 1 規 定 ， 而取巧以賦與法官准否撤銷假釋裁量權方式處理。 而 且若依聲請意旨， 賦與法官或其他機關裁量權， 則除了沒有裁量標準， 將再滋生目前已常見之等者不等 、 因法官或裁量者不同而准否撤銷假釋 結果不同之不公外， 更可能另生對原被處無期徒刑之重罪者撤銷假釋令 "
8,1319,"我國刑法第79條之1 第 5 項規定， 對受刑人過於嚴厲 (三 ） 長期監禁造成受刑人身心之侵害， 恐有違背〈 公民與政治權利國際 公約 〉 （ International Covenant on Civil and Political R ig h t s ， 下 稱 「 公政"
9,1119,"運動 、 極端氣候 、 通風不足以及缺乏放風時間。 且值得注意的是， 死長期對於死亡預知之不確定所產生之心理焦慮與精神痛苦， 實足已構成殘忍 、 非人道或侮辱待遇。 禁止酷刑委員會即認定待死 現象之所以構成酷刑， 不單係因為惡劣之監所條件， 更可能是長期 監禁所造成之精神痛苦。 "
10,1045,"綜 上 ， 因假釋期間犯罪遭撤銷假釋， 並因刑法第79條之1 第 S 項規定 華民國刑法部分條文修正草案， 包括提高舊刑法強盜罪之法定刑 、 增訂準擄人勒贖罪規定等。 至此， 懲治盜匪條例可謂完全走人歷 史 ， 由刑法 、 組織犯罪防制條例等法律來實現該條例維護社會秩 序的立法初"
11,452,"Kf ^ S f ^ d 參斗 v t f > ! f 辜 94 口 r 4 ^ ) , % n p ] A r ^ i — 7 ? ) m i ^ j a X / ft 7 ^ ； ^ J A m a \ 逄 、 如 冬 沒 謂 緣 彡 々 ^ 'T H i a = i m ."
12,274,"巧愈]舞痛丫邙成 (次^ 钵 參|送)夕碎 / ) 、 義雜 刹 蜱 一 碏 。 r 岬 确 辨 轉 導 W 丨義 、 久 t | h 、 i 亏 H ' ( ^ !是 , i ^ i^ /j 、 / j ^ l M k . 剩 邊 奶 識 〇 手 細 竭 如 ^ 背 ' 虹可成"
13,204,"J 4 仏 蓋^ 猶私惠 ~ ^’ i 邊 參 铃 、 泰職4落# 、 表么基7 P 之 卜 》 奶 筝 A ♦ 础 — 來 释 '、 # 敎 矸 ― 1 滅 • k 奪 i f ^ 筆補 、 鹤 ⑵ g 膽 ^ 3 观 ^1 輯 $ 竹 名 ♦ ,4或 蹲 ^ 鄭 i ^ j "
14,275,"l 龜 \ M ,% A v - ^ o i ^ . i ^ 尥本席昶商 i 汹畸獻泰 k 平 ■ 專 養 逸 # 高 择 拜 j f c f } 翁爹4 H i ^ J A , 哥 i , 遵量給0 i 攸 ♦ 瓦士樣邳 f 厂 不 因 遗 $ 犬 ■!, 、 祿命二株不向 H"
15,255,"學 I ， 列考 fa 办 i 成 节阁 襪十 1 b 9 ♦ 平4 i W [ _ 矸 4 ^ ] 4 % k t^ \ ) y , 9 > ^ { 文成釋 i _ 容4”矛, 军 ”1子 . f 地 i k 4 & . i^J%t 等 ， 季早 这 / » 錢争 开 一| i"
16,144,"ila (E > 村件一 、 金國刑茱資 t 姐 表 妙 ― 令。 n w 三 / v |裊印本一份 ， 轉 你 W 你 ft 件五 、 °被 會 技 轉 抑 録 檢 印辛-後 丰 _ 鈴執印 H M I 二 、 法 卷 哿 法 授 墙 綠 … ' 训 仲 1 ST 专 一 亞喬"
17,34,"此致 司法院公鑒 中 華 民 國 ' 0 年 ‘月〉 曰 聲請人："
18,0,""
