pdf_page,chars,preview
1,492,"1 釋字第 632 號解釋協同意見書 大法官 許宗力、廖義男 本件因立法委員賴清德等八十九人，認立法院程序委員 會一再將總統咨請立法院審議之第四屆監察院人事同意權 議案作成「暫緩編列議程報告事項」之決議，致聲請人等無 從行使憲法賦予之人事同意權；並使監察院因其第三屆院 長、副院長"
2,478,"2 監察院無從行使職權、發揮功能，國家憲政制度之完整因而 遭受破壞，應為憲法所不許」等語，本席等敬表贊同。僅就 其間未能詳述部分，認有補充說明之必要，爰提出協同意見 書如下。 一、程序：本件聲請憲法疑義解釋部分符合要件，應予受理 （1） 由聲請意旨可確知聲請人等主張之憲法疑義為何"
3,508,"3 司法院為之。就立法院程序委員會屢次決議監察院人事同意 權案「暫緩編列議程報告事項」，究牽涉如何之憲法疑義之 問題，本件釋憲聲請書之陳述固非甚明確；然由聲請意旨一 再強調立法院有依憲法增修條文第七條第二項行使監察院 人事同意權之義務、國會議事自律有其界限、憲法機關負有 憲法忠誠"
4,509,"4 肇因於聲請人總統陳水扁先生為國務機要費使用問題，遭台 灣高等法院檢察署查緝黑金中心檢察官偵查、訊問，並將涉 嫌與總統共同貪污及偽造文書之總統夫人吳淑珍女士等人 提起公訴；嗣於審判期間，又遭台灣台北地方法院發函要求 說明國務機要費相關事宜。該案聲請人認檢察官之具體作 為，侵犯其"
5,492,"5 法委員遂提出副總統得否兼任行政院院長、新總統是否須重 新提名行政院院長人選及立法院得否以決議要求總統重新 提名等疑義，向本院聲請解釋。 由於憲法疑義係在各級機關行使職權、適用憲法之具體 過程中產生，且為個案爭議抽象化後之結果。當本院對聲請 解釋所涉及之憲法條文作成一般性、原則"
6,546,"6 行。因此，本件原因事實固僅是立法院不行使人事同意權乙 事，然本解釋之作成，就日後政府機關得否消極不行使職 權，致影響憲法機關實質存續之抽象疑義，亦有原則性重要 意義。是就作成解釋有無憲法意義之觀點以論，本件更不宜 以聲請解釋之客體涉及具體行為而拒絕受理。 （3） 本件憲法疑義"
7,538,"7 具體言之，在三分之一以上立法委員就其行使職權，適 用法律發生有牴觸憲法之疑義，聲請「法律違憲解釋」時， 必須該等立法委員係系爭法律案表決時投反對票、或至少未 投贊成票者，或當時雖投贊成票，但嗣後改變見解，另行提 出法律修正案卻修法未果者，始具聲請解釋之必要 2 。依照此 一標"
8,500,"8 告事項之情形，依立法院既定之程序規範，尚無從省略或突 破程序委員會之阻擋，逕由主席或出席委員提議變更議程而 交付全院審查。根據報載，部分支持行使人事同意權之立法 委員亦曾於九十四年十二月二十日在程序委員中發動突 襲，將該議案排入議程，惟因嗣遭多數委員反制退回程序委 員會，遂不"
9,497,"9 聲請人等是否提案或贊成修法，與本件有無聲請解釋之必要 之間，已無直接因果關係。況且，依據本院釋字第三四二號 解釋，立法院如何行使各項職權之議事規範，本屬其內部事 項，原則上不生牴觸憲法之問題，本院對其議會自律之權限 應予尊重。倘本院猶要求聲請人等應先提案變更議事規則， 豈非企"
10,800,"10 避到政治問題原則的保護傘下 3 。 本件立法院程序委員會以程序杯葛的方式，確實引起輿 論在政治上的高度關注，牽動立法院各黨團間及總統與立法 院間之敏感神經；本席等也同意，程序委員會暫緩將一般議 案編列議程，乃常見之政治抵制手段，具有釋放特定政治訊 息、形成特定政治議題之功能"
11,437,"11 代替政治部門作成任何判斷；即如本院釋字第四一九號解釋 理由書所稱，僅得處理「憲法之法律問題」，不得涉入「政 治上之人事安排」。就本件而言，憲法增修條文第七條第二 項充其量僅能解釋為要求立法院必須適時「行使」監察院人 事同意權，而非立法院在一定期間內必須「同意」總統提名 之人"
