pdf_page,chars,preview
1,724,"司法院秘書長函 受文者： 財政部等 參 主旨： 請 貴 部 （ 署） 提供對中華民國95年 6 月14曰修正公布之所 得稅法第17條第1項第 2 款第 2 目之 3 規定之法律意見及其相關 丨 立法資料供參。 請 查 照 。 說 明 ： 一 、 依據司法院大法官審理案件法第1 3"
2,513,"(三） 目前依據系爭規定所稱之特約醫療院、 所之數量及分佈為 ; 何 ？是否僅限於有特約關係之「 醫療院、 所 」或包括其他 「 醫療相關機構」？ (四） 系爭規定所稱「 經財政部認定其會計紀錄完備正確之醫院 者」 ， 其認定標準為何？目前依據該規定認定之醫院數量 及分佈為何？ "
3,982,"- 竹 年 f 月 / f 曰 會 台 字 第 號 行政院術生署函 受文者：司法院 总 2 [ 主 旨 ： 大院秘書長函請本署提供所得稅法第17條第1項第 2 款第 2 目之 3 規定之法律意見及其相關立法責料乙案， 有關本署 部分復如說明段， 請 察 照 。 說 明 ： — 、"
4,590,"第17條 ， 直轄市或縣 （ 市）主關機關依規定辦理護理 機構業務督導考核， 應訂定計晝實施， 每年至少辦理 一次等之規定，落實護理機構業務督導考核。 4 、 準 此 ，目前對護理機構之管理， 係由各縣市衛生局辦 理 「 護理機構 （ 包括一般護理之家及居家護理機構 ) 業務督導"
5,632,"台閩地區護理機構家數及病床數一覽表 資料截止曰期： 98 / 1 2 月 3 1曰 地 病 區 別 護 理 之 家 （ 家 ） （ 床 ） 間照護服務量 許 可 數 台北市 3 51 0 3 8 高雄市 7 6 4 5 台北縣 6 , 3 87 ■ ,179 0 宜蘭縣 7 3 "
6,1557,"中央健康保險局 特約醫事服務機構家數統計表 報表編號： MHAH 6 5 2U 01 列印日期： 099041 6 程式名稱： MHAH 6 5 2R 01___________________________ _ 统計年月： 099 / 0： ? 頁 次 ：1 類別 t 寧服務"
7,793,"司法院大法官書記處收文 正本 奶年7 月 / 之 9 會台字第 — 號 財政部函 受文者：司法院秘書長 主 旨 ： 大院大法官審理曹天民先生聲請解釋所得稅法第17條 第 1 項 第 2 款 第 2 目之 3 醫藥及生育費扣除規定 （ 以下簡稱系 爭規定）是否牴觸憲法疑義乙案， 復"
8,817,"得以綜合所得稅結算申報戶為單位適用一定扣除 额 度 ， 就標準扣除額或列舉扣除額擇一適用， 並訂定特別 扣 除 額 a 納稅義務人除就標準扣除額或列舉扣除額擇 一減除外， 並得依規定減除特別扣除額。 (三 ) 复關列舉扣除顯 . 之立法目的， 係適度煮量影響納稅義 務人納稅能力之"
9,853,"院 、勞工保險特 约 醫療院、 所 」列入准予扣除之範圍 ， 以廣為適用。 4 、 其後復經7 3 年 1 2 月 3 0 曰 、 78年 1 2 月 3 0 曰 、 8 2 年 2 月5 日及97年 1 2 月 2 6 日數次修正 ，爰現行醫藥 及生育費列舉扣除， 以納稅義務人"
10,883,"建議在財政許可範圍 内 ， 考量各項扣除額之必要性及 優先順序進行適度調整， 本部已配合修正所得稅法第5 條 之 1 、第 17條 、第 1 26 條 規 定 ， 經 97年 10月 2 6 曰 總統令公布， 並 自 97年 1 月 1 日適用，目前尚無相關 修法規劃。 茲 就 "
11,856,"醫院及診所。 (二 ) 另依本部80年 7 月 n 曰台財稅第8007118 6 1號函有關 臺灣省立老人養護中心 （ 現已改隸 内 政部）收 取 之 「 養 護費」， 其中屬醫療行為之收費； . 本部85年 . 10 . 月 9 曰 台財 税 第_ 851917780號函有關公"
12,952,"用全民健康保險醫療資源之立場，系爭規定自屬適法 正 當 。 ■ V 、 茲 就 「 醫藥費是否適用系爭規定准予列報醫藥費列舉扣除 額之實務運作情形為何？其認定標準為何？不符合系爭規 定所列之醫藥費不予列舉扣除之目的為何？」說明如下： (一 ) 我國綜合所得稅納稅義務人大多選擇列報"
13,579,"其符合規定之醫藥及生育費支出， 均得核實扣除且無扣 除金額之限制， 亦不似多數國家以超過所得總額之一定 比例為適用要件，已適度考量該項支出對納稅義務人納 稅能力之影響。 (三 ) 另基於民眾之醫藥及生育費用多屬小額零星支出， 且公 立醫院、 全民健康保險特約醫療院所， 或經本部認"
14,649,"司法院大法官書記處收文 年 ？月 左 曰 會 台 字 第 號 釋憲聲請補充理由書 聲請人 曹天民 壹 、聲請解釋憲法補充理由書之目的 聲請解釋蕙法聲請人為請求鈞院解釋臺灣臺北高等行政 法院9 6 年度簡字第90 2 號判決、 最高行政法院97年度裁字第 404 2 號裁定， 就聲"
15,726,"執行「 居家照護」之相關醫療費用。 惜財政部十多年來， 未參如 健保制度， 修正所得稅法執行細則， 或增加其認可會計紀錄完備 正確之醫療院所單位， 而臺灣省北區國稅局亦未就實際費用支出 部分為實質上之稽核， 僅以非全民健康保險特約機構等形式要件 駁回， 致使有相同醫療需求之納稅義"
16,823,"(六） 財政部85年 10月9 日臺財稅第85191 6 51 2 號行政函釋。 參 、聲請解釋憲法之聲請人對本案所持之補充見解 爰財政部臺灣省北區國稅局剔除該數筆醫療費用， 係主張該 數筆費用， 皆非付與公立醫院 ' 公務人員保險特約醫院、 勞工保 險特約醫療院、 所 ， 或經"
17,745,"件 ， 有達反憲法第十九條租稅法律主義， 應不予援用 a 3 準此， 則醫療費用支出是否得為所得稅之扣抵 项 目， 亦應取 I 決於是否有實際為撫養親人之醫藥支出客觀事實為準， 而不應以 1 是否「 付與公立醫院 ' 公務人員保險特約醫院、 勞工保險特約醫 j 丨療院、 所 ， "
