pdf_page,chars,preview
1,588,"釋字第七二七號解釋協同意見書 大法官羅昌發 提出 本件涉及對不同意國軍老舊眷村改建之原眷戶處理方式 之公平性，以及國家資源永續利用問題。中華民國八十五年 二月五日制定公布之國軍老舊眷村改建條例（下稱眷改條 例）第二十二條規定： 「規劃改建之眷村，其原眷戶有四分 之三以上同意改建者"
2,632,"國防部制定相關辦法（例如民國四十年間制定之「國 軍在臺軍眷安置辦法」 、四十五年間制定之「國軍在 臺軍眷業務處理辦法」 、八十六年間制定之「國軍 眷業務處理辦法」及九十一年間制定之「國軍眷業 務處理作業要點」 ） ，作為分配眷舍、授予相關利益及 管理眷舍等之依據，以安定國軍眷屬生"
3,651,"序、規範目的、受益人範圍、給付方式及額度等有關 規定，有充分之形成自由，得斟酌對人民保護照顧之 需求及國家財政狀況等因素，制定法律，將福利資源 為限定性之分配（本院釋字第四八五號解釋參照） 」 ， 惟仍受平等原則之拘束（見本號解釋理由書第一 段） 。就本件是否屬於「社會給付」而言"
4,679,"質。眷改條例及其施行細則所賦予原眷戶權益之此種 性質，在審查平等權受侵害時，自應納入利益權衡之 考量。 （三）就立法形成空間而言：本席認為，某項給付縱屬社會 給付措施，其立法之形成，除受平等權之限制外，亦 應嚴格受 「代際正義」 （ intergenerational justi"
5,574,"地資源逐批喪失，並因而使後世代原應享有之國家資 源，產生無法回復之減損結果（包括未來之軍人及其 眷屬將漸無可以借用之眷舍） 。本席對於立法機關將 可能枯竭或無法回復之資源，轉讓特定群體之立法形 成自由範圍，尚有相當保留。 三、本件所涉憲法上權利 （一）本件涉及平等權：國軍老舊眷村"
6,607,"十三條與第十四條對於同意戶所賦予之「權益」 ，經 濟價值雖高（原眷戶之利益可能達新台幣數百萬 元） ，但眷改條例第二十二條對此係稱「原眷戶權 益」 ，而未規定為「原眷戶權利」 。亦即，立法者已對 此等給付定性為「非法律上權利」 。原眷戶並不因眷 改條例之規定，而對國家取得請求給付"
7,658,"聯始符合所謂「一定程度之關聯」 ，則視所涉權利及 公共利益之重要性而決定。如涉及極重要之公共利 益，則手段與目的間應具有極高度關聯。如涉及違反 憲法所保障之重要權利，則應使差別待遇之規定， 「受 較為嚴格之審查；除其目的須係合憲外，所採差別待 遇與目的之達成間亦須有實質關聯，始合"
8,674,"的基礎應在於憲法第二十三條的規定。且憲法第二十 三條謂「以上各條所列舉之自由權利，除 … 所必要者 外，不得以法律限制之。」依該條所示，倘某一法規 或制度係對憲法權利（包括第七條平等權）的限制或 剝奪，均應依該條所揭示之標準予以檢驗（見本席於 本院釋字第六九二號解釋所提出之意見書"
9,830,"定「人有權享有本宣言所載之一切權利與自由，而 不分種族、膚色、性別、語言、宗教、政治或其他見 解、國籍或社會出身、財產、出生或其他身分等任何 區別。 ……」 （ Everyone is entitled to al the rights and fredomset forth i"
10,662,"相同或不同的待遇。故該規定所規範的差別待遇，應 包括二要件：其一，必須被比較的情形為「相同」或 「類似」 。其二，必須人民所受之待遇有所差異（亦 即有法令上之差別待遇或有事實上之差別待遇） 。本 件中相比較的兩種情形顯然「類似」 ，且不同意改建 與同意改建之原眷戶兩者所受待遇的確"
11,615,"獻或功能，以及該規範對憲法上權利所造成限制或影 響的程度。在權衡與平衡此等因素之後，憲法解釋者 應進一步考量客觀上是否存有「較不侵害憲法權利」 的措施存在。 （三）就系爭規定差別待遇所欲增進之公共利益而言：眷改 條例第一條提及老舊眷村改建之目的在於「提高土地 使用經濟效益，興建住"
12,629,"而非賦予「權利」 。不同意改建之原眷戶「縱使」原 應享有此項「權益」 ，然其亦非憲法上財產權。且此 項「權益」之賦予對象，並非弱勢或須救助之一般社 會大眾，而係限於有一定工作身分之群體；故各項利 益，並非「社會給付」之性質。系爭規定之差別待遇， 對不同意之原眷戶「憲法上權利」所造"
13,289,"家土地永續利用亦有不利之影響，故本席認為系爭規 定所形成之差別待遇並未逾越憲法第二十三條之必 要件。 多數意見另比較不同意改建之合法原眷戶完全喪失 前述「權益」與違占建戶所可享有之拆遷補償，認有 法益失衡；以及就真正弱勢之極少數原眷戶未有特別 處理，認有檢討改進餘地，本席敬表同意"
