pdf_page,chars,preview
1,532,"抄本 司法院 令 發 文 日 期 ： 中華民國96年 8月 15日 發文字號：院台大二字第 0960017264號 公布本院大法官議決釋字第六三二號解釋 附釋字第六三二號解釋 院長 翁 岳 生 司法院釋字第六三二號解釋 解 釋 文 「監察院為國家最高監察機關，行使彈劾、糾舉及審計"
2,710,"解釋理由書 緣第三屆監察院院長、副院長及監察委員任期於中華民國九十 四年一月三十一日屆滿，總統依八十九年四月二十五日公布之中 華民國憲法增修條文第七條第二項規定，於九十三年十二月二十 日以華總一智字第○ 九三一○○五二四九一號咨文，向立法院提 名張建邦等二十九人為第四屆監察委員。"
3,744,"議，並有動搖憲法之權力分立制度及危害民主憲政秩序之虞，質 疑立法院程序委員會阻撓院會行使監察委員人事同意權，是否僭 越院會職權，行使人事同意權是否屬立法院之憲法上義務，以及 不行使人事同意權是否逾越立法院自律權範圍等情，爰依司法院 大法官審理案件法第五條第一項第三款規定，向本院聲"
4,750,"憲法增修條文第二條第八項）；惟就監察院因監察院院長、副院 長及監察委員任期屆滿而繼任人選未能適時產生時，如何維繫監 察院之正常運作，我國憲法及法律未設適當之處理機制，則尚未 以修憲或立法方式明定上開情形之解決途徑以前，更須依賴享有 人事決定權之憲法機關忠誠履行憲法賦予之權責，及時"
5,387,"職權、發揮功能，國家憲政制度之完整因而遭受破壞，自為憲法 所不許。引發本件解釋之疑義，應依上開解釋意旨為適當之處理 。又監察院院長、副院長及監察委員因任期屆滿，而繼任人選尚 未產生前，立法者亦得以法律明定適當之機制，以維繫監察院之 正常運行，要不待言。 至於聲請人指稱本件牽涉立法"
6,684,"協同意見書 大法官 廖義男 一、本件符合司法院大法官審理案件法第五條第一項第三款「行 使職權，適用憲法發生疑義」之要件 司法院大法官審理案件法第五條第一項第三款規定「立法 委員現有總額三分之一以上之聲請，就其行使職權，適用憲 法發生疑義，或適用法律發生有牴觸憲法之疑義者，得聲請 "
7,700,"之職權為限，並包括立法院之職權在內。蓋立法院乃由立法 委員所組成，立法院之職權實際上係由立法委員行使，故所 謂立法委員行使職權者，當然亦涵蓋立法院之職權。又上開 條款所以賦予現有總額三分之一以上立法委員有釋憲聲請權 ，乃使其得以制衡多數濫權而達維護憲法秩序之目的（詳見 司法院釋字"
8,670,"之職責，並使另一憲法機關不能組成及正常運行發揮其憲政 功能者，已逾越其議事自律權之範圍，並為憲法所不許。司 法院大法官職司憲法解釋，為憲法之守護者，維護憲法秩序 ，責無旁貸，對一憲法機關不行使其職權、不履行其維護憲 政體制之忠誠義務，致另一憲法機關不能組成及正常運行發 揮其憲政功"
9,710,"而如享有人事決定權之憲法機關不履行其憲法所賦予之此項 權責，致另一憲法機關因而不能組成及正常運行發揮其憲政 功能者，乃違背制憲者之信賴。而此種破壞憲政體制健全之 行為，既經釋憲機關宣告為憲法所不許，如仍不為適當之處 置者，則該享有人事決定權之憲法機關顯然不尊重憲法，亦 不遵守憲法"
10,677,"意權，致監察院無從行使職權、發揮 功能，國家憲政制度之完整因 而遭受破壞，自為憲法所不許」等語 ，本席等敬表贊同。僅就其間 未能詳述部分，認有補充說明之必要，爰提出協同意見書如下： 一、程序：本件聲請憲法疑義解釋部分符合要件，應予受理 （１）由聲請意旨可確知聲請人等主張之憲法疑義"
11,652,"該議案是否逾越議會自律之界限？發生疑義，從而就該 等疑義表達其所持立場與見解。本件既得由聲請意旨確 知聲請人等係就其行使人事同意權，適用憲法增修條文 第七條第二項發生疑義，聲請解釋，自不應以未發生或 未指摘疑義為由，迴避本院解釋憲法之職責。 （２）本件聲請意旨涉及具體行為，尚非不"
12,618,"偵查或審判，引發立法院對司法機關是否侵犯立法委員 言論免責權之疑義，而請求本院闡明憲法第七十三條之 意旨。本院釋字第四一九號解釋則牽涉現任閣揆當選為 副總統後請辭，獲總統慰留，形成副總統兼任行政院院 長之局，立法院亦因總統未新提名行政院院長而無從行 使同意權，乃決議咨請總統儘速重"
13,620,"權，如提名、同意、編列或審議預算、辦理選舉等，始 得維繫各憲法機關之正常運行。因此，本件原因事實固 僅是立法院不行使人事同意權乙事，然本解釋之作成， 就日後政府機關得否消極不行使職權，致影響憲法機關 實質存續之抽象疑義，亦有原則性重要意義。是就作成 解釋有無憲法意義之觀點以論，本"
14,635,"解釋之必要 （註二） 。依照此一標準，在本件中，聲請人 等受限於立法院職權行使法第八條第二項：「政府機關 提出之議案或立法委員提出之法律案，應先送程序委員 會」之規定，因程序委員會迄今未將監察院人事同意權 案編列議程報告事項，故無從行使同意權。只要聲請人 等並非程序委員會之委員，"
15,668,"與上述本院釋字第六○ 三號解釋涉及法律違憲解釋不同 。在後者之情形，司法審查之客體為有違憲嫌疑之法律 ，由於法律之制定與修正本屬立法委員之職權，則當其 認現行法律有牴觸憲法之疑義時，以修法途徑維護憲法 秩序與價值，毋寧是最經濟、便捷、有效之手段，故以 「修法未果」作為有聲請解釋必"
16,683,"件涉及「憲法議題」，尤其是政治部門之行止已牴觸憲法秩 序時，司法者即不得因案件具有高度政治性，即畏縮地躲避 到政治問題原則的保護傘下 （註三） 。 本件立法院程序委員會以程序杯葛的方式，確實引起輿論 在政治上的高度關注，牽動立法院各黨團間及總統與立法院 間之敏感神經；本席等也同意"
17,689,"成，並不保證監察院即能恢復正常運行；而彭鳳至大法官與 余雪明大法官不同意見書所指由權責機關互相協商，以產生 最適當人選之方式，毋寧僅是一種政治或道德呼籲，本席等 對此固然樂觀其成，卻無從越俎代庖，課以權責機關應為協 商或應為特定協商結果之憲法義務。此乃現行憲法之界限， 亦為司法解"
18,664,"一以上之聲請，就其行使職權，適用憲法發生疑義，或適用法律 發生有牴觸憲法之疑義者」 ，本席認為不同意見的理解顯然有失準 確，故而提出協同意見書，說明不受理主張之所以不可採的理由 。 壹、機關行為不得成為審查客體 ? 一、行政處分、法院判決皆非違憲審查客體 不同意見認為，除了機關權"
19,606,"四次會議決議）聲請解釋案件，分別以法院判決的認事用 法並非違憲審查客體、其他具體行為皆非違憲審查客體為 由，予以不受理。 二、區分普通法院與憲法法院的職權 不同意見上述的理解，本席認為並無誤解，行政機關的 行政行為與普通法院的裁判行為，之所以不是違憲審查客 體，因為司法權中的違法"
20,569,"請的抽象規範審查，只能針對立法院制定通過的規範 加以審查，而不能聲請審查機關行為。 不同意見的主張，只有一半正確。針對其他權力機 關的行為，立法院如果要聲請釋憲，的確只能因為其 他機關的行為逾越憲法所規定的權限，而侵害到立法 院的權限，也就是只能根據大審法第五條第一項第一 款規定"
21,629,"一、本院大法官歷來受理解釋的類型（附表二參照） （一）行使職權適用憲法發生疑義 觀察本院大法官至今依據大審法第五條第一項第三 款前段規定所受理的聲請，對於該規定的適用範圍， 可以有兩種理解：立法委員的職權規定在憲法第五十 五條、第六十二條、第六十三條及第六十七條，所謂 行使職權適"
22,607,"文預算應優先編列的的釋字第四六三號解釋、關於憲 法增修條文第九條所規定省是否具有公法人地位的釋 字第四六七號解釋，以及關於國民大會代表修憲延任 的釋字第四九九號解釋，屬於後者；關於立法院改選 後內閣應否總辭的釋字第三八七號解釋及關於立法院 審查預算案有無挪移增刪權的釋字第三九一號"
23,568,"前段適用範圍 （一）文義上的理解 本件聲請並非因為已經通過的法律規定或授權命令 有牴觸憲法疑義而提出，明顯不屬於大審法第五條第 一項第三款後段規定的案例類型，因此只能和至今依 據大審法第五條第一項第一款前段規定受理的案件互 相比較。在至今依據大審法第五條第一項第三款前段 規定受理"
24,626,"本院大法官曾經在交通部委任中華電信股份有限公 司執行八十九及九十年度中央政府總預算的行政行為 違憲聲請案，作成本院大法官第一二六九次會議決議 ，要求聲請人應該在修法表決未果之後，方能符合大 審法第五條第一項第三款規定的聲請要件。該要求是 考察抽象規範審查制度保護國會少數的立法意旨"
25,630,"正屬於議會內部自治事項，正好是本院大法官無權介 入的領域。本院大法官對中華電信釋股案所要求的「 須經修法程序表決未果」，是在要求聲請人履行程序 法上所規定的職權行為，對於如何努力讓議案排入議 程這種不是程序規範所規定的行為，大法官無從要求。 叁、回應不同意見其他不受理主張 一、政"
26,641,"二、解釋客體為立法院多數的不真正不作為 本件聲請的解釋客體，並非如不同意見所主張，是程序 委員會的決議行為。一如前述，立法院擱置監察院人事同 意權的行使，乃是立法院多數支持程序委員會不將議案排 入議程的決議所致，監察院人事同意權的不行使，屬於立 法院多數不作為所造成，所以本件聲請"
27,645,"具備專業憲法知識即可得知，對於憲法遭受如此明顯的侵 害，本院大法官如果懼怕政治壓力而保持沈默，或迴避不 理，甚至特意為立法院多數開脫，則無異鼓勵立法院多數 藉由擱置職權的行使激化對抗，這是不敢堅持獨立審判的 精神而嚴重懈怠職守。 四、本件受理程序未任意解釋聲請意旨 多數意見解釋理"
28,562,"本院大法官行使憲法所賦與的職權時，有任何違背獨立審 判原則之處。 六、能否有效促成監察院復活？ 不同意見因為恐懼大法官解釋不受立法院多數尊重，而 主張對於違憲狀態保持沈默，對於立法院多數維護憲法的 忠誠，不同意見顯然信心不足。本席以為本院大法官受憲 法保障，承擔釋憲任務，應對各國"
29,790,"觸憲法，或確定終局裁判未適用聲請解釋的法令，在此皆列入法 院判決本身或其法律見解非違憲審查客體的案例。 ２、人民、政黨、法人聲請釋憲而不 受理的案件，從第六屆大法官時 期迄今 (88.5.14-96.7.31) 共計 1723 件。 ３、人民、政黨或法人聲請釋憲的案 件，如同時聲"
30,639,"3. 釋字第 342 號（立法委 員謝啟大等 58 人、立 法委員林濁 水等 56 人 與立法委員 廖福本等 60 人聲請 案） 立法權（ 憲法第 62 條、 第 63 條 ） 憲法第 37 條、第 72 條 1、立法院議事自律之意義為何？ 2、釋憲機關對於立法院議事程序能 否為"
31,801,"7. 釋字第 391 號（立法委 員陳水扁等 23 人及立 法委員洪昭 男等 24 人 聲請案） 預算審議 權（憲法 第 63 條 ） 憲法第 70 條：立法 院審議預 算之提議 立法院對中央政府各機關所編列預算 之數額在科目間酌予移動增減並追加 或削減原預算之項目，是否符合憲法"
32,905,"11. 釋字第 435 號（立法院 聲請案） 不限特定 職權 憲法第 73 條：立法 委員之議 事行為 立法委員張俊宏等 97 人，為院內委 員議事行為受司法機關之偵辦或審判 ，司法機關是否違反憲法第 73 條立 法委員言論免責權規定，而侵犯立法 院之職權？ 12. 釋字第 46"
33,763,"清等 80 人 與立法委員 洪昭男等 102 人聲請 案） 程序之行 為 項規定？ 2、第 3 屆國民大會 88 年 9 月 4 日通 過之憲法增修條文第 1 條，國民 大會代表第 4 屆起依比例代表方 式選出，並以立法委員選舉各政 黨所推薦及獨立參選之候選人得 票之比例分配當選"
34,733,"19. 釋字第 392 號（立法委 員張俊雄等 52 人聲請 案） 立法權（ 憲法第 62 條、 第 63 條 ） 刑事訴訟 法與提審 法相關規 定：立法 院行使法 律審議權 之行為 1、刑事訴訟法第 101 條、第 102 條 第 3 項準用第 71 條第 4 項及第 120 "
35,793,"23. 釋字第 450 號（立法委 員謝長廷等 54 人聲請 案） 立法權（ 憲法第 62 條、 第 63 條） ；法規命 令之審查 權 大學法及 其施行細 則相關規 定：立法 院行使法 律審議權 之行為與 教育部訂 定法規命 令之行為 大學法第 11 條第 1 項第 6 款及同"
36,685,"法院行使 法律審議 權之行為 28. 釋字第 599 號（立法委 員賴清德等 85 人聲請 案） 立法權（ 憲法第 62 條、 第 63 條 ） 戶籍法第 8 條第 2 項及第 3 項：立法 院行使法 律審議權 之行為 聲請人就戶籍法第 8 條第 2 項及第 3 項規定所為暫時處"
37,657,"2. 第 1050 次 會議（立法 委員郁慕明 等 59 人聲 請案） 聲請人之人數不足立法委員現有總額三分之一之法定人數 。 3. 第 1050 次 會議（立法 委員張俊宏 等 55 人聲 請案） 聲請人之人數不足立法委員現有總額三分之一之法定人數 。 4. 第 1102 次 "
38,900,"8. 第 1257 次 會議（立法 委員周錫瑋 等 113 人聲 請案） 關於立法院行使調查權，釋字第 585 號已為解釋，所以疑 義已不存在，而無解釋之必要。 9. 第 1257 次 會議（立法 委員張俊雄 等 61 人聲 請案） 1、對於總統、副總統之彈劾案時，其事由是否僅限"
39,650,"13. 第 1298 次 會議（立法 委員柯建銘 等 84 人聲 請案） 關於聲請人適用憲法第 52 條是否發生疑義，聲請人並未 行使罷免權與彈劾權，且立法院行使總統彈劾權以及審查 與表決總統罷免案，均非適用憲法第 52 條規定時發生疑 義之問題。 14. 第 1055 次 會議"
40,598,"19. 第 1112 次 會議（立法 委員廖福本 等 59 人聲 請案） 聲請人係對釋字第 453 號解釋持不同意見，與立法委員聲 請之受理要件不符。 20. 第 1120 次 會議（立法 委員丁守中 等 55 人聲 請案） 聲請書未載明行使何項職權。 21. 第 1124 次 "
41,642,"25. 第 1131 次 會議（立法 委員賴士葆 等 97 人聲 請案） 聲請人未具體陳述國家機密保護辦法第 17 條、第 18 條規 定與內政部函示有何牴觸憲法。 26. 第 1137 次 會議（立法 委員李炷烽 等 97 人聲 請案） 聲請人係立法委員受人民陳情而聲請，與受理"
42,639,"31. 第 1159 次 會議（立法 委員林政則 等 77 人聲 請案） 聲請人並未說明其於行使何項職權時，適用憲法發生疑義 ，或適用何種法律時發生牴觸憲法之疑義。 32. 第 1180 次 會議（立法 委員陳其邁 等 56 人聲 請案） 在形式上雖有三分之一以上立法委員之連署，"
43,809,"37. 第 1244 次 會議（立法 委員余政道 等 75 人聲 請案） 總統副總統選舉罷免法於民國 92 年 10 月 29 日修正公布 ，業於第 70 條第 1 項增訂「就職未滿一年者，不得罷免 」之但書規定。是本件聲請之疑義已不復存在，核無再為 解釋之必要。 38. 第 1"
44,948,"42. 第 1282 次 會議（立法 委員呂學樟 等 101 人聲 請案） 1、關於終止國統會之運作及國統綱領之適用乙節，總統 並未就此公布法律或發布命令，不生是否違反憲法第 37 條之問題。 2、本件行政機關之相關行為，並非本院得為違憲審查之 客體。 3、聲請人亦未敘明係行使何"
45,775,"附註 1、聲請書如載明依據司法院大法官審理案件法第 5 條第 1 項第 3 款規定提 出聲請，即列入本表比較。 2、第 1004 次會議不受理決議所針對的立法委員彭百顯等 72 人聲請案，以 及第 1269 次會議不受理決議所針對的立法委員蔡錦隆等 100 人聲請案 中部分聲請意"
46,710,"人提議刪除，葉菊蘭委員等 25 人則提議修正為：「電臺對國內 廣播音語言應以本國語言為主 ，並特別保障少數民族語言，或 其他少數語言族群語言播出之 機會，不得限制使用特定語言播 出之比率。」當時陳水扁委員等 29 人，因為憲法第 11 條所賦 予的表現自由是否蘊含廣電自 由，以及"
47,724,"以及國會內部自律之問題，亦無所謂「疑義」，非本院所得審查 之客體；且縱可為審查標的，至多亦屬同法第五條第一項第一款 規定之總統與立法院之權限爭議問題，此為當事人不適格，應不 受理。 但本件真正之問題尚不在其形式上是否符合司法院大法官審理 案件法第五條第一項第一款或第三款之規定，或"
48,883,"論是行政立法司法的三權分立或是我國加上考試與監察之五權， 其目的不外是追求「效率」（分工）與避免「暴政」（制衡）， 各權力之間有時難免須重疊（如美國總統對立法有否決權，參議 院對人事有同意權）或混合（如所謂獨立機關有某程度之立法與 司法權）。在美國分權並涉法治（rule of l"
49,828,"之時間使相關爭點經時間之考 驗而更清楚，也是對上述抗多數 困局之一種回應 （註九） 。 政治問題之意義 本院釋字第三二八號解釋固引用「政治問題」之概念 （註十） ， 但此理論來自美國，故先討論其在美國之發展及應用，再說明本 件適用政治問題不審查原則之理由。 在 Baker v. "
50,881,"地使一群選民之影響力在整體政治過程中降低」（另兩票則採用 對原告有利之多因素之綜合考量），其後訴訟均因無法滿足此「 一貫性降低」（ consistent degradation test ）標準而失敗。在 Vieth v. Jubelirer 一案投下關鍵性一票之 Justice"
51,703,"涉及總統處理外交事務之權力以及國會在何程度內得否定總統行 動（ action），為政治問題，不具可司法性，應由行政部門及國 會自行解決。憲法雖明定參議院得參與條約之批准，對其能否參 與條約之撤銷（ abrogation ）則無規定。由於憲法對條約終止並 無規定，且不同之條約有不同"
52,785,"其後各方政治衝突形成之案件（如釋字第四一九、四九九、五二 ○ 等號解釋）給釋憲機關帶來鋪天 蓋地的無形壓力，或可避免 （ 註二十二） 。 政治問題之學者見解 我國學者對引進政治問題不予 審查原則持較肯定見解者除上述 吳庚、湯德宗二氏外，廖元豪教授亦持積極肯定之態度 （註二十三） "
53,820,"、如何審查（整體或個別考量、寬鬆或深入審查），依上述第一 及第二項標準均屬應由總統及立法院政治判斷之問題，亦難有司 法上可見之判斷標準，其屬政治問題自無疑義 （註三十） 。 尤有進者，民主政治，即政黨 政治，權力分立今已成政黨分立 （註三十一） 。以美國為例，在總統與國會同屬一黨"
54,812,"本院翁大法官岳生嘉言，以代結論 （註三十九） ： 面對「政治司法化」、「司法政治化」的嚴苛挑戰，屬 於司法權一環的釋憲機關，應發揮「司法自制」的精神 ，從嚴受理有關政治爭議的憲法解釋案件，並明辨何者 為憲法性的政治爭議，避免涉入非憲法性的政治爭議。 此外，對於憲法性的政治爭議亦應"
