pdf_page,chars,preview
1,645,"解釋憲法補充理由狀 美國 Fredom to m a ry 創辦人 Evan W olfson 律師曾在他2007年 的文章 “Mariage Makes a Word of Diference . Why We Can’ t Cal it Something Else ” 1 "
2,1032,"能以特殊情況為依據 」 （ 'The paramount destiny and mision of woman are to fulfil the noble and benign ofices of wife and mother . This the law of the "
3,742,"係而建立， 並非一概透過婚姻而來。 在我國現制下， 同性伴 侣 因無法結婚， 從而也無法藉由婚姻建 立雙方家庭之姻親關係或共同收養子女， 其組織家庭權利自會 因結婚自由遭剝奪而連帶受影響。 本件情形， 聲請人之婚姻權 與家庭權二者應同受憲法第22條之保障， 且因為婚姻自由遭剝 奪"
4,770,"利 i 之概括條款保障之， 且歷來釋字於論述何種基本權受憲法 第二十二條保障時， 雖若干解釋理由會引述憲法第二十二條規 定而稱「 於不妨害社會秩序、 公共利益之前提 i ， 但實質上並不 在此階段以「 社會秩序、 公共利益 t 為由進行基本權性質之否 決 ， 而是在第二十三條階段"
5,752,"共利益之理由， 但其對於「 社會秩序、 公共利益」要件之實質 審 查 ， 乃發生在憲法第二十三條之層次， 而非在第二十二條階 段即以上開「 社會秩序、 公共利益」為 由 ， 認 定 「 收養大陸地 區人民為子女」 自始不在憲法第二十二所保障「 收養子女自由」 之範圍 （ 否定其基"
6,766,"婚姻， 並不會對他們自身或任何其他人造成傷害 （ harm ) ， 相反 傾向之人， 而使得所涉及基本權忽然間變成一項憲法第二十二 條所不包括之「 嶄新的基本權利」主張。 是 以 ， 依前述關於憲法第二十二條、 第二十三條之審查流程， 應先肯認同性別二人結婚之自由及權利係屬憲法第"
7,737,"利益為其理由， 此 時 ， 原本應該是此種國家立法需要通過憲法 上的檢驗來確認其是否必要， 但是上述解釋方法卻形同讓此種 立法取得廣泛的通行證， 只要前提具備就可無須討論其必要性 (做比例原則判斷 ） ， 直接承認其合憲性， 極不利於人民權利之 保護。 而且， 在邏輯上， 『 婚"
8,804,"社會秩序或公共利益， 非但對該條例規定之理解不盡完整， 甚 至更有「 食古不化」之 嫌 ， 事實上祭祀公業條例除嫁娶婚外， 亦承認招贅婚 （ 參該條例第四條「 派下員無男系子孫， 其女子 未出嫁者， 得為派下員。 該女子招贅夫或未招贅生有男子或收 養男子冠母姓者， 該男子亦得為派"
9,794,"俗 上 「 絕大多數家庭裡的神主牌， 會將全部祖先都寫入神祖牌 裡 ， 所以牌位通常會寫作『 堂上 ◦ 姓歷代祖考妣之神位』 ， 上 面的考妣兩字， 並不是只有同性婚姻的父母， 而是指所有性別 的祖公、 祖媽都在裡面， 即使家族裡有同性婚姻的祖先， 並不 表示家族神主牌就必須改為"
10,795,"線 ， 因此探討立法形成自由， 必須從憲法關於基本權利的保護 出發， 就此釋字第40 5 號解釋理由書提及， 立法院行使立法權 時 ， 雖有相當廣泛之自由形成空間， 但不得逾越憲法規定及司 法院所為之憲法解釋。 隨 後 ， 釋字第442號林永謀大法官所為 之協同意見書亦闡明， 立"
11,724,"無節制地視憲法基本權利為無物， 甚或以之作為延宕、阻卻人 民實現婚姻自由 （ 基本權利 ） 的工具？ ！ 就 此 ， 聲請人之代理人曾於大院3 月 2 4 日言詞辯論庭訊中對機 關方法務部提問： 「 如果立法者認為已過生育年齡之人，因為已 無自然生育的可能， 故另立專法規範他們的"
12,715,"之答案。 (二 ） 違憲審查作為權力部門間持續性憲法對話之一環，旨在促成 「 思辨民主」的實現。 「 權力分立動態平衡論」認 為 ， 憲法既 然旨在創造、 維 護 「 思辨民主」， 那麼憲法所採行權力分立結 構 ， 不僅在「 消極地」防止專權的發生， 亦 在 「 積極地」促 成思"
13,908,"至於司法違憲審查可能涉及對抗多數之困境或兩難 （ counter - majoritariandificulty / dilema ) ， 則恐怕是一個永恒的問題， 也沒有 ( Obergefelv . Hodges ) 的多數意見提到， 任何一個憲法院決定， 於我國代議制度規範"
14,792,"2002年7月17日判決認「 同志專用」之生活伴 侣 關係法 （ G eset z iber die Eingetragene Lebenspartnerschaft ， 以下簡稱「 同性伴 侣 法」 ） 合 在判斷任何一個法律制度是否違憲時， 確實會需要考慮到背後的民 主審議、"
