pdf_page,chars,preview
1,66,"釋字第554號解釋有無變吏必要之探討 意 見 提案人 許 幸 惠 （ 最高法院退休法官 ) 中華民國109年 3 月2 3 日 書"
2,245,"目 錄 壹 、 前言 . 2 武 、 程序問題之探討 .3 參 、實體問題之研究 .6 肆 、 實務經驗分享 . 1 3 伍 、 論爭點議題 . 15 陸 、 結論 . 20 一 、 是否違反憲法第7 條平等權原則？ 二 、 是否違反憲法第8 條 第 22條對人民自由之保障？ 三"
3,885,"句 法 院 大 法 官 釋 字 第 554 號 解 釋 有 無 變 之 必 要 之 探 討 壹 、 前言 一 、 近 二 、 三十年來有學者開始以國家公權力不應介入人民私生活領域性 自由之觀點出發提多項理由主張系爭刑法第2 3 9條應予廢除。而社會 各界卻以公序良俗， 道德基準等"
4,943,"贰 、 程序問題之探討 一 、 本件聲請釋蕙理由之一為刑法第2 3 9條立法遠於民國17年 間 ， 大法官 第 554號解釋作成於民國91年 12月 2 7 曰 ， 距今時曰均已久， 「 當時」 社 會 「 通念」之社會事實認定已發生重大變化， 現今社會上對於個人 之情感與性自主"
5,969,"是 。由此觀之，國人真已「 多數」不存在通姦刑罰化之通念或共識了 嗎 ？ 況依法務部委託民意所做調 査 結果， 自102年 、 104年及最近數據 觀之反對廢除的比率高達百分之82、 85、 72之數據視之， 主張廢除系 爭法律者並無堅強立論根據。 三 、 聲請釋蕙人等聲請理由又"
6,889,"22條 、 第 2 3 條之規定實為不宜。 上開第554號解釋文明言「 立法機關 就當前對夫妻忠誠義務所為評價， 於無違社會一般人通念， 而人民遵 守此項義務規範亦非不可期待之情況下，自得以刑罰手段達到預防通 姦 、 維繫婚姻之立法目的」等意旨， 足 見 所 謂 「 有無違社會一"
7,1047,"參 、 實體問題之研究 一 、 是否違反蕙法第7 條平等權原則？ 聲請釋蕙主張廢除通姦罪之意旨稱： 依法務部民國9 3 年 至 10 3 年十年 間之「 妨害婚姻及家庭罪案件性別統計分析」 所示， 偵查 终 結2 萬7, 3 79人， 男性佔52 .6 %， 女性佔47 . 4%"
8,1044,"涉」 （ 資 料 P . 9 ) 。 或 稱 ： 「 婚姻為兩人成立的身分契約， 雖然婚姻的雙 就拋棄了自己憲法上的性自主權 （ 資 枓 P . 225 ) 」 ， 或 謂 「 通姦行為 刑法處罰通姦行為， 實欠充分之正當理由」 （ 資料 P . 18 3) 「 通姦行為亦 當 "
9,969,"為 ， 於婚姻出現破綻時， 卻仍執意以通姦罪限制他方配偶只能與配偶 發生性行為， 應評價為對人性尊嚴 （ 性行為自由）過度侵害，不符合 憲法要求維護人性尊嚴之國 家義務 J (資料 P . 194、丨 9 5 ) ， 亦有謂「 性 行 為 ， 非蕙法所明艾之基本權， 惟經釋字第5"
10,968,"P . 19 6) 釋憲聲請理由主張個人自由至高無上 * 性自由亦超越一切， 個 3. 綜觀聲請釋憲者一直圍繞身體自由權性自主的不可侵犯， 以致主張通 姦是通姦人與相姦人二成年人之自由， 與任何第三者無關即便婚姻關 係存續中， 僅係傷害婚姻忠誠屬道德規範而已， 未通姦之配偶亦不得"
11,909,"三 、 保 障 之 法 益 及 有 無 違 反 蕙 法 第 2 3 條 之 比 例 原 則 ？ 1 . 查蕙法第2 3 條 規 定 「 以上各條列舉之自由權利， 除為防止妨害他人 自由避免緊急危難， 維持社會秩序或增進公共利益所必要者外， 不得 以法律限制之」， 釋 字 第 55"
12,965,"2 . 次查配偶違背婚姻之忠誠義務， 動搖夫妻婚姻關係中最重要的信任情 操 ， 致使另一方有被背叛在情緒上身心靈上受重大傷害外，常因 外遇增加與相姦人交際之費用等， 以致減少原婚姻家庭之生活費， 或 依民法規定之相互扶持照應、日常家務互為代理人 （ 民 法 100 3 條 ） 、"
13,767,"罰就主張廢法， 實是非不明。 刑期無期刑罰目的在教育而非報復，為 目前刑法理論之主流， 如果說刑法有通姦罪之處罰規定而社會上仍普 遍存在有通姦之事實， 無法消弭即謂刑法之規定毫無效益應該廢除， 那應要廢除的不止通姦罪， 所有殺人、 放 火 、 詐 欺 、 侵占層出不窮的 犯罪行為"
14,903,"肆 、 實務經驗分享 一 、 司改國是會議在討論兒少性別議題時，因女作家輕生， 補教名師涉嫌 性侵乃決議通過通姦除罪化，其決議 内 容主要考慮性侵案被害人提告 常因證據不足而無法定罪， 反遭被告配偶控告妨害家庭定罪， 對人權 保障不周。事實上， 性被侵與明知有配偶之人而合意與之相"
15,904,"穩 定 ， 經營共同生活之渴望， 约 束雙方成立具有親密及排他性永久結 合 等 ， 即與異性婚姻結婚互負忠誠義務彼此信賴之目的相同。 現行法 婚姻法既包括同婚及異性婚兩種， 通姦罪既是為法保障社會婚姻及家 庭維繫與圓滿之社會法益， 及配偶個人法益而立法， 則刑法第2 3 9條 規"
16,641,"伍 、 論爭點議題 一 、 刑法第2 3 9條部分 (一） 刑 法 第 2 3 9條之立法目的為何？其係為保障何種法益或基本權利而 設 ？又因此限制或侵害人民何種基本權利？其審查基準為何？ 1, 刑法第2 3 9條之立法目的， 將該條艾置於「 妨害婚姻及家庭」罪章中， 立法理由為"
17,1220,"98 年曼 I u M 1 08 年 4 月 w tJ 3 圈 1 地 方 檢 察 署 辦 理 妨 害 婚 姻 及 家 庭 罪 案 件 偵 查 终 結 人 數 人 (=] 终 結 人 數 4 . 0 5 0 . 0 3. 500 70 . 0 3. 0 6 0 . 0 2 . 5"
18,844,"有罪人數並未因此增加 ， 顯見通姦罪實有助於保障人民信賴婚姻關係 存續期間之安穩及不受外力侵擾， 並可預防及嚇阻通姦等破壞他人家 庭及婚姻之行為發生。 2 . 以刑法第2 3 9條通姦罪， 處罰婚外性行為， 其手段與目的間存有實質 關 聨 ： (1 ) 主張廢除通姦罪論者， 雖強"
19,839,"3. 本院釋字第554號解釋有無變更解釋之必要？ 刑法第2 3 9條通姦及相姦人之處罰， 依釋字第554號解釋，為確保 婚姻制度之存續與圓滿， 於不妨害社會秩序公共利益之前提下， 约 束夫妻雙方互負忠 誠 義 務 ， 並 無如釋 憲聲請 理由所指違背 憲 法 第 7 條 、第 8"
20,793,"問題， 從而對個人 r 小我」以及社會 r 大我」婚姻家庭制度之維持與 事訴訟法第 23 9 條但書規定， 既有失平等原則， 而平等權的法益位階 (二） 刑事訴訟法第2 3 9條但書之手段， 是否有助於所揭目的之達成？手段 與目的間是否存有一定關聯性？ 1 . 按通姦罪的告訴乃論"
21,893,"陸 、 結論 一 、 法律是最低的道德規範， 也是人類社會一般認知應遵守的習慣規律所 形 成 ， 在我們社會存在已久且深植人心的是 〜 有婚姻關係不可以有通 姦 行 為 ， 如果冒然將通姦罪廢除， 必定給社會帶來非常大的衝擊。一 般的人民總是認為法律沒有處罰的就是可以做的，那麼通"
22,673,"【 附件一】建議事項 一、 通姦罪廢除與否屬立法修法廢法事宜， 應為國家最高立法 機關之立法權責， 不宜由大法官以釋憲形式行實質立法 權 ， 以免有踰越之虞。 二、 釋字第748號解釋同婚法施行後， 婚姻包括同性婚與異性 婚 ， 為保障婚姻家庭制度之維繫， 刑法第2 3 9條 「"
23,57,"論 通 矣 罪 ， 該不該除罪 ? 我們處在 _ 個自以為最聰明卻最為自私的世代 文 ： 尊重生命全民運動大聯盟"
24,679,"論通姦罪， 該不該除罪？ - 我們處在一個自以為最聰明卻最為自私的世代 文 ： 尊 重 生 命 全 民 運 動 大 聯 盟 講 個 故 事 ： 聰 明 建 築 師 有一天， 一群建築師看見有許多人在亭子下吹著涼風， 很是快樂。 於是， 亭子驕傲地跟建築師們說： 「 你看， 涼亭四"
25,1529,"人 類 古 老 社 會 演 化 出 強 制 性 一 夫 一 妻 結 合 規 範 社 會 人 類 學 研 究 1 指 出 ， 歷 史 發 現 ，已 知 的 人 類 古 老 社 會 大 多 數 （ 曾經是或 至 今 還 是 ）允 許 一 夫 多 妻 結 合 ； 然 而 ， 一 些 最"
26,1122,"台灣愛滋與性病狂飆 防疫方向與性教育皆須修正! X M s g 3 B 2 . ) l , . 0 & s x » s g s x » 反 觀 現 代 醫 學 治 療 介 入 的 今 天 相 較 幾 千 年 前 的 古 老 社 會 ，現代醫療進步， 性病有抗生素等藥物可治， 不致"
27,315,"(圖 二 、 2000年 ~2017年 ， 台 灣 15 - 24歲 國 民 性 病 與 愛 滋 病 毒 每 年 新 增 之 病 例 數 ） 將 國 內 疾 管 署 資 料 與 美 國 、歐 盟 及 鄰 近 日 本 之 性 病 衛 生 資 料 相 比 ， 顯 示 如 下 (圖 三"
