pdf_page,chars,preview
1,31,"Lawyer 談長峯 1 年度憲民字第 1496 號 林羣期"
2,350,"應受判決事項之聲明 一 、 刑法第 79 條之 1 第 5 項規定 ( 包含民國 年 1 月 26 日修正公布及民國 94 年 2 月 2 日修正公布之條文 ) ， 有 違憲法第 7 條之平等權 原則 ) 、 第 8 條人身自由權 憲法第 2 條概括基本權 憲法第 23 條比例原"
3,433,"Lawyer 壹、本案審查標的： 三 、 94 年 2 月 2 日修正公布並自 95 年 7 月 1 日施行之刑法第 79 條之 1 第 5 項： 「 經撤銷假釋執行殘餘刑期者 無期徒刑於執行滿二十五 年 ， 有期徒刑於全部執行完畢後 再接續執行他刑 第一項有 關合併計算執行期間"
4,122,"Lawyer 貳、本案涉及之 憲法第 7 條平等權 憲法條文或 憲法第 8 條第 1 項前段人身自由權 憲法上權利： 憲法第 2 條概括基本權 違 憲法第 23 條比例原則 憲 罪責原則 信賴保護原則 一事不再理原則 法不溯及既往原則 林羣期"
5,143,"Lawyer 聲請人談長峯經歷之判決 案一 臺灣臺中地方法院 85 年度重訴字第 1263 號判決 臺灣高等法院臺中分院 86 年度上重訴第 18 號判決 最高法院 87 年度台覆字第 63 號判決結果 連續販賣毒品 ， 累犯 ， 處無期徒刑 ， 褫奪公權終身 。 假釋前判決 林"
6,146,"Lawyer 聲請人談長峯經歷之判決 案二 臺灣臺中地方法院 100 年度訴字第 2407 號 臺灣高等法院臺中分院 100 年度上訴第 2582 號判決結果 販賣第一級毒品 ， 處有期徒刑捌年貳月； 販賣第二級毒品 ， 處有期徒刑參年拾月； 應執行有期徒刑拾年陸月 。 假釋後判"
7,150,"Lawyer 爭點一 「 86 年 1 月 26 日修正公布及 94 年 2 月 2 日修正公布並自 95 年 7 月 1 日施 行之刑法第 79 條之 1 第 5 項，有關無 期徒刑受刑人撤銷假釋，不分假釋 期間長短、再犯之犯罪性質種類， 一律執行固定之殘餘刑期之規定， 是否違"
8,70,"Lawyer 第 7 條 平等 權 第 8 條人身自由權 第 2 條概括基本權 第 23 條比例原則 憲法保障之人性尊嚴及罪責原則 林羣期"
9,141,"Lawyer Ⅰ 聲請人之執行 假釋前已執行 16 年 爭議！ 撤銷假釋需再執行 25 年 另犯毒品之罪 10 年 6 月及觀察勒戒及戒治 1 年 三振條款（不得再聲請假釋） 臺灣臺中地方法院行政訴訟 19 號判決 總計： 聲請人需執行超過 52 年之刑期 林羣期 1 年度簡字第"
10,112,"Lawyer Ⅱ 刑法第 65 條規定： 「無期徒刑不得加重。」 Ⅲ 公政公約第 7 條規定： 「任何人不得施以酷刑，或予以 殘忍、不人道或侮辱之處遇或懲 罰。非經本人自願同意，尤不得 對任何人作醫學或科學試驗。」 林羣期"
11,32,"Lawyer Ⅳ 關於釋字 796 號大法官相關意 見 林羣期"
