pdf_page,chars,preview
1,348,"值 日收 ㄙ ⊕ ‵ ︳ 09年 度 憲二字第 333號 無期徒 刑撤銷假釋執行 殘刑 案 言詞辯論 意 旨狀 聲請人 謝朝和 、賴清和 、謝陳輝 、楊奇芳 、郭俊佑 、彭文正 李明輝 、楊 國清 、王登生 、陳清 寶 、何財寶 、辜明東 李三能 、張明智 、楊正 勇 、連永川 "
2,237,"「你知道 我活得 很 辛苦嗎 ?你 有手力辛法理解嗎 ?你 不懂 ,不要 對我說教 。我連 身分都沒有 ,我 一直要很 小心地過 生活 ,很 警覺地觀 察四周 ,不斷地躲 藏 、不停 地逃跑 ,這 一點都 不公 平 。我到底做錯 了什麼 ?你 說謊 ,我 的生活糟透 了 ,為 什"
3,663,"憲 法 訴 訟 言 詞 辯 論 意 旨狀 案 號 l0少 年度 憲二字第 333號 等 聲 請 人 謝朝和 等 均詳卷 訴 訟 代 理 人 翁國彥律 師 林俊儒律 師 王泰翔律 師 陳家偉律 師 梁志偉律 師 一 郭皓仁律 師 李佳 冠律 師 林建 宏律 師 陳偉仁律 師 黃 昱"
4,1134,"刑二 十或二 十五年 ,能 否有他種 「視 為執行 」或 「已執行 」之 事實 2 立法者並未於該處 明確 禁止 ,亦 即立法者並 非專指 需 「必須實 際再 3 執行 二十或二 十五年 ┘ 。 碎 (二)次 從 文義解釋觀之 ,系 爭規 定一及 系爭規 定二並 未有 「再 ┘執"
5,1046,"「再 」執行刑 期之適用 ,亦自始 自終並未經過正 當法律程序進行審 2 判 ,僅 以矯正機 關之行政解釋 「徒增 」長達二十年或二十五年之服 3 刑期 間 ,毫無救濟途徑及裁量 空間 ,即剝奪人 民二十或二十五年之 李 身體 自由權 ,顯 然有違刑罰權力分配之界線及機制 。 5"
6,1108,"假釋之結論 ,準 此 ,系 爭規 定一 、三 因違反法 明確 性原則 ,且 過度 2 侵 害人身 自由與 罪刑相 當原則 、比例原 則有違 ,應 屬違 憲 。 3 二 、系爭規 定一及 系爭規定三 不 區分 「撤銷假釋 事 由┘ ,未 審 酌違反 義 冷 務 的程度不 同 ,一律"
7,1033,"(三)故 若未審視 前述 「撤銷假釋事 由」違反規範為何 (保 護 管束要求 ? 2 更犯他 罪之 罪別 ?)及 其 案件 情況 (情況是否輕微 ?是 否經過正 當 J 程序審 查 ?),即 可能產 生刑 罰威嚇 力 ,而 與假釋監督係協助 受刑 玝 人復歸社 會之 目的齟齬 ,"
8,1145,"(二 )玫 按 大院釋 字 第 6號 解釋 ,黃 瑞 明大法 官協 同意見書 :「 本席 2 認 為檢 察 官及 法 官裁量時 ,應就假 釋者再犯 罪之 整體情狀 為考 量 3 以判斷其 出獄後 的生活是 否 已違 背假釋之初衷 、其 更生計 畫之執行 ㄥ 是否可認為 已經 失效"
9,1135,"有犯詐欺得 利者 ,侵害法益亦不 盡相 同 ,除 不得逕 自推斷受假釋人 2 日後 因此會有再犯相 同之 罪可 能性外 ,無論後犯何者 ,固 定回歸監 獄執行二十年 /二 十五年徒刑 ,而不審酌犯 罪種類是否與前罪相似 ￠ 而致 更生活 罔效 ,而 需再 回歸 監獄教化 ,亦未就"
10,1143,"換 言之 ,正 當法律 程 序之 內涵 ,不以 『程 序 正 當 』為 限 ,尚包括 『實體正 當 』 。過去大法 官之解釋 ,如釋 字 第 2 38ㄥ 號及 第 567號 解 3 釋 ,即 蘊含 此一 旨趣 。所謂實體正 當 ,係 指 法律之 『規 定明確性 』 碎 原 則 ("
