pdf_page,chars,preview
1,454,"1 部分不同意見書 大法官 余雪明 本席對多數意見就聲請人指本件牽涉立法院及監察院憲法 上之職權行使爭議，認不符司法院大法官審理案件法第五條 第一項第三款規定，應不受理一節敬表同意。但其認為聲請 人所指立法院程序委員會濫用議事程序，不當阻撓監察委員 人事同意案進入院會表決等情形構"
2,782,"2 解釋，且言之成理，亦難有可行之解決辦法，除或有製造政 治壓力之效果外，如未被尊重，徒傷司法威信，甚或造成不 良後果（本院釋字第七十六號、四九九號、五三０號、五八 五號等解釋非盡屬政治問題，但均有其可供記取之教訓）。 多數意見指出「享有人事決定權之憲法機關（應）忠誠履行 憲法賦"
3,1303,"3 權力分立與司法違憲審查 權力分立(Separation of Power)為憲政之基本原則， 2 不論 是行政立法司法的三權分立或是我國加上考試與監察之五 權，其目的不外是追求「效率」（分工）與避免「暴政」（制 衡），各權力之間有時難免須重疊（如美國總統對立法有否 決權，參議"
4,1762,"4 違憲審查之正當性之攻防，固然有諸多理論， 6 要不能違背司 法權之本質： 7 此即被動性，不告不理，不能作成訴外裁判； 正確性(just)，依一定之程序規範，作成正確之決定，此與 政治追求妥協，無所謂「對」「錯」不同；獨立性，法官之 獨立審判，透過任期保障、待遇保障、利益衝突"
5,1201,"5 其裁判更具正確性而合乎司法本質 。 8 依美國憲法第三條司法 權及於「案件或爭議」(cases or controversies)，由此引 申之原則為法院不發出諮詢意見；不對「政治問題」 (political questions)作出裁判，當事人須適格 (standing)，"
6,715,"6 法已明文規定將議題交由與法院平行的某一政治部門決 定；(2)欠缺法院可以發現並操作的解決標準；(3)未作對明 顯涉非司法性裁量之初步政策決定前 ， 無法作成決定者 ； (4) 如由法院獨立解決，必然會對其他平行政府部門造成不尊 重；(5)因情勢特殊需要，法院必須無異議支持一已"
7,658,"7 謂之訴訟。有趣的是後者雖以六票比三票作成此類案件具可 司法性，亦不認為無法建立可操作之標準，而六票中之四票 要求原告須證明「選舉制度(electoral system)一貫性地使 一群選民之影響力在整體政治過程中降低」（另兩票則採用 對原告有利之多因素之綜合考量），其後訴訟均"
8,621,"8 參院審判權，故有罪與否應由參院單獨決定。加以對法官之 彈劾為立法權對司法之惟一制衡，且救濟方法難以設定，開 啟司法審查之門將可能導致政局不穩，故認其為政治問題缺 乏可司法性 。 Souter 大法官在協同意見書則認為如參議院以 極離譜之方式進行程序，法院亦非無介入之可能。 在"
9,535,"9 我國政治問題不予審查實務 本院釋字第三二八號解釋為首先引用「政治問題不予審查」 原則，認為憲法第四條所稱固有疆域之界定，為重大之政治 問題，不應由行使司法權之釋憲機關予以解釋，其背景為當 時之統獨爭議，學者有認為未說明政治問題不予審查之理 由，為美中不足。 18 此外本院作成"
10,920,"10 其後似再無提及政治問題不審查原則之解釋，如涉政治性不 願處理，則從嚴解釋大法官審理案件法第五條第一項各款規 定，不予受理，否則從寬受理，似未建立一貫性之標準。此 前大法官吳庚惋惜如經由第三八七號解釋建立政治問題不 審查原則，則其後各方政治衝突形成之案件（如四一九、四 九九、"
11,930,"11 合學者之態度，如能採用較確定之 Baker v. Carr 案建立之 第一項或第一、二項標準，並分析其利弊，而作成政治問題 不予解釋之決定，當可獲得多數學者之支持。 本件為政治問題之理由 依上述 Baker v. Carr 案 Brennan 大法官多數意見之第一、 二項為"
12,940,"12 定監察院長、副院長、監察委員「由總統提名經立法院同意 任命之」，對總統應於何時（任期屆滿前三個月？半年？或 者前一天？） 提名，提名何種人士 （除非另有法定資格規定） 或因其他因素而暫不提名（政治氣氛不對，等候推薦名單） 均無規定。反之立院何時審查 （如暫時擱置）、如何審查"
13,630,"13 第四條第四項使任期屆滿之法官於繼位人選產生後正式解 職，以補救此種情形。但同法第六條第二項僅規定選任繼任 人選之作業期限為任滿前三個月，而未定選任繼任人選之最 遲合法期限。 35 此種規定亦反證因擱置同意權行使產生缺位 實屬常態亦未聞德國聯邦憲法法院以此宣告國會消極不行 使"
14,585,"14 部門不必要衝突之方法， 38 茲引本院翁大法官岳生嘉言，以 代結論： 39 面對 「政治司法化」、「司法政治化」 的嚴苛挑戰， 屬於司法權一環的釋憲機關，應發揮「司法自制」 的精神，從嚴受理有關政治爭議的憲法解釋案 件，並明辨何者為憲法性的政治爭議，避免涉入 非憲法性的政治"
