pdf_page,chars,preview
1,522,"釋字第七０九號解釋一部不同意見書 大法官 蘇永欽 本件解釋認定中華民國八十七年十一月十一日制定公 布的都市更新條例第十條第一項、第二項及九十二年一月二 十九日修正公布的第十九條第三項前段違反正當行政程序 原則，九十二年一月二十九日及九十七年一月十六日修正公 布的第二十二條第一項及"
2,626,"權是否及受到如何限制，國家介入的空間可有多大時，即無 法做比較清晰一貫的演繹，因此這裡有必要花一點篇幅做前 提性的討論。 先說財產權。憲法除於第十五條宣示人民的財產權應予 保障外 ， 另於第一百四十三條第一項針對土地特別規定 ：「中 華民國領土內之土地屬於國民全體，人民依法取得之"
3,652,"抗國家的各種自由權，不以國家形成規範為存在的前提有 異。故「形成」財產權的規範邏輯上即不屬於財產權的「限 制」，惟何種規範為形成，何種為限制，尚難一概而論，有 時並不容易判斷，從財產權系譜學上分析，現代憲法保障人 民財產權真正的意旨實在於確保人民有合理的「私經濟活動 空間」，因此"
4,676,"各財產權的權能反而不能充分實現，權利人也會欠缺改善利 用的意願，對於所有相關財產權都不利。有鑑於此，在不動 產財產關係的形成上，立法者從來即基於「共利性」考量而 視情形設有一定的調合規範，比如針對緊密的共有關係，在 民法有關共有物的管理，特別民法性質的公寓大廈管理條例 有關區分所"
5,647,"的限制。從憲法的角度來看，單純不動產財產權調合的規定 性質上雖也是一種強制，但應更偏向財產權衝突的調合，而 非財產權與公共利益間的權衡，如土地徵收的情形，因此非 如後者須通過比例原則的審查，而最多只要通過寬鬆的務實 和諧原則 (Grundsatz der praktischen "
6,650,"境之權利」（釋字第五八號解釋），其實完全都在古典的遷 徙自由直接射程範圍，其保護領域並當然及於消極的不遷 徙，因此如第五四二號解釋所涉的強制遷村，構成的也是遷 徙自由的限制，並不需要另有一個抗拒強制遷村的居住自 由，從而把用「及」字與遷徙自由並列的居住自由重複壓縮 於此一擇居自由"
7,616,"受到限制，比較適合的也是遷徙而非居住自由。解釋引據第 四三號解釋，卻未適時區隔居住與遷徙自由的保護領域， 且仍以居住自由為審查都更條例的基礎，在方法上實在欠 妥。 不過即使在以重建方式來作都更的情形，其遷移和強制 遷村仍有不同，後者確實涉及生活空間的選擇，前者則是在 改善整體社區"
8,643,"徙自由相比，適足居住權在意的是各種居住需求的滿足，就 其權利的性質而言，除了防衛國家為降低居住品質的干預的 面向外，還有請求國家改善居住品質的受益權面向，而與遷 徙自由屬於不同的基本權範疇。此一權利意識在台灣的發 展，特別是在國家推動都市計畫行政多年之後，已相當程度 的普及，不僅"
9,623,"人民財產權（排除不動產間相互箝制的困境）及給付人民適 足居住的義務，也要避免人民的財產權、居住權受到過度的 限制。比起土地徵收制度所涉的基本權限制為單純的兩方關 係，都市更新制度必須同時考量基本權的調合、限制與滿 足，近年社會矚目的都更爭議多牽涉多方衝突，即足以說 明。本院的審查"
10,633,"布的都市更新條例，則兼採高權模式（第九條、第二十三條 二項、第二十五條、第二十七條、第二十八條等規定可參） 與公私混合模式，實際上又以後者為主。 市場模式對財產權、居住權的限制最小，憲法的顧慮自 然也最小。從排除不動產間的相互箝制來看，甚至可認為是 對財產權、居住權的制度性保障，"
11,615,"予），當然也可以開放多重選擇，就此立法者應該有高度裁 量、並隨社會情況的改變不斷調整的空間，憲法的控制，則 應視其混合方式而定，政府的角色越單純，越偏向市場模式 者，財產權保障的需要應該越低。反之，政府的角色越重， 越偏向高權模式者，財產權的考量也應該越重。違憲審查者 既不宜限縮"
12,625,"A. 所有權人超過 1/2 ，所有權面積超過 1/2 B. 所有權人超過 3/5 ，所有權面積超過 2/3 C. 所有權人超過 2/3 ，所有權面積超過 3/4 因為該條要求都市更新事業的實施者在擬定計畫向主管機 關報核前，應先確認更新單元內土地和建物所有權人在人數 和所有權面積"
13,640,"單元） → 所有權人（或另委任實施者）在多數同意下擬定計 畫 → 主管機關考量公共利益核定計畫 → 主管機關監督實施 者執行計畫。其考量重點顯然是從 CI 向 PI 移動，從自助而 他助，盡可能喚起最多所有權人共利互惠的意願，再從公共 利益的觀點說服主管機關認可，即可合理期待在執"
14,585,"主多數決得到更好的調合，不必擔心憲法的規範力因此流 失。而本件解釋在論理上的諸多不洽，可能即在沒有正確掌 握法律的深層意義，這樣過於簡化的憲法審查，並不能呈現 保障少數人權的細膩，反倒凸顯了司法者反多數決的粗暴。 三、正當行政程序要求的底線 本件解釋分別從限制基本權應符合正當行政"
15,609,"憲法第八條第一項為基礎建構剝奪人身自由應遵循的正當 法律程序原則，另於釋字第四三六號解釋以憲法第十六條的 訴訟權為基礎建構訴訟的正當程序原則，釋字第四八號解 釋課與行政機關訂定必要行政程序規範的義務，釋字第六五 二號解釋首次引進德國基本權程序保障功能的理論，建立一 般的內涵於基本"
16,653,"正當程序原則所生的程序立法義務，因為民國八十八年 通過的、具有里程碑意義的行政程序法後，實際上已大幅降 低，此一原則上可適用於各種行政程序的法典，依其第一條 宣示的立法目的：「使行政行為遵循公正、公開與民主之程 序 ， 確保依法行政之原則 ， 以保障人民權益 ， 提高行政效能， "
17,654,"法第二十四條等參照），其餘波效應之大實不問可知。 基本權的保障本應與時俱進，在行政程序法制定之後， 再從憲法角度繼續提升正當行政程序的要求，並無不可。重 要的是，任何違憲審查標準的突破，釋憲者都有升高的闡明 義務，本件解釋對於新標準的建立，有沒有盡到闡明的義 務？換言之，系爭規定"
18,641,"定顯然並未排除行政程序法的任何規定，只是本於更新計畫 須得到其他所有權人同意及主管機關核定的目的，比行政程 序法的一般性規定更為具體而已。行政程序法第一０二條到 第一０九條有關陳述意見及聽證的規定，全部都可以適用， 即使其中有關聽證的舉行原因，第一０七條本即以「法規明 文規定應舉"
19,638,"求主管機關核定後「連同已核定之都市更新事業計畫，分別 送達更新單元內各土地及合法建築物所有權人、他項權利 人、囑託限制登記機關及預告登記請求權人。」請注意這三 點「未要求」和「並非」，其實都不意味主管機關依系爭規 定「不得」，或實務上「均未」，而只是該條文以及依條例授 權訂定的施"
20,627,"分設階段，分幾個階段，各有何種功能目的，本來就應該尊 重立法者的裁量，憲法審查的重點，不能不放在主管機關作 關鍵決定的環節，計畫提出前的程序是否合理有效，當然需 要立法者通過實務的試誤不斷調整，但正因人民的基本權尚 未受到實質的限制，司法者的違憲審查即只能限於有無明顯 不當的瑕疵"
21,640,"公聽會紀錄申請當地直轄市、縣（市）主管機關核准，自行 組織更新團體實施該地區之都市更新事業或委託都市更新 事業機構為實施者實施之。」就此另有施行細則的補充，包 括第六條：「依本條例第十條第一項、第十九條第二項及第 三項規定舉辦公聽會時，應邀請有關機關、學者專家及當地 居民代表參加"
22,640,"時以互惠共利進行說服。核准以前，具體的計畫既未成形， 固然不對任何人發生任何計畫的效力，即使得到核准，作為 一種單純賦權性質的處分，連申請人也不因此負有任何作為 或不作為義務，被劃入更新單元的所有權人當然更不會受到 任何拘束，或對未來的計畫有任何同意的義務，就和被要約 的交易相對"
23,647,"請和通知，並公開進行對話，到底還有什麼不夠正當之處？ 理由書指摘的三點不足：第一，「尚不足以保障利害關係人 適時向主管機關陳述意見 ， 以主張或維護其權利」，第 二，「未 要求主管機關應設置適當組織以審議都市更新事業概要」， 和第三，「未確保利害關係人知悉相關資訊可能性」，在本席"
24,630,"提案人基於己利的付出，包括時間和金錢，若無法凝聚 共利乃至創造公益時，只能自己承擔，只有當提出計畫並經 核定後，可由利益共享的所有權利人來分攤實施的成本（都 更條例第二十六條第一項、第三十條第一項規定參照），這 種成本分配的方式已經可以起到節制浮濫的作用，本院又是 根據什麼理論或"
25,670,"期未完成者，該部分規定失其效力。」在解釋效力的宣示上 恐怕也有不小的問題，簡言之，對於侵害基本權的規範，本 以除去其效力為原則，只有在立即除去將嚴重危害法秩序， 或造成規範漏洞（司法者無法越俎代庖）的情形，得以諭知 修法而使違憲法律得於一定期限內為合憲的調整，期限屆 滿，即自動失"
26,629,"這種不作為的違憲，其實已觸及司法審查的制度極限，很難 想像，如果立法院三年後仍未完成教師薪制的法律化時，行 政部門除了再度甘冒違憲之責制訂發放薪資的命令外，還有 何路可走。回頭看本件解釋涉及的正當程序原則，標的規範 的性質為何，還不能一概而論，有屬於侵權規範者，如第三 九二號解釋"
27,631,"八四號解釋以後，正當程序原則在本院的解釋下已經不再涵 蓋「實質正當」的內涵，以與比例原則區隔，本件解釋難道 又要打破兩原則的楚河漢界？最後，同意比率到底要多高或 多低，才符合比例原則，如何從憲法推導出這樣的最低比 率？ 市場模式的都市更新完全建立在契約的基礎上，也就是 通過互惠共"
28,632,"為使公權力可以通過比契約（市場模式）更容易的方式推動 都市更新，這部分公共利益的加權顯然是以壓抑少數人意志 為代價，即使和單純公權力的決定（高權模式）比起來強制 性要小很多，仍可構成基本權的限制，同意比率可高可低， 其為限制則一。 至於構成基本權限制的同意比率規定，憲法上到底該用"
29,649,"階段功能固然有別，但如果同樣用來調合共利和公益，卻分 別用兩種基本權保障原則去審查，恐怕就要給個說法了。 基於本席對這個制度的理解，第十條所規定的都更起始 階段，以核准或否准為結束，其功能實為具有高度可替代性 的提案管制，而與最終的針對更新事業計畫內容的管制不 同，同意比率在計畫"
30,628,"的背後確實已有代表性、可行性，乃至程序經濟的公共利益 考量。足見第十條和第二十二條規定的同意比率雖有明顯不 同的階段功能，但都反映了基本權和公共利益的權衡，因此 已經不是單純的程序規範，而必須受到比例原則的審查。本 件解釋捨比例原則，而只用正當程序原則來審查第十條第二 項規定的同"
31,647,"不再贅述。至於以同意比率太低引發質疑、困惑、顧慮和衝 突，描述該規定在實作上呈現的面貌，應該只是一種法事實 的調查，還不足以作為認定違憲的理由，這個調查是否符合 真實，固不得而知，至少從主管機關到本院的說明，及前揭 行政院所提修正草案第二十條的說明理由來看，應該只反映 了一部分的"
32,669,"整個看起來，違憲的理由應該就是「尊重多數、擴大參 與」這八個字，但容本席冒昧的說，這也是通篇解釋離題最 遠的論斷，如不導正，後遺症難以收拾。乍看之下，把民主 精神納入正當行政程序的內涵，似乎沒有什麼不妥，行政程 序法第一條就特別強調民主的程序原則。但在行政處分限制 基本權的脈絡下"
33,632,"主張的經濟民主本有三個層次，廠場層次的勞資共決問題從 來不大，公部門決策的勞資共決，則已經乏人問津，因此主 要的爭議即在企業層次的勞資共決）。本件解釋當然無關勞 資共決，但「你我各自的財產，按多數決大家一起來決定才 叫民主」，其觀念的突兀是一樣的。若說「尊重多數」不是 這個意思，"
34,645,"則，根本就是高度危險的理論錯亂。然而理由書不僅在審查 第十條第二項時據此觀點認定違憲，到了後面審查第二十二 條第一項時，雖以比例原則為審查基礎，但在認定「其目的 洵屬正當，且以一定比率之同意規定亦可達成上述立法目 的」後，又特別指出「上開規定之同意比率均已過半，並無 少數人申請之"
