pdf_page,chars,preview
1,192,"釋憲聲請書 案 號 訴訟標的 新台幣 元 备額或彳賈額 依序填寫： 國民身分證統一編號或營利事業統一編 號、 性別、 出生年月日、 職業、 住居所、 就業處所、 稱 謂 公務所、 事務所或營業所、 郵遞區號、 電話、 傳真、 電子郵件位址、 指定送達代收人及其送達處所。 聲 請 "
2,674,"為因中華民國刑法第79條之1第5項及中華民國刑法施行法第7 條之2 第2 項（ 第7條之1 第2項併同 ） 有牴觸憲法之疑義， 謹依 司法院大法官審理案件法第5條第1項第2 款及第8條第1項規 定聲請解釋憲法， 並將有關事項敘明如后： 壹 、 聲請解釋憲法之目的 一 、 確定終局"
3,761,"事實行為終了或犯罪結果之發生在九十四年一月七日刑法 修正施行後者， 依九十四年一月七日修正施行之刑法第七十 九條之一規定合併計算其殘餘刑期與他刑應執行之期間。 」 (三 ） 中華民國刑法施行法第7條之1 第2項 ： 「 因撤銷假釋執行 殘餘刑期， 其撤銷之原因事實發生在八十六年刑"
4,857,"至 102 . 4 . 3 . 假釋中另犯毒品危害防制條例案致撤銷假釋， 依刑法施行法第7 條之2 第2 項但書、 刑法第79條之1 第 5 項規定， 原無期徒刑之殘刑以25年計」 。 上開臺灣臺北地 方檢察署檢察官核發之系爭執行指揮書執行指揮書備註攔 . 起 载 「 原無期徒_"
5,762,"16日遭撤銷假釋， 依刑法施行法第7 條之2 第2 項但書規 定及前揭說明， 其前所違反肅清煙毒條例案件經撤銷假釋所 餘之殘刑， 即應依95年7 月1 日施行之刑法第79條之1 第 5 項規定， 予以執行。 至系爭執行指揮書雖記載聲請人所受 確定判決之罪名為「 肅清煙毒條例等案」"
6,602,"他人自由、 避免緊急危難、 維持社會秩序， 或增進公共利 益所必要者外， 不得以法律限制 之 。」 5 . 憲法上罪貴原則、 信賴保護原則、 一事不再理原則與法不 溯及既往原則。 二 、 本案所經過之訴訟程序： 本案曾經臺灣高等法院107年度聲字第3509號刑事裁定 (附件1 )"
7,732,"(八 ） 臺灣臺北地方檢察署檢察官104年度執助箴字第1091號執 行指揮書： 其上備註欄記載「 受刑人於102 . 2 . 11至102 . 4,3 . 假釋中另犯毒品危害防制條例案致撤銷假釋， 依刑法施行法 第7 條之2 第2 項但書、 刑法第79條之1 第5 項規定， 原無"
8,721,"定， 有違憲法第8條人身自由權（ 或憲法第22條概括基本權 ） 之保障， 及違反憲法第23條比例原則與憲法保障之人性尊 嚴 ： 1 . 首按人身自由乃人民行使其憲法各項自由權利所不可或 缺之前提， 每個人的身體自主性， 均應享有不受非法的侵 犯。 假釋制度之目的在使受徒刑執行而有"
9,757,"17年 、 8 月 ， 應執有期徒刑22年 ， 並撤銷假釋在案。 按 現行中華民國刑法第79條之1 第5 項之規定， 除完全無 視聲請人前已埶行之12年 6 月刑期外， 亦因其經撤銷假 釋須入監執行無期徒刑之殘刑25年後 ， 併接續執行其因 違反毒品危害防制條例、 藥事法等案件之"
10,751,"中華民國刑法第79條之1第5項之規定， 其恐有逾59年 之生命須在牢獄中度過， 顯然牴觸前揭假釋制度之立法旨 意 ， 且聲請人之人身自由非但無法藉由「 假釋制度」之保 障實現其憲法上所應享有之自由權利， 其亦將因中華民國 之昆釋規定終生困於獄中而難見天日， 更未見其制度規範 之正"
11,726,"(二 ) 現行中華民國刑法第79條之1 第5項 ， 關於撤銷假釋執行 無期徒刑殘餘刑期者， 須於執行滿25年再接續執行他刑之 規定， 應有違反憲法第7條之平等權(原則 ） 、 憲法第23條 之比例原則及罪責原則： 按 「 憲法第七條保障人民平等權，旨在防止立法者恣 意 ， 並避免"
12,717,"有執行殘刑之人身自由限制， 惟因其後受無期徒刑者恐難 再有重見天日之可能， 而有殘刑執行之差別待遇。 是以因 現行刑法而須於獄中度過再逾25年之本案聲請人即生是 - 否構成侵害其平等權之疑義。 由於平等權並非絕對， 立法 機關所為法律上之差別待遇如屬合理， 仍為憲法所容許。 而如"
13,675,"多共高達逾50年之時間， 以人類壽命扣除幼年、 就學、 兵役後之時間事實上亦可謂實已剝奪受刑人再為假釋重 生之機會， 相較於無期徒刑之受刑人身自由權之永久剝 奪 ， 立法目的所欲確保殘刑執行之合理性， 顯然不符合所 謂 「 重大迫切」之公共利益。 4 . 系爭規定與目的間之關聯性"
14,739,"請假釋 ) 。 然此種復為無期徒刑25年之理由， 並非著 眼於所違犯後罪行為本身之不法與罪責程度， 而係在 於行為人前罪係受無期徒刑宣告， 故系爭規定所復為 無期徒刑25年之刑罰係針對行為人之個人特質， 實屬 行為人刑法， 是系爭規定亦難謂符合憲法罪責原則之 意旨（ 附件13,釋"
15,696,"因系爭規定使其餘生都必須在監獄中度過， 對其人身 自由侵害之嚴重程度可謂甚鉅， 且假釋之制度性保障 亦將因事實上之永久監禁而嚴重減損， 「 促使受刑人積 極復歸社會」之制度目的更益顯蕩然無存， 故系爭規 定之適用結果實難謂「 別無較小的侵害手段」（ 嚴密剪 裁 ， narowly"
16,741,"資參照（ 附件16 ) 。 假釋制度則亦旨在使受刑人再社會 化 ， 並同時防止長期自由刑之弊， 此等制度均係在防 止自由刑之弊， 依前揭釋字第662號解釋意旨， 於數 罪均得易科罰金之情況下， 尚均得以數罪合併考量後 予以易科罰金處理， 就本案聲請人亦犯數罪而言， 則 反須就原無"
17,763,"不法侵害， 經依法定程序提起訴訟， 對於確定終局裁判所 適用之法律或命令發生有牴觸憲法之疑義者， 得依司法院 大法官審理案件法第五條第一項第二款規定聲請解釋。 大 法官依此規定所為解釋， 固以該確定終局裁判所適用之法 律或命令為標的， 就人民、 法人或政黨於其憲法上所保障 之權利"
18,741,"之有利法律地位（ 釋字第五二九號解釋參照 ） 或可得預期 之利益（ 釋字第六0 五號解釋參照 ） ， 國家除因有憲政制 度之特殊考量外（ 釋字第五八九號解釋參照 ） ， 原則上固 有決定是否予以維持以及如何維持之形成空間， 惟仍應注 意人民對於舊法有無值得保護之信賴及是否符合比例"
19,767,"撤銷假釋原因事實之時點作為法律適用上切割之依據。 是 本案聲請人於原無期徒刑執行及申請假釋時所信賴並應 享有者自非現行中華民國刑法上之規定， 而應係舊法時代 之假釋制度， 又該假釋（ 包括假釋經撤銷後如何執行殘刑 及再度申請假釋 ) 之信賴利益， 係涉憲法第8 條人身自由 以及復"
20,812,"代法治國普世公認之原則（ 聯合國公民與政治權利國際公 約第14條第7 項 、 美國憲法增補條款第5條 、 德國基本 法第103條第3項及日本國憲法第39條 等 規 定 參 照 ， 今本案聲請人前因於無期徒刑假釋期間故意更犯罪而經 撤銷假釋， 並依刑法第79條之1 第5 項規定須重"
21,734,"作為新舊法律之適用標準， 使撤銷假釋新法規定溯及適用於 本案聲請人， 亦有違憲法上法不溯及既往原則： 1 . 按釋字第574號解釋理由書（ 附件20 ) 載明： 「 法治國原則 為憲法之基本原則， 首重人民權利之維護、 法秩序之安定 及信賴保護原則之遵守。 因此， 法律一旦發生變"
