pdf_page,chars,preview
1,272,"司法院憲法庭言詞辯論筆錄 聲請人臺北市政府 指定代表法務局袁秀慧局長 代理人廖元豪副教授 聲請人祁家威 代理人許秀雯律師 莊喬汝律師 潘天慶律師 關係機關 法務部 代表人邱太三部長 内 政 部 指定代表戶政司張碗宜司長 臺北市萬華區戶政事務所 指定代表王雪梅秘書 鑑定人陳愛娥副教"
2,295,"民國106年 3 月24日上午9 時在憲法庭公開行言詞辯論， 出庭 人員如下： 審判長大法官許宗力 大法官蔡 焖 燉 陳碧玉 黃璽君 羅昌發 (大法官黃瑞明於審理本案時聲請自行迴避） 書記官林立青 陳 明 珠 通譯羅惠如 湯德宗 蔡孟儒 黃虹霞 審判長諭知： 請書記官朗讀案由。 "
3,467,"憲法庭公開行言詞辯論。 審判長 現在進行言詞辯論程序。 先向各位簡單說明今天的程序進行： 本次言詞辯論實施全程錄音錄影， 並在本院及大法官網站直 播開庭影音。 程序進行流程是： 1. 請聲請人方及關係機關方到發言台陳述辯論要旨， 時間各 不超過10分鐘。 2 . 聲請人方及關係機"
4,677,"4 . 如立法創設非婚姻之其他制度（ 例如同性伴 侣 ） ， 是否符 合憲法第7 條保障平等權以及第22條保障婚姻自由之意 旨？ 審判長 在請各位開始發言前， 提醒各位發言台及席位上都有計時 器 ， 請務必注意時間的掌握， 在發言時間屆滿前1 分鐘， 會 有響鈴1 聲提醒， 時間"
5,806,"認 ， 婚姻確實是一個制度， 而此制度主要是藉由立法者來形 塑 ， 婚姻的權利必須與此制度的本旨相符， 才會被納進來， 這個我們絕對承認， 而婚姻此制度非常的重要， 在我們的聲 請書及爭點說明都已說明， 婚姻如此重要的制度， 每一個社 會都非常需要， 有數千年的歷史， 然而婚姻的"
6,768,"這是第一個時代的改變。 第二個， 很重要的就是， 既然我們保障的很多法律、 我們這 個社會， 都承認有同志這個群體， 與同志的性傾向是受保護， 那我們就要說什麼叫作性傾向， 性傾向就是跟什麼樣的人有 關係， 包括性關係的一種特性， 如果今天認為同性的性傾向 是值得受法律保護， 是"
7,774,"的同志， 才會想要加入婚姻， 他符合婚姻的本質， 他並不是 要破壞婚姻的制度， 他們甚至不是要改變婚姻的結構， 現在 民法中的婚姻制度， 也許有很多的瑕疵， 但這個規定是每一 位想進來的同志眼睛看得到， 所以他們認同想要進來， 當許 多的異性戀者， 不一定這麼珍惜這套制度的時候，"
8,685,"法保護人民權利的立場， 我們主張同志應該受保護。 謝。 審判長 請聲請人祁家威方陳述。 聲請人祁家威 各位大法官好， 很感謝各位大法官今天召開這次言詞辯論 庭 ， 我等了四十一年六個月又二十四天。 我不是科班的法律 人 ， 但我是覺得說， 要從最簡單的法哲學來省思判斷，目前 在醫"
9,758,"釋等方法， 不容許同性結婚的話， 聲請人也認為民法這樣的 一個限制與禁止， 已經違反憲法保障人性尊嚴、 人格自主、 平等權以及結婚自由這些基本權利， 也違反憲法增修條文第 10條第6項 ， 應該要消弭歧視、 促進實質平等的意旨， 在此情 形則應該宣告現行民法違憲。 聲請人祁家威代"
10,779,"一點。 另外， 有關憲法第22條公共秩序及社會利益， 我們可 不可以用另外一個方式來理解， 如果我們打開胸懷允許同性 締結婚姻， 這樣法律地位的承認， 讓同志族群有一個可以自 我實現的機會， 也會讓社會上的異性戀族群看見差異， 這樣 的看見其實會帶來理解， 而對於同志族群的理解，"
11,780,"此 ， 聲請人認為本件確實違反憲法第7條平等權。 謝。 聲請人祁家威代理人許秀雯律師 有關爭點四， 事實上我們換一個問法來問， 如果同志不被允 許結婚， 所以， 在憲法上所保障的結婚自由與平等權遭受到 違憲的侵害， 在此情形是否存在一種方式， 可以不用允許同 志結婚， 可是卻又不"
12,716,"的要求， 因為這樣的方案是非常容易次等化與繼續邊緣化同 志伴 侣 的社會處境。 謝。 審判長 請關係機關法務部方陳述。 關係機關法務部代表人邱太三部長 審判長， 各位大法官， 大家早。 本部今天以民法主管機關的 立場到憲法庭來陳述， 所以地位上與一般訴訟被告不太一 樣 。 有關本"
13,808,"看出現行民法結婚在解釋上應為一男一女。 雖然也有學者專 家試圖從上開條文， 男女當事人一詞， 並未否定男或女 這樣的可能， 不過我們如果從婚姻章第3節有關於婚姻普通效 力規定， 均使用異性的， 所謂夫妻這樣的用語， 而非使用中 性的配偶， 這樣的用語， 甚至在大法官釋字4 5 2"
14,784,"範 ， 雖然不是在個案的脈絡下來作論證， 但婚姻制度乃是先 於國家與憲法， 就長久存於人類社會的生活規範與機制， 這 個婚姻制度的 内 涵與要件， 當然是要由代表人民， 並且由人 民所選出與授權的立法者來訂立。第二個， 婚姻自由與組織 家庭的保障是不同的概念， 二者應該區別， 而"
15,711,"與平等原則無違。 爭點四如立法創設非婚姻之其他制度（ 例如同性伴 侣 ） ， 是否 符合憲法第7條保障平等權以及第22條保障婚姻自由之意 旨？本部認為立法者是否斟酌社會變遷與文化發展等情， 在 無損婚姻制度與其他相關公益的前提下， 分別情形給予其他 制度的法律保障， 應屬立法形成"
16,803,"等事項， 依戶籍法第4條規定， 戶籍登記可分為身分登記、 遷徙登記及其他依法律所為登記等六大類， 戶籍上之身分登 記大多為民事身分登記以及原住民身分登記， 民事身分登記 包括出生、 收養、 結婚、 離婚等， 因為我國民法關於民事身 分 ， 未全面採取登記主義， 解釋上如依民法之規"
17,777,"定 ， 我國的婚姻制度改採登記主義， 登記婚為法律婚之一種， 申請結婚登記是否適法， 戶政機關應予形式審查， 對於違法 有瑕疵之申請案件， 主管機關應否准登記， 所以 ， 戶籍法規 及戶政事務所為之結婚登記作業， 均係為執行民法對於結 婚之實體要件規範。 有關結婚之當事人是否必須"
18,800,"今 ， 依不同時期的法律背景， 辦理民眾的身分登記， 以結婚 登記而言， 我國舊時婚姻關係為一夫多妻制， 在曰據時期承 認夫妾為合法的配偶， 並且有招贅的婚姻， 惟臺灣光復後適 用我國民法不容認納妾行為， 87年民法廢除贅婚制度。 所以 ， 婚姻制度依其時空環境之背景與民眾之通俗"
19,700,"我國民法對於婚姻之定義， 係採以終生共同生活為目的之一 男一女適法結合關係， 另觀諸司法院釋字第36 5 號解釋理由書 及臺灣高等法院89年度家抗字第1 5 6號民事判決意旨， 亦採相 同之見解。而依司法院釋字第36 5 號解釋理由書略謂： 「 由一 男一女成立之婚姻關係， 以及"
20,660,"到影響？ 例如外籍配偶可以申請依親， 外籍伴 侣 是否可以？ 又伴 侣 是否可以撫卹？ 審判長 請聲請人祁家威方詢問。 聲請人祁家威代理人許秀雯律師問 請教法務部， 剛談了非常多立法形成自由， 以立法形成自 由為理由， 認為現行法合憲， 並且認為在本案， 釋憲機關某 種程度暗示應"
21,629,"要如何稱呼新娘、 新郎， 及男方、 女方主婚人等， 在中南部 的衝擊更大。 社會上對於同婚與反同婚尚未溝通， 也無初步 的方向與共識， 若貿然修改， 一定會衝擊社會秩序與公共利 益 。 審判長 請關係機關 内 政部方答詢。 關係機關 内 政部指定代表張琬宜司長答 有關臺北市政府代"
22,594,"由 ， 易序卦傳曰： 有天地然後有萬物， 有萬物然後有男女， 有男女然後有夫婦。 經解曰： 婚姻之禮， 所以明男女之別。 民法在民國19年制定時， 是依照這樣的歷史發展與社會需求 制定， 但在當時空環境下， 無論我國或世界各國對於婚姻 或其他形式結合， 並無由男女兩人以外締結之討"
23,700,"像邱部長所說的， 是數千年來我國人民所累積的各種傳統， 數千年來婚姻制度的面貌從來不是一致的， 甚至我國也有很 多不同民族， 例如原住民的婚姻制度就和漢人不同， 故數千 年來婚姻之本質究竟為何， 本人亦想請問法務部之看法。 第二個問題， 邱部長提到， 大法官各號解釋是以一夫一妻為"
