pdf_page,chars,preview
1,742,"司法院釋字第四六一號解釋 中華民國 87 年 7 月 24 日 院台大二字第 16847 號 解 釋 文 中華民國八十六年七月二十一日公布施行之憲法增修條文第三 條第二項第一款規定行政院有向立法院提出施政方針及施政報告之 責，立法委員在開會時，有向行政院長及行政院各部會首長質詢 "
2,925,"司法院釋字第四六一號解釋 長若干人，及不管部會之政務委員若干人。又依八十六年七月二十 一日公布施行之憲法增修條文第三條第一項規定，行政院長由總 統任命之。憲法第五十六條規定行政院副院長、各部會首長及不管 部會之政務委員，由行政院長提請總統任命之，則未修正。其次 ，行政院有向立法院"
3,815,"發生疑義，須待進一步詢問，以期澄清者，其邀請到會之政府人員 ，尤不得置之不理。又因我國憲法上中央政制，與一般內閣制有別 ，立法委員既不得兼任官吏，則負責事前起草或事後執行法案之政 府人員，於議案審議過程中參與備詢，自有其必要。故立法院各種 委員會依憲法第六十七條第二項規定，邀請政"
4,848,"司法院釋字第四六一號解釋 部分不同意見書 大法官 林永謀 一、本件解釋第二部分所謂「凡行政院各部會首長及其所屬公務員 ，除依法獨立行使職權，不受外部干涉之人員外，於立法院各 種委員會依憲法第六十七條第二項規定 邀請到會備詢時，有應 邀說明之義務」云，係以「立法院為行使憲法所賦予議"
5,858,"權作用之訴訟為例，其起訴之原告，基於直接審理、言詞辯論 主義，且法院為發見真實，當然有到庭陳述之必要，但其若自 願負敗訴判決之危險，則自可不到庭，法律亦不課其以義務， 足證「必要」並非即可使人負「義務」。至於具備「必要」之 情形，何者應課以「義務」，此則應就整體法律秩序予以利益 "
6,867,"司法院釋字第四六一號解釋 律案與預算案等之審議，具有專門性與技術性，但立法院各委 員會人數有限，且未必精通各項學識，而其又來自民間各階層 ，與實際情形尤多隔閡，是為博採周諮，集思廣益，期達縝密 精詳、確切無誤之效，特以「……得邀請……到會備詢」出之 ，是此之「備詢」，顯非等同於「"
7,880,"、第九十六條、第九十九條明定監察院各委員會之具有調查權 ，而立法院為準備立法，須為相關事項之瞭解，確亦非概無其 必要；惟如前述，若係請人協助，央浼提供所知、所學，各隨 其意，此則無關乎權義，當無問題，至若加諸他人以義務，本 具侵害性，要非有憲法上之依據不可，殊不能僅以其有此必要 "
8,608,"司法院釋字第四六一號解釋 既以由專家學者等相關人士之諮詢，較能達其目的，則義務性 之強制備詢，其不宜採行，明矣！乃本件解釋卻反其道而行， 猶謂憲法第六十七條第二項係效力規定 ，無異藉此賦予立法機 關以「立法調查權」之實；然其論據竟僅建立於前述所謂「必 要」之上，不及於法之權義範疇"
9,640,"抄立法委員丁守中等一百二十四人聲請書 壹、聲請解釋憲法之目的 參謀總長應否列席立法院備詢或陳述意見，憲法規定不詳 ，於適用時滋生諸多疑義，特請大法官解釋。 貳、疑義性質、經過及涉及之憲法條文 參謀總長應否列席立法院備詢或陳述意見，數年來立法院 與國防部爭議不斷，嚴重影響立法院質詢"
10,702,"司法院釋字第四六一號解釋 2.無論參謀總長是否被視為「部會首長」，參謀總長都是 「政府人員」，受憲法第六十七條的適用。 3.「國防部參謀本部組織法」第九條的規定違反憲法第五 十三條。 4.無論「國防部參謀本部組織法」第九條的規定是否違憲 ，參謀總長在職務上的作為，無論是否與執行總"
11,815,"平行單位，人員、編制、預算均彼此獨立調派、處理與運用。 在名上，國防部所有單位均應由單一組織法規範，即國防部組 織法，凡屬國防部的下屬單位均在該法規範之內，但在實務上 ，參謀本部不受「國防部組織法」規範，而自成一格的由「國 防部參謀本部組織法」規範，並獨立適用。 國防部與參謀本部"
12,719,"司法院釋字第四六一號解釋 部長辦公室（國防部組織法 第四條），以國防部長為國 防部本部的首長；參謀本部 設參謀總長辦公室（國防部 參謀本部組織法第三條）， 以參謀總長為參謀本部的首 長。國防部本部與參謀本部 並無隸屬關係，國防部本部 無法指揮參謀本部。在國防 部本部與參謀本部之上"
13,730,"防部長在法律上和實務上， 對參謀本部的人事任免均無 任何權力。 ⑸ 從預算而言 參謀本部的總體預算歷 年來均遠大於國防部本部的 總體預算。以民國八十六年 度為例，國防部本部的預算 總數為新臺幣捌仟陸佰萬元 ，同年度參謀本部的預算， 公開部分為新臺幣壹仟柒佰 肆拾陸億元。單以公開部"
14,836,"司法院釋字第四六一號解釋 要求主管全國各方面行政事務的一級主管（院長）和二級主 管（部會首長）向立法院報告，接受立法院的質詢。但是目 前有關全國軍事方面的事務，名義上雖然屬於國防部所主管 ，但實務上國防部長或行政院長卻管不到，立法院也監督不 到。主管全國軍事務的唯一首長－參謀總長"
