pdf_page,chars,preview
1,456,"抄臺灣花蓮地方法院刑事第一庭法官吳志強釋憲聲請書 壹 、 聲請解釋之目的 一 、 按憲法為國家最高規範， 法律牴觸憲法者無效， 法律與憲法有無 牴觸發疑義而須予以解釋時， 由司法院大法官掌理， 此觀憲法第 171條 、 第 173條 、 第 78條及第79條第2 項有明文規定。 "
2,463,"各該事件或案件之訴訟或非訟程序之裁定停止在 内 ， 裁定停止訴 訟或非訟程序， 乃法官聲請釋憲必須遵循之程序。 又所謂「 先決 問題」係指審理原因案件之法院， 確信系爭法律違憲， 顯然於該 案件之裁判結果有影響者而言； 所謂「 提出客觀上形成確信法律 違憲之具體理由」， 係指聲請"
3,610,"一方與第三人間之性行為應為如何之限制， 以及違反此項限制， 應否以罪刑相加， 各國情不同， 應由立法機關衡酌定之。 刑法 第二百三十九條對於通姦者、 相姦者處一年以下有期徒刑之規定 ， 固對人民之性行為自由有所限制， 惟此為維護婚姻、家庭制度 及社會生活秩序所必要。 為免此項限制"
4,893,"h[tp;//w.risd.moi.H 〇 v.tw/RJSDWEB/cominon/Webl.ist3.aspx')mcnu-(i['N PROSHCU 月間： 因妨害婚姻及家庭罪案件經檢察官以刑法第239條起訴之 人數 ： 女性均高於男性； 有罪法條為刑法第239條之裁判確定"
5,658,"情形， 對配偶撤回告訴其效力不及於相姦人， 以致於我國刑法第2 39條於司法實務之運用實態， 誠因我國社會文化脈絡已有造成性 別上之差別對待， 且適用該條規定時未能就不同事物為合理之差別 對待， 進而存有違反憲法第7 條 及 鈞 院 釋 字 第 485號解釋所揭橥 實質平等原則之"
6,541,"之個人性行為自由及憲法第 23 條比例原則與婚姻、 家庭制度之價 值作出權衡判斷， 然作為概括基本權條款之 憲法第 2 條 ， 除性行 為自由外， 尚涵括鈞院於 釋字第 585 號解釋理由書 所言及： 基於 人性尊嚴與個人主體性之維護及人格發展之完整， 並為保障個人生 活秘密空間"
7,506,"釋憲法。 懇請鈞院以變更解釋或補充解釋之方式， 實現憲法保障 人民基本權利之意旨。 貳 、 疑義性質與經過， 及涉及之憲法條文 一 、 本院受理106年度花原易字第7 號 （ 原字號為： 106年度花原簡 字第103號 ） 妨害婚姻及家庭案件， 該案係臺灣花蓮地方法院檢 察署檢察"
8,559,"陣 〇 分別涉犯刑法第239條相姦、 通姦罪嫌而提起公訴。 二 、 聲請人經審酌刑法第239條制訂時之立法意旨及鈞院釋字第 554號解釋之解釋意旨， 認刑法第239條具體運用實態， 因我國 社會文化脈絡造成女性遭起訴之比率多於男性、 男性獲得不起訴 比率多於女性之情， 蓋本罪係告"
9,618,"有牴觸憲法第7條 、 第 22條及第23條之疑義， 是已於106年 5 月 11曰裁定停止本案訴訟程序。 叁 、 聲請解釋憲法之理由及對本案所持之立場與見解 一 、 刑法第2 3 9 條規定之運用實態， 違反憲法第7 條平等原則 ( 一 ） 按憲法第七條平等原則並非指絕對、 機械"
10,793,"消除對婦女一切形式歧視公約（ CEDAW ) 第 2 條（ g ) 廢止本國刑法條為刑法第239條之裁判確定有罪人數： 女性均高於男性， 及 104年 1 月至12月、 105年 1 月至12月及106年 1 月至4 月間： 因妨害婚姻及家庭罪案件經檢察官以刑法第239條起訴之人"
11,605,"之規定正好對丈夫能有所警惕， 且能保障處於弱勢地位之妻子， 但實際上倘若妻子社會地位或經濟能力薄弱， 恐怕無法或不敢提 起通姦罪之告訴， 要保護處於弱勢地位之妻子最有效的方法還是 協助其在社會及經濟上自立， 而非對於配偶之懲罰9。 況 且 ， 當 代社會中， 女性具有經濟獨立、自"
12,556,"罪之規定違反憲法第7 條平等原則。 二 、 因刑法第2 3 9 條規定而發動之蒐證作為， 將導致個人隱私生活 之嚴重侵害， 違反憲法第2 2 條及公政公約第17條保障之隱私 權 ( 一 ） 再 按 ， 維護人性尊嚴與尊重人格自由發展， 乃自由民主憲政秩 序 之 核 心 價 值 。"
