pdf_page,chars,preview
1,807,"解釋憲法補充理由狀 壹、 釋字第796號解 释 暨部分協同意見書（ 蔡明誠大法官）、 協 同意見書 （ 黃瑞明大法官）、 協同部分不同意見書（ 許志雄大法 官）、 不同意見書（ 黃虹霞大法官提出）之見解 案 號 ： 109年度憲二字第414號 聲 請 人 ： 賴清和 代 理 人 "
2,973,"蔡明誠大法官並以台灣高雄地方法院109年度簡字第419號刑事簡易判決為 例 ， 指出該案宣告有期徒刑的結果， 勢將致使被告入監執行殘刑， 考量被告 的年齡， 將加深被告 来 來重返社會後更生之難度， 既對被告有過苛之嫌， 對 於落實刑法一般預防'特別預防之目的， 也沒有實質效果。"
3,1093,"換言之， 如同許志雄大法官所言， 人生不是一個走過便了無痕的物理時間的 消逝而已， 一旦假釋出獄後，自然會開展各種復歸社會的努力和計畫， 也開 始重新回復社會人的身分及義務。這不僅是一個簡單的數學加減， 更是無法 共量的時間觀。 再依許志雄大法官第六點所言，「 釋字第681號解釋"
4,1106,"貳、 刑罰的目的是什麼？ 過度的懲罰是否存在？ 假釋制度是否可 能存在公平性？ 人詬病者在相關程序不透明……實務上概以撤•銷假釋時點為判斷基準是否妥 適•也很值得檢討， 並可能是本件原因案件爭議形成之因素之一。」 綜合以上各大法官所言， 均針砭指出， 我們必須嚴肅面對刑法第7 9"
5,1170,"矯正機關以再社會化自許， 顯然也應以「 教化有效性」作為自我評估標準。 若是以關得久， 讓收容人終老於監所之中， 顯然已經有愧於「 矯正」機關之 名 ， 亦背離刑罰的真義。 刑法 剥 奪人身自由， 想要追求的究竟是矯治還是懲 罰 ？在服完有形的罪刑（ crime ) 刑期之後，曾"
6,1186,"參、 刑法第79條之1 第5項 、 刑法施行法第7條之1 第2項 、 刑法施行法第7條之2 第2項 ， 涉有抵觸憲法第8條人身自由及 第 23條比例原則等疑義， 爰依司法院大法官審理案件法第5 條 第1項第2款及第8條第1項規定， 聲請解釋憲法之補充 會之重大暴力犯罪 * 均屬此"
7,624,"― 、 聲請憲法解釋之目的, 1 、 請求宣告刑法第79條 之 1 第 5 項 、 刑法施行法第7 條 之 1 第 2 項 、 刑 法施行法地7 條 之 2 第 2 項 ， 有違憲法第 23條比例原則之意旨， 侵害 憲法第8 條所保障之人身自由， 應屬違憲。 2 、 又本解釋聲請"
8,979,"條之一修正施行前者， 依修正前之刑法第七十九條之一規定合併計算其殘餘 刑期與他刑應執行之期間。 但其原因事實行為終了或犯罪結果之發生在八十 六年刑法第七十七條修正施行後者， 不在此限。」 刑法施行法第7 之 2 條 ： 「 於中華民國八十六年十一月二十六日刑法修正公布後， 九十四"
9,1084,"人民上述自由或權利加以限制， 必須符合憲法第二十三條所定必要之 程 度 ， 並以法律定之」 。 撤銷假釋後， 受假釋者必須進入某一監獄， 即無法自由地設定住居所、 遷徙、 旅 行 ， 監禁的環境當然使其居住及 遷徙之自由受到剝奪。 再 者 ， 我國釋字第689號解釋有謂「 基於人"
10,1100,"目。因此， 入監者其工作與職業自由會受到相當的限制 2•按大法官解釋之意旨， 限制人身自由應與所欲維護之法益權衡， 以符 合比例原則 ( 1 ) 撤銷後定應執行刑之宣告應充分衡量受刑人所為行為之嚴重 性 ， 始合乎比例原則之規範 a . 大法官解釋第471號解釋文謂：「 人民身體"
11,1160,"期徒刑之重度自由刑相繩， 對違法情節輕微、 顯可憫恕之個案， 法院 縱適用刑法第五十九條規定酌減其刑， 最低刑度仍達二年六月以上之 d . 大法官解釋第777號理由書謂：「 人民身體之自由應予保障， 憲法第 8 條定有明文。限制人身自由之刑罰， 嚴重限制人民之基本權利， 係 不得"
12,1153,"憲法第二十三條之比例原則， 有關機關應儘速予以修正， 並至遲於本 解釋公布之日起屆滿一年時停止適用 。 J b . 鈞院釋字第711號解釋理由書：「 惟藥師依法本得執行各種不同之業 務 （ 藥師法第十五條參照） ， 社會對執行不同業務藥師之期待因而有 所不同， 且因執業場所及其規"
13,1120,"之殘刑為25年 ， 於心不忍。 惟此種有無過苛情事， 並非刑法第78 條規定之問題，而 應 是 7 9 條 之 1 所衍生問題， 原即不應頭痛醫 腳 ， 不面對處理刑法第79條 之 1 規 定 ，而取巧以賦與法官准否撤 銷假釋裁量權方式處理。而且若依聲請意旨， 賦與法官或其他機關"
14,1317,"可聲請（ 參日本刑法第2 8 條） ， 然德國刑法及曰本刑法中， 對假釋 中再犯之人， 對執行殘刑皆無特別規定， 是 以 ， 遭撤銷無期徒刑假釋 之人於執行殘刑分別逾15年及10年 後 ，自得繼續報請假釋， 爭取再 次復歸社會之機會， 而經比較德國及日本之規定後， 更顯見我國刑法"
