pdf_page,chars,preview
1,712,"法規範憲法審查年請書 確 定 終 局多 高以 π守 裁 判 案號 ｜｜｜年受全｜克幸幕 ｜ r夕6了 聲 請 人 李三 能 身分證字號 : 住 居 所 : 送 達 處 所 之規 定 : 1 茲依 《憲法訴訟法》第 59條 第 1項 ,聲 請法規範 憲法審 查 2 審 查客娃 3 "
2,901,"1 釋 而｜未執行完之殘刑 。因而會產生對其按 《憲法》、《公民與政 2 治禪利國際公約》及 《經濟社會文化權利國際公約》所享有的 3 若干重要基本權利之求 l李 或相 當限制 。 4 二 、按大法官解釋意 旨 (司 法院群字第 471號 、 582號 、 669號 、 777號"
3,967,"1 聲請人認 為假釋撤銷所 需服之殘刑 高達 25年 之久 ,不 僅 遠 高於 2 原本 10年 即得報請假釋之年限 ,亦 與 聲請人於假釋期 間違反保 3 護 管東應行 注 意事項 ,以及所犯 不能安全 駕駛之罪行顯不相 當 4 守飲銷假釋是否應執行 受別人「全部 」殘刑 ,應"
4,990,"1 法治 國家共 同之準則 」。撤銷假釋後 ,受假釋者必須從 自由社 會 再次入監服毋 禁的環境使 人身 自由當然受到剝奪 。 3 其次 ,憲法第 l0條 規定 :「 人 民有居住及遷徙之 自由」。我 國釋 4 憲法第十條規定人民有居住及遷徙之 自由 , 字 454號 解釋有謂 "
5,955,"1 婚姻與 家庭 是 一個 人 的人格發展 以及社 會生活的基礎 與 支持所 2 在 ,是故一旦受假釋者 因撤銷假釋 而入 監 ,縱 使有接 見機 會 ,但 3 仍形成其與配偶 、子女相 當時間的分離 ,不 利於婚姻 的維持與子 4 女 的教養 ,同 時也造成受假釋者與社 會之連"
6,1010,"1 表現之危險性 ,及 對於行為 人 未 來行 為之期符 性相 當 。 槍 砲 2 彈 藥刀械 管制條例…不 問對行 為人有無預防矯 治其社 會危險 3 性之必要 ,一 律 宣付 強制工作三年 ,限 制其 中不具社 會危險 4 性之受處分人之身體 、自由部分 ,其所採措施與所欲達"
7,1073,"1 法情節輕微 、顯可憫恕之個 案 ,法 院縱適用刑 法 第五十九條 2 規定酌減其刑 ,最 低刑度仍達二年六月以上之 有期徒刑 ,無 3 從 具體考量行 為人所應 負責任之輕微 ,為易科罰金或緩刑之 4 宣告 ,尚 嫌情輕 法重 ,致 罪責與處罰不相對應 。首揭規定有 5 關空"
8,1016,"1 罰法減免處罰規 定之適用者 外 ,行 政機 關或法院並無綜合個 2 案一切違法情狀 以裁量處罰輕 重之權 限 ,立 法 固嚴 ,揆 諸為 3 平穩 米酒價格及維持市場供 需 ,其他相 關法律並無與菸 酒稅 4 法第二十一條規 定達成相 同立法 目的之有效 手段 ,且 上 開規"
9,1059,"3.鈞 國家基於 不 同之租稅管制 目 1 院釋 字第 754號 解釋理 由書 :「 2 的 ,分 別制定法規 以課徵 進 口稅 、貨物稅及 營業稅 ,於 行 為人 3 進 口貨物未據實 申報 時 ,固 得依各該法律 之規定併合處罰 4 以達成行 政 管制之 目的 ,惟 於個 案"
10,981,"1 法 官或其他機 關裁量權 ,則 除 了沒有裁量標 準 ,將 再滋生 目前 已 2 常見之 等者不等 、因法 官或裁量者不 同而准否撤銷假釋結果不 同 3 之不公外 ,更 可能另生對原被處無期徒刑之 重罪者撤銷假釋令服 4 l125年 l幾 殘毋 過苛 ,故 裁量不撤銷假釋 ,"
11,1016,"1 但有期徒 刑之執行未滿六個 月者 ,不在 此限 。┘亦即 ,若 於 2 撤銷假釋後應執行殘餘刑期 ,原經判處無期徒刑者報請假釋 ,幾 3 之年限由舊法的執行滿 15年 改為 25年 乎造成 了終身監 4 禁之效果 。 5 2.再 者 ,就 比較 法觀點 而言 ,德 國之假釋制"
12,1077,"1 保護及促進兩公約所保 障各項人權之實現 。 (第 2項 2 2.查 刑法第 78條 第 1項 於本 案適用之結果 ,使 原於假釋期 間 3 之抗告人 ,僅 因不明究理 、認事用法顯有 問題之後 案判決 ,無 4 分別 責輕 重情 節 ,對人身 自由逕予以剝奪 ,且 一律 必須"
13,558,"1 以死刑犯於執行前漫長等待所造成之精神痛苦 ,構 成死刑 不 2 可分割之 一部分 ,作為認定死刑制度違 憲之理 由 。 4.本 l人 ,雖 , 3 案及其他遭到撤銷假釋之無期徒刑 受毋 並非死刑犯 4 實務 上長期監禁之情況 ,卻猶如讓 這群 無期徒刑 受別 人在 監 5 所"
