pdf_page,chars,preview
1,732,"釋字第 部分 協 同意見書 蔡明誠大法官 本號解釋 通姦罪與相姦罪除罪化及 告訴不可分 例外規定是否違憲之憲法爭議，所作出之解釋 239 有配偶而與人通姦者，處一年以下有期徒 刑；其相姦者亦同。 」 （下稱系爭規定一 ） 對憲法第 保障性自主權之限制，與憲法第 解釋公布之日起失其"
2,1141,"性自主權）之重要性，已更加受到肯定與重視，而婚姻所承 載之社會功能則趨於相對化。 配偶性自主權之限制，多年來已成為重要社會議題可知。是 憲法就此議題之定位與評價，自有與時俱進之必要。」 論 係 基於當代民主國家婚姻法制之發展及婚姻社會功能之相 對化， 惟 觀察 所謂當代民主國家 "
3,1153,"密關係等功能 一般婚姻功能之描述，固非婚姻存在之 要件， 並隨各社會發展階段之不同而異其形成， 某項 社會 功能 ，亦不宜認為婚姻之社會功能已 一社會制度之結構及功能，往 社會及文化之差異，加上 社會 演化 變遷 外， 亦 可能因採取不同社會學理論 ，有係採宏觀或微觀，或 兩者整"
4,813,"（二）與時俱進之權利觀念與立法者之自由形成空間 再者， 法 需 與時俱進，固 。 本號解釋認「系爭解 釋所稱系爭規定一『為維護婚姻、家庭制度及社會生活秩序 所必要 … 立法者就婚姻、家庭制度之維護與性行為自由間 所為價值判斷，並未逾越立法形成自由之空間』乙節，已非 無疑；尤其系爭"
5,929,"姻家庭制度與性行為自由基本權之制約，兼論夫妻間之隱 私，於系爭解釋 有提及，似未見其有何可疑，解釋究竟有 何新穎之處， 不無疑問。 本號解釋 基於 憲法 個人格自由發展及人性尊嚴，並兼含隱私觀念，但系爭解 釋當時其實已論及婚姻家庭制度保障與性行為自由，並 隱私等 憲法基本權 作成"
6,768,"提出任何結論之說理，且亦無任何社會實證研究之論據。 亦 有認通姦罪既無具體之保護法益，縱認通姦行為與社會之倫 理秩序有違，亦無再認其成立犯罪之必要，應予以除罪化。 另有參酌前述除罪化及法界學者專家之見解，認為通姦罪不 僅不會達到本罪應有之效果，反而成為破壞婚姻與家庭之結 果。 有"
7,727,"意之目的 ， 能否經由通姦罪之告訴來達成，仍有疑問。 另 有主張 我國刑法如要通姦罪除罪化， 考慮 其他 配套 措施，諸如放寬離婚原因，保障無責配偶之子女親權之行 使、放寬贍養費請求之規定、提高通姦及離婚之損害賠償 額、放寬並提高子女扶養費之給付、政府及社會團體應加強 法治宣導、"
8,788,"者更多形成空間，由司法權 介入， 並逕予論斷其 非 ， 或許 並非 為 最佳 解決之道。 此等問題 ， 應更加 慎重 面對 、 處理 及 多面向 整合 探討。 再 從社會觀點 ，為何存在法學專業菁英與社會大眾 民意（輿論取向）之法意識或 上差異，究竟其差異原因 何在， 亦 值得深"
9,1235,"可分離之關係，固得自主決定是否及與何人發生性行為，惟 依憲法第二十二條規定，於不妨害社會秩序公共利益之前提 下，始受保障。是性行為之自由，自應受婚姻與家庭制度之 制約 」 亦即 且，性行 之概念範圍並不相同。 本號 解釋所根據之基本權基礎在於「性自主權」， 性行為自 由、性自主權"
10,914,"Selbstbestimung) 而言， 域 unantastbare Intimsphäre) 其中 有 將前述性自主決定權，作 為其他個人自主保護類型之一種。 與性自主決定權並非屬相同概念，而係上下位概念之關係。 人類性目的之行為，享有基本法第 1 項第 (Art. 2 Ab"
11,1464,"障併列，不無疑義。 婚姻家庭制度保障，現行憲法對之仍 不 應 忽視 。 因憲法對基本權 防禦權 客觀法 、 價值 決定或國家保護義務等 ，可 發展出 多面向 基本權 之 憲法 原則 。 此等制度之保障，係屬基本權之制度面， 亦即 所謂 有認為制度性保障之憲法解釋模式，在台灣引進適"
12,1648,"制度保障 即使現代民主憲 法亦不容忽視。 另德國基本法第 受國家制度之特別保護 含道德觀念，並對人民之私人及私密領域給予保護。基本法 賦予婚姻特別制度保護 Ehe) (aberegelmäßig in 度 、 地 方 自 治 等 制 度 性 保 障 (Institutsgaran"
13,855,"Ü bereinstimung mit herschenden Moralvorstelu ngen) 。 因此， 本號解釋單以性自主權作為憲法基本權依據，反 而不如系爭解釋就婚姻制度保障與性行為自由之制約，相互 衡量兩者之憲法保障程度，作為其立論。因此，系爭解釋既 可不失本院解"
14,838,"達成目的間之衡平性 相當性 ） 之 狹義比例原則部分，並 延續系爭解釋 違憲之結 論 。 惟細譯本號解釋有關比例原則之論述， 處。因 上 開論述 既認其 立法目的正當，且與其適合性相符。 至於 刑事 處罰與 所 欲達成目的之 相互 衡量，卻不認具 有其相當性， 即欠缺狹義比例原則"
15,1342,"規定二適用系爭規定一之基礎， 失其依 附 ，於此部分 ，實 毋庸再論是否違反平等保障原則 。 另 從解釋理由之內容而言， 定是否對通姦配偶撤回告訴時，通常多已決定嗣後是否要延 續其具體婚姻關係。後續之僅對相姦人追訴處罰，就被害配 偶言，往 具報復之效果，而與具體婚姻關係之延續，欠"
16,807,"訴 或訴訟上和解 訴訟手段，逼走相姦人，讓對方配偶重回 家庭，實 不乏其例 。 又本號解釋認為 過程中，法院為發現真實之必要，向以證人身分傳喚通姦人 到庭作證，進行交互詰問，以便法院對相姦人判處罪刑，經 詳載於刑事判決書，公諸於世。此一追訴審判過程，可能加 深配偶間具體婚姻關係之"
17,525,"發揮其功能，提供各種 ， 以 期 尋 得 其他 妥適之 出口 或解決方案 尤其是 對於弱勢受害者，應提供更多協助 管 導。 如從本件聲請人為數之多，且各方關注程度 ，亦不 亞於本院釋字第 （ 同性二人婚姻自由案 ） 釋憲時 所受到 之社會關注， 及告訴不可分例外規定刪除等 本席 "
