pdf_page,chars,preview
1,543,"釋憲聲請書 聲 請 人 ： 周燕初 吳邦夫 張偉哲 曹明修 曹明德 曹明哲 曹明雯 卜瑞 骐 代 理 人 ： 駱怡雯律師 為提出解釋憲法聲請事： 壹 、 聲請解釋憲法之目的一國軍老舊眷村改建條例第22條 第 1 項牴 觸憲法 民 國 （ 下同 ） 96年 1 月 3 日修正前之「"
2,765,"管機關國防部依據系爭規定註銷聲請人之居住憑證與法律賦予之原 眷戶權益， 且經行政訴訟終局確定判決認定註銷處分合法有效， 致聲 請人受憲法保障之權利遭受侵害。 系爭牴觸憲法保障人民基本權利的 規 定 ， 僅能由鈞 院大 法 官 宣 告 違 憲 ， 始能維護人民基本權利及合憲 之法律"
3,816,"釋 憲 法 ， 確認註銷處分及確定終局判決所適用之處分時眷改條例第 22條 第 1 項 （ 系爭規定 ） 牴觸憲法， 聲請人等之憲法權利始能回復。 是 以 ， 本件屬於人民聲請釋憲類型（ 學理上亦稱為「 憲法訴願」 ） ， 其 聲請釋憲之依據為司法院大法官審理案件法第5 條 第 "
4,793,"旨 三 、受侵害之憲法上權利與涉及之憲法條文 聲請人等受憲法保障之財產權及其實質法律地位受平等保障之 權 利 ， 因系爭規定而受侵害， 故本件釋憲聲請涉及之憲法條文為： 憲 法第7條 、 第 15條 、 第23條 。 參 、 聲請人對本案所持立場及見解 一 、 系爭規定牴觸憲法第"
5,854,"步 檢 討 ，系爭規定剝奪聲請人此部分財產權是否合乎比例原則。 (二 ） 「 眷舍居住憑證及原眷戶權益」在憲法財產權之保障範圍 内 1 . 眷舍居住憑證具有財產價值 按眷改條例第3條第2項規定， 本條例所稱原眷戶， 係指領有主管 機關或其所屬權責機關核發之國軍眷舍居住憑證或公文書"
6,962,"這項居住、 使用的權利具有財產價值的權利， 更可由「 作業要點」 中其他規定獲得輔證。 依據第陸之一點第三句， 獲配眷舍後， 申請人 原按月領取的房租補助費即無繼續受領之理由， 應自配住眷舍之曰起 扣 繳 ， 可見眷舍居住的權利與（ 因獲配眷舍免於支出的 ） 房屋租金或 國家給付"
7,1094,"a . 憲法學理與比較法觀點 國聯邦憲法院將社會性給付是否以請求權人「自己的給付 （ eigene Leistungen ) 」為基礎做標準， 來劃定憲法財產權在此脈絡下的保護 微不足道地 」（ nicht unerheblich ) 以請求權人自己的給付為基礎， 並以保障其生存"
8,1393,"W . Rup - v . Brlineck 在 1971年提出的不同意見書， 認為重點不在 Grundgesetz-Komentar, Bd. 1 , 5. Auflv 2000, Rn. 30; Rudolf Wendt, Art. 14, in: Michael Sachs"
9,1149,"b . 司法院大法官解釋採取之標準 段 「 比例原則」審查自無繼續進行之必要。因 此 ， 必須先確認我國是 否也採取前述「自身給付」理 論 。 透過以下對相關司法院大法官解釋 的整理歸納， 將可發現我國僅部分採取該理論， 質言之， 係以較寬鬆 的標準認定公法性財產權益受憲法保護的"
10,1001,"求依據退休金補償相關法令補償其於該會改制前的年資， 大法官雖然 並未針對憲法財產權範圍之劃定與限制深入論述， 但是既然結論認為 銓敘部作成不應補償之函釋並未違反憲法財產權保障意旨， 自然先以 肯定經建會人員依法申請補償退休金， 屬於財產權保護範圍 内 之權 利 ， 但考量經建會組"
11,983,"_ 釋字第434號解釋就公務人員因退休以外之事由離職， 仍應享 有保險之養老給付請求權， 採取類似「自身給付」 理論作為解釋基礎。 此號解釋認為， 養老給付的性質近似儲蓄存款， 在公務人員離職前， 其承保單位已將一部分保費提撥為養老給付準備金， 至被保險人離職 時一次給付予被保險"
12,862,"1 2 的金錢給付不屬於憲法財產權， 其結論與前述德國標準相同， 但二者 推論方式卻有顯著的差異。質言之， 大法官仍從私法性財產權出發， 因為人民財產損失並非國家公權力行為造成， 故其不得依據憲法請求 國 家 （ 以特定方式或就特定範圍 ） 填 補 ， 且因此國家此時提供的慰助 "
13,944,"回到本聲請案之爭點。 眷舍居住憑證代表眷戶獲得核准配發眷 舍 ， 並得排他的使用居住特定眷舍， 為具有財產價值之權利， 已如前 述 ， 而且志願役現役軍人 . 、 撫卹期間遺眷等有權居住眷舍者的申請權 亦始終規範於法令之中； 另 外 ， 原眷戶承購依眷改條例興建之住宅以 及領取輔"
14,883,"2 . 系爭規定牴觸比例原則 (1 ) 註銷權益手段的合憲目的與手段適當性 就比例原則檢驗的第一與第二步驟原則而言， 註銷原眷戶權益的 目的在於加速推動眷村改建計晝， 這包括滿足同意改建之眷戶的居住 需求 ， 同時能提高土地使用經濟效益， 照顧原眷戶中低收入戶， 保存 眷村文化，"
15,864,"眷 戶 （ 在數個老舊眷村合併於同一改建計晝時尤其可行 ） ， 並未違反 眷改條例的立法意旨， 亦無礙於其他同意改建眷戶的居住需求以及其 他公益目的， 且其不須註銷不同意改建者之居住憑證，自屬侵害程度 (3 ) 註銷權益手段不符合狹義比例原則 系爭規定既不符合必要性原則， 按照比"
16,962,"( Sonderopfer ) 的概念。 該案涉及經都市計晝劃為公共設施保留地之 系爭規定則難以在狹義比例原則上獲得正當性。 例如原眷戶有曾因舊 有眷舍殘破不堪居住， 故自行修繕或擴建眷舍者， 其若同意改建， 將 不僅必須再花費更多金錢（ 承購改建後住宅之自備款 ） ， 而且無法"
17,981,"依法律規定徵收私有土地（ 參照土地法第二百零八條及第二百零九 條 ） ，但應給予相當之補償， 方符首開憲法保障財產權之意旨。」 （ 相 同意旨參見釋字第425號 解 釋、第 440號解釋、第 516號解釋、第 579號解釋、第 652號解釋 ） 。 大法官進一步在釋字第564號解"
18,936,"以來至今從未有提供補償之設計， 主管機關對不同意改建之眷戶亦不 曾提供任何補償性措施， 因此系爭規定牴觸憲法之情事，自屬明顯。 於此尚應附齋指出的是， 眷改條例既以至少一定比例的原眷戶同 意做為進行眷村改建的前提， 則改建意願調查應在尊重原眷戶意志自 由的前提下進行， 亦即應由原"
19,1013,"釋字第 682號解釋均強調平等原則中「 禁止恣意」的 内 涵： 「 憲法第 七條保障人民平等權，旨在防止立法者恣意， 避免對人民為不合理之 差別待遇。 '法規範是否符合平等權保障之要求， 其判斷應取決於該法 規範所以為差別待遇之目 . 的是否合憲， 其所採取之分類與規範目的之 達"
