pdf_page,chars,preview
1,884,"01 法官釋憲聲請書 02 壹 、 聲請解釋憲法之目的 03 為刑法第78條第1 項規定違反比例原則及刑法第79條之1第5 04 項規定違反比例原則、 平等原則， 發生牴觸憲法第23條 、 第 05 7 條之疑義， 聲請解釋並宣告此二規定與憲法意旨不符部分 06 無效。 07 貳"
2,952,"01 聲明人前因盜匪條例案件， 經臺灣高等法院以78年度上更 ㈡ 02 字第340號判決， 經本院於79年2月16日撤銷罪刑部分， 改判 03 論以該條例第2條第1項第8 款之強劫而強姦罪， 宣處無期徒 04 刑確定。 抗告人入監服刑後經假釋， 嗣於假釋期間，因再犯 05 修正前"
3,969,"01 法第8 條保障之人身自由權， 爰依上述解釋意旨， 裁定停止 02 程 序 （ 詳附件一） ， 並附具相關理由， 提出本件聲請。 03 参 、 聲請解釋憲法之理由及聲請人對本案所持之立場與見解 04 一 、 刑事受刑人執行徒刑達一定期間而符合假釋之要件者， 得假 05 釋出獄"
4,891,". 01 ， 但其上開盜匪罪實乃廢止前後均有刑罰規定， 屬法律變更 02 。 犯罪行為後有此法律變更之情形， 若發生於判決確定前， 03 固得於裁判上， 依刑法第2條第1項規定比較新舊法， 而適用 04 較輕之修正後刑法關於強盜罪之規定處斷， 其最重本刑為有 05 期徒刑十五年；"
5,932,"0 1 與對應之犯罪所呈現惡性大小之排序， 互相對稱， 使輕、 重 02 罪間之刑罰， 處於相對均衡狀態， 以符合罪刑相當原則。 敁 03 罪名相同之犯罪，自當對應相同之處罰。 04 ㈡ 公布於動員戡亂時期前夕33年間之盜匪條例， 係於國家動盪 05 不安之特殊情勢下，出諸「 治"
6,926,"01 條施行後， 始依強盜罪論處罪刑並執行者， 其處罰依各該刑 02 法規定， 法定刑分別為五年或七年以上有期徒刑， 最長不得 03 逾十五年， 且已不存在無期徒刑選項， 兩相比較， 二者所犯 04 罪名輕重、 惡性相同， 理論上應受相同之非難評價， 然實際 05 上卻有天壤之別"
7,891,"01 護管束開放性之非機構處遇取代機構性處遇之假釋制度等多 02 元轉向機制之設置。 假釋屬刑罰執行之刑事政策， 入監執行 03 之受刑人， 因符合一定前提， 經評估其接受一定期間之監獄 04 行刑作用後， 悛悔有據， 所呈現之改善效應，已無繼續以監 05 禁之機構性處遇方式矯治"
8,915,"01 行一定期間之形式要件外， 並須符合悛悔有據之實質要件。 02 關於受刑人是否悛悔有據之評估， 依監獄行刑法第81條第1 03 項規定， 受刑人須累進處遇進至二級以上， 而觀諸行刑累進 04 處遇條例相關規定， 受刑人之級別， 係觀察其教化、 作業及 05 操行等諸多方面之表"
9,809,"0 1 動而 毋庸入 監服刑， 此無異於法官就受刑人再犯之罪行科刑 02 ， 面臨是否令其入監接受機構性處罰之抉擇時，已宣告其違 03 反法秩序程度， 尚未達於須入監矯治之程度， 又焉能作為原 04 准許受刑人假釋出獄之評估有誤之證明， 更遑論憑以認定受 05 刑人已違反假釋對其"
10,69,"01 02 03 04 05 06 法官 李 錦 樑 林 孟 宜 法亨 吳 淑 惠 蔡 彩 負 中 華 民 國 109 年 7 月 16"
