pdf_page,chars,preview
1,594,"林○絨等三人釋憲聲請書 主 旨：請針對「身心障礙者保護法」第 37 條第 1 項之 立法是否有牴觸憲法第 條人民平等權及第 15 條人民之工作權應予保障，而為解釋。 說 明： 一、聲請解釋憲法之目的 按依憲法第 7 級，在法律上一律平等。依第 15 作權應予保障。此係憲法「人民之"
2,587,"65 條第 、 2 4 1 2 願，被駁回後，又循行政訴訟程序，向臺北高等行 政法院、最高行政法院進行政訴訟，被裁判駁回 確定。臺北高等行政法院判決理由略以：有關病理 按摩、美容中心等行業，其招牌已標明指壓等涉及 按摩之行為者，就不違反身心障礙者保護法。最高 行政法院 裁定理由略"
3,508,"（二） 本件問題之焦點，可以歸納為三項：一、視 障者的就業機會，應否及如何以特別立法予 以保障？二、理髮業者兼做按摩，是否有其 設限的法理基礎？三、立法禁止理髮業者兼 做按摩，是否就能增加或保障視障者的就業 機會？ （三） 向來國家的福利政策，對於身心障礙國民應 予以優惠的待遇，"
4,528,"則」 ，否則仍屬違憲。 （五） 對於某類工作，若在立法上特別規限須由視 覺障礙者始得從事，絕對不許明眼人為之， 那麼，就憲法第 7 15 條所定「平等 權」 、 「工作權」之精神而言，確實是有所扞 格的。原因是，就某一工作的 「種類」 而言， 它是普遍性 （而 非 「特定性」 ）"
5,436,"做按摩之允許而竟從事色情勾當，則仍有社 會秩序維護法及刑法有關條款加以規範處 罰，自無虞其越軌滋事。 四、關係文件之名稱及件數 附件一：臺北市政府 09216981 0 92.10.3 府訴字第 號訴願 決定書（影本）各一件。 附件二：臺北高等行政法院 93.2.25 「 92 "
6,596,"右當事人間因身心障礙者保護法事件，原告不服臺北市政府 中華民國九十二年十月二十七日府訴字第○九二一六九八 一○○○號訴願決定，提起行政訴訟。本院判決如左： 主 文 原告之訴駁回。 訴訟費用由原告負擔。 事實及理由 一、事實概要：緣臺北市政府警察局中正第一分局於民國九 十二年四月四"
7,706,"是為客人洗髮 、 理髮 ； 其於洗髮 、 理髮之際幫客人捏肩 、 敲背，表現親切服務態度，此坊間一般理容業者都會有 此服務 。 （二） 按身心障礙者保護法第三十七條第一項固 規定：非本法所稱視覺障礙者，不得從事按摩業。惟依 通常之理解，所謂「按摩業」當係指一種以按摩工作為 生的職"
8,664,"事，而排斥其他有能力者從事之理，否則就是對於人民 正當 「工作權」 的剝奪，同時也違反了憲 法上的 「平等」 原則 。 （四） 身心障礙者保護法第三十七條第一項之立法 違反了憲法上 「平等權」 、 「工作權保障」 及 「比例原則」 的旨意，顯有可議之處。從而，行政機關引用此一法條"
9,641,"曲手、運動、壓迫及其他特殊手技。』因此，有關病理 按摩、美容中心等行業，其招牌既已標明指壓等涉及按 摩之行為者，當列為稽查對象及依按摩業管理規則辦 理。三、至以變相之推拿、或無（或未使用）瘦身、護 膚美容設備 ， 卻有運用 『手技』 為消費者服務之實者…… 如其已承認有從事違法之"
10,670,"在華○理髮店擔任編號幾號的理髮小姐？答：擔任華○ 理髮店編號七號的理髮小姐。問：你受僱於何人？月薪 多少？答：林○絨，月薪約一萬五千元左右。問：警方 臨檢時當場發現你正為客人胥○○從事肢體按摩是否 屬實？你替客人服務其代價 答：正確，其代價為乙節三十分鐘三百五十元，與老闆 對分。"
