pdf_page,chars,preview
1,554,"憲法解釋聲請書 聲請人林世惟 代理人蔡朝安律師 鍾典晏律師 陳伯翰律師 為聲請人受最高行政法院以100年度判字第1967號終局確定判決， 該確定終局裁判適用法律或命令， 牴觸憲法第7 條平等原則、 憲法 第 15條財產權、憲法第23條比例原則及法律保留原則、 法律保留 原則及釋字"
2,677,"起訴」之範圍及於緩起訴處分， 致使人民因同一事實行為遭受 刑罰與行政罰之對待。 原確定裁判適用系爭二函釋， 作成之裁 罰處分已不法侵害聲請人受憲法保障之財產權， 且聲請人已用 盡訴訟程序， 乃向鉤院聲請憲法解釋， 懇請鈞院惠予宣告 系爭二函釋無效， 以資救濟。 贰 、疑義之性質及"
3,702,"(二） 原確定判決之裁判理由率以「 刑事訴訟法第256條規定… 故依上開規定 内 容可知， 不服緩起訴處分， 與不服不起訴 處分之救濟途徑相同， 均得聲請再議…足見刑事訴訟法規 定之緩起訴性質上附條件不起訴處分…至緩起訴處分中 由檢察官所定之支付金額處分， 係由檢察官本諸職權自由"
4,748,"規定， 經檢察官依刑事訴訟法第253條之1為緩起訴處分 後 ， 稅捐稽徵機關得否就該違反稅法上義務再處以行政罰 疑義乙案。 說 明 ： 2 ' 案經洽據法務部96年 2 月 16日法 律決字第0960005671號函意見略以：『 緩起訴者乃附條 件的不起訴處分， 亦即是不起訴的一"
5,637,"涉層面廣泛， 本部刻正檢討是否另循修正行政罰法相關規 定之方式解決。」 (三） 原確定判決暨原確定裁定雖未直接援引法務部前揭函釋， 惟財政部前揭函釋乃係明文援引法務部前揭函釋而作 成 。 是以， 聲請人併就法務部之函釋提請鈞院宣告違憲 失效。 三 、涉及之憲法條文 (一） 中華民"
6,700,"二 、 系爭二函釋擴張行政罰法第26條 第 2 項 「 不起訴處分」範 疇 ， 卻未經法律授權， 不符法律保留原則 (一） 按 「 對於人民違反行政法上義務之行為處以裁罰性之行政 處分， 涉及人民權利之限制， 其處罰之構成要件及法律效 果 ， 應由法律定之， 以命令為之者， 應有"
7,669,"(三）系爭二函釋未經法律授獾擴張行政罰法第26條 第 2 項之 處 罰 範 園 ， 違反法律保留原則 本件系爭二函釋解釋行政罰法第26條 第 2 項 「 不起訴處 分」及 於 「 緩起訴處分」， 使已受緩起訴處分之人民， 仍 須受到行政機關後績之裁罰， 卻未見任何法律依據授權系 "
8,665,"國刑事訴訟制度調整為改良式當事人進行主義後之法 院審理負擔問題， 故立法者乃在起訴與不起訴外， 另 行制訂緩起訴處分制度此一介於起訴及不起訴間之緩 衝制度， 以擴大檢察官對個別案件之刑事法權力（ 即 得毋須經審理程序而對行為人課以刑罰強度相同之處 罰） 以避免過去起訴或不起訴制度"
9,655,"分 ， 仍 有 『 刑事處罰』性 質 ， 如行政機關已為裁罰處 分 ， 須撤銷該裁決， 俟被告最終免於刑事追訴， 原處 (3 ) 緩起訴處分對人民所生之負擔， 與刑法第32條以降所 稱刑罰種類實為相同 檢察官為緩起訴處分時， 命聲請人於一定時間 内 完成 「 特定指示或負擔」 ，"
10,620,"果 ， 而與正當法律程序原則具有緊張關係。 然而， 縱 以正當法律程序指責現制， 應著眼於其構成要件及作 成程序之正當性， 而非扭曲或忽視現制之法律效果對 人民所造成之重擔。 是 以 ， 以正當法律程序推斷緩起 訴處分是否為刑罰， 當非的論。 2 、 退步言之， 縱然緩起 诉 處"
11,701,"上 ， … ， 以行政法保護人民權利之觀點來說， 緩起訴 處分是實質刑事處罰也好， 是偏向於行政罰也好， 重 點應置於緩起訴處分之裁罰性法律效果上。 …」 （ 附件 13 ) 由是可知， 緩起訴處分既然具有裁罰性法律效果， 當不能以其形名之辯上未有共識， 轉而否定其本質上 仍具有"
12,640,"及其他法律之規定， 指揮監督該署檢察官及高等法院 以下各級法院及分院檢察署檢察官。 （ 第二項）檢察 長依本法及其他法律之規定， 指揮監督該署檢察官及 其所屬檢察署檢察官」受檢察總長及其所屬檢察署之 檢察長指揮監督。 復依刑事訴訟法第253條之1 「 檢 察官參酌刑法第五十七條所"
