pdf_page,chars,preview
1,0,""
2,0,""
3,448,"韵 減 . 賴故 d >! k \ 痛\未 解釋憲法聲請書 聲 請 人 ： 濟 沒 為刑法第79之1條第5項 ， 涉有抵觸憲法第8條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審理案件法第5條第1項第2款及第8條第1項規 定 ， 聲請解釋憲法事： 壷 、 聲請憲法解 释"
4,1005,"參 、 聲請人之主張及立場 一 、 刑 法 第 79之 1 條 笫 5 項所涉及之憲法上基本權利 受個_ 釋者若遭撤銷假釋時， 則須入監服其原來因假釋而未執行完之殘刑。 也就是 受假釋者必須從自由社會再次入監服刑， 因而會產生下列幾項重要的基本權利之 剝奪或相當限制： 1 . 人"
5,1034,"法保障 （ 釋字第六八九號解釋參照 ） 。 婚姻與家庭為社會形成與發 展之基礎， 受憲法制度性保障 （ 釋字第三六二號、 第五二號、 第 五四號及第六九六號解釋參照 ） 。家庭制度植基於人格自由， 具 有繁衍、 教 育 、 經濟、 文化等多重功能， 乃提供個人於社會生活之 必要支"
6,1181,"之目的及所需程度， 不合憲法第二十三條所定之比例原則。 …」 2 . 大法官解釋第582號解釋文謂： 「 組織犯罪防制條例第三條第三項： 『 犯第一項之罪者， 應於刑之‘ 執行完畢或赦免後， 令入勞動場所， 強制工作， 其期間為三年； 犯前項之罪者， 其期間為五年。』該條 例係以"
7,1102,"則 無 違 （ 本院釋字第 - 544號 、 第551號 、 第 646號 、 第669號及第 775號解釋參照 ） 。」 (二 ） 且 照 鈞 院 歷 來 解 釋 ， 如法令之法律效果過於單一而剝奪法院或行 政機關之裁量權， 造成個案顯然過苛而無合理例外排除之情形時， 則亦 屬"
8,1066,"原 則 ， 而與憲法第十五條保障工作權之意旨相牴觸。」 3 . 鉤院釋字第754號解釋理由書 ： 「 國家基於不同之租稅管制 目的， 分別制定法規以課徵進口稅、 貨物稅及營業稅， 於行為人進口貨物 未據實申報時， 固得依各該法律之規定併合處罰， 以達成行政管制 之 目 的 ， 惟"
9,1162,"能公平解決問題外， 另假釋制度最為人話病者在相關程序不透明， 6 同 樣地， 監獄行刑法、 外役監條例規定下之縮短刑期制度之公平性、 透明 度也顯然非為外人所能知， 當然更遑論受公評。 又撤銷假釋後之殘刑年 數規定， 因修法而由10年延長為25年 ， 實務上概以撤銷假釋時點為判 "
10,1269,"化權利國際公約施行法》 （ 下稱「 兩公約施行法」 ） 第2 條規定： 「 兩 公約所揭示保障人權之規定， 具有國 内 法律之效力。」、 第 3 條 ： 「 適用兩公約規定， 應參照其立法意旨及兩公約人權事務委員會之 解 释 。」 、 第4 條 ： 「 各級政府機關行使其職權， "
11,1040,"4 . 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑犯， 實務 上長期監禁之情況， 卻猶如讓這群無期徒刑受刑人在監所等待老死、 病死。 對未來毫無希望感的監禁狀態， 在死刑犯身上3 到 4 年就已 經被視為酷刑， 更何況是對於面臨25年殘刑之受刑人， 其心理及 生理健康之"
12,870,"刑法第2 條第3 項規定： 「 處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處分者， 免其刑或保安處分之執行。 」如法律變更， 仍處罰其行為但法定刑 減輕者， 得否有刑法第2 條第3 項之適用？ 廢止前懲治盜匪條例第 5 條第1 "
