pdf_page,chars,preview
1,558,"鄭○中聲請書 主 旨：為最高行政法院 94 年度判字第 01947 號判決所 適 用 內 政 部 91 年 3 12 0910002823 號函核定、教育部 91 年 3 26 日 台（ 91 ）高 （ 1 ）字第 91039362 號函同意備查之 中央警察大學 91 學年度研究"
2,555,"二、關於大學自治有無法律保留原則之適用？查司 法院釋字第 380 563 業之條件與退學相關事項係屬大學自治範疇， 雖已為大法官所肯認；惟以歧視人之生理缺陷 為手段，作為警察大學法律學研究所入學資格 限制條件，是否仍係大學自治範疇而無法律保 留原則之適用？大學自治有無界限？為求更"
3,478,"聲請人性尊嚴且剝奪人民受法律學研究所 教育權、學習自由權及自我實現權，認有違反 憲法第 7 2 條、第 23 條之規定，有 關本案爭議訴訟詳情，請調閱本案全部申訴、 訴願、行政訴訟卷宗。 參 、聲請解釋憲法之理由及聲請人對本案所持之立場與 見解 一、人性尊嚴之戕害及平等權、受研究"
4,481,"視為一種工具（物體）或手段，已構成 人性尊嚴之嚴重侵害。人性尊嚴是不可 侵犯的，一切國家公權力均有義務尊重 及保護人性的尊嚴。人性尊嚴是屬於個 人生命及自由發展人格不可或缺之權 利。對於就讀法律學研究所入學資格而 言，無任何理由可任憑國家為烙印 （ Verachtliche Be"
5,530,"別、年齡、能力、地域、族群、宗教 信仰、政治理念、社經地位及其他條 件 、 接受教育之機會一律平等 。 「教育 權」乃係社會權，亦即廣義受益權的 一環。不過，教育權有廣狹定義：狹 義的教育權，專指「人民受教育的權 利」 ；廣義的教育權，及於 「人民在教 育事務上的權利」 （教育上"
6,457,"民主素養、法治觀念、人文涵養、強 健 體 魄 及 思 考 、 判 斷 與 創 造 能 力……」 、 「教育之實施，應本有教無 類、因材施教之原則，以人文精神及 科學方法，尊重人性價值，致力開發 個人潛能，培養群性，協助個人追求 自我實現。」 我國教育基本法第 2 第 2 3 實現"
7,436,"習權及受教育權亦有稱為學習自由 權者） ， 否則失聰、失智者、高中生、 高職生、專科生、大學生、研究所學 生其受教育之權利，均不受憲法保 護？聲請人受研究所教育之權利，即 為人民受憲法第 權、學習自由權及學生的自我實現 權。本件聲請人通過筆試及口試後， 警察大學再依招生簡章規定實"
8,445,"辦理招生事宜，簡章擬定後，經警察 大學招生委員會確認，分別報請教育 部及內政部備查，然其實質合憲性如 何？即有待檢驗。 2. 關於人民之權利、義務者或其他重要 事項之應以法律 定之者，此為中央法 規標準法第 5 2 4 明定。是人民受憲法保障之自由及權 利，依憲法第 23 條之規"
9,453,"3. 遍查教育基本法、大學法及學位授予 法，均未明文規定或明確授權對於學 生修讀碩士學位必須於入學前、修業 期間或取得碩士學位之各項考核，強 制實施或通過體格檢查為（法律學研 究所）碩士班入學及取得碩士學位之 不可或缺要件。最高行政法院判決書 所引用大學法第 2 條第 2 4 7"
10,423,"性尊嚴為手段，其與基本權相競合 （衝突）時，即失其正當性，應加以 限縮。 （四）違反比例原則： 1. 行政行為倘與憲法第 23 條所要求 之目的正當性、手段必要性、限制妥 當性符合，即無乖於比例原則，此鈞 院釋字第 476 行政機關行使公權力對人民基本權 利之限制，不僅該目的必須"
11,457,"於研究高深警察學術，培養警察專門 人才，有何影響？然警察大學未能舉 證明，其目的之正當性即非無疑 問。本件聲請人辨色力異常（事實上 聲請人係色弱而 非色盲） 乃 DNA 性缺陷，屬客觀條件限制，任憑聲請 人如何努力也無法改變辨色力異常 基因之存在，而招生簡章之設限規 定，係對於聲"
12,448,"請人之入學權利，倘若其果真欲提高 法律學研究所研究生之素質，非不得 建立一套考核標準以決定研究生是 否得畢業、准予提前畢業或延後畢 業，而對於距離考核標準太遠之研究 生，不但不准畢業，甚至使其退學而 限制學位授予條件等方法可達成。本 件關鍵，則以體格檢查為手段，以歧 視性規定剝奪"
13,443,"雜誌第 101 4. 警察大學招生簡章以設定辨色力－ 色盲為體檢不合格之條件，剝奪聲請 人就讀法律學研究所之權利，不僅欠 缺正當合理之目的，其限制方法，亦 難以達成其目的；其尚有其他對聲請 人受憲法保障受研究所教育權、學習 自由權及自我實現權侵害較小之方 法足資採用，其竟選擇對聲"
