pdf_page,chars,preview
1,0,""
2,0,""
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
9,0,""
10,0,""
11,0,""
12,108,"Vi $ X <Q V , 約泰植 _ j H > _ 、 \ 南•得]凝 te^. ♦ 啊 矣 教 如 ， 為 磁 1 1 0 M 丨 人 _ 痛卷雜滅 勉 咖 德 对 4 _ ) U 綠地科 y M i P M"
13,126,"翻 取 職 献 、 愈 鄭 4 喊獅麟蛛 / 着 > fefcr'tf 付齡峰騎: 後必綱辨雜域 4 1 声 赚 細 4 、 _ 々义衮‘ ^ t i _ g ^ feia 減 、 犧 赛 4) lM . 痛總 細 雜 i _ % ^ IA > 义"
14,167,"fe 一 ^ 撤 r 衫 f l f 為容 、 史減 公鑒 ^ 4 h t i m i > m 夜 證物名稱 异嘗 认 沐 ')i 气命 ■ ? 參 1 h 據列事雜 及件數 各秦於成 u> ^ ‘ 孓靟 f w 踩 到 样 K 分 中 華 民 國 ) 月 外 曰 年 具狀人 f"
