pdf_page,chars,preview
1,620,"司法院大法官會台字第12 6 4號鑑定意見發言要點 李念祖 一 、關於破除性別歧視 （ 憲法增修條文第10條第 6 項） > 釋 字第748號解釋出現後必須重新檢視刑法的配偶定義與釋 字 第 554號 解 釋 。 > 婚姻制度的演變，已從過去不平等的身分性別關係轉變為現 代性別平"
2,1169,"蕙法觀念與思想的進步， 應該已經到了為之書寫輓歌的時 候 。 要求女性按照男性的或社會期待的方式思考， 足以摧 毀女性的核心自我認同， 堪 稱 可 惡 ； 宣布丈夫不是主人的 時 刻 ，已當其時1。」 （Any system treating a woman with indig"
3,1108,"與經濟活動的能量而進步， 女性是經濟上的弱勢假設， 不 再普遍適用於已婚的配偶 。 2」 （The Court also analyzed the argumenthat adultery provisions protected women : “It is true that"
4,600,"二 、關於比例原則 > 較小之侵害手段， 至 少 有 二 ， 一是於 民法中明確載入 ， 有配 > 二是 只罰配偶， 以避免性別歧視 。 但大法官必須補充釋748 與 職 責 （ 憲法增修條文第10條 第 6 項 ） 。 大院為憲法機關， 負有相同的憲法義務。 釋 字第 3 72"
5,367,"論 。 > 至於主張民事賠償是給予富人以金錢換取不法的說法， 至少 有兩個錯誤。 1 . 此一論據如果成立， 民法賠償責任制度， 豈不盡在獎勵富 人為侵權行為而悉應改以刑罰施之？民事法院原得斟酌 富人被告之財力而判給與其財力相當之賠償， 此則與刑罰 秩序無涉。問題不只在於損害賠償"
6,878,"REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL ORIGINAL JURISDICTION WRIT PETION ( CRIMINAL ) NO . 1 94 OF 2017 Joseph Shine … Petioner ("
7,1251,"space in anexe to the main building . That is the manifestation of concerned sensitivity . Individual dignity has a sanctified realm in a ci"
8,1278,"equality , admiting no power and privilege on the one side , nor disability on the other . ” 1 We are comencing withe aforesaid prefatory no"
9,1292,"changes that have ocured in the other arenas of law and the obtaing precedent does not cohesively fit into the same , the concept of cohesiv"
10,1266,"perceived , the spheres in which the legislature has responded and the rights that have ben acentuated by the constitutional courts . To exp"
11,1551,"constitutionality of the provision . Athat juncture , the Court noted that : - “Prima facie , on a perusal of Section 497 of the Indian Pena"
12,1302,"6. Athistage , one aspect neds to be noted . Athe time of initial hearing before the thre-Judge Bench , the decision in Yusuf Abdul Aziz ( s"
13,1315,"“In such case the wife shal not be punishable as an abetor . ” It isaid thathis ofends Articles 14 and 15 . The portion of Article 15 on whi"
14,1349,"Constitution B e n c h in Central Board of Dawodi Bohra Comunity and another v. State of Maharashtrand another 6 while m a k i n g a referen"
15,1740,"Union of Indiand Anr. v. R^aghubir Singh (dead) by Lrs. etc., (1989) 2 SC 754 8 Union of India & Anr. v. Hansoli Devi & Ors., (2002) 7 SC 27"
16,1402,"― Section 4 9 7 : Adultery Section 4 9 8 : Enticing or taking away or detaing with criminal intent a maried woman 1 In the light of the afor"
17,1501,"— 1 9 8 . Prosecution for ofences against mariage . — (1) N o Court shal take 12 10. Section 198 of C r P C provides for prosecution for ofe"
18,1560,"1 3 related to her by blod, mariage or adoption. (2) For the purposes of sub-section (1), no person other than the h u s b a n d of the w o "
19,1441,"14 (5) A n y d o c u m e n t purporting to be such a n authorisation a n d complying withe provisions of sub-section (4), a n d any (6) N o "
20,1321,"already refered to w h a t has ben stated in Yusuf Abdul Aziz 13. In Sowmithri Vishnu (supra), a petion prefered under 1 5 (supra). Article "
21,1532,"1 6 the asumption that w o m e n , like chatels, are the property of men. 14. The Court refered to the submisions a n d held thus:- “.T he a"
22,1330,"1 7 Proceding further, the thre-Judge B e n c held thathe ofence of adultery as defined in that Section can only be comited by a m a n , not"
23,1613,"After so stating, the Court placed reliance o n Yusuf Abdul Aziz (supra) a n d held thathe s a m e does not ofend Articles 14 18 provision f"
24,1334,"16. In V. Revathi v. Union of Indiand others 9 , the Court Sowmi:h^ri Vi^shnu (supra) a n d proced to state thathe 1 9 analysed the design o"
25,1237,"20 based o n sex. While the outsider w h o violates the sanctity of the matrimonial h o m e is punished, a rider has ben aded that if the ou"
26,1236,"17. In W. Kalyani v. State Thro 9 Inspector of Police and another 1 0 , the Court held:- invites the frown of Article 14 of the Constitution"
27,1730,"2 “ 60. H ar d as w e tried, it is dificulto discover any ratio in this judgment, as one part of the j udgment contradicts another part. If "
28,1534,"2 3 clasification w a s “ inteligible” having regard to the object soughto be achieved, it would pas muster under Article 14‘ s anti­ discri"
29,1355,"State of Mysore v. S.R. Jayaram 1 2 , Indira Nehru Gandhi v. Raj Narain 1 3 , E.P. Royapa v. State of Tamil Na^du 1 4 , Maneka 2 4 should be"
30,1359,"Gandhi v. Union of India 1 5 , A.L. Kalra v. Project and Equipment Corporation of India Ltd. 1 6 , Ajay Hasia v. Khalid Mujib Seh^a-^a^di* *"
31,1268,"21. In Yusuf Abdul Aziz (supra), the Court understod the 2 6 pointed out by us above would aply to negate legislation as wel under Article 1"
32,1352,"2 7 comits adultery if he hasex with a w o m a n with w h o m he has not entered into wedlock. A s per Black’ s L a w Dictionary, ‘ adultery"
33,1268,"manifestly arbitrary. That is one aspect of the mater. If the 25. In Arun Kumar Agrawal and another v. National Insurance Company Limited an"
34,1460,"29 have a regular income. Singhvi, J. rejected the stand relating to determination of compensation by comparing a house wife to that of a ho"
35,1273,"27. In State of Madhya Pradesh v. ^a^d^anla. 12 2 , the Court 28. In Pawan Kumar v. State of Himachal Pradesh 23 , the 3 0 h a d adopted a v"
36,1756,"3 1 “ 47 … in a civilized society eve-teasing is causing harasmento w o m e n in educational institutions, public places, parks, railwaystat"
37,1154,"29. Lord Keith in R v. R 24 declared:- 31. In Shamima Faroqui v. Shahid Kh^an 26 , the Court 3 2 to be regarded as the s u m b o n u m of th"
38,1386,"32. In Voluntary Health Asociation of Punjab v. Union of India 27 , one of us (Dipak Misra, J.), in his concuring opinion, despite being a m"
39,1605,"Majagvai v. State of Karnataka 28 : (SC p. 4. It is unfortunate that in an age where people are described as civilised, crime against ‘ fema"
40,1272,"infant, bestows al her love on the child and as the child grows in age, she gives to the child al that she has in her own personality. She s"
41,905,"in Niku Ram case 4 h a d already reproduced the first line of the shloka. The second line r 36 of the s a m e which is also significant is a"
42,1274,"33. In Charu Khurand others v. Union of Indiand others 30, speaking abouthe dignity of w o m e n , the Court held:- 3 7 Atulam yatra tatejah"
43,1389,"cherished value. Clause (j) has to be 34. In Shakti Vahini v. Union of Indiand ot^hers31, the lis 3 8 m a n s i o n of dignity, for it is a "
44,1477,"to the recent larger B e n c h decision in K.S. Putaswamy and another v. Union of Indiand oth^e^s 3 2 which, while laying 3 9 sisters a n da"
45,1743,"40 against arbitrary treatment of individuals) a nd fraternity (which asures a life of dignity to every individual). These constitutional pr"
46,1835,"41 private space. Privacy enables the individual to retain the a u t o n o m y of the body a n d mind. The a u t o n o m y of the individual"
47,1532,"38. In this context, w e m a y profitably refer to National Legal Services Authority v. Union of Indiand oth^ers 3 wherein A.K. 4 2 w e have"
48,1795,"39. Very recently, in Comon Cause (A Registered Society) v. Union of Indiand another^ 4 , one of us hastated:- 4 3 “ … H u m a n dignity is "
49,1691,"4 should he/she be —guinea pig for s o m e kind of experiment? The answer has to be a n emphatic —Not because such futile waiting m a r s th"
50,1553,"4 5 “ I stil ned to say thathe idea of dignity is a metaethical one, that is it m a r k s a n d m a p s a dificulterain of w h a t it m a y "
51,1359,"4 6 adultery encapsules within itscope sexual intercourse with an unmaried w o m a n or a widow, adultery is basicaly asociated withe instit"
52,1458,"“ 1. Definition of crime. 一 There is no 35 Ha 1 ^sbury}s Laws of En^glan^d, 4th Edn., Vol. 1 p.11, 4 7 c o m e n t i n g o n any kind of ide"
53,1418,"44. In Keny> s Outlines of Criminal Law, 19th Edn., 1966 by folowing characteristics: ( 1 ) that it is a desires to prevent; ( 2 ) that a m "
54,1477,"paragraphs from Central Inland Water Transport 49 45. Stephen defines a Kcrimew thus:- “ A crime is a n unlawful act or default which is a n"
55,1484,"Corporation Limited and another v. Brojo Nath Ganguly 36 . They read as under:- 5 0 “ 25. T he story of m a n k i n d is punctuated by progr"
56,1541,"a n unalterable fol.” The law must, therefore, in a changing society march in tune withe changed ideas and ideologies.” 48. Reproducing the "
57,1378,"5 2 or Sections 306 or 3 0 4 B or 4 94 IPC. These ofences are m e a n to sub-serve various other purposes relating to a matrimonial relation"
58,1297,"hereinbefore, also enters into the private realm of matrimonial — 27 . Section 306 refers to abetment of suicide ofence under Section 306 IP"
59,1490,"acused. The prosecution has to establish beyond reasonable doubthathe deceased comited suicide and the acused abeted the comision of suicide"
60,1443,"imoral, as has ben said in Pinakin loyal a n d maintain fidelity throughout a n d also m a k e s the Mahipatray Rawal, but it would take a d"
61,1367,"56 Australia, Brazil a n d m a n y western E uropean countries. The diversity of culture in those countries can be judicialy takenote of. No"
62,1212,"57 crime would have to punish indiscriminately bothe persons w h o s e mariages have ben broken d o w n as wel as those persons w h o s e ma"
63,721,"Sowmithri Vi^shnu (supra) a n d V. ^evathi (supra) stand (Dipak Misra ) ( A . M . Khanwilkar ) 5 8 56. A s w e have held that Section 4 9 7 "
64,811,"REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL ORIGINAL JURISDICTION WRIT PETION (CRIMINAL) NO. 194 OF 201 7 JOSEPH SHINE PETIONER VERSUS"
65,1398,"Exception .— Thisection does not extend to any punished with imprisonment of either description for a term which may extend to five years, o"
66,1038,"an unmaried woman. The Roman lex lulia de adulteris coercendis of 1 7 B.C., properly so named after Emperor mariage is contracted of the rea"
67,1049,"2 . In Judaism, which again is ancient religion, the Ten Comandments delivered by the Lord to Moses on Mount Sinai contains the Seventh Coma"
68,1415,"4 . In this country as wel, in the Manusmriti, Chapters 4 . 1 3 4 6 and 8 .35 2 7 prescribes punishment for those who are adicted to interco"
69,1146,"— 6. And those who acuse their wives and have no witnes excepthemselves, let one of them testify four times, bearing Alah to witnes, that he"
70,1205,"degre of harm caused to the cuckolded husband. However, as Christianity spread in England, adultery became moraly wrong and therefore, a sin"
71,1670,"which damages were payable to the husband, given his proprietary interest in his wife. 1 2 This tort is adverted to by a 1904 judgment of th"
72,1373,"idea thathe act of the defendant is a violation of the marital rights of the husband in the person of his wife, and so the act of the defend"
73,1106,"7. In England, Section LIX of the Divorce and Matrimonial Causes Act, 18 57 abolished the comon law action for criminal conversation while r"
74,1383,"the controling of disease, the preventing of ilegitimacy, and preserving the traditional family continue to exist as of today. It was also f"
75,1710,"consider their wives as useful members of their smal household, thathey generaly complainot of the wound given to their afections, not of th"
76,1806,"considers that act as inocent. Many things which are not punishable are moraly worse than many things which are punishable. The man who trea"
77,1567,"respectability of women, we are not inclined to throw into a scale already to much depresed the aditional weight of the penalaw. We have giv"
78,1725,"Regulations alow of a conviction upon strong presumption arising from circumstantial evidence. This dificulty, if it has had thefect suposed"
79,1533,"maried woman, and considering thathere is much weight in the last remark in Note Q, regarding the condition of a women of this country, in d"
80,1064,"These are some of the reasons that led to thenactment of Section 49 7, IPC. 1 . Athistage, it is importanto note that by Section 199 of the "
81,1349,"— 198 . Prosecution for ofences against mariage.— ( 1 ) No Court shal take cognizance of an ofence punishable under Chapter X of the Indian "
82,1732,"( 2 ) For the purposes of sub-section ( 1 ), no person other than the husband of the woman shal be demed to be agrieved by any ofence punish"
83,1352,"(6) No Court shal take cognizance of an ofence under Section 376 of the Indian Penal Code ( 4 5 of 18 6 0 ), where such ofence consists of s"
84,1060,"This an instance of Homer noding. Apart from a limited ratio An apeal to this Court in Yusuf Abdul Aziz v. State of Bombay, 19 5 4 SCR 9 3 0"
85,1402,"could not, therefore, be said to be a law made by the 'State', meaning any of thenties refered to above. 1 3. We have noticed a judgment of "
86,1766,"Fundamental Rights, and the fundamental right which isecured to the citizen under Art. 1 5 is nothe unlimited right under Art. 1 5( 1 ) buth"
87,1021,"丨 aw 1 ’， indicating thathe State making any lawould be laws made after the Constitution comes into force as oposed to — existing law', whic"
88,1117,"noticed. The limited ratiof this judgment merely refers to the last sentence in Section 49 7 which it upholds. Its ratio does not ( 4 ) Noth"
89,1082,"learned counsel in that case argued that Section 49 7 is a flagrant instance of ‘gender discrimination ’ ， ‘legislative despotism’， and ‘mal"
90,1105,"with a person other than her husband, should be made punishable for adultery. The disenting note of Mrs. Ana Chandi was also takenote of, wh"
91,1016,"A chalenge on the ground of Article 21 was also repeled, stating thathe facthat a provision for hearing the wife is not contained in Section"
92,1064,"nations retain adultery for the purposes of divorce laws. Thus, adultery continues to be a criminal ofence in Afghanistan, Bangladesh, Indon"
93,1294,"one which is in any event disintegrating. [DE v. RH, 20 . The Supreme Court of Namibia, in an instructive judgment, 2 3 went into whether th"
94,1322,"readines, founded in morals, of the parties to the mariage to create and to maintain it. ‘ If the parties to the mariage have losthat moral "
95,1277,"courts (se, for example, Wasenar v Jameson, suprat 35 2 H - 353H). Some of the reasons given in Wasenar as to years ago while an interdict a"
96,710,"hardly likely to be broken up by a third party.， 24 21 . Coming back to Section 49 7, it is clear that in order to constitute the ofence of "
97,1102,"with an unmaried woman or a widow, does not comithe ofence of adultery. Also, if a man hasexual intercourse with a maried woman withe consen"
98,1140,"time. Twof the fundamental props or bases of this archaic law have since gone. Post 19 55- 19 56, withe advent of the — Hindu Code”， so to s"
99,1276,"which it was made hasince become manifestly arbitrary, having lost its rationale long ago and having become in today's day and age, uterly i"
100,1113,"intercourse with an unmaried woman or a widow, as has ben sen hereinabove. Also, if the husband consents or conives at such sexual intercour"
101,1444,"discriminates against women on grounds of sex only, and must be struck down on this ground as wel. Section 198 , CrPC is also a blatantly di"
102,1783,"(Article 19 ) and in the righto life and personaliberty (Article 2 1 ).H x “298 . Privacy of the individual is an esential aspect of dignity"
103,1908,"guarantes intersect with gender, they create a private space which protects al thoselements which are crucial to gender identity. The family"
104,1740,"in Joly George Varghese v. Bank of Cochin [Joly George Varghese v. Bank of Cochin, (1980) 2 S c C judgment in Sunil Batra v. Delhi Admn. [Su"
105,1738,"and fraternity together in the Revue Republicaine, Delhi Admn., ( 1980 ) 3 SC 5 2 6 at para 21 , Francis Coralie Mulin v. UT of Delhi, (1981"
106,1144,"ratio is an extremely limited one as it upheld a wife not being only be developed on a case-to-case basis. Depending upon the particular fac"
107,1119,"in apeal before this Court in Yusuf Abdul AzizJs (supra). Chief Justice Chagla had stated that since the underlying idea of Section 49 7 is "
108,1234,"the maxim of Roman law, cesante ratione legis, cesat ipsa lex, aply to interdict such law, but when such law fals foul of CrPC was fuly repl"
109,358,"similareasons, be held to be no longer god law. We, therefore, declare that Section 49 7 of the Indian Penal Code, 18 6 0 and Section 198 of"
110,559,"REPORTABLE IN TH E S U P R E M E C O U R T O F IN D IA C R IM IN A L O R IG IN A L JU R IS D IC T IO N W R IT PE TIO N (C R IM IN A L) NO 1 "
111,1454,"Dr Dhaniava Y Chandrachud, J A Gender: the discursive strugle P A R T A 1 Our Constitution is a repository of rights, a celebration of myria"
112,1688,"P A R T A stereotypes. An understanding of law as a ‘discourse’ would lead to the recognition of the role of law in creating ‘gendered ident"
113,1317,"P A R T A imperative to exam ine the institutions and structures within which legal discourse operates:7 “ The idea of neutra 丨 dialogue is "
114,1493,"B Judicial discourse on adultery PART B 5 This Court, on earlier ocasions, has tested the constitutionality of Section 497 of the Indian Pen"
115,1842,"PART B Article 228. The High Court decided againsthe apelant 10 , but Chief Justice Chagla m ade an observation abouthe asumption underlying"
116,1704,"PART B 7 The chalenge was to a limited part of Section 497: that which prohibited a wom an from being prosecuted as an abetor. Broader isues"
117,1572,"PART B patriarchal underpings of the law on adultery becom evident when the provision is considered as a whole. 8 In the subsequent decision"
118,1490,"PART B divorce w as pending againsthe apelant, her husband filed a complaint under Section 497 againsthe person with whom the apelant w as a"
119,2067,"PART B sugestion thathe definition should be recast in a m aner that would m ake the ofence gender neutral. The court responded by observing"
120,1693,"PART B These observations indicate thathe constitutional chalenge w as adresed purely from the perspective of the argum enthat Section 497 i"
121,1930,"PART B not m ake it an ofence for a maried man to engage in an act of sexual intercourse with a single w om an. His wife is not regarded by "
122,1843,"PART B position of inferiority thereby ofending her dignity, which is the core of Article 2 1 . Significantly, even the chalenge under Artic"
123,1887,"PART B regarded as a corect exposition of the constitutional position. S ow m ithri Vishnu is overuled. 1 2 The decision of a two judge Benc"
124,1550,"C Relics of the past PART C 1 3 The decision in R evathis a reiteration of S ow m ithri V ishn u. It aplies the doctrine of equality and the"
125,1444,"PART C “abetor” to the ofence. The power to prosecute for adultery rests only withe husband of the wom an. Understanding the gendered nature"
126,2128,"PART C “ Inded, since the dawn of history every civilisation had prescribed severe laws against at least some kind of sexual imorality. The "
127,1936,"PART C 1 7 O nce m onogam y cam e to be acepted as the norm in Britain betwen the fourth and fifth centuries, adultery cam e to be recognize"
128,1716,"PART C m ore severely than men for adultery, especialy when they had a child as evidence.36 1 8 In 1 65 0 , England enacted the infamous Act"
129,1850,"PART C for criminal conversation was introduced in the late 1 7th century, which alowed the husband to sue his wife's lover for financial co"
130,2023,"PART C [was] suspendeduring the m ariage, or at least [was] incorporated and consolidated into that of the husband: under whose wing, protec"
131,2030,"PART C and principal architect of the IPC, considered the posibility of criminalizing adultery in India, and ultimately concluded that it wo"
132,2325,"PART C “ While we think thathe ofence of adultery ought noto be omited from the code, we would limits cognizance to adultery comited with a "
133,1820,"PART C Section 497 and Section 1 98 are sen to treat men and w om en unequaly, as wom en are not subjecto prosecution for adultery, and wom "
134,1518,"PART C hasexual intercourse with a man (other than her husband).”5 8 Neither the recom endations of the Law Comisionor those of the Malim at"
135,1759,"PART C and wom en diferently is, ultimately, to act in w om en's interests.6 0 The status of Section 497 as a “special provision”6 1 operati"
136,1899,"D Acros frontiers PART D 26 The last few decades have ben characterized by num erous countries around the world taking m easures to decrim i"
137,1919,"PART D courts reflect how the treatm ent of the law towards adultery has evolved withe pasage of tim e and in light of changing societal val"
138,1928,"PART D institution of m ariage and marital fidelity vis-a-vis the fundam ental right of an individual to self-determ ination, which included"
139,1679,"PART D Next, the Court analysed the apropriatenes and efectivenes of criminal punishm ent in curbing the ofence of adultery. Adresing the qu"
140,1693,"PART D Adresing the concern that an abolition of a penal consequence would result in “chaos in sexual morality” or an increase of divorce du"
141,2047,"PART D the interference of the State in the rights to privacy and sexual autonom y w ere clearly excesive and therefore failed the test of l"
142,1644,"PART D The Respondent prayed thathe Court consider making the provision of adultery equal in its treatm ent of men and wom en, instead of st"
143,1495,"PART D The decisions of the USuprem e Court bearing on the isue of privacy have ben analysed in an incisive article, titled “For Beter or fo"
144,1618,"PART D Siegel posits that a decision to com it adultery is a decision ‘relating to m ariage and fam ily relationships' and therefore, fals w"
145,1815,"PART D “ The complexity andiversity among mariages make it al the more importanthathe privacy asociated withat institution be construed to i"
146,1552,"PART D In concluding hisection the righto asociate, Siegel warns againsthe dangers of clasifying adultery solely as a sexual activity, as do"
147,1899,"PART D “ The real importance of sexuality to humans, more so in today's world of efective birth control than ever, lies in the posibilities "
148,1607,"PART D the power to chose, as it inevitably wil, results in bad choices. It is a confidence inothing les than theory underscoring our entire"
149,1418,"E Confronting patriarchy PART E “ Norms and ideals arise from the yearning that it is an expresion ofredom: it does not have to be this way,"
150,1659,"PART E constituted as a criminal ofence is the act of sexual intercourse betwen a mand a wom an who is “the wife of another m an”. Nofencexi"
151,1752,"PART E 32 Section 497 is destructive of andeprives a wom an of her agency, autonom y andignity. If the ostensible object of the law is to pr"
152,1906,"PART E cabined and confined” within traditional andoctrinaire limits. From a positivistic point of view, equality is antithetic to arbitrari"
153,1548,"PART E On the aplication of the test of m anifest arbitrarines to invalidate legislation, the learned Judge held thus: “ 101… there is no ra"
