pdf_page,chars,preview
1,1088,"言詞辯論意旨狀 聲請人： 臺灣花蓮地方法院刑事第三庭溫股法官何効鋼 為聲請司法院大法官解釋事， 爰提出言詞辯論意旨如下： 一 、 聲請標的及聲請事實 聲請人為臺灣花蓮地方法院10 6 年度易字第58 9 號 、 10 6 年度易字第 6 00號 、 1 07年度花原易字第5號 、"
2,1337,"( 一） 就行為 规 範部分 * 應至少適用中度審 査 基準 1 . 系爭規範干預性自主決定權 憲法對於性自主決定權之保障， 乃係因性行為自由與個人之人格有不可分 離之關係， 得自主決定是否及與何人發生性行為 （ 鈞院大法官釋字第55 4 號解釋理由書第1段參照） 。 故性行為自"
3,1356,"3 . 保障婚姻家庭為系爭規範之目的， 並非降低審 査 基準之理由 至於55 4 號解釋似乎以國家對於婚姻、 家庭維繫的保護義務做為降低審查基 準之理由， 此種論述方式並不合理。 現實上多數刑罰規範都可以藉由其保護的 法益， 連結至一般人民的基本權利維護， 如鈞院大法官釋字第 6"
4,1364,"準 。 亦即，系爭規範所追求之目的必須是「 保護合乎憲法價值之特定重要法益」 ， 其手段必須有助於目的達成， 且無其他相同有效達成目的而侵害較小手段可 諮運用。其手段與目的間須合乎比例之關係， 且必須系爭規範對人民採取強制 隔離施以矯治， 方能維護社會秩序時， 其手段方屬合理正當"
5,1288,"密的私人領域 > 應該由其自主決定， 避免國家的介入與管制。 刑罰應作為最後 的手段。 是以成年人間的合意性關係， 應屬於自由的個人領域。 如果國家介入 且處罰應屬於性道德與杜會秩序領域的私人性行為時， 即會構成對性自主決定 權的侵害 （ 參見附件一， V.A . ( 3 ) ."
6,1354,"到破壞的婚姻之必要性已有可疑， 而也難以認為刑事處罰對此種通姦行為有何 嚇阻效果， 行為人高度可能依然進行通姦行為。而在無感情之通姦行為 * 自社 會中廣泛存在的性交易觀察， 顯然也難以證明通姦罪有何嚇阻效果 （ 見附件一 ， V . A . ( 3 ) . ③ ） < ■ 故以"
7,1376,"按因故意或過失， 不法侵害他人之權利者，負損害賠償責任。 故意以背於 善良風俗之方法， 加損害於他人者亦同。 不法侵害他人基於父、 母 、 子 、 女或 配偶關係之身分法益而情節重大， 被害人雖非財產上之損害， 亦得請求賠償相 當之金額， 此為我國民法第184條第1項及第195條"
8,1271,"3 . 通姦行為本身即伴有高度社會連結的破壞之不利益， 通矣刑罰並 非阻止通姦行為之主要阻力 又得易科罰金之自由刑並非絕無一般預防之嚇阻效果， 亦非所有類型的易 刑處分均可以由民事賠償達到類似的嚇阻效果。 必須在當事人從事法所禁止行 為被查獲時， 除國家給予的刑事處罰外， 不會因"
9,1168,"刑法第2 3 9條 规 定係以維繫婚姻、 家庭制度為目的， 但其對於已經發生破綻 之婚姻並無任何修補娘姻破貌之效果 * 已如前述。 然而刑法第2 3 9條依然並未排 除現實上已經別居或婚姻關係存有重大破綻之配偶， 而造成在已經發生破綻的 婚姻關係中， 有意離婚之一方因無法脫離婚姻"
10,36,"中 3 月 2 3 曰 聲請人 冬 P W 華 民 國 1 0 9 年"
11,2282,"2009 Hun-Ba 1 7 - Adultery Case Decision.date ： Feb 2 6, 201 5 Final decision-' Unconstitutional Adultery Case [ 2 7- 1 (A) KCR 20 , 2009 Hu"
12,2710,"provides that adultery is a crime subjecto victim's complaint and a spouse who condones or pardons the adultery canot acuse his/her spouse o"
13,3143,"The global trend with regard to adultery is decriminalization. The crime of adultery was abolished in Denmark, Sweden, Japan, Germany, Franc"
14,3058,"Article 1 7 of the Constitution in that it restricts activities arising out of sexua! life belonging to the intimate private domain* ( 2 ) L"
15,3168,"violation of legal interests, despite the act is in contradiction to morality. Acording to this tendency, it is a global trend to abolish ad"
16,3212,"recognition sex. despite of the punishment of adultery. Acordingly, it is hard to anticipate a general and special deterencefect for adulter"
17,2676,"which should not be controled by criminal punishment. Therefore, the Provision at Isue would be not an efective means to achieve the purpose"
18,3067,"We adopthe mariage system based on monogamy. Under monogamy, thesential nature of mariage would be the maried couple's wifi to maintain thei"
19,3176,"faling in love with a person more atractive than his/her spouse, being skeptical about his/her curent mariage {mode 2 )P and a sexual relati"
20,3011,"⑼丁 herefore, the criminal punishment aga 丨 nsthe mode 1 and 2 of adultery would not be thexcesive restriction againsthe righto sexual self-d"
21,2942,"refrain from the control and regulation over thexercise of the righto sexual self-determination regarding whom and how to have sexual activi"
22,3028,"Adultery of a maried person becomes a major threato monogamy and causesocial problems including an abandonment of his/her spouse and family "
