pdf_page,chars,preview
1,522,"釋憲聲請書 主 旨 ： 為臺北高等行政法院101年度訴字第1778號判決(附件一)及 最高行政法院102年度裁字第903號裁定(附件二)所適用之財 政部92年 6 月3 日台財稅字第0920452464號函釋 ( 附件三 ） 、 96年 3 月6 日台財稅字第0960009044"
2,551,"經臺灣澎湖地方法院檢察署以聲請人涉有虛報捐贈扣除額之情 形 ， 為緩起訴處分， 惟財政部臺北國稅局竟對上開列報捐贈事 項 ， 按公告現值之16%核定捐贈扣除額應為248萬 9446元 ， 核 定聲請人補徵稅額， 經聲請人繳納完竣， 財政部臺北國稅局復就 聲請人上開列報捐贈事項， "
3,482,"限 。 但有關國防、 勞軍之捐贈及對政府之捐獻， 不 受金額之限制。 所得稅法雖未規定如何計算捐贈財 產之金額， 惟依核實課稅原則(或稱實價課稅原則) 應以實際取得成本作為列報之基礎。 所得稅法第 8 3 條復規定：「 稽徵機關進行調查或復查時， 納 稅義務人應提示有關各種證明所"
4,471,"行稅法上協力義務、 規避稅負之情形， 方得以適用 所謂推計核定方法(或稱推計課稅制度 ） ， 且仍應依 據交易之年度、 地區、 經濟情況推計， 以貼近實際 取得成本， 並非概以行政機關核定之抽象標準認定 之 。 經查財政部92年6 月3 日台財稅字第0920452464 號函釋規"
5,425,"認為稽徵機關仍得依抽象標準， 以固定不變之百分 比推計納稅義務人之實際取得成本， 而為不利於聲 請人之裁判。 按憲法第19條規定， 人民有依法律納稅之義務， 係指國家課人民以 缴 納稅捐之義務或給予人民減 免稅捐之優惠時， 應就租稅主體、 租稅客體、 稅基、 稅率等祖稅構成要件，"
6,477,"4 . 惟 査 財政部92年 6 月3 日台財稅字第0920452464 號函釋， 竟以行政命令規定稅基之計算標準及列舉 扣除額得認列之金額， 致使納稅義務人無法享有捐 贈列舉扣除額之法律上利益， 上開函釋實含有限制 納稅義務人稅捐優惠權利之意思， 事實上即有使納 稅義務人負擔額"
7,482,"能牴觸母法或對人民之自由權利增加法律所無之 限制， 行政機關在施行細則之外， 為執行法律依職 權發布之命令， 尤應遵守上述原則， 鈞院釋字第 268號 、第 274號 、第 313號 、 第 360號及第367 號解釋分別闡釋甚明。 另按「 一行為同時觸犯刑事 法律及違反行政法上"
8,464,"處分時依刑事訴訟法第253條之2 第 1項規定對被 告所為之指示及課予之負擔， 係一種特殊的處遇措 施 ， 並非刑罰。 因此， 刑事案件經檢察官為緩起訴 處分確定後， 宜視同不起訴處分確定， 依行政罰法 第 26條 第 2 項規定， 得依違反行政法上義務規定 裁處之。 」系爭函釋"
9,563,"二 、 解決疑義必須解釋憲法之理由 查憲法之解釋由鈞院為之， 憲 法 第 173條定有明文； 人 民 、 法人或政黨於其憲法上所保障之權利遭受不法侵害， 經 依法定程序提起訴訟， 對於終局裁判所適用之法律或命令發 生有牴觸憲法之疑義者， 得聲請解釋憲法， 亦為司法院大法 官審理案"
10,264,"人憲法上所保陣之權利遭受不法侵害， 唯有鈞院大法官會 議 解 釋 ， 始得據以救濟， 並確保國家稅捐稽徵機關依法行 政 ， 爰此聲請解釋憲法。 肆 、關係文件之名稱及件數 委任書乙紙。 附件一： 臺北高等行政法院101年度 诉 字第1778號判決 附件二： 最高行政法院102年度"
