pdf_page,chars,preview
1,537,"釋字第六九四號解釋協同意見書 大法官 蘇永欽 本號解釋以所得稅法第十七條第一項第一款第四目（下 稱系爭規定），有關納稅義務人扶養直系尊親屬、子女及兄 弟姊妹以外的其他親屬或家屬，得減除免稅額的規定，以受 扶養人「未滿二十歲或滿六十歲以上」為其限制，違反憲法 第七條的平等原則，應自"
2,642,"本院近年的解釋實務，傾向參考美、德等國法院的審查方 法，即因所涉基本權或其所審查法令的規範領域各有不同， 而對基本權保障原則的操作，提出寬嚴不同的審查標準 （ review standards ），儘管在憲法文本上找不到任何依據， 而寧為一種實質的憲法續造，也就是通過每個解釋內在"
3,658,"即只有當造成差別的規範屬於立法的恣意，找不到任何憲法 容許的特別目的，或者縱使有合憲的目的，其差異化的手段 和目的之間也看不出來有何關聯（不當連結）時，才認定違 反了平等原則。本院釋字第六八二號解釋理由書的闡明可為 代表：「憲法第七條保障人民平等權，旨在防止立法者恣意， 並避免對"
4,680,"觀條件，才同時拉高了規範目的和手段關聯性的要求：「故 系爭招生簡章之規定是否違反平等權之保障，應視其所欲達 成之目的是否屬重要公共利益，且所採取分類標準及差別待 遇之手段與目的之達成是否具有實質關聯而定。」很類似美 國最高法院的 strict scrutiny test ，其立法"
5,570,"之關聯性，其選擇即非恣意，而與平等原則無違。」釋字第 六七五號解釋有關金融重建基金賠付範圍的差別待遇，即延 續此一立場採寬鬆審查標準。納稅義務的平等原則審查也有 類似的考量， 比如處理夫妻間贈與免稅問題時，釋字第六 四七號解釋理由書針對此處因婚姻關係有無而設的差別待 遇，很清楚的"
6,639,"就是受扶養的親屬、家屬部分，其納稅義務和生存權的主體 既非同一，即不能為完全相同的論斷。更具體的說，此時納 稅義務人非請求生存保障的主體，僅依民法而對租稅關係的 第三人負有次序、程度不一的扶養義務，因此不能基於納稅 義務與生存權的調和，認為這裡有把所得稅起徵點向後推的 憲法要求，"
7,626,"切入，反而較有可操作性（本院釋字第四八五、第五七一等 號解釋參照）。惟此處納入的生存權考量，畢竟不同於納稅 義務人本人和配偶的情形，後者因屬就同一人的憲法權利義 務的直接衝突，其免稅額的規定已不可定性為單純的租稅優 惠，而屬憲法的要求，故若有任何差別待遇，毫無疑問應採 最高度的審"
8,626,"合第四條免稅所得規定的刪除而刪除），其餘未變。為什麼 要從概括的一目規定擴張為分別遠近親疏的四目規定，以及 各目規定的立法理由，都已不可考，但比較之下，同樣是扶 養無謀生能力的第三人，只有針對較遠親屬或家屬的第四目 加設年齡限制，其他三目則和未修正前一樣，是以無謀生能 力和一定年"
9,620,"受納稅義務人扶養者。」基於這些考量所做的差別待遇，憲 法上要如何判斷？ 五、雖非恣意終不符合實質關聯要求 前述考量中，所謂鼓勵孝親，顯然無法從積極的角度去 理解，只是說明一定年齡層遠親或家屬的扶養未能受到鼓勵 還不致乖違倫常，也就是沒有「過度」的打擊孝道，因此不 能作為獨立的正當"
10,641,"待從這樣的差別待遇可以實踐什麼重要的公共利益，難免要 落空。本號解釋既採中度審查標準，則只要立法者確有一定 非憲法所不容的考量，而非單純恣意，應該就可以接受。惟 因為涉及第三人生存權的保障，差別待遇作為實現這些合憲 目的手段，不能沒有實質的關聯，也就是基於實際經驗或 至少相當可信"
11,63,"及國家歲入的適足，其廢止又有必要保留另籌財源的時間， 系爭規定已存在將近半個世紀，本號解釋諭知一年過渡期， 也尚稱允當。 1"
