pdf_page,chars,preview
1,570,"憲法庭 3 楊惠欽大法官 提出 張瓊文大法官 加入 蔡宗珍大法官 加入 朱富美大法官 加入 本號判決係分別就中華民國 及 2 1 79 、 三 ） ，以及 規範 系爭規定一及三之適用基準時點之刑法施行 法第 7 2 ， 是否合憲而 為 。 本席就其中認系爭規定一及三違憲之本號判決"
2,654,"釋之罪刑，因原假釋之撤銷，應如何執行 （包括是否 得再 假 釋） 之規範。而本號判決審查標的之系爭規定一及三，則係 指其中就「無期徒刑」部分之規範，爰先此敘明。 就遭判處無期徒刑之受刑人言，其因無期徒刑之執行致 人身自由受限制，係基於規範其所犯之罪得判處無期徒刑之 法規範，及對其"
3,659,"自由再受限制期間之長短，進而寬認系爭規定一及三亦有限 制 遭撤銷假釋之無期徒 刑受刑人之人身自由，從而應就系爭 規定一及三進行是否合於比例原則之審查。 惟如上所述，無期徒刑受刑人因假釋遭撤銷，而應再入 監執行，其所執行者仍係原經判處確定之無期徒刑，其人身 自由因此所受之限制，仍是"
4,764,"年， … 再接續執行他刑，第 規定不適用之」 之內容，並參以同條即刑法第 79 1 項 規定 ： 「二以上徒刑併執行者，第 7 期間，合併計算之。」 以 及刑法第 係關於 「許假釋」之最低應執行期間 ，可知系爭規定一及三 針對 遭 撤銷假釋之無期徒刑受刑人，其後續之執行，係透過 "
5,710,"度假釋所致撤銷假釋本應執行之殘刑不能完全執行 理現象 ， 是 其目的 乃係為 避免 執行殘刑期間二度假釋 之不合 理現象 。 （ 三 ） 系爭規定一及三關於無期徒刑殘刑年數之制定及 修正，係為與 無期及 有期徒刑 之假釋相關規定相 衡平 系爭規定一規定無期徒刑之殘刑為 定三修正為"
6,51,"徒刑 之 假釋最低應執行期間 相關 規範 ， 予以整體衡量之結果。 及有期徒刑之可能殘刑期間等 6"
7,502,"〈附表一〉年數變動比較表 修正年度 83.1.28 86.11.26 94.2.2 比較條文內容 修正公布條文 現行條文 … ， 無期徒刑逾 ，有期 … ， 無期徒刑逾 ……， 無期徒刑逾 ，有期徒 刑§ 7 Ⅰ 徒刑逾三分一之後，由監獄長官 20 ，有期徒刑逾二分之一、累 刑逾"
8,676,"三、 系爭規定一及三與憲法比例原則尚屬無違 （一） 系爭規定一及三之規範目的正當 查假釋係一種附條件提前釋放受徒刑執行之人之行刑 措施及寬恕制度；理論上，其係針對刑期未滿但已達到特別 預防效果之受刑人，使其提前回歸社會以達成刑罰目的之例 外措施 。至於假釋之撤銷，觀諸假釋之本質及"
9,912,"系爭規定一及三針對遭撤銷假釋之無期徒刑受刑人，所 採如前述擬制殘刑之執行方式，其中就殘刑期間，係採一律 固定年數之模式 ； 另就殘刑之執行 ， 則是採應全部入監執行 ， 無假釋規定適用之機制， 其立法目的係為 避免 執行殘刑期間 二度假釋 之不合理現象 ，均 已如前述。爰就此等手"
10,699,"一及三之立法目的。 「 固定年數殘刑 」 ， 既涉及刑之執行 ， 且畢竟仍 是 針對原應執 行者係無期徒刑，所為殘刑「有期徒刑化」之擬制， 故 是否 考量無期徒刑受刑人遭撤銷假釋之原因 定，立法者本有較大 之 形成空間。 系爭規定一及三 所為 「有期徒刑化」之殘 刑 ， 既 係為"
11,605,"綜上所述，系爭規定一及三之規範目的正當，且其規定 之手段與其規範目的之達成間具合理關聯，而與憲法比例原 則尚屬無違。 參、 關於本號判決之疑義 一、 本號判決主文一 否事項，作為違憲論點之疑義 本號判決主文一係對於系爭規定一及三，就經撤銷假釋 之無期徒刑受刑人一律執行固定殘刑滿 "
12,532,"形成空間，而系爭規定一及三所採之擬制殘刑制度， 其目的係屬正當，亦經本意見書說明如上，且本號判 決亦肯認此殘刑制度之目的正當性 本號判決理由第 38 ) 。 2 、系爭規定一及三所定之殘刑期間 係針對「無期徒 刑」所為 ， 而依 撤銷假釋之意旨及 無期徒刑之本質， 其殘刑期間本仍"
13,546,"〈附表二〉判決主文第 一 項所列未區別撤銷假釋原因之態樣表 判決主文 第 一 項所列 未區 別 撤銷假釋原因 之態樣 與違憲原因 相 關之現行 規定 另犯罪 ○ 1 刑法§ 78 ： ○ 2 應 執行之刑之輕重 Ⅰ「 假釋中因故意更犯罪，受逾 撤銷其假釋 。 」 Ⅱ「 假釋中因故"
14,657,"二、 不同意 即 主文第二項至第六項 部分 ， 而其中 主文二 之 理由所例示之過渡措施 及 主文 五並有 與主文一意旨相 左 等 之疑義 本號判決主文二至六係針對主文一就系爭規定一及三 所為違憲並定期失效之宣告，而為之過渡措施諭知；本席因 不同意本號判決主文一，故就基於主文一而"
15,681,"部分 1 、有與主文一意旨是否相符之疑慮 因主文二而於理由中例示之過渡措施內容為： 「逾期未 完成修法，相關機關就無期徒刑撤銷假釋執行殘餘刑期之個 案，應依本判決之意旨，另為符合比例原則之適當處置，不 受應執行滿 得依本判決主文第一項之意旨，參考下列方式執行殘餘刑 期： （一）依"
16,817,"或違反保安處分執行法之規定」 ，以及未區別 『另犯罪』 之情 節暨所犯之罪應執行之刑之輕重，以及假釋期間更生計畫執 行之成效等因素」 ， 而觀其整體文義 ， 並佐以本號判決理由第 45 忽略撤銷假釋之原因事實 、 ……」 等語 ， 則主文一所稱之 「另 犯罪」 似係指撤銷假釋原因"
17,696,"2 、有是否限縮主文二所賦予個案裁量權之疑義 本號判決主文二就經撤銷假釋之無期徒刑受刑人，其應 執行之殘刑，如逾期未修法之過渡措施，係僅表明「……個 案 ， 應 依 本 判 決 之 意 旨 ， 另 為 符 合 比 例 原 則 之 適 當 處 置，……」 ，並無具體過渡措施之諭知，"
18,1116,"以上，各刑合併之刑期以下，定其刑期。但不得逾 「受徒刑之執行而有悛悔實據者 ， 無期徒刑逾 25 刑逾二分之一、累犯逾三分之二，由監獄報請法務部，得許 假釋出獄。」 「二以上有期徒刑合併刑期逾 40 行逾 51 7 第 查上開所臚列之數罪併罰定應執行刑、假釋最低應執行 期間、合併"
19,820,"平之處。 惟上述立法者所關注之衡平，於 本號判決 前開層級化過 渡措施之例示下，姑不論有期徒刑之殘刑是否因本號判決主 文一而引發有否違憲之爭議，單僅就例示之層級化過渡措施 言之，若立法者未能於 無期徒刑受刑人，勢必有因該過渡措施而遭改定較低之殘刑 者。則於 （ 1 ） 原應執行之"
20,672,"為，所獲者係無期徒刑「已執行論」之法效。而基於「已執 行論」屬「已執行」之擬制，亦知現行刑事執行政策，係具 有刑之執行係以機構內執行為原則之意旨。 至於刑法第 殘刑執行完畢， 撤銷假釋前之原應執行之刑均執行完畢之法 效，但此之執行完畢，核與上述刑法第 勵目的之擬制有別；是雖無期徒"
21,604,"所關注之處。或謂刑法第 刑人，於該條項規定之期間，因均假釋在外，而與應執行殘 刑之受刑人，係在機構內執行，不具可比較性。但本席認 基 於 前 所 述假釋之目的及撤銷假釋之意旨， 就 前述之不衡平感 言，其所彰顯者，或應係本意見書所欲表達之主軸意見，殘 刑之層級化應僅是立法政策問題"
22,660,"三違憲並定期失效下，為避免因逾期未能完成修法而形成法 律空窗所為之過渡措施諭知。而依主文二之文義，並參諸主 文三至五之諭知，以及佐以本意見書如上述 （ 1 ） 之就主文三 至五之解讀，應認主文二所諭知之過渡措施，其適用範圍係 限於上開（ 2 ）所稱之情形。 至主文五則係透過如上述"
23,775,"書，依刑事訴訟法第 而 此 等 聲明異議， 因 無異議期間之限制，亦無一事不再理原則之適 用（ 最高法院 是 適用系 爭規定一或三之執行指揮書，本即可透過受刑人之聲明異 議，以及法院之審酌（憲訴法第 參照 ） ，或 受刑人之一再聲明異議（ 從而 致 裁判時新法已修正）而適用 新法"
24,430,"但所採 同於屬 法律明文之諭知內容，因難 免前所列 而 徒生爭議。 肆、 結論 綜觀系爭規定一及三，以及 相關涉之刑法第 79 內容 ， 可 見 立法者 對 於 無期徒刑 受 刑人 之刑之執行， 認 應行機構式 執行 之時間 ， 係 有 漸趨 延長 之傾向 ， 而 因 此 所形成"
