pdf_page,chars,preview
1,417,"釋憲聲請書 聲 請 人 ： 呂 綉 英 黃水花 王呂房 劉李燕春 李進龍 劉守方 陳萼華 曾陳喜代 楊雪蘭 張京華 王讀如 曾邱貞美 ‘ 張李秀麗 郭長齡 魏桂香 代 理 人 ： 駱 怡 雯 律 師 仰 _ : 祕 ■ 以 丨 : & 屬 財 麵 g H B S 上憑空掉下的「 "
2,1197,"閃 躲 。 聲請人等人即期望以眾人之力量使得認證結果不會超過法定的 三分之二門檻， 這樣聲請人等人居住的莒光三村就不會進行改建， 聲 請人等人所求不多， 僅寄望餘生可於原來居住的房屋中度過， 不再擔 心會被國防部趕出家門卻無能力另外購屋而無法領到「 輔助購宅款」 的窘境。 二 、"
3,1087,"1 、 呂綉英： i 年 . 月 - 日出生， 現年82歲 。 聲請人丈夫已經去世多 此一選項， 會有基地完工價低於改建基地房地總價之可能， 此時選擇 此一選項之眷戶， 勢必需向銀行辦理貸款予以支應， 而且於改建基地 完工前， 眷戶需先行搬離並自費在外租屋。 而說明書所規劃之「 "
4,1019,"子微薄的薪水生活， 家境貧困， 實在無錢購成屋居住， 也無法再負擔 增加之在外租房費用。 9 、 蕭洪（ 聲請人張京華之配偶）： 年 月 日出生， 現年73歲 。 78 年 5 月配住鳳山市莒光三村 號 ， 當時聲請人服務於陸軍官校任教 授 職 ， 當時的莒光三村 號屋 内 破爛"
5,1296,"三 、 聲請人等 1 5人平均年齡為76歲 ， 均同時有無法負擔生活費用增加以 及向銀行貸款用以支付房地價額之情形， 聲請人王藹如於得知說明書 所規劃之選項後， 即曾以98年 1 月 1 6日高雄縣鳳山市莒光三村眷改 自救會書函（ 聲證二）， 向國防部國防部說明眷戶中有多人無法負"
6,1175,"貳 、 聲請解釋憲法之目的一國軍老舊眷村改建條例第二十二條第一項牴觸 憲法 九十六年一月三日修正前之「 國軍老舊眷村改建條例」（ 下稱眷改條 例）第二十二條第一項， 「 規劃改建之眷村， 其原眷戶有四分之三以上同 意改建者， 對不同意改建之眷戶， 主管機關得逕行註銷其眷舍居住憑證"
7,1024,"二 、 疑義之經過 (一） 窮盡通常救濟程序 聲請人為原屏東縣共和新村眷戶， 國防部於九十二年十二月起依據眷 改條例就該村辦理改建計晝。 嗣經統計該村同意改建、 且改建申請書經依 法認證之原眷戶比例超過四分之三， 國防部認定前揭聲請人等屬不同意改 建之眷戶， 乃依系爭規定以九十五"
8,1295,"配眷舍、 輔助貸款、 輔助購宅者， 得申請分配眷舍。 在九 H — 年十二月三 制財產權之措施或方法尚須符合比例原則4， 始屬合憲。 由於系爭規定文義 尚無不明確之處， 且本件聲請之審查標的並非法律授權訂定的法規命令， 因此以前述標準審查系爭規定是否牴觸憲法（ 實質合憲性審查）時"
9,1399,"條第一項第一句之規定承購依該條例興建之住宅、 及由政府給與輔助購宅 款之權益。 其一為購買特定性質之不動產的資格， 另一為受領國家給與實 質補貼的權利， 二者本質上即為財產性權利，自無疑義。 況且 ， 依據同條 項第二句規定， 原眷戶死亡者， 由配偶承受此項權益， 如原眷戶與配偶"
10,1886,"U •法院將社會性給付是否以權利人「自己的給付 （ eigene Leistungen ) 」 為基礎做標準， 來劃定憲法財產權在此脈絡下的保護範圍。 ( nicht unerheblich ) 以請求權人自己的給付為基礎， 並以保障其生存 基 礎 （ Existenzsiche"
11,1445,"b , 司法院大法官解釋採取之標準 亦無繼續進行之必要。 因此， 必須先確認我國是否也採取前述「 自身給付」 理 論 。 透過以下對相關司法院大法官解釋的整理歸納， 將可發現我國僅部 分採取該理論， 質言之， 係以較寬鬆的標準認定公法性財產權益受憲法保 護的範圍。 由於本案涉及的"
12,1316,"銓 # 之 權 利 （ 該條例第六條參照） 。因此大法官認為， 公務人員俸給法施 . 丨將公務人員未具任用資格前、 依前開條例受聘用之年資， 於依法任 用為公務人員後酌予核計為公務人員年資， 本質上係國家對公務人員之優 惠措施， 並非限制人民之財產權。 換言之， 除了依法「 酌予"
13,1165,"c .小結 外 ， 德 國 「自身給付」標準處理的爭議情況是， 當現行法秩序下原本存在 的公法性給付被削減或取消時， 當事人能否根據憲法財產權保障要求維持 的問題； 而釋字434號解釋面對的情況則是， 對現行法秩序下並不存在的 公法性給付， 當事人主張該給付受憲法財產權保障， 應"
14,1260,"得排他的使用居住特定眷舍， 為具有財產價值之權利， 已如前述， 而且志 現役軍人、 撫卹期間遺眷等有權居住眷舍者的申請權亦始終規範於法 令之中； 另外， 原眷戶承購依眷改條例興建之住宅以及領取輔助購宅款之 權 益 ， 則規定於眷改條例本身（ 第五條第一項） 。因此， 按照前述我國"
15,1274,"用原有眷舍， 必要時並得以強制執行排除原眷戶對眷舍之占有， 的確有助 於前述眷改目的之實現， 因此第二步驟「 適當性原則」亦屬符合。 (2 ) 註銷權益手段不符合必要性原則 但系爭規定無法符合第三步驟「 必要性原則」之要求， 因為顯然存在 對原眷戶權益限制更輕微、 且能相同有效的"
16,1320,"ktr 侧 原則上獲得正當性。 例如原眷戶有曾因舊有眷舍殘破不堪居住， 故自 ( Sonderopfer ) 的概念。 該案涉及經都市計晝劃為公共設施保留地之土 步著眼 個 案情節或原眷戶不同意改建理由的差異， 系爭規定則難以在狹義 行修繕或擴建眷舍者， 其若同意改建， 將不僅必"
17,1246,"釋字第六七0 號解釋， 將 「 特別犧牲」概念不再侷限於限制或剝奪人民財 產權， 更擴張到人身自由權的限制。 「 人民受憲法第十五條保障之財產權， 因公益需要而受特別犧牲者， 應由國家依法律予以補償， 已迭經本院解釋 在案…人民受憲法第八條保障身體之自由， 乃行使其憲法上所保障其"
18,1370,"i 關於給付方式及額度之規定， 亦應力求與受益人之基本生活需求相 平等 J 要求成為憲法第七條之 内 涵， 並於曰後解釋中屢援用22。 是 以 ， 停止條件 J 的方式表示同意。 此類眷戶在意願表達上容或較為投機， 但此 益情況的種本質性差異， 而恣意地僅以「 不同意改建 j 為"
19,780,"聲 請 人 ： 呂綉英、 黃水花、 王呂房、 劉李燕春、 I 李進龍、 劉守方、 陳萼華、 曾陳喜代、 四 、 結論 綜 上 ， 處分時眷改條例第二十二條第一項以違反比例原則之方法， 侵 害不同意眷村改建之原眷戶受憲法保障之財產權， 已牴觸憲法第十五條與 第二十三條。 又不同意改"
20,76,"楊雪蘭、 張京華、 王藹如、 曾邱貞美 _ 圍 '國 張李秀麗、 郭長齡、 魏桂香 代 理 中 華 民 國 1 0 1 年 0 5 月 > 日 20"
21,696,"最高行政法院 - 行政 - 100 判 2019 1 of 10 最高行政法院裁判書 - 行政類 【 裁判字號】 1 0 , 判， 20 1 9 【 裁判日期】 1 0 1 24 【 裁判案由】國軍老舊眷村改建條例 【 裁判全文】 最高行政法院判決 1 〇〇年度判字第20 1 9"
22,1469,"最高行政法院 - 行政 - 100 判 2019 2 of 10 證程序， 因認證人數未達四分之三法定改建要件而經列 爲 不 改建之眷村， 嗣因國軍老舊眷村改建條例第22條於96年 1 月3 曰修正公布， 上訴人基於宮光三村眷戶之連署請求， 依前揭 規定於97年 1 月5日以國政"
23,1416,"最高行政法院 - 行政 - 1 〇 判 2019 3 of 10 說明裁量理由之義務等語， 求 爲 判決撤銷訴願決定及原處分 關於被上訴人部分。 三 、 上訴人（ 原審被告）則以： 莒光三村 爲 伊於57年興建完成並 陸續分配之軍眷住宅， 依眷改條例第3條第 1 項規定， 確屬於"
24,1456,"最高行政法院 - 行政 - 1 〇 判 2019 4 of 10 立法機關修法之前， 同條例第3條第 1 項仍屬有效之法律， 行 政機關及司法機關均應受其拘束， 並據以依法行政及依法審 判 。 是被上訴人主張依司法院釋字第485號解釋理由， 不得 僅因莒光三村之興建完成日期 爲 "
25,1425,"最高行政法院 - 行政 - 1 〇 判 2019 5 of 10 量 ， 即應有整體性考量之自由形成空間。 經查國軍老舊眷村 改建條例第22條僅就規劃改建之眷村如有三分之二以上之原 眷戶同意改建者， 得就不同意改建之眷戶逕行註銷其眷舍居 住憑證及原眷戶權益， 惟並未就調查改建意願"
26,1445,"最高行政法院 - 行政 - 100 判 2019 6 of 10 改 （ 遷）建認證申請書格式或內容之情形， 一律視 爲 不同意 改建之眷戶， 已違反眷改條例第22條第 1 項之立法意旨， 並 逾越母法規定之限度， 係屬對人民之自由權利增加法律所無 之限制， 亦有違憲法第23條保"
27,1412,"最高行政法院 - 行政 - 100 判 2019 7 of 10 入改建基金； 未達房地總價之不足款， 由原眷戶自行負擔。 」 「（ 第2項）前項原眷戶自行負擔部分， 最高以房地總價 百分之二十 爲 限， 其有不足部分， 由改建基金補助。」 ^ ( 第3項）原眷戶可獲得之輔助購宅"
28,1431,"最高行政法院 - 行政 - 100 判 2019 8 of 10 應予尊重。 （ 二 ) 次 按 「 加速更新國軍老舊眷村， 提高土地使 用經濟效益， 興建住宅照顧原眷戶及中低收入戶， 保存眷村 文化， 協助地方政府取得公共設施用地， 並改善都市景觀」 之立法目的， 爲 眷改條例"
29,1441,"最高行政法院 - 行政 - 1 〇 判 2019 9 of 10 戶無適當選項可 爲 勾選， 以表達贊同改建之意願。 上訴人據 以認定認證結果同意改建之眷戶已達三分之二以上比例， 並 對被上訴人作成原處分， 自屬違法。 又上訴人所訂之「 國軍 老舊眷村改建注意事項」伍之二「 眷戶"
30,1159,"最高行政法院 - 行政 - 1 〇 判 2019 10 of 10 三分之二時， 始同意改建之條件， 則計算是否同意改建百分 比時， 此種附條件之表示不算入同意票， 通過門檻後， 又計 入同意改建之原眷戶， 乃前後矛盾， 亦對自始同意改建之原 眷戶不公平， 基此， 對於同意改建與"
