pdf_page,chars,preview
1,785,"針對台北市政府與祁家威先生聲請解釋一案提出鑑定意見 鑑 定 人 ： 政大法律學系陳惠馨教授2017年 3 月 10曰 一 、 根據民法親屬編第2 章婚姻之規定， 同性別二人可以為結婚之登記 說 明 ： (一） 、台灣民法親屬編並未明文規定結婚必須是一男一女。 民法第972條雖規定"
2,769,"時與兩人結婚之規定等。 民法親屬編並未規定同性別二人之結婚為無效； 據 此 ， 從民法親屬編之規定並不能直接導出我國法律排除同性別二人結婚之可能。 (三） 、 祁家威先生提出聲請大法官解釋憲法符合審理案件法第5 條 第 1項第2 款之規定 釋憲聲請人祁家威先生在2013年 （ 民"
3,893,"基於這些解釋 ， 所以「 憲法解釋所承認之「 婚姻自由」 與 「 婚姻」 係以一夫一妻， 一男一女之結合為前提， 始受憲法之保障 」 （ 以上文字取自法務部提供給司法院 之研修意見） 。 鑑定人認為上述大法官解釋文主要針對異性婚姻中之重婚與通姦 事實進行之解釋。 大法官並未針對婚"
4,745,"雙方人格得以實現與發展之生活共同體」。 根據目前臺灣的法律， 對於那些想要 進入同性婚姻者， 必須受到單偶關係規定之拘束， 不可以有違反重婚及近親結婚 禁止規定。 憲法院有必要對於同性伴侶者想要透過婚姻， 使 其 「 雙方人格得以 實現與發展之生活共同體」之權利， 加以回應。 本"
5,835,"範同性者之關係； 否則有違反憲法第7 條有關平等權規定之疑義。 立法時可能分 開下面兩個部分考量： (一）有關婚姻當事人之間有關結婚要件、 婚姻效力及離婚等事項之立法： 現行民法親屬編在第2章有關婚姻之普通效力 （ 民法第1000條到第1003之 1條 ） 、 夫妻財產制 （ 民"
6,762,"(二）牽涉婚姻當事人以外之人的效力部分： 例如姻親關係與父母子女關係 鑑定人認為同性婚姻與異性婚姻者在有關僅存在於婚姻關係之當事人間的各項 權利與義務應該沒有差別； 但 是 ， 在牽涉婚姻外之第三人之關係上， 則有必要在 立法上更細緻考量。 民法親屬編在婚姻規定上於姻親關係之規定"
7,311,"都面臨法律要回應新的婚姻觀念的挑戰。 臺灣在多年來透過修憲與釋憲， 逐漸落 實憲法保障人權的基本理念與精神。 在現有憲法體制， 法律必須回應社會中有男、 男或女、 女想要完成同性婚姻之期待。 鑑定人期待透過這次司法院大法官的釋憲， 臺灣戶政機關不再刁難社會中男或女之同性婚姻者結婚"
8,1173,"外國立法例： 以德國及瑞士為例 政大法律系陳惠馨分析 一 、 刖目前影響臺灣民法體系深遠的德語區域的法律中， 德國在2001年 訂 定 「 登記之 同性伴侶法」， 瑞士訂定之「 登記同性伴侶法」也 在 2007年生效1。 奧地利則在 2009年通過登記伴侶法並在2010年生效， "
9,1638,"根據法蘭克福大學 Friederike Wapler 博士在2015年提出給該基金會 ( Friedrich - Ebert - Stiftung ) 之法律意見書中指出， 根 據 2012年的統計， 德國共有 約 73 . 000對共同生活之同性伴侶； 其中約百分之40根 據 "
10,401,"面對挑戰。 目前德國關於1 昏姻與家庭」 等概念的討論， 著重在考量他們的功能。 這些功能包括， 婚姻或家庭的成員是否為兩個人依據法律所確認之生命與責任共 同體。 婚姻是一個屬於私人的、 家庭的團結制度， 受到憲法的保障。 許多討論逐 漸放在不同性別者與相同性別者所組成的「 家庭"
