pdf_page,chars,preview
1,72,"司法院大法官 審理會台字第12 664 號聲請解釋案 法務部陳述意見•檢察司長林錦村 法楱部 M inistry of J ustice i"
2,2,"2"
3,444,"保障之權利或法益 X 法 官 王 澤 鑑 曾 於 釋 字 第 552號 解 釋 協 同 意 見 書 闈 釋 有 關 婚 姻 家 庭 制 度 ， 本 諸 憲 法 第 22條 關 於 自 由 權 利 應 受 保 護 ， 已 作 成 關 於 婚 姻 家 庭 之 釋 字 第 3 72 號"
4,253,"限制或侵害人民何種基本權 * 可能干預或限制人民之性自由櫂、 隱私櫂 * 第55 4 號解釋性自由櫂與個人之人格有不可分離之關係， 固得自主 決定是否與何人發生性行為， 惟依憲法第22條規定， 於不妨害社會 秩序公共利益之前提下， 始受保障。 * 基於婚姻自由而選擇進入婚姻制度後"
5,293,"刑罰手段與目的： 仍具有相當關聯性 * 釋字第55 4 號解釋說明刑法具一般預防功能， 本條配偶忠誠義務成為 社會生活之基本規範， 增強人民對婚姻尊重之法意識， 及維護婚姻與 家庭制度之倫理價值， 仍有一定功效， 故二者仍具有相當關聯性。 鲁 釋字第50 9 號解釋有關言論自由之"
6,229,"釋字第55 4 號解釋， 有無刑事處罰， 刑法 第23 9 條之審查基準： 立法機關衡酌定之 應否論 Hi 刑 ， 因各國情不同， 立法機關衡 _ 何維護婚姻與家 度而制定之行為規範， 如選擇以刑罰加以處罰， 倘 立法目的具有正當性 難謂與憲法 刑罰手段有助於立法目的達成又無其他"
7,205,"多數國家並未宣告通姦罪為違憲： 是立法廢除 鲁 美國： 目前有18州保留通姦罪之處罰規定 ( 含紐約州） 。 * 歐陸： 均未以通姦罪係違憲。 足證多數國 口德國1 969 年刪除刑法第172條 家認通姦罪 非違憲， 而 口法國1 9 75年刪除刑法通姦罪 係立法機關 衡酌定之 "
8,219,"司改國是會議決議及兩公約結論 鲁 司改國是會議第5組決議「 廢止刑法第23 9 條 ， 若因故無法立即廢止， 應即刻刪除刑事訴訟法23 9 條但書之規定， 回歸刑事訴訟法告訴不 可分原則之適用。」 鲁 司改國是會議決議或兩公約結論性意見與建議一廢除通姦罪，均未 提及違憲問題 鲁 "
9,145,"刑事訴訟法第23 9 條但書部分 籲比較法： 日本1 9 07年舊刑法第183條 口僅處罰有夫之婦通姦 （ 不處罰夫通姦， 現已廢除） □ 1 9 22年刑事訴訟法第238條規定夫對妻撤回告訴， 對相姦人亦 發生撤回效力。 口通姦罪可單獨對配偶撤回告訴， 並非比較法及法理之必然性"
10,1232,"刑事訴訟法第23 9 條但書部分 項目 钊 近15年起訴之通 ( 相 ) 姦罪， 男女 97 Jf 起訴比例約差3 - 4 %， 9 5 、 9 6 年 101 年 男較女略多。 7 94年至 1〇8年 | 48 . 4 (男） si .6 (女 ） 本條並無違憲， 惟立法上有再"
