pdf_page,chars,preview
1,797,"1 0 9 .3. 2 3. 司法院刑事廳言詞辯論書狀 關於本院大法官為審理會台字第12 6 4號臺灣苗栗地方法院苗 栗簡易庭快股法官等聲請解釋案， 定於民國109年 3 月 3 1 日本院憲 法庭進行言詞辯論， 就爭點題綱一、 二 ， 本廳意見分述如下： 爭點題綱一、 刑法第2"
2,585,"1 0 9 .3. 2 3. 婚姻家庭之和諧」， 後者則係指以刑法一般預防功能達到維繫婚姻與 家庭制度之目的。 二 、 以刑罰手段處罰通 （ 相 ）姦行為， 乃限制人民之性自主決定權， 而追訴過程過度侵害人民隱私權： (一）性自主決定權部分： 我國憲法並未明文保障性行為自由 （ "
3,847,"定之權利 3 。 從 而 ， 刑 法 第 2 3 9條 通 （ 相） 姦 罪 ， 禁止有配偶之 5, 而 「 姦 」指男女性器官接合之行為 6 ， 故 通 （ 相） 姦指男女間 1 0 9 .3. 2 3. 法 第 2 條規定所保障2。 性自主權保障個人對於諸如個人性別 認同與性"
4,817,"在 審 判 上 ， 通 （ 相） 姦之被告如否認犯行， 法官對婚外性 拍 之 錄 影 、或 通 （ 相） 蟲者間有關性行為之錄音、 錄 影 ， 且任 9 ， 也間接助長了私人不法取證， 進而等同侵害了通 （ 相） 姦者 1 0 9 .3. 2 3, 合意之性器官之接合行為， 蒐證"
5,763,"andPoliticalRights ， 下稱公政公約 ） 第 17條 第 1項 規 定 ： 「 一 、 罰是否有助目的達成 （ 適合性）、 是否別無其他相同有效達成目的而 侵害 較小的手段可資運用 （ 必要性 ）， 以及刑罰對人民基本權之限制 1 0 9 .3. 2 3. 任何"
6,938,"1 0 9 .3. 2 3, 造成的侵害與目的所欲維護之公益間不合乎狹義比例原則， 該法即牴 觸憲法第2 3 條之比例原則， 而有被宣告違憲之可能。 違憲審查在立法事實判斷上， 究應達到何種確信程度， 才足以認 定事實之存在， 司法院大法官逐漸發展寬嚴不同之審查標準。 不同寬 嚴"
7,786,"1 0 9 .3. 2 3. 害隱私權， 過度干預基本權之最核心領域；自由刑之刑事處罰剝奪人 身自由15，而性行為隱私、 性自主權與人性尊嚴密切相關， 屬重要人 格 權 ， 在憲法秩序中應具重要價值， 只有為追求特別重要的公共利益 必 要 時 ， 方能予以限制。 以刑罰手段對性自"
8,847,"1 0 9 .3. 2 3. 深層本能慾望， 並非純理性的選擇， 很難期待可用法律甚至刑罰強制 約束規範。因 此 ， 想要用法律限制人類的情慾， 達到所謂刑法嚇阻的 一般預防目的， 不無疑問18。 刑法第2 3 9條 之 通 （ 相 ）姦 罪 ， 法定本 刑 為 1 年以下有期徒"
9,783,"1 0 9 .3. 2 3. 家庭有破壞性之作用： 司法院釋字554號解釋固認通姦罪合憲， 但該罪能否達到維護婚 姻 、 家庭之立法目的， 審判實務上有不少質疑， 諸如於判決量刑理由 傍論指 出 「 刑罰規範之目的， 無非係就告訴權人維繫婚姻繼續存在之 利益予以保護， 然告訴權人"
10,870,"1 0 9 .3. 2 3, 相 反 的 ， 在大部分的情況下， 只有毁滅婚姻的作用。因為無論如何， 對通姦之配偶或第三人的刑罰只會促使通姦之配偶決意離婚」24。 德 國決定要廢除通姦罪時， 國會曾做過研究調查報告， 可知通姦罪對於 婚姻的維護沒有正面作用， 相 反 地 ， 有加"
11,723,"1 0 9 .3. 2 3. 參 、 本院釋字第554號解釋有無變更解釋之必要？ 基於下列理由， 本廳認為本院釋字第554號解釋有變更解釋之必 要 ： 一 、 刑法第2 3 9條牴 鲔 憲法第2 3 條比例原則： (一） 立法目的正當性 （ 目的合憲性）審 查 ： 關於目的合憲性"
12,931,"1 0 9 .3. 2 3. 當關聯性」即為已足29。 因此， 只要手段非全然不適合於目的之 達 成 ，即不違反適合原則。 依 前 所 述 ， 通姦罪雖無助於維繫個 案婚 姻 、家 庭 ， 但某程度可發揮威嚇效果， 達到預防通姦、維 護家庭婚姻制度之目的， 故系爭手段並非完全不適"
13,695,"1 0 9 .3. 2 3, 為 ， 適用其他替代方式即可達到維持社會公平正義之作用時， 則無須施以刑罰制裁。 如 前 所 述 ，民事手段屬於侵害較小之手 段 ， 不僅可保護配偶權，某程度亦可達到預防通姦、維護婚姻 家庭制度之目的。國家動用刑罰權處罰通姦行為， 顯然違反刑 法謙抑"
14,738,"自由之剝奪」、 「 過度限制、 侵害人民性自主權、隱私權」 、 「 僅 1 0 9 .3. 2 3. 能某程度達到預防通姦以維護家庭婚姻制度之目的」及 「 若不 採取刑罰手段對家庭婚姻制度可能面臨危險的嚴重程度與危險 發生的可能性不高」之 結 果 ， 限制基本權之手段所增進之公益"
15,776,"系爭規定以刑罰為手段處罰通 （ 相） 姦 行 為 ， 遵守規範者， 姦罪之存在對嚇阻通姦行為之蓋然性不高， 且實務上對於通 （ 相） 1 0 9 .3. 2 3, (即 等 積 序 列 ， 依 輕 、中 、 重 給 予 1 、 2 、 4 不同值）之 「 商公式」 。 於 「 在"
