pdf_page,chars,preview
1,966,"同性婚姻法制化之調查研究 一 、 我國同性婚姻法制化概況 (一 ） 同性婚姻相關法律權益 中央警察大學法律系教授鄧學仁 2011年 1 月 18日 ， 法務部在審理我國法規是否違反兩公約之第五次複審會 議 時 ， 針對民法親屬編未規範同居者之權利， 是否符合公民與政治權利國際公約"
2,980,"( 二 ） 同性伴侶權益運動大事記 婚生推定（ 民法第1063條 ） 、 夫妻共同收養（ 民法第1073 條 、 第1074條 、 第1075條 、 第1077條 、 第1078條 、 第1080 條 ） 夫妻互相扶養義務（ 民法第1114條 、 第1115條 、 第1116條 "
3,1240,"曰 期 1986 覆 為 ：「 同性戀為少數之變態， 純為滿足情慾者， 違背社會善良風 俗 。」 1996 . 1 . 10 Gray Hariman ) 於台北公開舉行同志婚 禮 ， 媒體熱烈報導， 引發社會廣大的關注與討論。 2000 . 02 . 14 茜 、 朱惠良在新公"
4,1208,"曰 期 有18%自殺未遂， 這樣高比例的數字顯示同志心理壓力之處境。 2012 . 8 . 1 正草案正式立案。 2012 . 12 . 18 案 ， 將現行婚約應由「 男女」 當事人自行訂定， 改為婚約應由「 雙 方」當事人自行訂定， 讓同性婚姻合法化。 2014 . 10 ."
5,1120,"二 、 承認同性婚姻之國家 頁68~69 ,並增加後續之發展。 由上表可知， 同性婚姻法制化運動， 已從社會運動轉向司法與立法攻防， 值 得注目者， 地方政府對於同性婚姻亦多表達善意， 雖然在民法上尚未承認同性婚 姻之效力， 但透過行政程序賦予同性婚姻者之醫療同意權， 尤其台北市"
6,1313,"三 、 實施問卷調查 由法院判決。2016年 5 月 11日義大利國會通過同性民事結合 （ civil union ) 法 案 ， 成為歐盟28個成員國中最後 一 個給予同性伴侶合法地位的國家。 根據新法， 同 性伴侶可冠上對方的姓氏， 伴侶生病時有權探視及代做醫療決定， 伴侶死"
7,1022,"四 、 檢視同性婚姻應否法制化 傾向贊成者（ 含 「 同意」及 「 非常同意」 ） 均高於傾向反對者（ 含 「 不同 意 」及 「 非常不同意」 ） ， 顯示民眾對同性婚姻傾向採取開放的態度。 ( 二 ） 一 半的民眾贊成同性婚姻者在婚後可以收養小孩， 但又質疑同性婚姻家庭 會影"
8,1056,"謂以永久共同生活為目的而同居之親屬團體。」（ 民法第1122條 ） ， 而民法對於 婚姻之規定， 亦僅止於成立婚姻之形式要件與實質要件、 婚姻之效力以及婚姻 之 解 消 ， 然則若將上述要素加以結合， 吾人發現婚姻之本質目的應為， 兩人基 於情感之合意， 同時具有適法件(符合結婚"
9,1231,"婚姻或反對同性婚姻何者才符合憲法之人權保障， 整理二者之論點如下： 1 . 同性婚姻法制化是否符合婚姻自由是人民基本人權殆無爭議， 因此限制婚姻自由必須受到憲法23條 之 檢 驗 ，目前對於婚姻自由之限制主要是結婚之實質要件， 亦即結婚不得有無 效或得撤銷之原因 ( 民法第980"
10,1015,"已於 2013 年 1 月 2 3 日撤回訴訟， 同志人士祁 ◦ 威乃於 2013 年 3 月 2 1 日重新 進行政救濟程序， 期待大法官針對同性婚姻應否受到保障， 做出直接而明確 之解釋， 以徹底解決紛爭。 (三)同性婚姻法制化是否符合子女最佳利益 如前所述， 同性婚姻符合婚"
11,1054,"五 、 對於同性婚姻之建議 5 成長謀生之發展利益以及自我決定利益5 ， 亦即子女之意見表明權， 子女不能選 擇父母， 無論同性或異性婚姻皆然， 但因收養時子女仍存有表明意見之機會 ( 民 法 第 1083條 之 1 ) ， 於同性婚姻者收養子女時， 基本上是對於既有問題之解決，"
12,1046,"婚姻無法自然生殖， 但透過收養或人工生殖亦可解決此問題， 基於子女最佳利 益之保護， 能否允許同性婚者收養子女， 本應由法院認定， 若以不能收養子女 為 由 ， 而否認同性婚姻法制化， 無異本末倒置， 倒是對於男同性婚姻者若不 能收養子女， 如何解決其想擁有子女之問題， 必需有更"
13,1094,"同性婚姻法制化既然有其必要性， 則法制化之方式為何， 因攸關同性婚姻 法制化何時得啟動其作業程序之重要關鍵， 故須明確其方向， 依本研究徵詢各 方之意見，目前可採行之方式可歸納如下： 1 . 包裹立法 同性婚姻者最關心者在於有關扶養、 報 稅 、 醫療同意、 健保或受領他方死 亡"
14,1219,"性伴侶法， 或比照異性婚姻之同性婚姻法等立法模式。 制定專法之優點在於提 供同性婚姻者法律保障之同時， 對於既有之婚姻制度不會造成影響， 同時本質 不同之同性婚姻， 於民法之外以不同之型態另定規範， 可謂各得其所， 可同時 兼顧雙方之權益， 預期受到之阻力與變動將相形減少， 但此"
15,1025,"六 、 結論 民法親屬編雖未明文禁止同性婚姻， 但不 容 諱 言 者 ， 當初婚姻制度之 設計應係植基於異性婚姻之上， 所以親屬編均以「 男女」、「 夫妻」 以 及 「 父 (一) 同性婚姻置於民法下列問題難獲解決 本次針對同性婚姻之各黨團立法版本， 均以修正民法為主， 其中有關"
16,596,"處 理 ，因此同性婚姻若以制定專法模式處理， 可 收 如 下 之 優 點 ： 1 . 放寬同性婚姻近親結婚之限制，同性婚姻若輩分相同者， 比照因收 養而成立之四親等及六親等之旁系血親， 可 以 結 婚 。 2 . 女婚準用人工生殖法第23條 ，除非配偶能證明其同意係受詐欺或 脅 "
