slug	display_name	file_pattern	license	source_url	usage_note
huiwen-mincho	匯文明朝體修正	HuiwenMincho-Improved.ttf	CC0	https://github.com/bosswnx/huiwenmincho-improved	Old-book printed texture; strong quote-card candidate.
chenyu-luoyan	辰宇落雁體	ChenYuluoyan-2.0-Thin.ttf	OFL-1.1	https://github.com/Chenyu-otf/chenyuluoyan_thin	Thin handwritten accent; best for titles or short quotes.
chiron-sung-hk	昭源宋體	ChironSungHK-Text-R.ttf	OFL-1.1	https://github.com/chiron-fonts/chiron-sung-hk	Clean modern Sung; stable title/body candidate.
iming	一點明體	I.Ming-8.10.ttf	IPA Font License	https://github.com/ichitenfont/I.Ming	Classical Ming; old movable-type feeling.
lxgw-zhisong	霞鶩緻宋	LXGWZhiSongMN.ttf	IPA Font License	https://github.com/lxgw/LxgwZhiSong	Slender elegant Sung; quiet card candidate.
mizuki-ming	水木明體	MizukiMing-Regular.ttf	IPA Font License	https://github.com/MEE-Developers/Mizuki-Ming	Restrained printed Ming style.
qiji	齊伋體	qiji-combo.ttf	OFL-1.1	https://github.com/LingDong-/qiji-font	Woodblock/ink texture; use for special cards and check punctuation.
iansui	芫荽	Iansui-Regular.ttf	OFL-1.1	https://github.com/ButTaiwan/iansui	Friendly handwritten serif; warm but less formal.
genryu-min	源流明體	GenRyuMin2-*.ttc	OFL-1.1	https://github.com/ButTaiwan/genryu-font	Serious retro Ming; legal/humanities quote cards.
genwan-min	源雲明體	GenWanMin2-*.ttc	OFL-1.1	https://github.com/ButTaiwan/genwan-font	Warm bookish Ming; soft quote cards.
genyo-min	源樣明體	GenYoMin2-*.ttc	OFL-1.1	https://github.com/ButTaiwan/genyo-font	Traditional printed Ming; compare against GenRyu/GenWan.
xiangcui-typewriter	香萃打字機體	xiangcui-typewriter-w15.ttf; xiangcui-typewriter-w35.ttf; xiangcui-typewriter-w40.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Typewriter / old ink candidate staged in categories/typewriter-ink.
xiangcui-kesong	香萃刻宋	xiangcui-kesong.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Woodblock / engraved Song candidate staged in categories/typewriter-ink.
huiwen-tsukiji-5	匯文筑地五號明朝體	huiwen-tsukiji-5-mincho.otf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Old print Ming candidate staged in categories/typewriter-ink.
oradano-ming	Oradano 明朝	oradano-mingchao-cc0.ttf	CC0 indicated by filename; verify package notes	/Users/iw/Downloads/2904-复古怀旧字体	Old movable-type candidate staged in categories/typewriter-ink.
kinghwa-oldson	京華老宋體	kinghwa-oldson.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Heavy old Song candidate staged in categories/typewriter-ink.
taisyo-katsuji	大正活字	taisyo-katsuji-ppoi7.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Old movable-type / ink candidate staged in categories/typewriter-ink.
qiji-huanglingdong	黃令東齊伋體	qiji-huanglingdong.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Alternate Qiji-style ink candidate staged in categories/typewriter-ink.
homura-mincho	焰明朝	homura-m-*.otf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Retro Ming weight family staged in categories/typewriter-ink.
